"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
7620125778-2,Contract,"FCO SERVICES",Awarded,2019-04-05T11:57:26Z,"AECOM LIMITED","Seismic Surveys & Design Services: 2017-18 - Call off from OGD Framework Ref: 2011/S204-331733-FCOS-003",,"MK19 7BH",,"71352100 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,17/01/2019,31/03/2019,16/01/2019,NO,,Yes,No,No,Products,68960,,16/01/2019,68960,"[AECOM LIMITED|AL1 3ER|NONE||Yes|No]",,17/01/2019,31/03/2019,"CompetitiveDialogueOJEU ",
BIP79532247,Contract,"Ministry of Defence, DIO,",Awarded,2019-09-24T10:40:09Z,"GB-Sutton Coldfield: Technical Standard for Visual Aids","FATS Task for Preparation and Delivery of a Suite of Technical Standards, for the Design, Installation and Commissioning for Airfield Visual Aids at MoD Airfields in UK and Abroad.",,,"West Midlands","71356000 ","Simon Wilmshurst",Simon.Wilmshurst235@mod.gov.uk,"Kingston Road",,"Sutton Coldfield","B75 7RL",UK,07970171453,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'GB-Sutton Coldfield: Technical Standard for Visual Aids'.",24/09/2019,28/02/2020,23/09/2019,NO,,No,No,No,Services,65919,,23/09/2019,65919.22,"[AECOM Limited|Aldgate Tower
        2 Leman Street
        London
        E1 8FA|NONE||No|No][AECOM Limited|Aldgate Tower
        2 Leman Street
        London
        E1 8FA|NONE||No|No]","Robert A Walker",24/09/2019,28/02/2020,"NotSpecified ",
TFL001-DN295578-39203982,Contract,"Transport for London",Awarded,2017-10-03T14:49:49Z,"GLA80814 - Decentralised Energy Framework","Appointment of Consultants to deliver the Decentralised Energy Framework.",,,"Any region","71314200 71314300 ","Claudia Newman",claudianewman.CPT@tfl.gov.uk,"Windsor House","50 Victoria Street",London,"SW1H 0BD","United Kingdom",,https://tfl.gov.uk,,,,26/06/2017,25/06/2021,01/08/2016,NO,,No,No,No,Services,1000000,3500000,25/06/2017,1000000,"[AECOM Limited|Hertfordshire UK|||No|No][Amaresco Limited|London UK|||No|No][Amec Foster Wheeler PLC|Knutsford Cheshire UK|||No|No][Ove Arup & Partner Limited|London UK|||No|No][Buro Happold Limited|Bath UK|||No|No][Capita Propoerty and Infrastructure Limited|London UK|||No|No][Centre for Sustanable Energy (CSE)|Bristol - UK|||No|No][Element Energy Limited|Cambridge UK|||No|No][Gutteridge Haskins & Davey Limited|York  UK|||No|No][Greenfield Nordic Limited|Sheffield UK|||No|No][London Borough of Islington|London UK|||No|No][Ramboll UK Limited|London UK|||No|No][Sustain Limited|Bristol UK|||No|No][Sustainable Energy Limited|Cardiff UK|||No|No][Sweco UK Limited|Leeds UK|||No|No][SYZYGY Renewables Limited|London UK|||No|No][Woodward Energy Consulting Limited|Kent UK|||No|No][WSP UK Limited|London UK|||No|No][Arcadis LLP|Exeter UK|||No|No][Carbon Trust Advisory Limited|London UK|||No|No][Deloitte LLP|London UK|||No|No][Eunomia Research  & Consulting Limited|Bristol UK|||No|No][Grant Thornton UK LLP|London UK|||No|No][Korimako Europe CIC|London UK|||No|No][PriceWaterHouseCoopers LLP|London UK|||No|No][Bevan Brittan LLP|Bristol UK|||No|No][Berwin Leighton Paisner LLP|London UK|||No|No][Bond Dickinson LLP|London UK|||No|No][Burges Salmon LLP|Bristol UK|||No|No][Clyde & Co LLP|London UK|||No|No][DLA Piper UK LLP|London UK|||No|No][Eversheds LLP|Leeds UK|||No|No][Lux Nova Limited|London UK|||No|No][Nabarro LLP|London UK|||No|No][Pinsent Masons LLP|London UK|||No|No][Stephenson Harwood LLP|London UK|||No|No][Atkins Limited|Surrey UK|||No|No][KPMG LLP|London UK|||No|No]",,26/06/2017,25/06/2021,"Restricted ",
CA18/2524/AWARD,Contract,"The Coal Authority",Awarded,2018-05-02T17:31:03Z,"Expression of Interest for the  Non-Exclusive Framework Contract for the Provision of Engineering Services CA18/2524","The objective and deliverables of the Contract will be to provide the Authority with:

Professional services on an as and when required basis, predominantly in relation to resolving the impacts of past mining activities and other areas of responsibility of the Coal Authority. With regards to public safety & subsidence work this may include; investigation into the causes of failure, condition assessment, damage quantification and solution design for damage to roads, bridges, buildings, drainage & land.  For Environmental remediation work this may include investigating minewater discharges, developing remediation options, designs and specifications, investigating and advising on managing site constraints such as ecological & archaeological designations, specifying & developing minewater treatment technologies, advising on operational issues such as waste management, undertaking hydrogeological studies and carrying out cost benefit analysis for proposed & existing schemes.  The areas of expertise may include civil, structural, geotechnical, mining, environmental, health and safety, contract procurement, drainage and other specialist service areas such as hydrology, hydrogeology, geochemistry & economic assessment.

The Contract is split into Lots as follows:

Lot 1 - Civil and Structural Engineering
Lot 2 - Hydrogeology
Lot 3 - Archaeological Services
Lot 4 - Ecology & Environmental 
Lot 5 - Planning Services 
Lot 6 - Mine Water Treatment Schemes: Scoping, Feasibility & Design
Lot 7 - Land Drainage: Agricultural and Specialist
Lot 8 - Safety, Health and Environment
Lot 9 - Cost Benefit Analysis
Lot 10 - Treatability 
Lot 11 - Waste Characterisation and Waste Services 
Lot 12 - Supervisory Services 
Lot 13 - Surveying: Topographical & Surface Hazards 
Lot 14 - Surveying: Tilt Analysis 

For a full description of the required Services, please see the attached 'Services Specification' document.

To access the documents for this opportunity, please read the attached 'eTender Registration Information' Document.",,,"Any region","71200000 71300000 71500000 71800000 90000000 ",,procurement@coal.gov.uk,"200 Lichfield Lane",,Mansfield,"NG18 4RG",England,,,"2. CA18-2524 - EOI Services Specification.pdf CA18-2524 - eTender Registration Information.pdf ",,"The objective and deliverables of the Contract will be to provide the Authority with:

Professional services on an as and when required basis, predominantly in relation to resolving the impacts of past mining activities and other areas of responsibility of the Coal Authority. With regards to public safety & subsidence work this may include; investigation into the causes of failure, condition assessment, damage quantification and solution design for damage to roads, bridges, buildings, drainage & land.  For Environmental remediation work this may include investigating minewater discharges, developing remediation options, designs and specifications, investigating and advising on managing site constraints such as ecological & archaeological designations, specifying & developing minewater treatment technologies, advising on operational issues such as waste management, undertaking hydrogeological studies and carrying out cost benefit analysis for proposed & existing schemes.  The areas of expertise may include civil, structural, geotechnical, mining, environmental, health and safety, contract procurement, drainage and other specialist service areas such as hydrology, hydrogeology, geochemistry & economic assessment.

The Contract is split into Lots as follows:

Lot 1 - Civil and Structural Engineering
Lot 2 - Hydrogeology
Lot 3 - Archaeological Services
Lot 4 - Ecology & Environmental 
Lot 5 - Planning Services 
Lot 6 - Mine Water Treatment Schemes: Scoping, Feasibility & Design
Lot 7 - Land Drainage: Agricultural and Specialist
Lot 8 - Safety, Health and Environment
Lot 9 - Cost Benefit Analysis
Lot 10 - Treatability 
Lot 11 - Waste Characterisation and Waste Services 
Lot 12 - Supervisory Services 
Lot 13 - Surveying: Topographical & Surface Hazards 
Lot 14 - Surveying: Tilt Analysis 

For a full description of the required Services, please see the attached 'Services Specification' document.

To access the documents for this opportunity, please read the attached 'eTender Registration Information' Document.",04/01/2018,03/01/2022,18/05/2017,YES,CA18/2524,Yes,No,No,Services,0,6000000,29/12/2017,6000000,"[AECOM Limited|St George's House, 5 St George's Road, Wimbledon, London, SW19 4DR|COMPANIES_HOUSE|1846493|No|No][Amec Foster Wheeler Environment & Infrastructure UK Limited|Booths Park, Chelford Road, Knutsford, Cheshire, WA16 8QZ|COMPANIES_HOUSE|2190074|No|No][Atkins Limited|Woodcote Grove,Ashley Road,Epsom,Surrey KT18 5BW|COMPANIES_HOUSE|688424|No|No][Bridgeway Consulting Limited|Bridgeway House, 2 Riverside Way, Nottingham, NG2 1DP|COMPANIES_HOUSE|03478909|No|No][CDM Smith Ireland Ltd|15 Wentworth, Eblana Villas, Dublin 2 D02 WK10, Ireland|COMPANIES_HOUSE|338589|No|No][Golder Associates (UK) Ltd|Attenborough House, Browns Lane Business Park, Stanton-on-the-Wolds, Nottinghamshire, NG12 5BL|COMPANIES_HOUSE|1125149|Yes|No][Hargreaves Industrial Services Limited|Roseby House, Lund Hill Lane, Royston, Barnsley, S71 4BD|COMPANIES_HOUSE|2307132|No|No][Interlocks Surveys Ltd|St. Andrews House, Southam Road, Leamington Spa. CV31 1TF|COMPANIES_HOUSE|10266953|Yes|No][Jeremy Benn Associates Limited (t/a JBA Consulting)|South Barn, Broughton Hall, SKIPTON, North Yorkshire,  BD23 3AE|COMPANIES_HOUSE|03246693|Yes|No][JMC ENGINEERING (UK) LTD|2 LARKHILL, SWANWICK, ALFRETON, DERBYSHIRE, DE55 1DD|COMPANIES_HOUSE|2689123|Yes|No][Mott MacDonald|Mott MacDonald House, 8 - 10 Sydenham Road, Croydon, CR0 2EE|COMPANIES_HOUSE|1243967|No|No][Opus International Consultants (UK) Ltd|Willow House , Brotherswood Court, Great Park Road, Bradley Stoke,Bristol, BS32 4QW|COMPANIES_HOUSE|2847568|No|No][PMC Surveys Ltd (trading as Obsurvus)|8 Beancroft Close, Wadworth, Doncaster, DN11 9TB|COMPANIES_HOUSE|6844600|Yes|No][Ramboll|240 Blackfriars Road, London SE1 8NW|COMPANIES_HOUSE|03659970|No|No][Ricardo-AEA Ltd (trading as Ricardo Energy & Environment)|Shoreham Technical Centre, Old Shoreham Road, Shoreham-by-Sea, West Sussex, BN43 5FG, United Kingdom|COMPANIES_HOUSE|8229264|No|No][RPS Consulting Services Limited|20 Western Avenue, Milton Park, Abingdon, Oxfordshire, OX14 4SH|COMPANIES_HOUSE|01470149|No|No][RSK Environment Ltd|34, Albyn Place, Aberdeen, AB10 1FW|COMPANIES_HOUSE|SC115530|No|No][SLR Consulting Ltd|7 Menmarsh Road, Wornal Park, Aylesbury, HP18 9PH|COMPANIES_HOUSE|3880506|No|No][Turner & Townsend Project Management Ltd|Low Hall, Calverley Lane, Horsforth, Leeds, LS18 4GH|COMPANIES_HOUSE|2165592|No|No][Wardell Armstrong LLP|Sir Henry Doulton House, Forge Lane, Etruria, Stoke-on-Trent, Staffordshire ST1 5BD|COMPANIES_HOUSE|OC307138|No|No][WYG|Arndale Court, Otley Road, Headingley, Leeds, West Yorkshire, LS6 2UJ|COMPANIES_HOUSE|1959704|No|No][WSP UK Limited|WSP UK Limited, WSP House, 70 Chancery Lane, London, WC2A 1AF|COMPANIES_HOUSE|01383511|No|No]",,04/01/2018,03/01/2022,"RestrictedOJEU ",
NWRIV001-DN175860-83496180,Contract,"The Riverside Group",Awarded,2017-07-06T10:55:55Z,"Clerk of Works Framework - 5 Lots","Framework Agreement split into 5 regional lots for the provision of Clerk of Work/ Site Quality Control Services.
These services are to be used for new build and refurbishment of housing properties and extra care/specialist projects.   If you are interested in this opportunity, please visit www.the-chest.org.uk. If you are not already registered on The Chest, please click on the 'Register Free' button in the top right, and follow the quick and free registration process. Once you receive your username and password, you can log in and express interest. ITT information will then follow after your expression of interest.",,,"Any region","45000000 71000000 ","Michael Larkin",michael.larkin@riverside.org.uk,"2 Estuary Boulevard","Estuary Commerce Park",Liverpool,"L24 8RF",England,"07895 221 120",http://www.riverside.org.uk,,,,06/07/2017,04/07/2020,19/02/2017,NO,,Yes,Yes,No,Services,4000000,6000000,05/07/2017,5000000,"[AECOM Limited|Scott House,
Alencon Link,
Basingstoke,
Hampshire,
RG21 7PP|||No|No][Gage-Tupper & Associates Limited|The Signal House,
Evesham Station,
High Street,
Evesham,
Worcestershire,
WR11 4EJ|||Yes|No][Hickton Consultants Limited|Amber Court,
51 Elsecar,
South Yorkshire,
S74 8HT|||Yes|No][Ross Quality Control Limited|Eaton Place,
114 Washway Road,
Sale,
Cheshire,
M33 7RF|||Yes|No]",,06/07/2017,05/07/2020,"Open ",
LEEDSCITY001-DN429683-94947969,Contract,"Leeds City Council",Awarded,2020-04-28T14:12:35Z,"Highways and Transportation Services - Major Schemes Framework Agreement","Highways and Transportation Services - Major Schemes Framework Agreement",,,"Yorkshire and the Humber","71310000 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,"https://procontract.due-north.com/Advert?advertId=4cdcb121-65c2-e911-80f8-005056b64545 ",,27/04/2020,26/04/2024,06/03/2020,NO,,No,No,No,Services,30000000,30000000,23/04/2020,30000000,"[AECOM Limited|Aldgate Tower, 2 Leman Street, London E1 8FA|NONE||No|No][Ove Arup & Partners Limited|13 Fitzroy Street, London W1T 4BQ|NONE||No|No][Mott MacDonald Limited|Mott MacDonald House, 8-10 Sydenham Road, Croydon CR0 2EE|NONE||No|No]",,27/04/2020,26/04/2024,"Open ",
C4A47123240,Contract,"Balfour Beatty VINCI Systra JV",Awarded,2020-10-08T18:05:02Z,"Air Quality, Noise and Vibration Monitoring Services - Old Oak Common (S4) Station - HS2","This opportunity is for the Specialist Air Quality Noise and Vibration Consultancy Services package on the Old Oak Common Station HS2 project. 
      
      Suppliers interested in this opportunity should be advised that the following (non-exhaustive) list of tasks will fall under the remit of the successful tenderer.
      This will be developed and clarified through the Invitation to Tender to be submitted to shortlisted suppliers.
      Project Management
      
      - Project Management, including developing and maintaining a programme of Air              quality, noise and vibration activities / deliverables over the duration of the contract for project planning purposes
      Provisional Acoustic Specifications
      -	Preparation of a preliminary acoustic specifications for: early works and ongoing project activities; Batching plant, Bentonite plant and other proposed mobile plant
      -	Preparation for and attendance at meetings with BBVS and Hs2 Environment Team representative and/or Air Quality / Noise Specialist
      -	Provide an early indication on whether BBMV proposals exceed Hs2's envisaged air quality, noise and vibration impact and mitigation (for internal risk management purposes);  
      -	Review received documentation, prepare technical notes as appropriate and provision of guidance on impacts to BBVS senior management team.
      
      Baseline Air quality, Noise and Vibration Data
        
      •	Review Hs2  and EWC baseline air quality,  noise and vibration monitoring conducted to date;  
      •	Where applicable, set-out additional monitoring requirements and justification;  
      •	Notify Hs2 of any additional baseline air quality, noise / vibration monitoring required 
       
      'Pre-construction Information'  
      •	Assist Environment Manager and construction team to compile suitable documentation  
      •	for early Section 61 derogation process for early works, surveys and other construction activities;  
      •	Preparation for and attendance at early meetings with Local Planning Authorities to negotiate derogation;  
      
      Update Overall Construction air quality, Noise and Vibration Assessments  
      Preparation of Input to Section 61 Consents (in line with Control of Pollution Act Section 61 Strategy) Including:
      •	Prepare, submit and manage Section 61 application(s) to cover scope of works agreed with LPAs (e.g. first 3 months, and then every 6 months thereafter) at each site, using calculations completed for overall assessment, and updated where necessary;
      
         Other Deliverables  
      
      •	Prepare air quality / noise and vibration input to the relevant environmental control plans   
      •	Design and specify air quality, construction noise and vibration monitoring and reporting strategy for discussion with Hs2and LPAs;  
      •	Prepare Work Package Plan for construction air quality, noise and vibration monitoring during works  
      
      
      Forseeable ad-hoc activities are likely to include:
      
      •	Input to BBVS programming and reporting;  
      •	Undertake additional / supplementary baseline air quality  noise and vibration monitoring (for risk  management purposes or at request of LPAs);  
      •	Undertake Section 61 / BPM training for BBVS site teams;  
      •	Preparation for and attendance at meetings with BBVS, LPAs and/or Hs2;  
      •	Prepare for and attendance at stakeholder meetings ( i.e tenants/owners of Special Case );  
      •	Ad-hoc advice / technical notes as required;  
      •	Input to s61 dispensations / variations / overruns as required;  
      •	Sourcing of suitable noise and vibration monitoring equipment on behalf of BBVS  
      •	Implementation of construction air quality, noise and vibration monitoring strategy;  
      •	Provision of monitoring equipment, undertake monitoring / reporting / s61 compliance reports as required; and  
      •	Prepare subsequent s61 applications for follow-on works;  
      •	On-site BPM audits; and  
      •	Complaint investigations and BBVS representation at subsequent formal or informal hearings.  
       
       Respondents to this opportunity should be advised that shortlisted applicants will be invited to tender through an external ERP system.
      
      The exact scoring criteria are currently being developed by BBVS, and shortlisted suppliers will be invited to register for the ERP system in due course.
      
      What is clear at this stage is that tenders will be scored competitively across a range of criteria, such as, but not limited to: Commercial, Programme, Methodology, HSEQ, Capability and Capacity.
       
       In 2018, Balfour Beatty, VINCI and Systra (BBVS) created a strategic alliance to deliver major infrastructure projects for HS2, in particular the Terminus at Old Oak Common.",,,London,"71313400 71313430 71313450 71313420 ","Manish Tailor",supplychain@bbvsjv.com,"Astral House Imperial Way",,Watford,WD244WW,UK,07738982498,,,"https://www.competefor.com/business/viewOpportunityDetailsSupplier.html?id=47123246 ",,10/02/2020,10/07/2026,20/12/2019,YES,C4N47123240,Yes,No,No,Works,101000,150000,28/08/2020,0,"[AECOM Limited|St George's House, 5 St George's Road
        Wimbledon, London 
        SW19 4DR|NONE||No|No]","Julie Mooney",10/02/2020,10/07/2026," ",,12:00
"F07178 - AWARD",Contract,"Hampshire County Council",Awarded,2020-08-04T17:09:19Z,"SCF 4 Integrated Services Consultancy - AWARD","Hampshire County Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the supply of SCF 4 Integrated Consultancy Framework.. This is a joint procurement with Devon County Council, Manchester City Council and Hampshire County Council to provide construction consultancy services to all public sector bodies across South West England, South East  England, London, North West England, West Midlands and North Wales.
      
      The Framework will commence on 4th May 2020 and will be for a period of 4 years.
      
      Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/hampshire, and complete and submit the tender return document together with any supporting information requested by 1400 hrs on Friday 22 November 2019.",,"SO23 8UL","South East","71000000 71200000 71500000 71400000 70000000 71300000 ","ETE Procurement",procurement.partners@hants.gov.uk,"76 High Street",Winchester,Hampshire,"SO23 8UL","United Kingdom","01962 832323",,,,,04/05/2020,03/05/2024,29/11/2019,NO,,Yes,Yes,No,Services,1,688000000,28/07/2020,138667000,"[AECOM Limited|AECOM House, 63-77 Victoria Street, St Albans, Herts, United Kingdom, AL1 3ER|NONE||No|No][Mace Limited|155 Moorgate, London , United Kingdom, EC2M 6XB|NONE||No|No][WSP UK Ltd|70 Chancery Lane, London, United Kingdom, WC2A 1AF|NONE||No|No]","Peter Concannon",04/05/2020,03/05/2024,"Open ",,14:00
FM20077,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-04-28T15:29:50Z,"FM20077 - Project Management Services","*Please note this is an Award Notice not a call for competition, this contract has been awarded via NHS SBS Construction Consultancy Services 2 Framework Agreement* UKRI - STFC had a requirement for Project Management Services. The Contract was awarded following the Direct Award Procedure under the NHS SBS Construction Consultancy Services 2 Framework.",,"OX11 0QX",,"72224000 ","FM Procurement",FMProcurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,01/04/2020,31/08/2021,31/03/2020,NO,,Yes,No,No,Services,49988.75,,31/03/2020,49988.75,"[AECOM Limited|Aldgate Tower
2 Leman Street
London
E1 8FA|NONE_OTHER||No|No]",,01/04/2020,31/08/2021,"CallOffFromFrameworkAgreement ",
FM20019,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-03-06T11:47:32Z,"FM20019 - Project Management Services","*Please note this is an Award Notice not a call for competition, this contract has been awarded via NHS SBS Construction Consultancy Services Framework Agreement* UKRI - STFC had a requirement for Project Management Services. The Contract was awarded following the Direct Award Procedure under the NHS SBS Construction Consultancy Services 2 Framework. 
",,"OX11 0QX",,"72224000 ","FM Procurement",FMProcurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,03/02/2020,31/05/2022,31/01/2020,NO,,Yes,No,No,Services,79934.06,,31/01/2020,79934.06,"[Aecom Limited|Aldgate Tower
2 Leman Street 
London 
E1 8FA|NONE_OTHER||No|No]",,03/02/2020,31/05/2022,"CallOffFromFrameworkAgreement ",
