"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BFDMDC001-DN228020-98350214,Contract,"Bradford Metropolitan District Council",Awarded,2017-08-14T09:24:23Z,"Highways Structures Inspections and Reporting","To select suitably qualified contractors to carry out inspections and report on highway structures.",,,"Yorkshire and the Humber","71250000 71315000 71312000 ","Alan Parsons",alan.parsons@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"+44 1274436690",http://www.bradford.gov.uk/bmdc,,,,01/04/2017,01/04/2019,22/02/2017,NO,,Yes,Yes,No,Services,480000,480000,08/05/2017,480000,"[Aecom Infrastructure and Environment UK Ltd|Bridgewater House, Whitworth Street, Manchester, M1 6LT|||No|No][Atkins Ltd|Dunedin House, Columbia Drive, Stockton on Tees, TS17 6BJ|||No|No][Bridgeway Consulting Ltd|Bridgeway House, 2 Riverside Way, Nottingham, NG2 1DP|||No|No][Concrete Repairs Ltd|Portland House, Britannia Road, Chesterfield, S20 2TZ|||No|No][Inertia Consulting Ltd|12 Stafford Street, Derby, DE1 1JG|||No|No][Total Access Ltd|Unit 5, Raleigh Hall Industrial Estate, Eccleshall, ST21 6JL|||No|No][Waterman Infrastructure & Environment Ltd|2nd Floor, Victoria Wharf, 4 The Embankment, Sovereign Street, Leeds, LS1 4BA|||No|No][Wilde Consultants Ltd|Brindley Lodge, Adcroft Street, Stockport, Cheshire, SK1 3HS|||No|No][WSP UK Ltd|The Victoria, 150 - 182 The Quays, Manchester, M50 3SP|||No|No][XEIAD Ltd|Swallow Court, Devonshire Gate, Tiverton, Devon, EX16 7EJ|||No|No]",,15/05/2017,14/05/2019,"Open ",
tender_239416/858735,Contract,"Highways England",Awarded,2020-05-29T09:51:51Z,"570122 SW Pavement surveys April 2020","Pavement coring and testing at various sites in the South West region.

Please note, you will need to be a registered TST supplier to tender for this opportunity. Further details can be found in the Instructions for Tenderers or by emailing nationaltst@highwaysengland.co.uk",,,"South West","45200000 ",,emma.townend@highwaysengland.co.uk,"Brunel House, 930 Aztec West",,Almondsbury,"BS32 4SR",England,,,,,,01/06/2020,03/08/2020,11/05/2020,NO,,Yes,No,No,Works,45000,,29/05/2020,10919,"[AECOM Infrastructure and Environment UK Ltd|Birmingham B2 4AJ|NONE_OTHER||No|No]",,01/06/2020,30/06/2020,"OpenNonOJEU ",
CPG/2788/2018a,Contract,"FOREIGN & COMMONWEALTH OFFICE",Awarded,2018-07-03T11:57:58Z,"CSSF BVI Mobile Clinic","Mobile Healthcare Clinic to be purchased, procured and delivered to the British Virgin Islands in order to provide mobile healthcare.",,,London,"34100000 ","Nuruddin Ahmad",nuruddin.ahmad@fco.gov.uk,"King Charles Street",,LONDON,SW1A2AH,England,,,,,,03/07/2018,31/08/2018,20/06/2018,NO,,Yes,No,No,Products,207000,,29/06/2018,207000,"[AECOM Infrastructure and Environment UK Ltd|The Crescent Centre, Bristol BS1 6EZ|NONE||No|No]",,03/07/2018,31/08/2018,"CallOffFromFrameworkAgreement ",
"CDF PC10056 and CDF PC10057",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2017-01-24T09:49:19Z,"Smart Motorways Programme Design Package 5 (M62 Junction 10 to 12 and M6 Junction 21a to 26)","Smart Motorways Programme Design Package 5 (M62 Junction 10 to 12 and M6 Junction 21a to 26)",,,"Any region","71311000 ",,TransparencySGRM@highwaysengland.co.uk,"Highways England","Lateral 8 City Walk",Leeds,"LS11 9AT",England,,,"Package 5 Award Letter- Aecom.pdf ",,,12/01/2017,30/09/2018,11/01/2017,NO,,No,No,No,Services,2769374.87,,11/01/2017,2769374.87,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,12/01/2017,30/09/2018,"Other ",
tender_143499/604700,Contract,"Highways England",Awarded,2017-08-14T11:29:36Z,"CDF PC1 0078 OD East Capital Delivery Packages I, J & K","Contract award notice for design services",,,"East of England","71320000 ",,TransparencySGRM@highwaysengland.co.uk,"Lateral, City Square",,LEEDS,"LS11 9AT",England,,,"PC1 0078 Award Notification Redacted - Aecom.docx PC1 0078 Award Notification Redacted - Mott MacDonald.docx PC1 0078 Award Notification Redacted- WSP.docx ",,,11/08/2017,31/03/2020,06/07/2017,NO,,No,No,No,Services,6000000,,11/08/2017,6000000,"[Mott MacDonald Ltd/Sweco UK JV|Stoneham Place, Southampton, Hampshire SO50 9NW|||Yes|Yes][Aecom Infrastructure and Environment (UK) Ltd|Royal Court, Derbyshire S41 7SL|||No|No][WSP UK Limited|Mountbatten House, Basingstoke	HAMPSHIRE	RG21 4HJ|||No|No]",,11/08/2017,31/03/2020,"Other ",
"CDF PC1 0057",Contract,"Highways Agency",Awarded,2017-04-19T14:45:41Z,"SMP Tranche 3 and 4 Design Package 5- M6 J21a to 26","SMP Tranche 3 and 4 Design Package 5- M6 J21a to 26.",,,"North West","71311210 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,11/01/2017,28/09/2018,10/01/2017,NO,,No,No,No,Services,1464224.02,,10/01/2017,1646224.02,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,11/01/2017,28/09/2018,"NotSpecified ",
"CDF PC 10071",Contract,"Highways Agency",Awarded,2017-04-19T14:27:25Z,"RIP - Design PCF stages 3 and 4 - PACKAGE L - East","This Package Contract is for the appointment of Lot 1 Consultants to deliver Project Control Framework (PCF) Stage 3 Preliminary Design and Stage 4 Statutory Processes and Procedures for RIP schemes. 14 Package Contracts will be awarded following a quality only competition using Option E - Cost Reimbursable. Following this award, subject to funding and programme, each scheme will be issued individually.",,,"East of England","71311210 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,28/02/2017,28/02/2020,27/02/2017,NO,,No,No,No,Services,19920000,,27/02/2017,19920000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,28/02/2017,28/02/2020,"NotSpecified ",
"CDF PC 10064",Contract,"Highways Agency",Awarded,2017-04-19T14:07:35Z,"RIP - Design PCF stages 3 and 4 - PACKAGE E - Midlands","This Package Contract is for the appointment of Lot 1 Consultants to deliver Project Control Framework (PCF) Stage 3 Preliminary Design and Stage 4 Statutory Processes and Procedures for RIP schemes. 14 Package Contracts will be awarded following a quality only competition using Option E - Cost Reimbursable. Following this award, subject to funding and programme, each scheme will be issued individually.",,,"East Midlands,West Midlands","71311210 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,28/02/2017,28/02/2020,27/02/2017,NO,,No,No,No,Services,11560000,,27/02/2017,11560000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,28/02/2017,28/02/2020,"NotSpecified ",
"CDF PC1 0073 (Package 1 East: M1, A1 & A5)",Contract,"Highways Agency",Awarded,2017-04-13T15:43:36Z,"CDF PC1 0073 OD East Capital Delivery","CDF PC1 0073 OD East Capital Delivery.",,,"East of England","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,20/12/2016,31/03/2019,19/12/2016,NO,,No,No,No,Services,1250000,,19/12/2016,1250000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,20/12/2016,31/03/2019,"NotSpecified ",
"CDF PC1 0038.1.2",Contract,"Highways Agency",Awarded,2017-04-13T15:17:57Z,"AS14 Schemes PCF Stage 2 - A47 /A12 Junctions","AS14 Schemes PCF Stage 2 - A47 /A12 Junctions.",,,"Any region","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,21/12/2016,14/09/2017,20/12/2016,NO,,No,No,No,Services,910000,,20/12/2016,910000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,21/12/2016,14/09/2017,"NotSpecified ",
"CDF PC1 0038.1.3",Contract,"Highways Agency",Awarded,2017-04-13T11:57:38Z,"AS14 SAchemes PCF Stage 2 - A47 Thickthorn","AS14 SAchemes PCF Stage 2 - A47 Thickthorn",,,"Any region","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,21/12/2016,14/09/2017,20/12/2016,NO,,No,No,No,Services,400000,,20/12/2016,400000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,21/12/2016,14/09/2017,"NotSpecified ",
