"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
MRTN001-DN487888-05098867,Contract,"London Borough of Merton",Awarded,2020-09-16T12:55:18Z,"ICT Service Design Review","Review ICT Service Delivery and produce a strategic improvement plan.\r
\r
The scope of work includes a requirement to undertake an initial review and assessment of the current IT architecture, existing service capacity and capabilities that are currently in place, and then provide recommendations on a future strategy for the service based on the findings.\r
The work shall be carried out in three phases:\r
\r
1. Discovery\r
1a. Architecture\r
1b. Project & commercial\r
2. Business capability mapping\r
3. Review and report creation",,,London,"72222100 72222200 ","Tom Davis",tom.davis@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX","United Kingdom","+44 2082745215",http://www.merton.gov.uk/,,,,01/10/2020,31/03/2021,14/08/2020,NO,,Yes,Yes,No,Services,40000,40000,16/09/2020,40000,"[Agilisys Limited|W6 9DL|NONE||No|No]","Miss Gemma Teagle",01/10/2020,31/03/2021,"NotApplicable ",,23:59
BRISTOLCC001-DN361762-68288488,Contract,"Bristol City Council",Awarded,2020-01-17T17:15:57Z,"Hosting and support for Unit4 Business World (""UBW"") finance system","The provision of support and hosting of the Council's Unit4 Business World finance system.",,,"South West","72000000 ","Geraint Harris",geraint.harris@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1179223194",https://www.bristol.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=82758b74-d765-e911-80f7-005056b64545 ",,25/06/2019,24/06/2022,24/05/2019,NO,,No,No,No,Services,500000,,12/07/2019,673000,"[Agilisys Limited|Third Floor, One Hammersmith Broadway, London W6 9DL|NONE||No|No]",,01/12/2019,30/11/2024,"Open ",
TIS0323,Contract,"The Insolvency Service",Awarded,2019-12-24T12:18:16Z,"Business World Licencing and Support","Provision of SaaS Licencing and Support for Business World under the G-Cloud 11 Framework Agreement (RM1557.11). 
",,,"West Midlands","72261000 ","Lisa Ellis",lisa.ellis@insolvency.gov.uk,"Cannon House","18 Priory Queensway",Birmingham,"B4 6FD",England,"0121 698 4422",www.insolvency.gov.uk,"RM1557.11-G-Cloud-11-Call-Off-Contract Redacted.docx ",,,28/07/2019,27/07/2021,27/07/2019,NO,,Yes,No,No,Services,0,2500000,27/07/2019,2500000,"[AGILISYS LIMITED|Hammersmith
W6 9DL
GB|COMPANIES_HOUSE|04327369|No|No]",Partner,28/07/2019,27/07/2021,"CallOffFromFrameworkAgreement ",
BRISTOLCC001-DN391908-69203100,Contract,"Bristol City Council",Awarded,2019-02-08T11:36:34Z,"Hosting and support of the BCC corporate Finance system, ABW.","Hosting and support of the BCC corporate Finance system, ABW.",,,"South West","72000000 ","Michael Pilcher",Michael.Pilcher@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom",,https://www.bristol.gov.uk/,,,,28/05/2019,30/11/2019,04/02/2019,NO,,Yes,Yes,No,Services,220000,220000,06/02/2019,220000,"[Agilisys Limited|W6 9DL|NONE||No|No]","Mr Darren London",28/05/2019,30/11/2019,"Other ",
tender_138078/717231,Contract,"NHS Business Services Authority",Awarded,2018-10-08T08:34:46Z,"NHS Business Services Authority IT Infrastructure Sourcing - Managed Infrastructure Services","The Authority's contract with its incumbent supplier for ICT managed services is due to expire on 31 December 2019.  The incumbent supplier provides all ICT managed services on an aggregated basis.  In this re-procurement of services the Authority is following a disaggregated model.  The new overarching target operating model (""TOM""), of which this contract for managed infrastructure services forms a part, is designed to enhance internal systems and service integration capabilities by replacing the single supplier ICT managed services with services provided by a  mix of in-house and external suppliers.

This contract award notice relates to a contract for the design, implementation and maintenance of the centralised and distributed platforms and infrastructure services needed to support the Authority's in-scope business applications.  The centralised platforms and infrastructure services for these will be designed and built within the data centres by the managed infrastructure supplier; followed by a cutover of data and applications from the incumbent data centres.  Infrastructure services hosted on the Authority's sites will be transitioned to the new supplier via a 'walk in, takeover' approach.  This service will also include cloud brokerage where applications are able to be cloud hosted and so reduce the footprint of the residual ""on-premise"" data centre estate.

The contract is in the form of a tailored version of the Crown Commercial Service's Model services Agreement.  The TOM involves a move away from dependency on a single prime supplier to a multi-supplier environment with suppliers being onboarded, offboarded and managed by the Authority under service integration and management function arrangements.  Collaboration and cooperation across the supplier base is critical to the success of the TOM in that end-to-end service delivery can only be achieved where the key suppliers are working together collaboratively.  Each supplier's ability to perform the services and meet service levels is in part dependent on one or more of the other suppliers and this has been recognised in the contract with the inclusion of collaboration principles, seeking to enable a coordinated approach to ensure the seamless, continuous, effective, timely and proper delivery of services.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West","72000000 ","Sean  Murphy",sean.murphy4@nhs.net,"Stella House, Goldcrest Way, Newburn Riverside Business Park",,"Newcastle upon Tyne","NE15 8NY",England,"0191 2035068",,,,"
The initial term of the contract is 4 years.  There is the option to extend for two further 12-month periods.

A contract award notice was submitted, using the eNotices portal for European public procurement, on 4 October 2018.",22/08/2018,21/08/2022,17/04/2018,YES,tender_138078/596077,Yes,No,No,Services,29893718,,22/08/2018,29893718,"[Agilisys Limited|Third Floor, One Hammersmith Broadway, London, W6 9DL|COMPANIES_HOUSE|04327369|No|No]",,22/08/2018,21/08/2022,"CompetitiveProcedureWithNegotiationOJEU ",
FFPS,Contract,"The Insolvency Service",Awarded,2017-11-01T17:19:37Z,"Future Finance and Planning System","A supplier market analysis exercise was undertaken on the using the Crown Commercial Services Framework RM1557viii (G Cloud 8) where a shortlist of potential suppliers who could meet the requirements of The Insolvency Service - Future Finance and Planning System (FFPS) were identified.  

A tender exercise and subsequent procurement were executed using the G Cloud 8 framework for the group wide finance system",,,"West Midlands","48000000 ",,Procurement@insolvency.gsi.gov.uk,"Abbey Orchard Street,",,"London,","SW1P 2HT",England,,,"FFPS - Call Off.pdf ",,,28/07/2017,27/07/2019,26/07/2017,NO,,Yes,No,No,Services,1500000,2000000,27/07/2017,1800000,"[Agilisys Limited|Registered office: One Hammersmith Broadway, Hammersmith, London W6 9DL, UK.  

Registered in England No 04327369|||Yes|No]",,28/07/2017,27/07/2019,"Other G Cloud 8 Framework",
