"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CCZZ20A27.,Contract,"Cabinet Office : Cabinet Office",Awarded,2020-06-15T11:18:19Z,"Quantitative Research","The Provision of Quantitative Research Covid 19 Requirement BMG
Contract extension for three months and an increase in value to £165,000.00",,,"United Kingdom,Isle of Man,Channel Islands","73110000 73200000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",info@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCZZ20A27 The Provision of Quantitative Research Contract REDACTED v1.pdf CCZZ20A27 Contract variation ExtensionREdacted.docx ",,,30/03/2020,30/09/2020,27/03/2020,NO,,No,No,No,Services,165000,,30/03/2020,165000,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]","Denise Johnson",30/03/2020,30/09/2020,"Other Direct Award",,12:00
PROC.01.0641,Contract,"Water Services Regulation Authority (Ofwat)",Awarded,2020-02-26T14:38:27Z,"Non-Household Customer Insight Survey","The overall objective of the work is to help Ofwat build its understanding of the functioning of the water business retail market through gauging the experiences and views of eligible business customers and - through aspects of the qualitative work - brokers and third party intermediaries. The priorities, views and experiences of customers (including organisations working on their behalf) are essential in understanding whether, and how, the market is functioning effectively and delivering for customers. This evidence will also help us assess industry's progress in resolving previously identified 'market frictions'.
The key objectives of this research are to better understand three key aspects by undertaking the following actions:
1. Monitoring the experiences and views of eligible business customers, including the extent to which they are aware of the market, have chosen to engage with the market, their needs and expectations have been met, and the reasons for these outcomes - and the trends in these views, by making comparisons to the 2017/18 and 2019 quantitative customer research.
2. Exploring in more depth the experiences of the small to medium enterprise (SME) group of eligible business customers, the outcomes experienced across this SME group and their perceptions of the business retail market.
3. Reviewing, and assessing the roles and views of brokers and third party intermediaries (TPIs) in the business retail market, including the extent to which they are involved, different business models in practice and how they interact with customers of varying size. In addition, their views about how well the market works for the customers they work on behalf of, and retailers in general and where and why it could work better.
The research outputs will feed into two key areas:
- Firstly, they will provide an evidence base for future policy development and delivery, helping Ofwat and other industry participants (e.g. the market operator (MOSL)) to judge where further action may be needed to enable the business retail market deliver improved outcomes for customers.
Secondly, the results will form a key part of our third annual 'State of the Market' report, which will review the market for the year 2019/20. As such, the outputs of the customer research work must be clear, comprehensive and robust, and comparable with quantitative customer research results for 2017/18 and 2019.
We think objectives 1 and 3 will be reached through quantitative research, with qualitative research to inform objectives 2 and 3.
Accordingly, the results of the quantitative aspects of the research must be statistically robust and comprehensive enough for us to identify where the market is delivering or not delivering for customers, and the reasons why. The results of the qualitative aspects of the research should shed further light on perceptions of where and why the market is working well or if there are areas which need to work better.",,,"West Midlands,London","79411000 ",,mailbox@ofwat.gov.uk,Birmingham,,Birmingham,B54UA,England,,,,,"For Further Information,please contact procurement@ofwat.gov.uk",06/11/2019,14/04/2020,07/10/2019,NO,,Yes,No,No,Services,138050,,05/11/2019,138050,"[BMG Research Ltd|Beech House
Greenfield Cresent
Edgbaston
Birmingham
B15 3BE|COMPANIES_HOUSE|02841970|Yes|No]",,06/11/2019,14/04/2020,"CallOffFromFrameworkAgreement ",
RBGKEW/695,Contract,"ROYAL BOTANIC GARDENS, KEW",Awarded,2019-08-06T12:10:59Z,"RBGKEW/695 RBG Kew Staff Research","RBG Kew is looking for a Supplier to provide staff survey research and associated services. The contract will be for 1 year with further extensions up to 3 years.

Tender pack can be downloaded via: https://defra.bravosolution.co.uk/web/login.html 
Suppliers will be required to register with BRAVO, if not already regsitered.
ITT title: RBGKEW/695 RBG Kew Staff Research
ITT ref: 5962
Project Ref: 27205",,"TW9 3AE",,"79310000 ","Sarah Jandu",procurement@kew.org,"Kew Green",,RICHMOND,"TW9 3AE",England,,,,"https://defra.bravosolution.co.uk/web/login.html ","Please apply via the e-tendering portal link",12/08/2019,11/08/2020,23/07/2019,YES,RBGKEW/695,Yes,Yes,No,Services,60000,,06/08/2019,23050,"[BMG RESEARCH LTD|Beech House
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,12/08/2019,11/08/2020,"OpenNonOJEU ",
"Greater Brighton Economic Board - Research Based Consultancy",Contract,"BRIGHTON & HOVE CITY COUNCIL",Awarded,2019-03-06T11:55:54Z,"Greater Brighton Economic Board - Research Based Consultancy","The Greater Brighton Economic Board will soon be seeking an experienced research based consultancy to undertake a survey intended to generate bespoke business intelligence across the geography of the Greater Brighton City Region.

 The information generated will be used to inform strategies for business support initiatives, will feed into policy papers and provide valuable primary data in support of funding bids by providing current local information on the needs and barriers face by businesses with growth ambitions, especially in a post-Brexit Economy.

 The Greater Brighton City Region is the six combined local authority areas of: Adur District Council, Brighton and Hove City Council, Crawley Borough Council, Lewes District Council, Mid Sussex District Council and Worthing Borough Council.

 It is anticipated that the tender will be issued in early November. 
 Contract award is planned to take place in early December for the works to be completed by late April.

 To register your interest, please do so by email to the below address.",,,"South East","73000000 ","Procurement Team",procurement@brighton-hove.gov.uk,"Grand Avenue",,HOVE,BN32LS,England,"01273 291949",,,,,10/12/2018,31/07/2019,22/11/2018,NO,,Yes,Yes,No,Services,75000,,09/12/2018,75000,"[BMG Research Ltd|Beech House
Greenfield Crescent
Edgbaston
Birmingham
B15 3BE|COMPANIES_HOUSE|2841970|No|No]",,10/12/2018,31/07/2019,"OpenNonOJEU ",
19-20.CSG.,Contract,"H M REVENUE & CUSTOMS",Awarded,2020-01-29T16:50:22Z,"19-20.CSG. Research into Help to Save Customer Experience","Help to Save is a scheme designed to encourage people on low incomes to build up savings by offering bonuses on savings. This mixed method research aims to provide insight into customer behaviour and experiences of the service following launch. This will help HMRC to identify any improvements that can be made to the scheme and understand how to further encourage uptake.

",,,"North West","73110000 ","Joshua Munday",joshua.munday@hmrc.gov.uk,"Trinity Bridge House","2 Dearmans Place",Salford,SS991AA,England,07816296604,,,,,11/11/2019,17/04/2020,18/10/2019,NO,,No,No,No,Services,64500,,11/11/2019,64500,"[BMG RESEARCH LTD|6 Holt Court North
B7 4AX
GB|COMPANIES_HOUSE|7395400|No|No]",,11/11/2019,17/04/2020,"Other Mini competition within Lot 3 of the BEIS Research and Evaluation Framework for suppliers who confirmed their interest in receiving HMRC research commissions.",
PROC.01.0627,Contract,"WATER SERVICES REGULATION AUTHORITY",Awarded,2020-01-15T14:43:17Z,"C-MeX and D-MeX Shadow Year Research for Price Review 2019","The scope of the project includes the Supplier doing the following:
• Conducting of the surveys for C-MeX and D-MeX mechanisms for the shadow year between 1 May 2019 and 31 March 2020. The contract is until 30 April 2020 (to enable the Supplier to finalise its assessment and deal with queries) with the potential to complete a further year of research, should the Customer deem this is required. 
• Engaging with Ofwat and stakeholders via the Working Groups and sub-groups as and when necessary. This may include running workshops; engaging with Ofwat and stakeholders via the Working Groups and sub-groups as and when necessary;
• assessing the outcomes of the surveys and compiling of the C-MeX and D-MeX scores; 
• familiarising themselves with the areas of work referenced in this document including keeping up to date with policy developments in these areas, which may include liaising with relevant stakeholders or running workshops; and engaging with Ofwat and stakeholders via the Working Groups and sub-groups as and when necessary;
• providing feedback to Ofwat on the shadow year process and outcomes, and, if necessary, recommendation for C-MeX and D-MeX methodology based on findings. The final incentives will be run by Ofwat. All decisions on the final design of C-MeX and D-MeX will remain for Ofwat.
• In conjunction with stakeholders and Ofwat, developing the final guidance that companies will need to follow when C-MeX and D-MeX become operational.
Suppliers are to provide costings for the sample sizes set out in the sections below for each incentive, as well as alternative sample sizes, based one of the following services:
•	Completion of surveys for C-MeX only; 
•	Completion of surveys for D-MeX only; and 
•	Completion of surveys for both C-MeX and D-MeX 

C-MeX and D-MeX are primarily mechanisms to incentivise better service. They are not designed to be diagnostic tools or replacements for companies to engage with their customers. Nonetheless we expect that the process will provide companies with insight on, and the opportunity to make, service improvements. We made a decision to run the shadow year from 1 May 2019 to 31 March 2020, making the duration of the shadow year 11 months only. Although the shadow year is 11 months in length, we would like the Supplier to assume that the scope of the work is the same as if the shadow year was 12 months in duration. We leave it to the Supplier to adjust the scope of work across the 11 months of the shadow year. 
",,,"West Midlands,London","79310000 ",,mailbox@ofwat.gov.uk,"Centre City Tower","7 Hill Street",Birmingham,"B5 4UA",England,,,,,"For further information, please contact: procurement@ofwat.gov.uk",30/04/2019,30/04/2020,29/03/2019,NO,,Yes,No,No,Services,359945,,29/04/2019,359945,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|Yes|No]","Denise Johnson",30/04/2019,30/04/2020,"CallOffFromDynamicPurchasingSystem ",
"EHRC 1819-15",Contract,"EQUALITY AND HUMAN RIGHTS COMMISSION",Awarded,2018-07-20T09:09:48Z,"EHRC 1819-15 Gender Pay Gap Employee Survey","We are looking for a suitably experienced contractor with expert knowledge of research to work with us to help us communicate employee views and attitudes towards the gender pay gap. The project will involve a questionnaire design and results analysis to explore to what extent a gender pay gap has an influence over employee behaviour. We welcome proposals from potential contractors for this project. 
Please note that this is a further competition under CCS's Research Marketplace Framework RM6018.",,,"Any region","73000000 79300000 79400000 ",,procurementhelpdesk@equalityhumanrights.com,"Arndale House, The Arndale Centre",,MANCHESTER,M43AQ,England,,,,,,06/07/2018,31/08/2018,26/06/2018,NO,,Yes,Yes,No,Services,20000,,05/07/2018,19920,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|Yes|No]",,06/07/2018,31/08/2018,"CallOffFromDynamicPurchasingSystem ",
CR20020,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-07-24T14:24:46Z,"CR20020 Space Skills Survey","***THIS IS NOT A CALL FOR COMPETITION**** This contract has been awarded against BIS Research and Evaluation Framework Agreement - Lot 1.
We wish to commission a survey which will evaluate the current and future skills and
recruitment landscape for, and across the breadth of the space sector. It is expected that
this will build a picture of the skills and qualification requirements, deficits present in 
Version 3.0
different parts of the sector, and of current and planned training provision. This survey
should provide us with a new wave of data covering the calendar year 2019 as a baseline
and taking a 2-5 year and 10-year forward look. (Additional work may be suggested as a
separate package to provide foresighting information beyond this timescale).",,,"South West","73200000 79300000 ","Becky Eldridge",research@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867000",www.uksbs.co.uk,,,,24/06/2020,08/04/2021,31/03/2020,NO,,Yes,No,No,Services,49100,,19/06/2020,49,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,24/06/2020,08/04/2021,"CallOffFromFrameworkAgreement ",
CR19106,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-02-27T11:34:53Z,"Longitudinal Small Business Survey Years 6 & 7","** CONTRACT AWARDED** The aim of the project is to conduct a telephone survey of the panel of businesses with 0 to 249 employees that were surveyed in previous waves of the LSBS; To minimise attrition amongst the panel businesses; To conduct further telephone-based interviews with a further sample needed to ensure the overall achieved sample is representative. A total of approximately 12,000 interviews will be required in Year 6; To produce three research reports: one for businesses with no employees, one for SME employers and one for findings from the longitudinal data. The contractor will also be required to produce a  comprehensive technical report; To manage the LSBS academic user group.",,,London,"73200000 79300000 ",,research@uksbs.co.uk,"Polaris House",,SWINDON,SN21FF,England,,,,,,02/03/2020,30/06/2022,17/01/2020,NO,,Yes,No,No,Services,0,,24/02/2020,915950,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,02/03/2020,30/06/2022,"CallOffFromDynamicPurchasingSystem ",
JFC6c/00052,Contract,"Ministry Of Defence",Awarded,2019-01-14T15:59:48Z,"Provision of Continuous Attitude Surveys to Defence Medical Services","The Headquarters Surgeon General  is responsible for conducting the Defence Medical Services (DMS) Continuous Attitude Surveys (CAS).  Surveys are conducted for serving military DMS personnel (both regular and reserve) employed within the MOD.  They are used to provide management information to the Defence Medical Services Board and the Personnel Policy Working Group.

As part of various initiatives within the DMS, the key research objective is to identify areas for development that can help inform future HR strategic policy decisions across DMS, including the single Services Medical; Branches.

The Supplier is required to:
1. Produce and deliver, using the most appropriate means, a self-completion questionnaire for on average approximately 10,000 military medical personnel to complete with a method of return to the Contractor within an agreed timeline.  The questionnaire should contain no more than 100 attitudinal questions, 5 non-standard questions, 12 demographic questions and up to four opportunities for open comments.  The sample strategy will be directed by the Designated Officer (DO).

2. Conduct statistical and trend analysis from results over a 3-year period (2016 - 2018).

3.  Provide final reports in hard copy format (2 copies) and soft copy format (1 copy) and data analysis comparator tool in electronic format (licences for 3 people to access the tool) to the DO, 3 weeks prior to the results presentation. 

4. Produce PowerPoint presentations of headline results in a house style agreed between the Contractor and the DO for up to four presentations.  These presentations will then form the verbal feedback from the Contractor to the Authority. 

5. Provide up to 6 days on-site support to the Authority during the survey period to assist with the administration of the survey.",,,"West Midlands","79310000 ","Kelvin Edwards",kelvin.edwards109@mod.gov.uk,"DMS Whittington","Coltman House",Lichfield,"WS14 9PY",England,"01543 434723",,,,,14/01/2019,13/01/2023,12/12/2018,NO,,Yes,Yes,No,Services,224000,,10/01/2018,224000,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|Yes|No]","Denise Johnson",14/01/2019,13/01/2023,"CallOffFromDynamicPurchasingSystem ",
823588,Contract,"DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS",Awarded,2018-07-06T11:14:34Z,"Farmbench Audience","Award of contract from DPS Market Research framework",,,"West Midlands","79310000 ","Sarah Jackson",sarah.jackson@ahdb.org.uk,AHDB,"Stoneleigh Park","Kenilworth, Warwickshire","CV8 2LZ",England,"024 7647 8871 ext 0",www.ahdb.org.uk,,,,11/06/2018,10/06/2019,11/05/2018,NO,,Yes,No,No,Services,25000,25000,17/05/2018,25000,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|Yes|No]","Denise Johnson",11/06/2018,10/06/2019,"CallOffFromDynamicPurchasingSystem ",
