"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DR111644120,Contract,"East Riding Of Yorkshire Council",Awarded,2019-05-07T11:04:47Z,"Provision of Non Residential Short Breaks for 29 Children","The continuation of short term contracts with Barnardo's under the existing terms and conditions to continue providing non-residential short breaks for the 29 children currently receiving
this service. Barnardos currently provide shorts breaks service for 29 children. In order to maintain continuity of service it is in those children's best interest for them to remain as the provider for this service and for each child to continue to have their short break provided by a consistent carer with whom they have already formed a relationship. The short term contracts will be for a period of 9 months from 1st April 2019 - 31st December 2019 to allow a new short breaks framework agreement to be re-tendered.",,,"Yorkshire and the Humber","85000000 98000000 ","Grace Conyers",grace.conyers@eastriding.gov.uk,"Cross Street",,BEVERLEY,HU179BA,England,"01482 391463",,,,,01/04/2019,31/12/2019,31/03/2019,NO,,No,Yes,No,Services,139242,,31/03/2019,139242,"[Barnardos|Leeds Support Office
Rockford House
Horsforth
Leeds
LS18 5QW|COMPANIES_HOUSE|00061625|No|Yes]",,01/04/2019,31/12/2019,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
DR111384323,Contract,"East Riding Of Yorkshire Council",Awarded,2019-08-08T16:08:04Z,"All Stars Youth Group","Exclusion from competitive tendering under CPRs 21.1
to set up a short term contract with the existing supplier Barnardo's, who provide the All Stars
Youth Groups. These are short break activities for children and young people with additional needs.",,,"Yorkshire and the Humber","85000000 92000000 98000000 ","Grace Conyers",grace.conyers@eastriding.gov.uk,"Cross Street",,BEVERLEY,HU179BA,England,"01482 391463",,,,,01/04/2019,01/04/2020,31/03/2019,NO,,No,Yes,No,Services,60000,,31/03/2019,60000,"[Barnardo's|Leeds Support Office
Rockford House
Horsforth
Leeds
LS18 5QW|COMPANIES_HOUSE|00061625|No|Yes]",,01/04/2019,01/04/2020,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
"SB Extension DR161829066",Contract,".East Riding Of Yorkshire Council",Awarded,2020-01-20T11:50:01Z,"Short Break Extension","There are currently 8 children and young people receiving domiciliary short break services for children and young people from a single provider that have been receiving a service for a number of years. This is an interim short term contracts to replace the existing agreement which ends (after all extension periods permitted within the existing contract) on 31 December 2019. Barnardos currently provide shorts breaks service for 8 children. In order to maintain continuity of service it is in those children's best interest for them to
remain as the provider for this service and for each child to continue to have their short break provided by a consistent carer with whom they have already formed a relationship. The short term contracts will be for a period of 12 months from 1st January 2020 - 31st December 2020 to allow a short breaks graduated response approach to be put in place.",,,"Yorkshire and the Humber","85000000 ","Kim Porter",kim.porter@eastriding.gov.uk,"Cross Street",,BEVERLEY,HU179BA,England,"01482 392152",,,,,01/01/2020,31/12/2020,01/12/2019,NO,,Yes,Yes,No,Services,86001,,20/12/2019,86001,"[Barnardo's Domiciliary Short Break Service|Village Farm Business Park, 
East Street, 
Holme-on-the-Wolds 
Beverley
East Riding of Yorkshire
HU17 7GA|NONE_OTHER||Yes|Yes]",,01/01/2020,31/12/2020,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
"HCC1709819 - HCC1709823 - AWARD",Contract,"Supply Hertfordshire",Awarded,2018-12-20T11:41:47Z,"HCC - 10/17 - Provision of Family Centre Services - AWARD","Following a procurement, Hertfordshire County Council has awarded contracts for the Provision of Family Centre Services.
      
      This is an award notice and this opportunity is now closed.
      
      The successful suppliers are - 
      
      Lot 1: Hertfordshire Community NHS Trust
      Lot 2: Hertsmere Leisure
      Lot 3: Hertsmere Leisure
      Lot 4: One YMCA
      Lot 5: Barnardo Services Limited
      
      The estimated total value of the Contract is £262,574,320.00 and is for the core Contract period and also includes the approximate value for extensions.
      
      The initial term of this contract is six (6) years with a possible extension of up to a further two (2) years at the Councils discretion.  Please note that the Contract requirements will be subject to available financial resources, supplier performance and flexibility to meet changing demands.
      
      Contract Notice Number: 2017/S 197-405116
      
      Award Notice Number: 2018/S 076-169755",,"SG13 8DE","East of England","85000000 ","Joella Scott (HCC)",joella.scott@hertfordshire.gov.uk,"Pegs Lane",Hertford,Hertfordshire,"SG13 8DE","United Kingdom","01992 588451",,,,,01/10/2018,30/09/2024,04/12/2017,NO,,No,No,No,Services,262574320,262574320,13/03/2018,0,"[Barnardo's|Unit 1, Satellite Business Village, Fleming Way , Barnardo's Head Quarters, Tanners Lane, Barkingside, Ilford, Essex, IG6 1QG, United Kingdom, RH10 9NE|NONE||No|No][Hertfordshire Community NHS Trust|Howard Court  , 14 Tewin Road, Welwyn Garden City, Hertfordshire, United Kingdom, AL7 1BW|NONE||No|No][Hertsmere Leisure|Unit 8, Borderlake House, Lowbell Lane, London Colney, Herts, United Kingdom, AL2 1HG|NONE||No|No][One YMCA|Charter House, Charter Place, Watford, Hertfordshire, United Kingdom, WD172RT|NONE||No|No]","Jessica  O'Brien",01/10/2018,30/09/2024,"Open ",
f1c682a5-1cd6-43e2-88f5-886deaa5d54e,Contract,"Peterborough City Council",Awarded,2020-10-16T14:53:13Z,"Provision of Services within Children and Family Centres within Peterborough and Cambridgeshire","Peterborough and Cambridgeshire Councils wish to jointly commission services to be delivered in Children and Family Centres bringing together 4 existing services into one contract working with one successful bidder.The successful supplier will be responsible for delivering the services across multiple sites in Peterborough and Cambridgeshire in accordance with the service specification. The Transfer of Undertaking (Protection of Employment) (TUPE) Regulations 2006 will apply to this tender, bidders will be required to download, sign and upload, through the Q&A section, a TUPE Undertaking of Confidentiality in the Council's e-procurement system, SourceDogg, before the Council is able to provide the TUPE details and information.",,,"East of England","85311300 ","Richard McCarthy",jan.Thistleton@peterborough.gov.uk,"Sand Martin House","Fletton Quays, Bittern Way",Peterborough,"PE2 8TY",ENG,"017333 864553",https://www.peterborough.gov.uk/,,,,18/01/2021,17/01/2026,09/06/2020,NO,,Yes,Yes,No,Services,14000000,14500000,13/10/2020,6691590,"[Barnardo's|Barnardo's South East Regional Office, Unit 1, Satellite Business Village, Fleming Way, Crawley, RH10 9NE|COMPANIES_HOUSE|01227919|No|No]",,18/01/2021,17/01/2026,"OpenOJEU ",,00:00
DCC001-DN497878-83312560,Contract,"Durham County Council",Awarded,2020-09-09T11:44:17Z,"PAUSE DURHAM","To develop a Pause Practice specific to Durham who would work with 24 women. 

The Practice would have three clear objectives:

•	To work directly with women. 
•	To share and embed the learning across Durham. 
•	To mainstream Pause in Durham by August 2022.",,,"United Kingdom","85000000 ","Donna Iley",donna.iley@durham.gov.uk,"County Hall",,Durham,"DH1 5UG","United Kingdom","+44 3000268235",http://www.durham.gov.uk,,,,01/10/2020,30/06/2022,01/09/2020,NO,,Yes,Yes,No,Services,262500,262500,08/09/2020,262500,"[Barnardos|The Cowgate Centre
Houghton Avenue
NEWCASTLE UPON TYNE
Tyne and Wear
NE5 3UT|NONE||No|No]",,01/10/2020,30/06/2022,"Other ",,23:59
tender_243111/884198,Contract,"Department for Education",Awarded,2020-09-02T12:05:09Z,"Urgent Support Services for Vulnerable Children during Covid-19","The intention of this contract is to identify vulnerable children and young people who are hidden from view during Covid-19 and provide frontline assistance and support to them. These are children who are not receiving support currently from statutory agencies; and are at risk of harm and/or experiencing adverse impact to their health and wellbeing due to Covid-19.

The contract will focus on supporting children experiencing or at risk of hidden harm. These are vulnerable children who do not meet the threshold for statutory services and do not have an education, health and care plan or child in need or child protection plan and who are not looked after. These children and young people are being adversely impacted by lockdown.

The purpose of the contract is to prevent their needs escalating so that they do not require more significant interventions either now or at a later date. The group of children that will be identified include those who have experienced or are at risk of serious crimes, young people with disabilities and SEND, children in families experiencing domestic abuse and young couples perpetrating domestic abuse, children experiencing mental health difficulties, trafficked children and homeless families and young people.

As a result of Covid-19 measures, there is a specific need to provide additional services to children who either are, or at risk of, experiencing harm because many of the usual mechanisms for identifying risks have been removed or are experiencing other pressures, for example health visitors, police, community hubs, GPs and schools.

In this instance the events that have led to the extreme urgency are the lockdown which has been a key measure in trying to contain Covid-19 and in conjunction with that the closure of schools, to all but a specified minority of children. Whilst that minority has included 'vulnerable children' (as defined in the DfE Guidance: Supporting Vulnerable Children and Young People During the Coronavirus (Covid-19) outbreak - actions for educational providers and other partners, updated 15 Mai 2020) not all such children have been in attendance and some children who would not have met the definition of 'vulnerable' at the commencement of the lockdown will have become 'vulnerable' during the lockdown period.",,,"Any region","85300000 ",,beth.lord@education.gov.uk,"St. Paul&apos;s Place",,Sheffield,"S1 2JF",England,,,,,,01/06/2020,31/10/2020,31/05/2020,NO,,No,Yes,No,Services,7265000,,01/06/2020,7265000,"[Barnardo's|Tanners House, Barkingside, Ilford, Essex, IG6 1QG|NONE_OTHER||No|Yes]",,01/06/2020,31/10/2020,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,11:59
36,Contract,"DONCASTER CHILDREN'S SERVICES TRUST LIMITED",Awarded,2020-08-24T13:39:40Z,"Services relating to children showing sexually concerning or harmful behaviour","Services relating to children showing sexually concerning or harmful behaviour",,,"Yorkshire and the Humber","85000000 ","Anna White",anna.white@dcstrust.co.uk,"Colonnades House",,DONCASTER,"DN1 1ER",England,"01302 736493",,,,,01/04/2020,31/03/2021,31/03/2020,NO,,Yes,Yes,No,Services,45,45,31/03/2020,45830,"[Barnardo's|Barnardo House, Tanners Lane, Barkingside , Ilford, Essex, IG6 1QG|COMPANIES_HOUSE|61625|No|Yes]",,01/04/2020,31/03/2021,"SingleTenderActionNonOJEU ",,12:00
"DR216249280 - Short Breaks Extension",Contract,".East Riding Of Yorkshire Council",Awarded,2020-06-29T10:09:56Z,"Short Breaks Extension","5 children and young people with special educational needs and/or disabilities have been assessed as requiring a short break. A new method of procuring services is being sought. As an interim measure, these contracts have been extended to ensure consistency for the family.",,,"Yorkshire and the Humber","85000000 ","Kim Porter",kim.porter@eastriding.gov.uk,"Cross Street",,BEVERLEY,HU179BA,England,"01482 392152",,,,,01/08/2020,31/07/2021,29/05/2020,NO,,Yes,Yes,No,Services,36725,,29/05/2020,36725,"[Barnardo's|East Street
Holme on the Wolds
Beverley
East Riding of Yorkshire
HU17 7GA|NONE_SOLE_TRADER||Yes|Yes]",,01/08/2020,31/07/2021,"SingleTenderActionNonOJEU ",
LEEDSCITY001-DN477072-93450601,Contract,"Leeds City Council",Awarded,2020-06-09T11:40:50Z,"Interagency Adoption Placement Service","Interagency Adoption Placement Service",,,"United Kingdom","85300000 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,25/05/2020,31/03/2023,15/05/2020,NO,,No,No,No,Services,2950030,2950030,22/05/2020,2950030,"[Barnardo's|Barnardo House, Tanners Lane, Barkingside, Ilford, Essex IG6 1QG|NONE||No|No]",,25/05/2020,31/03/2023,"NotSpecified ",
