"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
GNPC/RAFT2,Contract,"GREAT NOTLEY PARISH COUNCIL",Awarded,2020-01-16T14:39:06Z,"Upgrade for Teenage Play area (RAFT) Great Notley","Great Notley Parish Council wish to upgrade the 'RAFT' teenage play area.  It wishes to improve the facility by removing the existing skate ramp and installing a wheeled sports facility suitable for skateboards, BMX, Skates and scooters.   An innovative designed youth shelter and seating are also to be installed on the site.  Also the existing MUGA and hardstanding are to be retained but to be repaired and repainted.  More specific detail is available in the design brief.",,,"East of England","92000000 ","Suzanne Walker",greatnotleyclerk@gmail.com,"7 Mallard Close,Great Notley",,BRAINTREE,"CM77 7YD",England,"01376 331251",www.essexinfo.net/great-notley-parish-council,"GREAT NOTLEY RAFT - design brief Sept..pdf RAFT latest plan.pdf Consultation report.pdf Preliminary specification.pdf DOCUMENT FOR RETURN.doc ",,,17/02/2020,10/04/2020,07/10/2019,YES,GNPC/RAFT2,Yes,No,No,NotSpecified,0,60000,21/10/2019,60000,"[Bendcrete Leisure Ltd|7 Nuffield Way
Abingdon
Oxfordshire
OX14 1RL|COMPANIES_HOUSE|03220846|No|No]","Wendy Davies",17/02/2020,10/04/2020,"OpenNonOJEU ",
SHEFCC001-DN427924-26315716,Contract,"Sheffield City Council",Awarded,2019-11-06T10:54:00Z,"PC05857 - PARSON CROSS SKATE PARK","The project comprises the demolition and removal of the existing skate park facility and the design and construction of a new facility suitable for use of skate boarders, BMX bikers and scooter riders. The design should also enable usage by a wider range of ages and abilities than the current facility.                                                                                                                                                     The Suitability Assessment and Tender Documents are now available to download by logging into YORtender and searching for the job reference number SHEFCC001-DN427924-26315716.  The Suitability Assessment and Tender Documents are to be returned electronically. Tenderers are advised to allow adequate time for uploading the documents to ensure that the submission deadline is met. The Tender is to be submitted via https://www.yortender.co.uk/procontract/user.nsf to be received not later than 12 noon on Monday 9 September 2019.",,,"Yorkshire and the Humber","45112711 45112700 45112720 45112710 ","Lisa Oxley",lisa.oxley@sheffield.gov.uk,"Capital Delivery Service","Level 3, East Wing, Moorfoot",Sheffield,"S1 4PL","United Kingdom","+44 1142736215",https://www.sheffield.gov.uk/,,,"The Suitability Assessment and Tender Documents are now available to download by logging into YORtender and searching for the job reference number SHEFCC001-DN427924-26315716.  The Suitability Assessment and Tender Documents are to be returned electronically. Tenderers are advised to allow adequate time for uploading the documents to ensure that the submission deadline is met. The Tender is to be submitted via https://www.yortender.co.uk/procontract/user.nsf to be received not later than 12 noon on Monday 9 September 2019.
",06/01/2020,31/03/2020,09/09/2019,NO,,Yes,No,No,Works,60000,60000,04/11/2019,60000,"[Bendcrete Leisure Ltd|OX14 1RL|NONE||Yes|No]","Mrs Wendy Davies",06/01/2020,28/02/2020,"Open ",
Skate/WE/SB19,Contract,"Fenland District Council",Awarded,2019-10-22T14:51:02Z,"Skate Park Installation - West End Park","Installation of Skate Park at West End, March, Cambridgeshire via mini competition ESPO framework",,,"East of England","37535200 ","Shaun Beales",Sbeales@fenland.gov.uk,"County Road",,March,PE158NQ,England,01354622429,,,,,04/06/2019,01/10/2019,25/03/2019,NO,,Yes,No,No,Works,120850,,25/03/2019,0,"[Bendcrete Leisure Ltd|7 Nuffield Way, Abingdon OX14 1RL|COMPANIES_HOUSE|03220846|Yes|No]",,04/06/2019,01/10/2019,"CallOffFromFrameworkAgreement ",
KIRKC001-DN421363-83806604,Contract,"Kirklees Council",Awarded,2019-08-19T07:35:54Z,"KMCEGS-107 Colne Valley Skate Park","Quotations are invited by the Council of the Borough of Kirklees (the ""Council"") from Suppliers with relevant experience and ability to demonstrate sufficient capacity for the design and build of a skate park in Marsden. The Council has set a maximum budget of £60,000.00 for this project, as per the Employers Requirements and quotation documents. Tender documents are available to download at: https://www.yortender.co.uk/procontract/supplier.nsf.",,,"Yorkshire and the Humber","45212200 45212210 ","Robert Williams",robert.williams@kirklees.gov.uk,"3rd Floor Civic Centre 1","High Street",Huddersfield,"HD1 2NF","United Kingdom","+44 1484221000",http://www.kirklees.gov.uk,,,"Tender documents are available to download at: https://www.yortender.co.uk/procontract/supplier.nsf.
",01/08/2019,20/12/2019,24/07/2019,NO,,Yes,No,No,Works,60000,60000,12/08/2019,60000,"[Bendcrete Leisure Ltd|OX14 1RL|NONE||Yes|No]","Mrs Wendy Davies",21/10/2019,13/12/2019,"Open ",
DN347543,Contract,"Wakefield Council Customer Service",Awarded,2018-10-02T12:16:13Z,"Design, Supply & Installation of Skate Park at Minsthorpe Vale, South Elmsall","Design and build of new spray-concrete skate park with associated landscaping works. This is a call off from the ESPO framework agreement.",,,"Yorkshire and the Humber","37535200 ","Ian Westlake",iwestlake@wakefield.gov.uk,"Wakefield One Po Box 700,Burton Street",,WAKEFIELD,WF12EB,England,"01924 306974",,,,,27/09/2018,31/01/2019,27/07/2018,NO,,Yes,No,No,Products,150000,,04/09/2018,150000,"[Bendcrete Leisure Ltd|7 Nuffield Way  Bingdon Oxfordshire OX14 1RL United Kingdom|NONE||Yes|No]",,27/09/2018,31/01/2019,"CallOffFromFrameworkAgreement ",
KB/WPaw,Contract,"Corfe Mullen Parish Council",Awarded,2017-11-28T09:45:31Z,"Corfe Mullen Wheel Park Project","Local consultation has identified that there is a need to replace the current skate park with a larger wheel park.
The Council is funding 50% with the other 50% being met from the South-East Dorset Heathland Mitigation Fund, which supports projects designed to mitigate damage to sensitive heathland habitats.  The Council wishes to install a new concrete, wholly or mainly in-ground wheel park that will be designed by the successful Applicant of this Tender in consultation with by the local young people.
The location of the extended wheel park is at the Corfe Mullen Recreation Ground, on the site of the current metal skate park and the basketball court. A photograph and plan of the site are in the tender document attached to this notice.

We wish to emphasise for the benefit of potential bidders that we are seeking a project partner to work through the whole project process with us. We will not consider bids that relate only to part of the project, such as construction. We are not seeking designs at this stage either. The successful bidder will have demonstrated: 1. An understanding of small local councils - how we work and what we need; 2. An ability to work with small local councils through the entire process of this type of project from inception to completion; and 3. An ability to design and build skate parks of the type we want and which are valued by local communities and user groups.",,,"South West","45000000 ","Katrina Blee",office@corfemullen-pc.gov.uk,"Corfe Mullen Parish Council, Council Offices","Towers Way, Corfe Mullen",Wimborne,"BH21 3UA",England,"01202 698600",,"CMPC Wheel Park tender document.pdf ",,,04/12/2017,06/06/2018,06/10/2017,YES,KB/WP,No,No,No,NotSpecified,120000,,28/11/2017,119850,"[Bendcrete Leisure Ltd|7 Nuffield Way
Abingdon
OX14 1RL|NONE||No|No]",,04/12/2017,08/06/2018,"SingleTenderActionNonOJEU ",
WIRLC001-DN261957-64310957,Contract,"Wirral Borough Council",Awarded,2017-05-22T16:22:49Z,"Beechwood Skatepark","Wirral Council's Parks and Countryside Section has funding to construct a Skatepark in the Birkenhead Area of Wirral within the Beechwood Estate.  The site is located within an existing area of public open space in the Councils ownership which currently has a kick-about area and fitness equipment located adjacent.  

The works will involve constructing a concrete skatepark facility on the site of the existing kick-about area.   The site is currently fenced with ball retaining fencing (approx. 4m high) with 2 basketball posts/hoops and the surfacing is tarmacadam.  In order to fully utilise the available budget the existing fencing will be retained and the surfacing used as the foundation to build a concrete skatepark.",,,"North West","43325000 45212000 ","Ray Williams",tenders@wirral.gov.uk,"Old Market House, 4th Floor, West Wing","Hamilton Street",Birkenhead,"CH41 5AL",England,"+44 1516062000",http://www.wirral.gov.uk/,,,,29/05/2017,30/06/2017,15/05/2017,NO,,No,No,No,Works,80000,80000,22/05/2017,83070,"[Bendcrete Leisure Ltd|7 Nuffield Way, Abingdon, OX14 1RL|||No|No]",,29/05/2017,30/06/2017,"Restricted ",
DN213262,Contract,"Basingstoke & Deane Borough Council",Awarded,2016-12-19T11:25:37Z,"TENDER FOR THE DESIGN, SUPPLY AND INSTALLATION OF A SKATEPARK UNDER ESPO FRAMEWORK AGREEMENT 115","Contract Award Notice for DESIGN, SUPPLY AND INSTALLATION OF A SKATEPARK UNDER ESPO FRAMEWORK AGREEMENT 115.

Basingstoke and Deane Borough Council ('the Council') is seeking to provide an innovatively designed new skate park facility at Rooksdown Park, Rooksdown, Basingstoke.  The park is shown in location plan (Appendix 1).

The aim of the skate park is to engage the teenage population of Rooksdown as well as new and experienced skaters within the local community. In addition, provision of the facility should fully utilise the fixed budget of £130,000 provided by the Council.
The requirement is for the design, supply and installation of a skate park.

The Council utilised an electronic tendering tool to manage this procurement and communicate with Tenderers.  Accordingly, there were no hard copy documents issued to Tenderers and all communications with the Council, including the submission of Tenderers' Responses, were conducted via the ProContract system, which can be accessed using the following link:
	
https://sebp.due-north.com/",,,"South East","22314000 37416000 43325000 45000000 ",,procurement@basingstoke.gov.uk,"Civic Offices","London Road",Basingstoke,"RG21 4AH",England,,,,"https://sebp.due-north.com/ ","The Council utilised an electronic tendering tool to manage this procurement and communicate with Tenderers.  Accordingly, there were no hard copy documents issued to Tenderers and all communications with the Council, including the submission of Tenderers' Responses, were conducted via the ProContract system, which can be accessed using the following link:
	
https://sebp.due-north.com/",01/02/2017,01/08/2017,19/12/2016,NO,,No,No,No,Works,130000,130000,19/12/2016,130000,"[Bendcrete Leisure Ltd|7 Nuffield Way, Abingdon, Oxfordshire, OX14 1RL, United Kingdom|||No|No]",,01/02/2017,01/08/2017,"Restricted ",
"EBCT 219 (DN112350)",Contract,"Erewash Borough Council",Awarded,2016-02-17T15:25:59Z,"The Supply and Installation of a Concrete Wheeled Sports Area at Kirk Hallam Playing Fields, Windsor Crescent, Kirk Hallam, Derbyshire","This tender is for the design, supply and installation of a new concrete Wheeled Sports Area at Kirk Hallam Playing Fields, Windsor Crescent, Kirk Hallam, Derbyshire. The new facility must be suitable for all common wheeled sports, including skateboards, roller skates, inline skates, BMX cycles and scooters. An important consideration will be accessibility and inclusivity and the facility must cater for all ages and abilities including those with disabilities. It must also cater for all skill levels, from beginners through to advanced users. An access path must also be provided.

This project is being funded by the Landfill Communities Fund (WREN), Erewash Borough Council and Kirk Hallam Big Local. The total budget available for this project is £130,000 (excluding VAT). This is a fixed budget. Any bids received over this amount will be rejected and not considered further.

The contractor must be able to commence construction within 5 weeks of an order being placed. All works must be completed by Friday 5 August 2016.",,,"East Midlands","45000000 ","Eloise Keeble",eloise.keeble@erewash.gov.uk,"Town Hall","Wharncliffe Road",Ilkeston,"DE7 5RP",England,,,,"www.eastmidstenders.org ","Please note, Contractors wishing to express interest and obtain the tender documentation, must do so by 4pm on 7 March 2016  However, it is recommended that you express interest and obtain the documentation well before this time to allow sufficient time to prepare and submit a comprehensive response. The deadline for completed tender returns is 12pm on 16 March 2016. Select the ‘apply online’ link in the bottom right hand corner of this notice, this will transfer you to the Councils e-tendering system https://www.eastmidstenders.org  where you can express interest and obtain the tender documents. ",11/04/2016,05/08/2016,16/03/2016,NO,,Yes,Yes,No,Works,130000,130000,03/05/2016,130000,"[Bendcrete Leisure Ltd|TBAC Business Centre
Nuffield Way, Abingdon, OX14 1RL|||No|No]",,11/04/2016,05/08/2016,"Open ",
801503438,Contract,"Leeds City Council",Awarded,2015-04-16T07:29:13Z,"Acre Road Skate Park Middleton","Design
				and construction of a new skatepark",,,"Yorkshire and the Humber","37410000 37535100 37535200 37535210 37535240 45212220 92000000 ","Julie Brennen",julie.brennen@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",UK,"0113 3952451","https://www.yortender.co.uk/procontract/supplier.nsf
		",,"https://www.yortender.co.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9RPH-447AF9
			 ",,06/04/2015,29/05/2015,21/01/2015,NO,,No,No,No,Works,0,,04/03/2015,71250,"[Bendcrete Leisure Ltd|St George House, 2nd Floor, 40 Great George Street, Leeds, West Yorkshire, LS1 3DL|||No|No]",,06/04/2015,29/05/2015,"NotSpecified ",
