"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN400879-24249158,Contract,"Bristol City Council",Awarded,2019-03-27T12:45:28Z,"Bibliotheca Library self-service kiosks","Bibliotheca Library self-service kiosks - support and maintenance",,,"South West","72000000 ","Kate Murray",kate.murray@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR","United Kingdom",,https://www.bristol.gov.uk/,,,,01/04/2019,31/03/2020,19/03/2019,NO,,Yes,No,No,Services,29959,29959,26/03/2019,29959,"[Bibliotheca|SK8 7BS|NONE||Yes|No]","Ms Lindsay Coupland",01/04/2019,31/03/2020,"Other ",
BRISTOLCC001-DN461384-88563717,Contract,"Bristol City Council",Awarded,2020-03-11T12:40:54Z,"LIBRARY SOLUTIONS AND SELF-SERVICE TECHNOLOGY","LIBRARY SOLUTIONS AND SELF-SERVICE TECHNOLOGY",,,"South West","72000000 ",,george.rans@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR",England,,https://www.bristol.gov.uk/,,,,01/03/2020,28/02/2025,31/05/2019,NO,,No,No,No,Products,320000,320000,15/01/2020,320000,"[Bibliotheca|SK8 7BS|NONE||No|No]",,01/03/2020,28/02/2025,"NotApplicable ",
STHEL001-DN460325-27811151,Contract,"St.Helens Council",Awarded,2020-03-11T00:00:00Z,"Self-Serve Solution for St Helens Library Services","St Helens Council is seeking to locate a new library within The World of Glass, Chalon Way East, St Helens, WA10 1BX on both the ground and first floors. The site currently accommodates a visitor attraction which celebrates both the Borough's glass heritage and wider social history. The priority is to establish a library within the current building footprint without any significant internal reconfiguration. On the ground floor, the Library will occupy a discrete area (circa 219m2). This space will accommodate a lending library and on the mezzanine level, a computer suite with printing facilities.  Space in the building is at a premium and the ambition is to allow for spaces to be reconfigured to allow a variety of uses.  St Helens Library Service does not currently have any self-service facilities and is looking to install an RFID-enabled self-service kiosk for St Helens Library users to check out and return books without library staff intervention.
",,,"North West","30000000 72000000 ","Joanne Waddilove",joannewaddilove@sthelens.gov.uk,"Town Hall","Victoria Square","St Helens","WA10 1HP","United Kingdom","+44 1744676788",http://www.sthelens.gov.uk,,,,01/03/2020,28/02/2022,13/02/2020,NO,,Yes,No,No,Products,70000,70000,10/03/2020,42000,"[Bibliotheca|SK8 7BS|NONE||No|No]","Ms Lindsay Coupland",17/03/2020,16/03/2022,"Open ",
WIGN001-DN438781-47408181,Contract,"Wigan Council",Awarded,2019-11-13T12:50:17Z,"Library Self Service Equipment and Associated Services","Library Self Service Equipment and Associated Services - The Council is looking to procure a replacement self-service solution for the fifteen libraries in the Wigan Borough.  Interested parties must be registered on the Chest Procurement Portal https://www.the-chest.org.uk/",,,"North West","39155100 92511000 ","Beverley Smith",beverley.smith@wigan.gov.uk,"Town Hall","Library Street",Wigan,"WN1 1YN","United Kingdom","+44 1942827512",http://www.wigan.gov.uk/,,,,11/11/2019,10/11/2024,22/10/2019,NO,,No,No,No,Services,80000,100000,08/11/2019,99215,"[Bibliotheca|SK8 7BS|NONE||No|No]",,11/11/2019,10/11/2022,"NotApplicable ",
NSOMS001-DN424967-98103251,Contract,"North Somerset Council",Awarded,2019-10-28T14:09:07Z,"Radio Frequency Identification (RFID) Self-Service Kiosks and Maintenance","North Somerset Council is seeking a supplier to supply and install 16-18 new RFID self-service kiosks across 11 libraries in North Somerset, along with the required associated hardware, software and maintenance. All kiosks need to be installed by 31 January 2020 with a seven-year contract for maintenance. We anticipate tender documents will be available on the Supplying The South West online portal (www.supplyingthesouthwest.org.uk) for suppliers to download and complete from 31 July 2019.",,,"South West","30230000 48160000 92511000 39155100 72212160 ","Alice Griffin",alice.griffin@n-somerset.gov.uk,"Town Hall","Walliscote Grove Road",Weston-super-Mare,"BS23 1UJ",England,"+44 1275888179",http://www.n-somerset.gov.uk/,,,,11/10/2019,31/01/2027,02/09/2019,NO,,Yes,No,No,Services,0,,14/10/2019,202800,"[Bibliotheca|Bibliotheca Ltd, Landmark House, Station Road, Cheadle Hulme, Stockport, SK8 7BS|NONE||No|No]",,28/10/2019,31/03/2027,"Open ",
NYCC001-DN368842-14059136,Contract,"North Yorkshire County Council",Awarded,2019-04-18T10:19:41Z,"Supply and Maintenance of Self Service Library Kiosks","The Authority wishes to award a contract for the supply and maintenance of library service kiosks.
NYCC has 42 libraries, servicing the needs of the residents of North Yorkshire. The county has core, hybridand community run premises, all of which benefit from self-service library kiosk machines. Across the libraries there are 62 kiosks and the intention is to re-procure these. All devices are reaching 'end of life' and need to beupdated to ensure they are still fit for purpose and meet future needs.",,"DL7 8AD","Any region","92000000 92500000 30100000 ","Rebecca Shenton",procurement@northyorks.gov.uk,"North Yorkshire County Council","County Hall",Northallerton,"DL7 8AD","United Kingdom","+44 1609532087",http://www.northyorks.gov.uk/,,,,01/04/2019,31/03/2026,02/01/2019,NO,,No,No,No,Products,750000,850000,18/03/2019,915000,"[Bibliotheca|SK8 7BS|NONE||No|No]","Ms Lindsay Coupland",01/04/2019,31/03/2026,"Open ",
BIP379441313,Contract,"London Borough Of Bexley",Awarded,2019-02-28T12:51:02Z,"4971 - Libraries RFID replacement -  LB Bexley & Tower Hamlets","The London Boroughs of Bexley and Tower Hamlets are looking for a supplier to install new self service RFID points and RFID tagging plates in its libraries and to then then provide a support and maintenance service either in the form of an annual contract or warranty arrangement. 
      Equipment is required at 10 locations in Bexley and 8 locations in Tower Hamlets.",,,London,"30238000 ","SUPPORT TEAM",procurement@bexley.gov.uk,"LONDON BOROUGH OF BEXLEY","CIVIC OFFICES",BEXLEYHEATH,"DA6 7AT",UK,+442030455300,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=379441313 ",,25/02/2019,31/12/2029,20/02/2019,NO,,Yes,Yes,No,Services,780000,,20/02/2019,780000,"[Bibliotheca|Landmark House, Station Road
        Cheadle Hulme
        Greater Manchester
        Stockport
        SK8 7BS|NONE||No|No]",,25/02/2019,31/12/2029,"Open ",
"UCA/2018/LSS/RFID - AWARD",Contract,"University for the Creative Arts",Awarded,2019-01-10T09:13:53Z,"UCA RFID Self-service, Security Solutions and Associated Services - AWARD","The University for the Creative Arts is currently out to tender for the Library RFID Self-Service, Security Solutions and Associated Services
      
      Suppliers that would like to take part in this tender process are invited to 'Express Interest'  until 9/11/2018 upon which they will be given access to the full tender documentation through this e-tendering system. 
      
      
      Expressions of interest will only be accepted until 9/11/2018
       
      Tender submissions must be received by  12pm 9/11/2018
      
      Please allow sufficient time to make your return as late returns will not be permitted.
      
      Any questions relating to this tender should be made via correspondence on the website and can be addressed to the main contact as shown in the details above.",,"GU9 7DS","South East","30238000 79995000 92511000 48161000 48160000 39155100 ","ADMINISTRATOR Jo James",jjames4@uca.ac.uk,Farnham,Surrey,UK,"GU9 7DS",UK,"01252 892638",,,,,02/04/2019,01/04/2023,09/11/2018,NO,,Yes,No,No,Services,0,,10/12/2018,0,"[bibliotheca|Landmark House , Station Road , Cheadle Hulme, United Kingdom, SK8 7BS|NONE||No|No]","Lindsay Coupland",02/04/2019,01/04/2023,"Open ",
BRISTOLCC001-DN337084-57503341,Contract,"Bristol City Council",Awarded,2018-04-30T14:38:22Z,"Library Self Serve","The support and maintenance of 35 self-service library kiosks, service desk RFID stations and security sails. This system interconnects with the LibrariesWest Library Management System and Capita chip & PIN service plus a platform for the self-service Netloan public access PC booking system. The contract covers hardware, software and licences.
This is a system that enables the public to issue and discharge books and other items themselves, currently this takes over 90% of our basic transactions thus releasing staff for other duties. It also allows the libraries to operate in staff-less mode. This project was agreed at Cabinet in 2010.",,,"South West","30238000 ","Kate Murray",kate.murray@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,18/03/2018,31/03/2019,15/03/2018,NO,,Yes,Yes,No,Products,29959,29959,16/03/2018,29959.21,"[Bibliotheca|SK8 7BS|NONE||No|No]","Mrs Joanne Austin",18/03/2018,31/03/2019,"Open ",
A7MS-P6IMM6-A7MU-DSE8E6,Contract,"Rotherham MBC",Awarded,2016-03-21T16:07:18Z,"15-134 E-Books","We are looking to review the current situation of providing E-books into Rotherham Metropolitan Borough Council. The E-Books agreement will be for one year with the option to extend for a further year at RMBC's discretion. RMBC currently have an efficient e-books service in our public libraries. RMBC require this service to continue within libraries, this is to include the management of current stock and the support and guidance of managing an extensive collection of e-books. RMBC have a collection of books that are currently provided by Overdrive Inc. Rotherham Metropolitan Borough Council has a population of 263,000 that could potentially use this service. RMBC require a digital library website that allows customers 24/7 online access to a digital collection of eBooks, where they select from a wide catalogue of titles.",,"S60 1AE","Yorkshire and the Humber","22113000 30230000 30238000 48160000 48161000 72212160 92500000 92510000 92511000 ","Laura Jevons",laura.jevons@rotherham.gov.uk,"Riverside House","Main Street",Rotherham,"S60 1AE",UK,"01709 255313",,,,"Instructions to Suppliers: Please download and complete the provided RFQ document. Information about delivery location: Please download and complete the provided RFQ document. ",01/06/2016,31/05/2017,23/03/2016,NO,,No,No,No,Services,31000,31000,10/05/2016,31000,"[Bibliotheca|Landmark house, Station Road, SK8 7BS, Cheshire|||No|No]",,01/06/2016,31/05/2020,"Open ",
