"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN389443-18513714,Contract,"Bristol City Council",Awarded,2019-01-24T21:36:17Z,"Finance Improvement Plan","Call-off from BLOOM Neutral Vendor Framework - evaluation managed via BLOOMs own portal - this record is created for the purpose of local record and publishing of notice.",,,"South West","66171000 ","Jacqueline Miller",jacqueline.miller@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173521181",https://www.bristol.gov.uk/,,,,24/01/2019,31/03/2020,23/01/2019,NO,,No,No,No,Services,26000,26000,24/01/2019,26000,"[Bloom Procurement Services Ltd|NE1 3DY|NONE||Yes|No]","Mailbox Bloom Tenders",25/01/2019,31/03/2020,"Open ",
D04931,Contract,"South West London & St. Georges Mental Health NHS Trust",Awarded,2019-10-09T12:02:48Z,"Smarter Ways of Working Programme Consultancy","Provide professional IT consulting services to review current working practises and implement appropriate current best practise on the 'Smarter ways of working' programme and roll out across the trust from July 19 - December 2019 RSW services Ltd procured via Bloom Framework",,,London,"72221000 ",,matthew.neal@swlstg.nhs.uk,"Springfield Hospital, 61 Glenburnie Road",,LONDON,SW177DJ,England,02035135479,,,,,01/07/2019,31/12/2019,30/06/2019,NO,,Yes,No,No,Services,45600,,30/06/2019,45600,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]",,01/07/2019,31/12/2019,"CallOffFromFrameworkAgreement ",
D03993,Contract,"South West London & St. Georges Mental Health NHS Trust",Awarded,2017-10-13T11:40:15Z,"Professional ICT consulting services","To provide professional ICT consulting services as continued IM&T strategic support  for IT requirement in the Estate modernisation programme",,,London,"72000000 ","Ashleigh Bertram",ashleigh.bertram@swlstg.nhs.uk,"South West London and St George's Mental Health NHS Trust",,London,"SW17 7DJ",England,,,,,,01/10/2017,01/04/2018,01/08/2017,NO,,Yes,No,No,Services,95200,,01/08/2017,95200,"[Bloom Procurement Services Ltd|Bloom Procurement Services Ltd
Sunderland Software Centre
Sunderland
SR1 1PB|||No|No][Bloom Procurement Services Ltd|Bloom Procurement Services Ltd
Sunderland Software Centre
Sunderland
SR1 1PB|||No|No]",,01/09/2017,01/04/2018,"CallOffFromFrameworkAgreement ",
March/fhf/gg/19,Contract,"Fenland District Council",Awarded,2019-10-22T14:26:46Z,"Future High Street Fund Consultancy","Government Future High Street Fund Consultancy for the town of March, Cambridgeshire.   Procured using competition via Bloom (NEPRO) framework.",,,"East of England","73220000 ","Shaun Beales",Sbeales@fenland.gov.uk,"County Road",,March,PE158NQ,England,01354622429,,,,,09/09/2019,31/08/2020,13/08/2019,NO,,Yes,No,No,Services,149044,,03/09/2019,0,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]","Sarah Willis",09/09/2019,31/08/2020,"CallOffFromFrameworkAgreement ",
IAMPAUG2019,Contract,"SUNDERLAND CITY COUNCIL",Awarded,2019-08-07T09:03:52Z,"IAMP Construction Management Services","Awarded contract via Bloom Procurement Services",,,"North East","71530000 ","Michelle Soppitt",michelle.soppitt@sunderland.gov.uk,"Burdon Road",,SUNDERLAND,SR27DN,England,"0191 5612368 ext 2368",,,,,12/08/2019,11/08/2021,29/07/2019,NO,,No,No,No,Services,119756,,29/07/2019,119756,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]","Sarah Willis",12/08/2019,11/08/2021,"CompetitiveQuotationNonOJEU ",
MRD001-DN480566-79847647,Contract,"Meridian Water - London Borough of Enfield",Awarded,2020-11-02T16:59:25Z,"Meridian Water Strategic Infrastructure Consultant appointment Civil Engineering services","Call off from Bloom framework of Arup consultants for civil engineering services for the infrastructure services contract",,,London,"71320000 71311000 98112000 ","Doreen Manning",doreen.manning@enfield.gov.uk,"Civic Centre","Silver Street",Enfield,"EN1 3ES",England,"+44 2083791477",https://www.meridianwater.co.uk/,,,,01/06/2020,30/10/2020,20/05/2020,NO,,Yes,No,No,Services,116160,116160,28/05/2020,116160,"[Bloom Procurement Services Ltd|NE8 2ET|NONE||Yes|No]","Ms Lesley Kippax",01/06/2020,30/10/2020,"DirectAward ",,12:00
CS20368,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-07T11:33:34Z,"TFS Architecture and Engineering Enhancements","***Please note this is an award notice, not a call for competition***

Over the next two to three years, UK Research and Innovation (UKRI) will be replacing its existing grant systems, with a new service called the UKRI Funding Service (TFS). It will be based on a new, digital platform that will make it simpler and quicker for researchers, research offices and innovators to submit funding applications.

All UKRI funding opportunities, of every type and from any organisation (academic or business), will be processed through the TFS service. 

Due to different reasons, TFS has been developed at a slower pace than anticipated. In order to provide an independent perspective, UKRI are wanting to contract an external supplier to provide expertise who are not related to the current supplier to review the following:
•	perform an in-depth analysis of the system architecture and coding standards
•	will propose alternative improved development approaches where needed
•	will create proof of concepts to demonstrate preferred patterns and alternatives 
•	help with the actual implementation involving the existing team as required

This contract was awarded via direct award against the Bloom NEPRO³ Professional Services Solution framework.",,"SN2 1FL",,"72130000 72200000 72300000 72400000 72500000 72600000 72700000 72800000 ","Ben Oborne",Professionalservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,01793867004,www.uksbs.co.uk,,,,05/10/2020,05/01/2021,02/10/2020,NO,,Yes,Yes,No,Services,549695,,02/10/2020,549695,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]","Sarah Willis",05/10/2020,05/01/2021,"CallOffFromFrameworkAgreement ",,00:00
DN499278,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2020-09-16T14:42:18Z,"PM & QS services for Redcar Station","Project management & Cost consultancy services for Redcar Station project - delivered under Bloom NEPRO3 framework by Identity Consult",,,"North East","71000000 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,,,,,,01/10/2020,30/09/2023,03/08/2020,NO,,Yes,Yes,No,Services,110000,,15/09/2020,110000,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]",,01/10/2020,30/09/2023,"CallOffFromFrameworkAgreement ",,12:00
DN434993,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2020-02-04T11:02:01Z,"Planning Consultancy for Coatham Development & Cinema Redevelopment","Award of contract to Bloom framework to appoint Fairhurst to deliver planning consultancy services for the Coatham Development & the Regent Cinema Redevelopment .",,,"North East","71310000 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,,,,,,11/09/2019,10/09/2020,19/08/2019,NO,,Yes,Yes,No,Services,0,,10/09/2019,77715,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|No|No]","Sarah Willis",11/09/2019,10/09/2020,"CallOffFromFrameworkAgreement ",
DN422603,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2019-07-17T08:30:13Z,"Project Management Services","Cohesion Consult via Bloom for Project Management Services to deliver elements of the Area Growth Plan projects",,,"North East","71000000 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,,,,,,03/05/2019,16/12/2021,15/04/2019,NO,,No,Yes,No,Services,120000,,24/04/2019,60000,"[BLOOM PROCUREMENT SERVICES LTD|Rotterdam House 116 Quayside
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE1 3DY
GB|COMPANIES_HOUSE|08045123|Yes|No]",,03/05/2019,16/12/2021,"CallOffFromFrameworkAgreement ",
