"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
191203DA,Contract,"KARBON HOMES LIMITED",Awarded,2020-07-20T16:13:24Z,"Multiple Network Managed Services *** AWARD***","""Status: Awarded""

A contract award notice following a direct award under Procurement for Housing Framework for electric payment services has been awarded to Capita Business Services Limited.",,,"North East","66000000 ","Hannah Delroy",hannah.delroy@karbonhomes.co.uk,"Gosforth Park Avenue, Gosforth Business Park",,NEWCASTLE-UPON-TYNE,NE128EG,England,"0191 223 8201",,,,,01/07/2020,30/06/2022,31/05/2020,NO,,Yes,Yes,No,Services,60000,,30/06/2020,60000,"[Capita Business Services Limited|30 Berners Street, London, England, W1T 3LR|COMPANIES_HOUSE|02299747|No|No]",,01/07/2020,30/06/2022,"CallOffFromFrameworkAgreement ",
BFDMDC001-DN412443-75047205,Contract,"Bradford Metropolitan District Council",Awarded,2019-06-24T15:11:51Z,"Library Management System (LMS) - (for VEAT purposes only)","This is a VEAT notice to notify the market that Bradford Council will continue with this contract with Capita Business Services Limited for 1 year with the option to extend for a further 12 months.This contract covers support & maintenance and subscription of the Talis Alto Library Management System (LMS) for the library computers.

The LMS was put in place in 2008 when the Counci's IT Services was outsourced.  A full tendering and procurement exercise was carried out at the time. The contract was novated to the Council late 2015 when the outsourced contract ended and IT Services was brought back in-house.

The current LMS continues to be fit for purpose with bespoke solutions put in place over the years.  However, a collaborative approval to a regional procurement for a LMS is progressing and this approach will be given consideration once complete.",,,"Yorkshire and the Humber","48000000 72000000 ","Nita Patel",nita.patel@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX","United Kingdom",,http://www.bradford.gov.uk/bmdc,,,,25/06/2019,24/06/2020,03/06/2019,NO,,No,No,No,Services,48600,48600,24/06/2019,97200,"[Capita Business Services Limited|Knights Court, Solihull Parkway, Birmingham Business Park, B37 7YB|NONE||No|No]",,25/06/2019,24/06/2021,"NegotiatedWithoutCompetition ",
EALING001-DN231422-33608568,Contract,"London Borough of Ealing",Awarded,2018-10-23T13:46:08Z,"Out of Hours Caller Call Handling Services Contract Reference 1157","Award of national out of hours telephony contract for Councils and Housing Associations, with the London Borough of Ealing as lead client, to Capita Business Services Limited",,,"Any region","79510000 64214200 79311210 ","Vincent Hunt",huntv@ealing.gov.uk,"Ealing Council","Perceval House, 14/16 Uxbridge Road",Ealing,"W5 2HL","United Kingdom","+44 7970659846",http://www.ealing.gov.uk,,"https://procontract.due-north.com/Advert?advertId=fe673b6f-acdc-e611-80da-005056b64545 ",,24/09/2018,23/09/2025,22/02/2017,NO,,No,No,No,Services,12250000,24500000,13/09/2018,12250000,"[Capita Business Services Limited|30 Berners Street, London, England, W1T 3LR|NONE||No|No]","National out of hours telephony service",24/09/2018,23/09/2025,"CompetitiveDialog ",
"17-169 Capita SIMS System Support and Maintenance",Contract,"ROTHERHAM METROPOLITAN BOROUGH COUNCIL",Awarded,2018-05-03T13:54:03Z,"17-169 Capita SIMS System Support and Maintenance","Rotherham Borough Council has entered into a contract with Capita Business Services Ltd for the support and maintenance of the Capita SIMS System for a fixed term of 1 year.

The contract has been direct awarded to Capita Business Services Ltd via the Hertfordshire County Council/Herts for Learning Framework Ref - HCC1306080. 

This is for support and maintenance of the below modules: 
•	Northern SNUG
•	Dinner Money Annual Entitlement
•	LA 3 Tier Primary Sector Charge
•	LA 3 Tier Secondary Sector Charge
•	3 System Team Charge
•	Lesson Monitor - Annual Entitlement
•	Lesson Monitor (Primary and Special) - Annual Entitlement",,,"Yorkshire and the Humber","48000000 72260000 72500000 ","Matthew Everatt",matthew.everatt@rotherham.gov.uk,"Riverside House",,ROTHERHAM,"S60 1AE",England,"01709 334119",,,,,01/04/2018,31/03/2019,29/03/2018,NO,,Yes,No,No,Services,58000,58000,29/03/2018,58000,"[CAPITA BUSINESS SERVICES LIMITED|BARNARDS INN
EC4A 1EN
GB|COMPANIES_HOUSE|02299747|No|No]",,01/04/2018,31/03/2019,"Other Direct Award via Framework",
"17-164 Capita ONE System Support and Maintenance",Contract,"ROTHERHAM METROPOLITAN BOROUGH COUNCIL",Awarded,2018-04-03T09:25:10Z,"17-164 Capita ONE System Support and Maintenance","Rotherham Borough Council has entered into a contract with Capita Business Services Ltd for the support and maintenance of the Capita ONE System for a fixed term of 3 years.  The contract has been direct awarded to Capita Business Services Ltd via the KCS Framework Ref - Y16018.

This is for support and maintenance of the below modules:

•	ONE Bases v4 - AM
•	SQL Standard CPU Runtime - AM
•	ONE Pulse - AM
•	ONE Admission and Transfers Online v4 - AM
•	ONE CSS v4 - AM
•	ONE Transport v4 - AM
•	ONE Attendance AM
•	Oracle Processor Licence - AM
•	ONE Admissions and Transfers v4 - AM
•	ONE B2B Student v4 - AM
•	ONE System - AM
•	Hearing & Vision Impaired - AM
•	ONE Web Server Subscription
•	ONE Exclusions - AM
•	ONE SEN V4 - AM",,,"Yorkshire and the Humber","48000000 72260000 72500000 ","Matthew Everatt",matthew.everatt@rotherham.gov.uk,"Riverside House",,ROTHERHAM,"S60 1AE",England,"01709 334119",http://www.rotherham.gov.uk/,," ",,01/04/2018,31/03/2021,29/03/2018,NO,,Yes,No,No,Services,319000,319000,29/03/2018,319000,"[CAPITA BUSINESS SERVICES LIMITED|BARNARDS INN
EC4A 1EN
GB|COMPANIES_HOUSE|02299747|No|No]",,01/04/2018,31/03/2021,"Other Direct Award via Framework",
NPSBARNS001-DN417786-23471923,Contract,"Barnsley Metropolitan Borough Council",Awarded,2019-06-21T13:02:50Z,"A074 - Capita Academy - Capita Resource for ARUM Service Improvements","Bulk purchase of consultancy days from Capita to undertake service improvements for ARUM in Debt Recovery of Revs / Benefits (Finance Directorate)",,,"Any region","48000000 72000000 ","Andrew Bottomley",andrewbottomley@barnsley.gov.uk,"Gateway Plaza","Off Sackville Street",Barnsley,"S70 2RD",England,"+44 1226773336",https://www.yortender.co.uk,,,,19/06/2019,19/06/2020,01/06/2019,NO,,No,No,No,Services,70000,70000,18/06/2019,70000,"[Capita Business Services Limited|30 Berners Street, London, W1T3LR|NONE||No|No]","Capita Resource for ARUM Service Improvements",19/06/2019,19/06/2020,"Other ",
NYCC001-DN470316-94187975,Contract,"North Yorkshire County Council",Awarded,2020-03-11T11:01:56Z,"Support and Maintenance - Aspire Capita One","Support and Maintenance - Aspire Capita One",,,"Yorkshire and the Humber","72000000 ","Katie Longstaff",procurement@northyorks.gov.uk,"North Yorkshire County Council","County Hall",Northallerton,"DL7 8AD","United Kingdom","+44 1609536831",http://www.northyorks.gov.uk/,,,,01/04/2020,31/03/2021,31/01/2020,NO,,Yes,No,No,Services,28252,28252,01/02/2020,28252,"[Capita Business Services Limited|BA14 8YX|NONE||No|No]","Ms Bid Team",01/04/2020,31/03/2021,"Other ",
20181161727,Contract,"Sunderland City Council",Awarded,2019-06-07T19:07:26Z,"Capita One Support and Maintenance Contract","Support and Maintenance of the Capita One Suite Software.",,,"North East","48000000 ","Virginia Ainsley",virginia.ainsley@sunderland.gov.uk,"Burdon Road",,Sunderland,SR27DN,England,"0191 561 2438",,,,,01/04/2018,31/03/2023,16/03/2018,NO,,No,No,No,Services,434654,,19/03/2018,434654,"[Capita Business Services Limited|61 - 71 Victoria Street, Westminster, London, SW1H 0XA.|NONE||No|No]",,01/04/2018,31/03/2023,"CallOffFromFrameworkAgreement ",
LPOOL001-DN402312-60585506,Contract,"Liverpool City Council",Awarded,2019-04-16T14:59:14Z,"Capita SIMS 2019-20","Capita SIMS Management Information System include Core/Curriculum & FMS Systems for Liverpool Primary & Secondary Schools. This contract is for continued support and maintenance until 2020 with an option to extend for 12 additional months whilst Liverpool Schools go to Market for a longer term Management Information Systems (MIS) Contract for the Schools.",,,"North West","48600000 ","Paul Christie",paul.christie@liverpool.gov.uk,"4th Floor","Cunard Building",Liverpool,"L3 1DS",England,"+44 1512330591",http://www.liverpool.gov.uk,,,,01/04/2019,31/03/2020,28/03/2019,NO,,No,No,No,Services,550000,550000,29/03/2019,550000,"[Capita Business Services Limited|30 Berners Street London|NONE||No|No]","Peter Metcalf",01/04/2019,31/03/2020,"DirectAward ",
BRISTOLCC001-DN399606-99373138,Contract,"Bristol City Council",Awarded,2019-03-20T15:21:12Z,"renewal of Capita contract relating to 'eStart' database","Six month renewal of Capita contract relating to the 'eStart' database",,,"South West","72320000 ","Scott Morris",Scott.Morris@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR",England,,https://www.bristol.gov.uk/,,,,01/04/2019,30/09/2019,01/03/2019,NO,,Yes,No,No,Services,9700,9700,19/03/2019,9700,"[Capita Business Services Limited|BA14 8YX|NONE||Yes|No]","Mr Colin Brady",01/04/2019,30/09/2019,"Other ",
