"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
REC-2018-252,Contract,"FUTURE CITIES CATAPULT",Awarded,2018-12-03T17:00:28Z,"Recruitment and Services of HR Resource","Recruitment and Supply of HR Resource for a 6 month period.",,,London,"79610000 79620000 ","Nathan Whittaker",procurement@futurecities.catapult.org.uk,"1 Sekforde Street",,LONDON,"EC1R 0BE",England,,,,,,13/11/2018,30/04/2019,30/10/2018,NO,,Yes,Yes,No,Products,80000,,07/11/2018,95000,"[Capita Resourcing Limited|30 Berners Street
LONDON
W1T 3LR
GB|COMPANIES_HOUSE|03949686|No|No]",,13/11/2018,30/04/2019,"CompetitiveQuotationNonOJEU ",
888855226,Contract,"Leeds City Council",Awarded,2015-09-21T15:39:11Z,"e Bulk on-line DBS application system","Bulk on line DBS checks undertaken on behalf of the authority by Capita Recruitment Vetting Service",,,"Yorkshire and the Humber","79000000 ","Anne Clough",anne.clough@leeds.gov.uk,"Belgrave House",,Leeds,"LS2 8WQ",UK,"0113 2243468",https://www.yortender.co.uk/procontract/supplier.nsf,,"https://www.yortender.co.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9XYL-HZP8P9 ",,31/08/2013,05/11/2015,31/08/2013,NO,,No,No,No,Products,0,,31/08/2013,65000,"[Capita Resourcing Limited|Belgrave House, Leeds, West Yorkshire, LS2 8WQ|||No|No]",,31/08/2013,05/11/2015,"NotSpecified ",
"UK SBS PS17224",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-01-25T14:09:10Z,"PS17224 Executive Search","This is not a call for competition. This was ran through the HMRC DPS 2016 Executive Search Selection and Assessment Lot 1. 

Executive Search for the following Position: Competition and Markets Authority, Chair",,,"Any region","79600000 ","Chloe Smith",chloe.smith@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,"01793 425080",,,,,10/11/2017,09/02/2018,09/11/2017,NO,,No,No,No,Services,13350,,06/11/2017,13350,"[Capita Resourcing Limited|71 VICTORIA STREET
LONDON
SW1H 0XA
GB|COMPANIES_HOUSE|03949686|No|No]","Neal Todosijczuk",10/11/2017,09/02/2018,"CallOffFromDynamicPurchasingSystem ",
PRF_01_03,Contract,"Cabinet Office",Awarded,2019-09-26T09:40:58Z,"Contract for Permanent Recruitment","Executive search, including candidate handling, for role of CEO Crown
Prosecution Service",,,"Any region","79000000 ","Emma Lawson",emma.lawson@cabinetoffice.gov.uk,"70 Whitehall",,LONDON,SW1A2AS,England,"07738 122261",,"PRF_01_03 - Redacted - Veredus DG CPS - signed.pdf ",,,10/02/2019,30/06/2019,10/01/2019,NO,,No,No,No,Services,26325,,10/01/2019,26325,"[CAPITA RESOURCING LIMITED|30 Berners Street
LONDON
W1T 3LR
GB|COMPANIES_HOUSE|03949686|No|No]",,10/02/2019,30/06/2019,"CallOffFromFrameworkAgreement ",
DN408040,Contract,"DEPARTMENT FOR INTERNATIONAL TRADE",Awarded,2019-07-19T15:40:36Z,"Executive Search Services for Trade Remedies Authority Chair Designate","The Department for International Trade requires a Service Provider to recruit a Chair Designate for the (to be established) Trade Remedies Authority Directors. Services to be delivered to stakeholders based in Reading and London (DIT Offices).",,,London,"79600000 ","Simran Khurmy",simran.khurmy@trade.gov.uk,"King Charles Street,Whitehall",,LONDON,SW1A2AH,England,,,,,,03/06/2019,03/10/2019,16/05/2019,NO,,Yes,Yes,No,Services,20000,,02/06/2019,20000,"[Capita Resourcing Limited|30 Berners Street
LONDON
W1T 3LR
GB|COMPANIES_HOUSE|03949686|No|No]","Neal Todosijczuk",03/06/2019,03/10/2019,"CallOffFromFrameworkAgreement ",
CSR/024-05,Contract,"H M GOVERNMENT CABINET OFFICE",Awarded,2018-11-26T11:04:23Z,"Contract Variation- Recruitment Surge Capacity- Video Assessors","Contract for Assessment services for an interview process that uses a video assessment platform.This will form part of the recruitment process for the Civil Service FS assessment system.

The contract period is extended for a maximum period of 12 months from 11 September 2018 to 21 August 2019 on an incremental rolling 3 monthly basis.

The Client shall provide 1 months' notice of termination of the contract.",,,"Any region","75000000 79000000 98000000 ","Emma Lawson",emma.lawson@cabinetoffice.gov.uk,"70 Whitehall",,LONDON,SW1A2AS,England,"07738 122261",,"181108_FINAL REDACTED_CSR024-05 Surge Video Assessors Service order.docx ",,,11/09/2018,21/08/2019,10/09/2018,NO,,No,No,No,Services,0,,10/09/2018,0,"[CAPITA RESOURCING LIMITED|30 Berners Street
LONDON
W1T 3LR
GB|COMPANIES_HOUSE|03949686|No|No]",,11/09/2018,21/08/2019,"OpenOJEU ",
CSR024,Contract,"H M GOVERNMENT CABINET OFFICE",Awarded,2018-11-23T16:31:52Z,"CSHR Recruitment Surge Capacity-  variation to contract form","This contract is to cover the supply of external recruitment services support in the form of individual campaign assistance, elements of the recruitment process activities and/or the facilitation of a full recruitment campaign in its entirety to support projected volume recruitment exercises.
In addition the following specific requirements were requested under this contract: 
•	Services providing Basic, Standard and Enhanced Security checks.
•	The provision of Assessors for Video Interview for Fast Stream recruitment.",,,"Any region","35000000 72000000 98000000 ","Emma Lawson",emma.lawson@cabinetoffice.gov.uk,"70 Whitehall",,LONDON,SW1A2AS,England,"07738 122261",,"181108_ FINAL REDACTED_CSHR Recruitment Surge Capacity Variation 3 (1) (1).docx ",,,22/08/2018,21/08/2019,21/08/2018,NO,,No,No,No,Services,0,,16/08/2018,0,"[Capita Resources Limited|6th Floor, 65 Gresham Street
London
EC2V 7NQ|NONE||No|No]",,22/08/2018,21/08/2019,"OpenOJEU ",
HOCS2B/00017,Contract,"MINISTRY OF DEFENCE",Awarded,2018-06-08T10:26:34Z,"Commercial Graduate Assessment Centres","Commercial Graduate Assessment Centres",,,"South West","79635000 ",,DefComrclCC-HOCS2b1@mod.uk,"Kentigern House",,Glasgow,"G2 8EX",Scotland,"0141 224 3375",,,"N/A ",,22/05/2018,21/05/2019,13/04/2018,NO,,No,No,No,Services,10000,130000,21/05/2018,0,"[CAPITA RESOURCING LIMITED|Kings Chase
LONDON
SW1H 0XA
GB|COMPANIES_HOUSE|03949686|No|No]",,22/05/2018,21/05/2019,"RestrictedOJEU ",
AAH/000614,Contract,"Nottingham Trent University",Awarded,2018-03-12T10:36:21Z,"Recruitment Services","Recruitment Services",,"NG1 4BU",,"79600000 ","Mark Lucas",mark.lucas@ntu.ac.uk,"Burton Street",,NOTTINGHAM,NG14GH,England,"0115 8488747",,,,,09/12/2016,10/12/2016,08/12/2016,NO,,No,No,No,Services,36000,,08/12/2016,79600000,"[Capita Resourcing Limited|Castlebridge Office Village, Nottingham, NG7 1LD|NONE||No|No]",,09/12/2016,10/12/2016,"SingleTenderActionNonOJEU ",
PS150247/2,Contract,"UK SHARED BUSINESS SERVICES LTD",Awarded,2017-03-09T13:04:27Z,"UK SBS PS150247 Head Hunting Requirement of 6 Contract Managers for UKTI","Requirement:
To head-hunt 6 commercial manager candidates for UKTI at G7 level for a two year fixed term located to work at UKTI’s head office, 1 Victoria Street, London.

Each contract manager will be in charge of a specific contract or contracts. They will be tasked with managing the contract in line with UKTI’s commercial strategy and contract management guidelines and to drive efficiencies by working with UKTI colleagues and suppliers.

Deliverables:
To supply good quality candidates from within or outside the civil service hired within the G7 2015 London pay band range for a two year fixed term.

Please Note – The candidates you will be providing will be hired directly by UK Trade & Investment, on a two year fixed term.

Deadlines:
To deliver the 6 contract manager candidates so that all are in place within their role by end March 2016.

Please refer to the attached ITQ document for further details.",,,London,"79610000 ","Alistair Staunton-Lambert",alistair.staunton-lambert@uksbs.co.uk,"North Star House, North Star Avenue",,Swindon,"SN2 1FF",England,,,"Bidder - Logging into Emptoris for the first time V1.0.pdf BIS - S2 - Services purchasing contract - high value V.3.pdf Bidder Training V1.0.pdf AW5.2 Price Schedule Template.xlsx PS150247 ITQ Invitation to Quote v2.pdf ",,"Please ensure any communication regarding the requirement is transmitted to UK SBS via the Emptoris system, as described below.

UK Shared Business Services eSourcing
 
 As part of the strategic alliance between UK Shared Business Services Ltd (UK SBS) and Crown Commercial Service (CCS), UK SBS can use the 


CCS eSourcing Suite for future procurements.
 
 If you have not yet registered on the eSourcing Suite, this can be done online at https://gpsesourcing.cabinetoffice.gov.uk by following the link ‘Register for CCS eSourcing’. Please note that, to register, you must have a valid DUNS number (as provided by Dun and Bradstreet) for the organisation which you are registering, who will be entering into a contract if invited to do so. 
 
 Once you have registered on the eSourcing Suite, a registered user can express an interest for a specific procurement. This is done by emailing ExpressionOfInterest@crowncommercial.gov.uk. 
 Your email must clearly state: the name and reference for the procurement you wish to register for; the name of the registered Bidder; and the name and contact details for the registered individual sending the email. 
 Crown Commercial Service will process the email and then enable the Bidder to access the procurement online via the e-Sourcing Suite. The registered user will receive a notification email to alert them once this has been done. 
 The Sourcing documents can then be accessed on the eSourcing Suite at: https://gpsesourcing.cabinetoffice.gov.uk using the instructions detailed in the Specification documents within Contracts Finder.
 
 As a user of the e-Sourcing Suite you will have access to Emptoris email messaging service which facilitates all messages sent to you and from you in relation to any specific RFX event. Please note it is your responsibility to access these emails on a regular basis to ensure you have sight of all relevant information.
 For technical assistance on use of the e-Sourcing Suite please contact Crown Commercial Service Helpdesk : Telephone: 0345 010 3503
 Training documents to support Bidders utilise Emptoris CCS eSourcing are available in the Contracts Finder Tender documents section. ",27/11/2015,31/03/2016,16/11/2015,YES,PS150247,Yes,No,No,Services,0,60000,07/12/2015,34000,"[Capita Resourcing Limited|Innovation Court, New Street, Basingstoke, RG21 7JB|||No|No]",,16/12/2015,31/03/2016,"Open ",
