"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
YPO001-DN352970-30861200,Contract,YPO,Awarded,2018-10-19T14:50:27Z,"YPO - 000920 The Supply of Interactive Technology","Lot 1 & 3: YPO are looking for providers to be appointed onto a Framework Agreement for the provision of Interactive Technology, to include but not limited to Interactive Panels, Large Format Non Touch Displays, Projectors, Digital Signage, Visualisers and Supporting hardware options to include: Height adjustable wall/floor systems, trolley based systems and flat standard wall mounts and Visitor Management Systems for use primarily in the education market.   Lot 2: YPO are looking for providers to be appointed onto a Framework Agreement for the provision of Interactive Technology, to include but not limited to Interactive Panels, Large Format Non Touch Displays, Projectors, Digital Signage, Visualisers and Supporting hardware options to include: Height adjustable wall/floor systems, trolley based systems and flat standard wall mounts for use primarily in the education market.",,,"Any region","30231310 38652100 45317000 50300000 92225000 ","Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE","United Kingdom","+44 1924885903",https://procontract.duenorth.com/register?ReadForm,,,"For more information please email the contacts stated above. To see the documentation, please go online to: https://tendering.ypo.co.uk/procontract/ypo/supplier.nsf/frm_supplier_registration_wizard_introduction?openform and 'Register as a Supplier'. 1. Click on the appropriate tender under 'Latest Opportunities' 2. Click the Register Interest button which is located under the Main Contract Detail 3. Click on 'ok' 4. Return back to the home page and select the My Opportunities link, located on the right hand side of your home page. 5. Select the link to the tender 6. Select view stage detail and use the response wizard to start answering questions online.
",02/10/2018,01/10/2022,13/09/2018,NO,,Yes,Yes,No,Products,9000000,10000000,01/10/2018,10000000,"[CDEC Limited|337 BATH ROAD SLOUGH BERKSHIRE UNITED KINGDOM SL1 5PR|NONE||Yes|No][Comcen Computer Supplies Ltd|BRUCE ROAD SWANSEA WEST INDUSTRIAL PARK FFORESTFACH SWANSEA SA5 4HS|NONE||Yes|No][COMPLETE BUSINESS SOLUTIONS GROUP LIMITED|DAUGHTERS COURT SILKWOOD PARK WAKEFIELD WEST YORKSHIRE WF5 9TQ|NONE||No|No][ELEMENTARY TECHNOLOGY LTD|SUITE A, 1ST FLOOR 4 AIRPORT WEST LANCASTER WAY YEADON LEEDS LS19 7ZA|NONE||Yes|No][GV MULTI-MEDIA LIMITED|UNIT 1 INWOOD BUSINESS PARK WHITTON ROAD HOUNSLOW MIDDLESEX TW3 2EB|NONE||Yes|No][PURE AUDIO VISUAL LIMITED|362 LEACH PLACE WALTON SUMMIT BAMBER BRIDGE PRESTON LANCASHIRE ENGLAND PR5 8AS|NONE||Yes|No]",,12/10/2018,11/10/2022,"Open ",
2018-Nov-01/1,Contract,"University Of Chester",Awarded,2018-12-10T14:57:03Z,"Supply & Delivery of Visualisation Equipment part funded by the European Regional Development Fund (ERDF) Ref: 36R17P01698","This is a confirmation of award following the below tender. The original advert read as follows:

The University of Chester is seeking tenders for the Supply and Delivery of Visualisation Equipment to the University Centre Shrewsbury Campus. This is for the Digital Solutions project funded by the European Regional Development Fund (ERDF) Ref: 36R17P01698. 

This tender is to secure the supply and delivery of equipment to construct a Visualisation Suite that will enable the creation of 360 degree and 3D imagery videos and make them available to SMEs and care providers for social media channels, personal digital assistants and online platforms. The Visualisation Suite will include editing functions so that footage captured in the field can be edited for the above use. The period of contract is until 31st December 2020 however the initial anticipated requirements, as listed within Document 2 - Specification and Pricing Schedule, are to be delivered by 23rd November 2018 (estimated TBC). 
Whilst the anticipated contract value, based on indicative quantities within this tender is approximated at £50,000 to £60,000 including VAT, actual demand and volumes may vary from the indicative values given in this tender, as over the period of the contract term, additional requirements may be identified, or reduced, as demand may increase or alter.  

Please note that the Digital Solutions project has a limited budget within which it is endeavouring to source all its equipment and tenderers are therefore strongly encouraged to submit their most ""cost effective"" options that most closely meets at least the minimum specification as detailed within the attached workbook ""Document 2 - Specification & Pricing Schedule"".",,,"North West,West Midlands","32321200 ","Procurement Services",procurement@chester.ac.uk,"Parkgate Road",,Chester,"CH1 4BJ",England,01244512910,,,"https://in-tendhost.co.uk/universityofchester ","To participate in this opportunity tenderers were asked to Express an Interest via our In-Tend portal, they were then able to access the tender documents.

Please note that where you may have previously registered with In-Tend, it will be necessary for you to ensure that your registration does include being registered to see opportunities for University of Chester. Registration to this site is free for suppliers. There is also Help/Guidance on how to use the supplier site on the 'Help' section of the site: https://in-tendhost.co.uk/universityofchester/aspx/Help Tender documents must be completed and returned via In-Tend by 12:00 Noon on Monday 19th November 2018.",03/12/2018,31/12/2020,19/11/2018,YES,2018-Nov-01,Yes,No,No,Products,50000,60000,30/11/2018,35000,"[CDEC LIMITED|Unit 1 Faraday Way
ORPINGTON
KENT
BR5 3QW
GB|COMPANIES_HOUSE|04102256|Yes|No]",,03/12/2018,31/12/2020,"OpenNonOJEU ",
"UWE/017/2019FC - AWARD",Contract,"HE Portal",Awarded,2019-08-12T13:18:24Z,"017/2019FC Summer AV Works 2019 - AWARD","This project is to upgrade or commission numerous teaching spaces around Frenchay and Glenside Campuses. There are 4 lots comprising of Lecture Theatres, Large Teaching Spaces, Standard Teaching Spaces, Teaching spaces with Display Panels as opposed to projectors/lecterns. 
      
      This forms part of a wider University masterplan project which aims to create new buildings and refurbishments to cater for the ever changing requirements and demands of the HE sector.
      
      The University's ambitions include being professionally recognised and practice-orientated, connected to our local and regional economy, being digitally advanced and agile and to have a global approach. We prioritise providing an engaging and outstanding learning, teaching and support service to our students and ensuring our graduates are ready and able for their chosen field of employment.",,"BS16 1QY","South West","32321200 ","Rosie Hale",Rosie.hale@uwe.ac.uk,"Coldharbour Lane",Bristol,Avon,"BS16 1QY","United Kingdom","0117 3286686",www.uwe.ac.uk,,,,29/06/2019,31/08/2019,05/06/2019,NO,,No,No,No,Products,65000,76000,28/06/2019,0,"[CDEC Limited|Unit 1 - 2 , Faraday Way, Orpington, Kent, United Kingdom, BR5 3QW|NONE||No|No][GV Multi Media Ltd|Unit 1 Inwood Business Park, Whitton Road, Hounslow, Middlesex, United Kingdom, TW3 2EB|NONE||No|No]","David Corker",29/06/2019,31/08/2019,"Restricted ",
"UWE/012/2019FC - AWARD",Contract,"HE Portal",Awarded,2019-05-20T13:34:24Z,"012/2019FC Science Labs AV Work - AWARD","This project is to upgrade or commission numerous teaching spaces around Frenchay, Campus. There is a single lot comprising of the Science Labs, made up of Single Projection and Dual Projection Teaching Rooms, including some spaces with repeater with Display Panels. 
      
      This forms part of a wider University masterplan project which aims to create new buildings and refurbishments to cater for the ever changing requirements and demands of the HE sector.",,"BS16 1QY","South West","32321200 ","Rosie Hale",Rosie.hale@uwe.ac.uk,"Coldharbour Lane",Bristol,Avon,"BS16 1QY","United Kingdom","0117 3286686",www.uwe.ac.uk,,,,21/05/2019,31/07/2019,12/04/2019,NO,,No,No,No,Products,149000,160000,20/05/2019,0,"[CDEC Limited|Unit 1 - 2 , Faraday Way, Orpington, Kent, United Kingdom, BR5 3QW|NONE||No|No]","David Corker",21/05/2019,31/07/2019,"Restricted ",
SG/UoP/AV/006/019,Contract,"University Of Plymouth",Awarded,2019-05-17T15:08:54Z,"Supply and Installation of AV Equipment","As part of the Peninsula Medical School's expansion in student numbers, the Life Science Resource Centre (LSRC) at Portland Square is expanding its educational facility. The proposal will include the expansion of existing rooms, as well as providing additional teaching rooms. This will necessitate the procurement of additional AV in the form of touchscreen technology, to support and maintain the high level student interaction in teaching sessions.",,,"South West","32321200 ","Procurement Team",procurement@plymouth.ac.uk,"Drake Circus",,PLYMOUTH,PL48AA,England,"01752 582057",,,,,16/05/2019,28/08/2019,26/04/2019,NO,,Yes,No,No,Products,132290,,15/05/2019,132290,"[CDEC Limited|Unit 1-2 Faraday Way
Orpington
Kent
BR5 3QW|COMPANIES_HOUSE|4102256|No|No]",,16/05/2019,28/08/2019,"CallOffFromFrameworkAgreement ",
247206,Contract,"University Of The West Of England",Awarded,2017-11-28T16:08:33Z,"Various IT Equipment","62x Extron MP 101 Microphone Preamplifier, 30x DA2 HD 4K, 2 Output, 50x Beyerdynamic Classis BM 33W Condenser, 50x Sabrent USB Audio Adapter and 50x Magewell x100D USB-HDMI USB 3.0 Cature Dongle.",,"BS16 1QY",,"32321200 ",,purchasing@uwe.ac.uk,"Frenchay Campus","Coldharbour Lane",Bristol,"BS16 1QY",England,,,,,,25/07/2017,26/07/2017,24/07/2017,NO,,No,No,No,Products,26911,,24/07/2017,26911,"[CDEC LIMITED|Unit 1 Faraday Way
ORPINGTON
KENT
BR5 3QW
GB|COMPANIES_HOUSE|04102256|No|No]",,25/07/2017,26/07/2017,"SingleTenderActionNonOJEU ",
230074,Contract,"University Of The West Of England",Awarded,2017-01-09T13:13:26Z,"Panopto Licence","Panopto licence until 05/09/2018.",,,"South West","48218000 ",,purchasing@uwe.ac.uk,"Frenchay Campus","Coldharbour Lane",Bristol,"BS16 1QY",England,,,,,,14/09/2016,05/09/2018,13/09/2016,NO,,No,No,No,NotApplicable,194900,,13/09/2016,194900,"[CDEC Limited|Unit1-2 Farady Way,
Orpington, Kent, BR5 3QW|||No|No]",,14/09/2016,05/09/2018,"Other ",
"IT002 / 00000228",Contract,"BIRMINGHAM CITY UNIVERSITY",Awarded,2016-12-01T11:27:01Z,"AV Refresh","The current Audio Visual (AV) estate at Birmingham City University (BCU) has been reviewed and certain equipment has been identified as having reached the end of its hardware lifecycle and is in need of replacement. The objective of the AV Refresh project is to not only modernise but also to rationalise the University's diverse AV estate in order to ensure that the end-user experience is more consistent between rooms and campuses. The procurement will provide the opportunity to facilitate new methods of academic delivery and where possible some rooms may be re-orientated to accommodate those visions. It is anticipated that this will also increase staff productivity and improve the student experience.",,,"West Midlands","32320000 ",,procurement@bcu.ac.uk,"University House","15 Bartholomew Road",Birmingham,"B5 5JU",England,,,,,,01/08/2016,01/12/2016,11/06/2016,NO,,No,No,No,Products,370945,,20/05/2016,0,"[CDEC Limited|Unit 1 - 2 Faraday Way
Orpington
Kent 
BR5 3QW|||No|No]",,11/06/2016,20/06/2016,"NotApplicable ",
UWE/030/2016FC,Contract,"University Of The West Of England",Awarded,2016-11-16T16:50:29Z,"P Block Summer AV","The tender requirement is to upgrade and standardise rooms within P block. This work is to be completed in two phases; the first would be required this summer and the second the following summer. There are 7 rooms in total for the first phase, 6 require single a single projector set up, and 1 room requires a dual projector set up.  Suppliers should note this tender is only for the first phase of the project.",,"BS16 1QY","South West","32320000 ",,purchasing@uwe.ac.uk,"Frenchay Campus","Coldharbour Lane",Bristol,"BS16 1QY",England,,,,,,03/08/2016,03/08/2016,03/08/2016,NO,,No,No,No,Products,77621.32,,03/08/2016,77621.32,"[CDEC Limited|Unit 1 & 2 Faraday Way,
Orpington, Kent
BR5 3QW|||No|No]",,03/08/2016,03/08/2016,"Restricted ",
217341,Contract,"University Of The West Of England",Awarded,2016-04-04T14:10:41Z,"AV Hardware & Installation Type Auditorium","AV Hardware & Installation Type Auditorium",,,"South West","51611000 ","Andrew Parsons",Andrew7.Parsons@uwe.ac.uk,"Coldharbour Lane",Frenchay,Bristol,"BS16 1QY",England,,,,,,11/08/2015,11/08/2015,11/08/2015,NO,,Yes,No,No,Products,165182.7,,11/08/2015,165182.7,"[CDEC Limited|Unit1-2 Farady Way
Orpington|||No|No]",,11/08/2015,11/08/2015,"NotApplicable ",
