"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
RD1000776,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2018-01-09T15:55:01Z,"CDW Ltd","The agile nature of development in DfE dictates that requirements may evolve and change during the project lifecycles. DfE anticipates that hosting requirements could potentially utilise any element, or combination of elements, of the Azure platform services; therefore the full portfolio of Microsoft Azure services will be available via the contract. DfE will have complete and full access direct to the Microsoft Azure Management Portal; will commission and decommission services through the portal as required without interaction with CDW; and will be billed accordingly. 

Support for commissioned services will be direct via Microsoft via one of the Azure flexible support plans delivered through the Microsoft Premier Support arrangement.",,,"Any region","72000000 ",,Olusegun.OJOAWO@education.gov.uk,"9th Floor, 53-55 Butts Road, Earlsdon Park",,Coventry,"CV1 3BH",England,,,"594 CDW Ltd.doc contract.doc ",,,01/07/2017,30/06/2018,16/06/2017,NO,,Yes,Yes,No,Services,6000000,,30/06/2017,6000000,"[CDW Ltd|10 Fleet Pl, London EC4M 7RB UK|||No|No]",,01/07/2017,30/06/2018,"CallOffFromFrameworkAgreement ",
7620128113,Contract,"FCO SERVICES",Awarded,2019-04-04T12:43:36Z,"Technology Products 2 - Purchase of IT Hardware & Software Products",https://ccs-agreements.cabinetoffice.gov.uk/contracts/rm3733,,"MK19 7BH",,"44316400 48000000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,22/01/2019,30/10/2019,21/01/2019,NO,,Yes,No,No,Products,33983,,21/01/2019,33983,"[CDW LTD (FORMERLY KELWAY (UK) LTD)|N12 0DR|NONE||Yes|No]",,22/01/2019,30/10/2019,"CompetitiveDialogueOJEU ",
tender_248701/898253,Contract,"Ministry of Justice.",Awarded,2020-10-27T09:13:17Z,"PTTP Deployment and Device Adoption Services","This publication is for transparency purposes only. This contract was awarded following a GCloud 12 exercise. The contract is for the provision of It configuration, logistical and other Business Change services including end-user assistance  for the phase I deployment of replacement devices as part of the Prison Transformational Technology Programme (PTTP) delivering new administrative IT infrastructure to HM Prison and Probation Service (HMPPS)",,,"Any region","72220000 72222300 72266000 ","Shaun Salter",Shaun.salter@justice.gov.uk,"102 Petty France",,London,"SW1H 9AJ",England,"020 3334 6823",,,,,14/10/2020,13/10/2021,07/08/2020,NO,,Yes,No,No,Services,750000,750000,07/08/2020,750000,"[CDW LTD|London|COMPANIES_HOUSE|02465350|No|No]",,14/10/2020,13/10/2021,"CallOffFromFrameworkAgreement ",,23:59
tender_234595/886647,Contract,"Department for Work and Pensions",Awarded,2020-09-18T10:30:20Z,"RedHat Enterprise License Agreement","Award notice for the renewal of the RedHat ELA 3-year subscription for RedHat Products & support & maintenance including; Linux, Ansible, OpenShift and JBoss",,,"Any region","72268000 ",,MANCHESTERCORPORATEHUB.SOFTWARECOMMERCIALTEAM@DWP.GSI.GOV.UK,"5th Floor, Two St. Peters Square",,Manchester,"M2 3AA",England,,,"TP2 RedHat Cvid 730856 - SQU3738041 REDACTED v1.pdf ",,,25/02/2020,24/02/2023,04/02/2020,NO,,Yes,No,No,Products,1875519.69,,10/02/2020,1875519.69,"[CDW Ltd.|1 Cyrus Way, Cygnet Park, Hampton, Peterborough, PE7 8HP|NONE_OTHER||No|No]",,25/02/2020,24/02/2023,"CallOffFromFrameworkAgreement ",,17:00
tender_236082/850075,Contract,"Public Health England",Awarded,2020-04-14T14:59:06Z,"PHE - ICT - Supply of Dell blade servers and associated equipment","Supply of Dell slide in servers and associated items.",,,"Any region","48821000 ",,procurement@phe.gov.uk,"PHE Colindale, 61 Colindale Avenue",,London,"NW9 5EQ",England,,https://www.gov.uk/government/organisations/public-health-england,,,,30/03/2020,29/09/2020,19/03/2020,NO,,Yes,Yes,No,Services,226838,273869,29/04/2020,273869.64,"[CDW Ltd|10 Fleet Place, London, EC4M 7RB|COMPANIES_HOUSE|02465350|No|No]",,30/03/2020,29/09/2020,"CallOffFromFrameworkAgreement ",
SBS/16/CR/WAB/8723/09,Contract,"Surrey And Borders Partnership Nhs Foundation Trust",Awarded,2019-07-04T16:23:17Z,"Warranty upgrade of Digital systems","Upgrade of Dell EMC VXRAIL 10 x 3.84TB SSD disk solution.",,,"South East","72000000 ",Procurement,procurement@sabp.nhs.uk,"18 Mole Business Park",,LEATHERHEAD,KT227AD,England,,,,,,13/06/2019,31/03/2020,12/06/2019,NO,,Yes,No,No,Services,25962,,12/06/2019,25962,"[CDW LTD|10 Fleet Place
London
EC4M 7RB|NONE||Yes|No]",,13/06/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
A198,Contract,"Suffolk Constabulary",Awarded,2019-05-23T11:00:26Z,Blackberry,nil,,,"Any region","32500000 64200000 ","Lee Ali",lee.ali@suffolk.pnn.police.uk,"Martlesham Heath",,IPSWICH,IP53QS,England,01473613698,,"2019-05-15-PO.png ",,,10/05/2019,19/09/2020,09/05/2019,NO,,No,No,No,Services,182881,182881,09/05/2019,182881,"[CDW Ltd|CDW Limited,
8th Floor
The Peninsula
2 Victoria Place
Manchester
M4 4EW|NONE||No|No]",,10/05/2019,19/09/2020,"CallOffFromFrameworkAgreement ",
CBC/298/19,Contract,"Chesterfield Royal Nhs Foundation Trust",Awarded,2019-03-15T14:16:56Z,"Chesterfield Borough Council Cloud Services","Licence for  purchase for Cloud services -
VMWare Cloud on AWS -VMware Cloud on AWS is an Infrastructure as a Service (IaaS) offering, leveraging VMware Cloud Foundation (vSphere, NSX and vSAN) to deliver software-defined data centres (SDDCs) as a cloud service on Amazon Web Services (AWS

G-Cloud 10 Framework Agreement (RM1557.10)
and following product Terms of Service are deemed incorporated into this contract available at 
 https://www.digitalmarketplace.service.gov.uk/g-cloud/services/768889688810738   a copy of which is appended to this contract",,,"Any region","48517000 ","Amanda Gregory",amanda.gregory4@nhs.net,"Chesterfield Road, Calow, Heath",,CHESTERFIELD,S445BL,England,"01246 513563",,,,,01/02/2019,31/01/2022,29/01/2019,NO,,Yes,No,No,Services,0,,31/01/2019,262560,"[CDW Ltd|EC4M 7RB|COMPANIES_HOUSE|02465350|No|No]",,01/02/2019,31/01/2022,"CallOffFromFrameworkAgreement ",
CF-0033500D58000000L5A4EAK1,Contract,"Home Office",Awarded,2019-02-22T09:35:27Z,"Enterprise Architect tool","enterprise architect tool",,"m4 4ew","Any region","72000000 ","Colin Allan",colin.allan5@homeoffice.gov.uk,"2 Marsham St, Westminster",,London,"SW1P 4DF",GB,,,,,,12/02/2018,12/02/2020,10/01/2018,NO,,No,No,No,NotApplicable,151054,151054,01/02/2018,151054.2,"[CDW LTD||  |  | EC4M 7RB|NONE||No|No]",,12/02/2018,12/02/2020,"CallOffFromFrameworkAgreement ",
tender_160109/674105,Contract,"NHS Digital",Awarded,2018-05-14T13:04:46Z,"Analytics tool for NHS.UK","Provision of a web analytics tool, including implementation and support",,,"Any region","48482000 ",,enquiries@nhs.net,"1 Trevelyan Square, Boar Lane",,Leeds,"LS1 6AE",England,,,,,,01/04/2018,31/03/2021,09/03/2018,NO,,Yes,No,No,Products,420000,750000,17/04/2018,420000,"[CDW Ltd|10 Fleet Place, London, Greater London, EC4M 7RB, UNITED KINGDOM|NONE||No|No]","Andy Wood",01/04/2018,31/03/2021,"Other ",
tender_144639/664019,Contract,"City of London Corporation",Awarded,2018-03-29T14:52:57Z,Mimecast,"Mimecast Add on - Sync and recover for exchange & O365",,"EC2P 2EJ",London,"72000000 ","Georgia Lawrence",Georgia.lawrence@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,"0207 332 3060",,,,,29/03/2018,29/03/2019,28/03/2018,NO,,Yes,Yes,No,Services,27747,,29/03/2018,27747.37,"[CDW Ltd|Illinois - Lincolnshire|NONE||No|No]",,29/03/2018,29/03/2019,"Other ",
BLACKDARW001-DN323663-19211834,Contract,"Blackburn with Darwen",Awarded,2018-02-28T08:58:59Z,"Lenovo Thinkcentre devices for Newfield School","Award of contract for Lenovo Thinkcentre devices for Newfield School",,,"North West","30200000 ","Peter Hughes",peter.hughes@blackburn.gov.uk,"Town Hall","King William Street",Blackburn,"BB1 7DY",England,"+44 1254585216",http://www.blackburn.gov.uk/,,,,28/02/2018,27/03/2018,27/02/2018,NO,,Yes,Yes,No,Products,27323,27323,28/02/2018,27323,"[CDW ltd|Cheetham Hill Road, Manchester|NONE||No|No]",,01/03/2018,21/03/2018,"Open ",
KENTFIRE001-DN289328-49148542,Contract,"Kent Fire and Rescue Service",Awarded,2017-11-13T12:20:29Z,"C17025 Supply and Delivery of Servers","Supply and Delivery of Servers",,,"South East","30200000 ","Lauren Gibson",procurement@kent.fire-uk.org,"The Godlands","Straw Mill Hill, Tovil",Maidstone,"ME15 6XB",England,"+44 1622692121",http://www.kent.fire-uk.org/,,,,25/09/2017,24/09/2018,18/08/2017,NO,,Yes,No,No,Products,70000,70000,04/09/2017,70000,"[CDW ltd|10 Fleet Place, London|||No|No]",,25/09/2017,24/09/2018,"Open ",
BIP270960257,Contract,"Housing & Care 21",Awarded,2017-08-04T12:42:07Z,"Purchase of Replacement HP Server Blades","This tender was to appoint a supplier to provide 21 new server blades for Housing & Care 21's data centre.",,,"Any region","32424000 ",,andrew.russell@housingandcare21.co.uk,"Tricorn House, 51-53 Hagley Road",Edgbaston,Birmingham,"B16 8TP",UK,+443007901199,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=270960257 ",,01/08/2017,01/08/2022,21/07/2017,NO,,No,No,No,Products,193347,,21/07/2017,193347,"[CDW Ltd|3rd Floor, 10 Fleet Place
        London
        EC4M 7RB|||No|No]",,01/08/2017,01/08/2022,"Open ",
BIP239309398,Contract,"British Business Bank",Awarded,2017-02-10T13:33:03Z,"GB-uk: Managed Print Service","The British Business Bank (BBB) wishes to select a supplier to provide a Managed Print Service to 6 MFD's located in our Sheffield and London offices.",,,"Any region","48824000 ","Debbie Beeley",Debbie.beeley@British-Business-Bank.co.uk,"Foundry House","3 Millsands",Sheffield,"S3 8NH",UK,01142502893,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=239309398 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",04/11/2016,03/11/2019,03/10/2016,NO,,No,Yes,No,Services,120000,,03/10/2016,120000,"[CDW Ltd in partnership with Click Print Holdings|10 Fleet Place
        London
        EC4M 7RB|||No|No]","Karen Soriano",04/11/2016,03/11/2019,"Open ",
DN228513,Contract,"Sunderland City Council",Awarded,2017-01-25T11:59:21Z,"Crown Commercial Service - Technology Products 2 Framework Agreement ref. RM3733 Lot 1 Hardware","Purchase of laptops and accessories.",,,"North East","44316400 ","Victoria Walton",victoria.walton@sunderland.gov.uk,"Sunderland City Council, Burdon Road",,Sunderland,"SR2 7DN",England,,,,,,30/01/2017,19/02/2017,19/01/2017,NO,,Yes,Yes,No,Products,48234,,25/01/2017,48234,"[CDW Ltd|10 Fleet Place, London, Other (Non-UK), EC4M 7RB|||No|No]",,30/01/2017,19/02/2017,"Other ",
"PPRO 04/47/137",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2017-01-05T14:48:45Z,"Microsoft Surface Hub","The provision of smart boards and video display equipment and services.",,,London,"72000000 ",,DFTprocurement@dft.gsi.gov.uk,"Great Minster House","33 Horseferry Road",London,"SW1P 4DR",England,,,"Redacted CDW Ltd - Award Letter (002).pdf ",,,28/12/2016,27/12/2018,09/12/2016,NO,,No,No,No,Services,100000,,19/12/2016,100000,"[CDW Ltd|Fleet Place
London
EC4M 7RB|||No|No]",,28/12/2016,27/12/2018,"CompetitiveDialog ",
"CCSO16A85 - Provision of Citrix Licences (RCA113981)",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2016-11-04T11:32:56Z,"Provision of Citrix Licences","The Ministry of Defence (MOD) were inviting bids for the Platinum Edition Upgrade and Support for 1215 Citrix Licences. 
The project EMPORIUM provides adequate Citrix Licensing for Desktop as a Service (DaaS) for the Foundation Application Hosting Environment (FAHE). The Authority required the upgrade and support of 1215 Citrix Licences by 1st September for the necessary arrangements to be put in place by the commencement of the FAHE Sustainment Contract on 1st October 2016. As part of the software maintenance element of this requirement, the Customer required compliance to the following features: 
24x7x365 unlimited worldwide support; 
Product version updates; 
Unlimited amount of support incidents; 
Unlimited amount of admin contacts and; 
Reactive support for the MOD.",,,"Any region","48000000 ",,technology.operations@crowncommercial.gov.uk,"Concept House, Cardiff Road, Newport",,Newport,"NP10 8QQ",Wales,,,"Redacted Award Letter.pdf ",,,30/10/2016,30/09/2018,18/10/2016,NO,,Yes,Yes,No,Services,198470.25,,27/10/2016,198470.25,"[CDW Ltd|London|||No|No]",,30/10/2016,30/09/2018,"Other ",
"CCIH16A22 RCA113373",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2016-08-15T10:01:03Z,"Provision of Hardware for ViP Environments (IMS / ArcGIS) and EBIC Project","THIS CONTRACT HAS ALREADY BEEN AWARDED AND IS BEING PUBLISHED FOR TRANSPARENCY PURPOSES ONLY

The Ministry of Defence (MOD) are inviting bids for Hardware for the replacement of Oracle Servers.",,,"Any region","48800000 ",,technology.operations@crowncommercial.gov.uk,"Room 2Y92 Concept House","Cardiff Road",Newport,"NP10 8QQ",Wales,,,"Framework Award Letter v1.0 REDACTED.pdf ",,,15/08/2016,15/08/2016,02/08/2016,NO,,Yes,No,No,Products,31823.44,,09/08/2016,31823.44,"[CDW Ltd|10 Fleet Place
London
EC4M 7RB|||No|No]",,15/08/2016,15/08/2016,"NotSpecified ",
SO17343,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2016-05-10T14:47:36Z,"PROVISION OF 2 CISCO SWITCHES & 15 DESKTOP PC’S","The Driver and Vehicle Licensing Agency (DVLA) is an Executive Agency of the   Department for Transport, based in Swansea and employs around 5,000 staff. The Agency’s primary aims are to facilitate road safety and general law enforcement by maintaining accurate registers of drivers and vehicle keepers and to collect Vehicle Excise Duty. 
This requirement is for the procurement of 15 technical training desktop PCs and 2 Cisco switches, along with a 3 year support package for these products",,,Wales,"30200000 ",,Spot.buying@crowncommercial.gov.uk,"3B62 Concept House",,Newport,"NP10 8QQ",Wales,,,"Outcome Letter REDACTED so17343.pdf SO17343 -REDACTED Contract final.pdf ",,,26/04/2016,25/04/2019,29/03/2016,NO,,Yes,No,No,Products,0,,25/04/2016,15249.27,"[CDW Ltd|10 Fleet Place,
London EC4M 7RB|||No|No]",,26/04/2016,25/04/2019,"Restricted ",
