"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
RM1557ix,Contract,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",Awarded,2020-06-03T12:55:27Z,"E-Recruitment Applicant Tracking System","Tees Esk and Wear Valleys NHS Foundation Trust have placed a direct award via Crown Commercial Services framework reference RM1557ix for E-Recruitment Applicant Tracking System to Civica UK Limited",,"DL2 2TS",,"48422000 ","Amanda McElroy",amandamcelroy@nhs.net,"Hollyhurst Road",,DARLINGTON,DL36HX,England,,,,,,13/05/2020,12/05/2022,16/04/2020,NO,,Yes,No,No,Services,27600,,12/05/2020,27600,"[CIVICA UK LIMITED|Southbank Central,30 Stamford Street
LONDON
SE1 9LQ
GB|COMPANIES_HOUSE|01628868|No|No]","Serena Attridge",13/05/2020,12/05/2022,"CallOffFromFrameworkAgreement ",
414,Contract,"Uttlesford District Council",Awarded,2020-04-28T15:57:48Z,"Software - Election Management","A licencing agreement awarded to Civica UK Limited to use their ""Xpress"" Election processing Software.

The contract commences 14 February 2020 for a minimum of five years with options to extend so long as the software remains fit for purpose",,"CB11 4ER",,"48170000 ","Cristine Oakey",coakey@uttlesford.gov.uk,"Council Offices",,"Saffron Walden",CB114ER,England,"01799 510451 ext 451",,,,,14/02/2020,13/02/2025,10/12/2019,NO,,Yes,No,No,Services,81000,,14/02/2020,81000,"[CIVICA UK LIMITED|30 Stamford Street
LONDON
SE1 9LQ
GB|COMPANIES_HOUSE|01628868|No|No]",,14/02/2020,13/02/2025,"CompetitiveQuotationNonOJEU ",
HACK001-DN500701-81431390,Contract,"London Borough of Hackney",Awarded,2020-10-19T09:58:22Z,"Re-procurement of Civica Comino Support and Maintenance for Revenues and Benefits","Procurement via CCS Framework RM3821 (Lot 1a), using direct award option to award a contract of 3 years to Civica for provision of Comino. Civica's Comino application is an electronic document management system used by London Borough of Hackney's Revenues and Benefits services to process correspondence and documentation from customers.",,,London,"72260000 48517000 ","LBH eProcurement Team",eprocurement@hackney.gov.uk,"Hackney Service Centre","1 Hillman Street",Hackney,"E8 1DY","United Kingdom","+44 2083563000",http://www.hackney.gov.uk,,,,30/09/2020,30/09/2023,07/09/2020,NO,,No,No,No,Services,196000,196000,23/09/2020,195925.59,"[Civica UK Limited|8‌th‌‌ ‌Floor,‌ ‌Southbank‌ ‌Central,‌ ‌30‌ ‌Stamford‌ ‌Street,‌ ‌London‌ ‌SE1‌ ‌9LQ‌|NONE||No|No]","Austin Durrant",30/09/2020,30/09/2023,"DirectAward ",,23:59
CC15281,Contract,"HAMPSHIRE COUNTY COUNCIL",Awarded,2020-03-19T12:01:44Z,"Authority Public Protection APP","Civica APP Software Licences: 

•	Civica APP for Trading Standards Software Licenses
•	Annual maintenance for Civica APP Software 
 Contract is for one year with the option of 1 additional year
",,"SO23 8UJ",,"48000000 ","Clare Foxton",Clare.foxton@hants.gov.uk,"The Castle",,WINCHESTER,SO238ZB,England,"01962 832366",,,,,01/03/2020,28/02/2021,17/02/2020,NO,,No,No,No,Services,52000,,24/02/2020,52000,"[Civica UK Limited|8th Floor, Southbank Central, 30 Stamford Street, London SE1 9LQ|NONE_OTHER||No|No]",,01/03/2020,28/02/2021,"CallOffFromFrameworkAgreement ",
HACK001-DN473823-37488654,Contract,"London Borough of Hackney",Awarded,2020-04-09T10:53:53Z,"Civica APP software licences and support","The re-procurement of Civica APP licences and support. The system used to capture and process service requests for waste, recycling, abandoned vehicles, grounds and parks, environmental health, trading standards and licensing.",,,London,"48000000 ","LBH eProcurement Team",eprocurement@hackney.gov.uk,"Hackney Service Centre","1 Hillman Street",Hackney,"E8 1DY",England,"+44 2083563000",http://www.hackney.gov.uk,,,,31/03/2020,01/04/2023,25/03/2020,NO,,No,No,No,Services,297500,297500,30/03/2020,297500,"[Civica UK Limited|SE1 9LQ|NONE||No|No]","Ms Bid Support",31/03/2020,01/04/2023,"Open ",
NPSBARNS001-DN461632-74871620,Contract,"Barnsley Metropolitan Borough Council",Awarded,2020-03-09T11:55:43Z,"DN461632 Civica APP support and Maintenance 2018/2021","Civica APP support and Maintenance 2018/2021",,,"Any region","48000000 72000000 ","Chris Bankes",contractscommissioning@barnsley.gov.uk,"Gateway Plaza","Off Sackville Street",Barnsley,"S70 2RD","United Kingdom","+44 1226775028",https://www.yortender.co.uk,,,,01/04/2018,31/03/2021,06/03/2018,NO,,No,No,No,Services,135301,135301,09/03/2018,135301,"[Civica UK Limited|Southbank Central, London, Greater London, SE1 9LQ|NONE||No|No]",,01/04/2018,31/03/2021,"Other ",
CHEAST001-DN406223-89300578,Contract,"Cheshire East Borough Council",Awarded,2019-04-26T10:59:36Z,"Civica APPs (Flare) Software Support and Maintenance for 2 years","*********************************THIS IS AN AWARDED OPPORTUNITY ******************************************************************   Cheshire East BC have directly awarded a 2 year contract for the software and support and Maintenance of The Civica APPS (Flare) system is used by Regulatory Services and Health for environmental health, licensing, animal health and welfare & trading standards use.",,,"North West","48000000 ","Ann Cleary",ann.cleary@cheshireeast.gov.uk,Westfields,"Middlewich Road",Sandbach,"CW11 1HZ",England,"+44 1270 686595",http://www.cheshireeast.gov.uk/,,,,01/04/2019,31/03/2021,22/03/2019,NO,,No,No,No,Services,70000,70000,29/03/2019,70000,"[Civica UK Limited|8th Floor, South Bank Central, 30 Stamford Street, LONDON SE1 9LQ|NONE||No|No]","Emily Douglin",01/04/2019,31/03/2021,"DirectAward ",
201810241713,Contract,"Sunderland City Council",Awarded,2019-02-11T14:24:32Z,"Civica Enterprise Agreement and Annual Maintenance","Purchase of Civica Enterprise Agreement and Annual Maintenance.",,,"North East","48000000 ","Virginia Ainsley",virginia.ainsley@sunderland.gov.uk,"Burdon Road",,Sunderland,SR27DN,England,"0191 561 2438",,,,,11/02/2019,10/02/2024,01/02/2019,NO,,No,No,No,Services,865040,,08/02/2019,865040,"[Civica UK Limited|Southbank Central
30 Stamford Street
London
SE1 9LQ|NONE||No|No]",,11/02/2019,10/02/2024,"CallOffFromFrameworkAgreement ",
BIP470409322,Contract,"Places for People Group",Awarded,2020-05-12T08:24:04Z,"Places for People - Project Synergy","Places for People are seeking to appoint suppliers for 6 Lots to deliver a variety of software solutions to be utilised across the property management companies of Places for People.
      2 / 8
      Suppliers will need to be able to provide the services defined within the Lots This procurement is being undertaken by Places for People as the contracting authority as part of the Synergy Project for a Shared Service across its property management companies.",,,"Any region","72000000 ",,Neil.jones@placesforpeople.co.uk,"4 The Pavilions",,Preston,"PR2 2YB",England,+441772897200,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=470409322 ",,29/11/2019,28/11/2026,28/11/2019,NO,,No,No,No,Services,21000000,,29/11/2019,21000000,"[Civica Uk Limited|Southbank Central, 30 Stamford Street
        London
        SE1 9LQ|NONE||No|No][Civica UK Limited|Southbank Central, 30 Stamford Street
        London
        SE1 9LQ|NONE||No|No]",,29/11/2019,28/11/2026,"CompetitiveDialogueOJEU ",
BOURN001-DN429437-73536894,Contract,"Bournemouth Christchurch and Poole Council",Awarded,2019-08-14T11:24:28Z,"Coroners Case Management Software","As the relevant authority for the Dorset Coroners Service, BCP Council has responsibility for working with HM Coroner in supporting delivery of the service. This contract is for the Coroners Case Management System.",,,"South West","48000000 ","Strategic Procurement Team",procurement@bcpcouncil.gov.uk,"Bournemouth Christchurch and Poole Council","Town Hall, Bourne Avenue",Bournemouth,"BH2 6DY",England,,,,,,01/11/2019,31/10/2021,02/08/2019,NO,,Yes,No,No,Services,49800,,14/08/2019,49800,"[Civica UK Limited|Southbank Central, 30 Stamford Street, London SE1 9LQ|NONE||No|No][Civica UK Limited|Southbank Central, 30 Stamford Street, London SE1 9LQ|NONE||No|No]","Ms Bid Support",01/11/2019,31/10/2021,"Restricted ",
