"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN482480-97168155,Contract,"Bristol City Council",Awarded,2020-06-15T10:54:04Z,"SEND Independent Non Maintained School Placement - Cambian Forum School","SEND Placement",,,"South West","80000000 85000000 ","Lucy Ford",lucy.ford2@bristol.gov.uk,"Bristol City Council","P O Box 3176",BRISTOL,"BS3 9FS","United Kingdom","+44 1173521281",https://www.bristol.gov.uk/,,,,01/09/2020,31/08/2021,05/06/2020,NO,,Yes,Yes,No,Services,255548,255548,15/06/2020,255548,"[Cambian Childcare Limited|EN6 1AG|NONE||No|No]",,01/09/2020,31/08/2021,"Other ",
DAR001-DN494431-00707449,Contract,"Darlington Borough Council",Awarded,2020-08-20T14:52:06Z,"PB2020-00114- Residential Placement","PB2020-00114- Residential placement for a young person with ASD needs.",,,England,"85000000 ","Bronwyn Lilley",bronwyn.lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT",England,"01325 405498",http://www.darlington.gov.uk,,,,01/06/2020,31/07/2021,30/05/2020,NO,,Yes,No,No,Services,185686.96,185686.96,31/05/2020,185686.96,"[Cambian Childcare Limited|EN6 1AG|NONE||Yes|No]","Ms Cindy Smith",01/06/2020,31/07/2021,"DirectAward ",,23:59
DAR001-DN458681-17378972,Contract,"Darlington Borough Council",Awarded,2020-01-17T14:19:15Z,"P2019/2009/CO Placement","Placement for young person in Tees Valley with Complex needs",,,"North East","85000000 ","Jackie Elliott",jackie.elliott@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT",England,"+44 1325405496",http://www.darlington.gov.uk,,,,31/05/2019,30/05/2020,26/05/2019,NO,,No,No,No,Services,400400,400400,27/05/2019,400400,"[Cambian Childcare Limited|EN6 1AG|NONE||No|No]","Ms Cindy Smith",29/05/2019,30/05/2020,"Open ",
DN233641,Contract,"NORTH EAST LINCOLNSHIRE COUNCIL",Awarded,2019-02-21T15:00:34Z,"Agency Placement for Residential - AP7","The contracts North East Lincolnshire Council negotiate and award can include personal data and special categories of personal data about identifiable individuals, the disclosure of which would breach the first Data Protection principle which requires that personal data is processed lawfully and fairly. To ensure compliance with Data Protection legislation, personal data and special categories of personal data where appropriate has been removed from the details we publish. 
If you have any queries in relation to the contracts or the information we have removed, you can contact us on 01472 323018 to discuss this further.",,,"Yorkshire and the Humber","85000000 ","The Procurement People",procurement@nelincs.gov.uk,"Town Hall Square",,GRIMSBY,DN311HU,England,323018,,,,,02/11/2012,14/01/2020,01/11/2012,NO,,Yes,Yes,No,Services,925000,,01/11/2012,925000,"[CAMBIAN CHILDCARE LIMITED|Bredbury Park Industrial Estate
STOCKPORT
CHESHIRE
SK6 2SR
GB|COMPANIES_HOUSE|04280519|No|No]","Cindy Smith",02/11/2012,14/01/2020,"CallOffFromFrameworkAgreement ",
DN233593,Contract,"NORTH EAST LINCOLNSHIRE COUNCIL",Awarded,2019-02-21T13:55:56Z,"Agency Placement for Education - AP5","The contracts North East Lincolnshire Council negotiate and award can include personal data and special categories of personal data about identifiable individuals, the disclosure of which would breach the first Data Protection principle which requires that personal data is processed lawfully and fairly. To ensure compliance with Data Protection legislation, personal data and special categories of personal data where appropriate has been removed from the details we publish. 
If you have any queries in relation to the contracts or the information we have removed, you can contact us on 01472 323018 to discuss this further.",,,"Yorkshire and the Humber","85000000 ","The Procurement People",procurement@nelincs.gov.uk,"Town Hall Square",,GRIMSBY,DN311HU,England,"01472 323018",,,,,03/12/2012,27/04/2018,02/12/2012,NO,,Yes,Yes,No,Services,720000,,02/12/2012,720000,"[CAMBIAN CHILDCARE LIMITED|Bredbury Park Industrial Estate
STOCKPORT
CHESHIRE
SK6 2SR
GB|COMPANIES_HOUSE|04280519|No|No]","Cindy Smith",03/12/2012,27/04/2018,"Other Direct award based on individual needs",
DAR001-DN374492-15850334,Contract,"Darlington Borough Council",Awarded,2018-11-01T13:50:29Z,"P2018/1708/PE - Accommodation and therapeutic support residential placement","P2018/1708/PE - Accommodation and therapeutic support residential placement",,,"North East","85000000 ","Bronwyn Lilley",bronwyn.lilley@darlington.gov.uk,"Town Hall",,Darlington,"DL1 5QT",England,"+44 1325405498",http://www.darlington.gov.uk,,,"
Direct award",19/06/2018,18/06/2020,17/06/2018,NO,,Yes,No,No,Services,460615,460615,18/06/2018,460615,"[Cambian Childcare Limited|WR6 9RH|NONE||No|No]","Ms Cindy Smith",19/06/2018,18/06/2020,"DirectAward ",
BATH001-DN94184-03389487,Contract,"Bath and North East Somerset Council",Awarded,2018-07-25T11:02:14Z,"Southwest Residential Children's Homes 2016 - 2020","Bath and North East Somerset Council (""the Council"") acting as the Lead Authority on behalf of participating Local Authorities of Bristol City Council, South Gloucestershire Council, Gloucestershire County Council, North Somerset Council, Dorset County Council, Swindon Borough Council, Wiltshire Council and Bath & North East Somerset Council (the Local Authorities), are seeking tenders to meet the following categories of need: 
·         Category A: Residential Children's Homes 
·         Category B: Children's Homes with for children and young people with a disability (to include learning, physical and sensor impairments)
 
 
 
Suppliers interested in this opportunity should express their interest by clicking on the 'login and register interest' button below.
 
New users to the system must register first to obtain a user name and password before returning to this opportunity.  Please refer to the suppliers guide 'Visiting Site for the First Time' by clicking the 'Help' button.
 
Once suppliers have expressed their interest they can access the procurement documentation from 'My Opportunities' on the home page. 
 
Upon registering interest and commencing the tendering process tenderers must not approach any member of the Authority directly or indirectly in relation to the tender.  If clarification is required regarding this tender, all questions must be submitted via ""discussions"" on the ""Supplying the South West"" portal from where the tender documents were downloaded.",,,"South West","85000000 ","Ian Tomlinson",ian_tomlinson@bathnes.gov.uk,Guildhall,"High Street",Bath,"BA1 5AW",England,"+44 1225477878",http://www.bathnes.gov.uk,,"https://procontract.due-north.com/Advert?advertId=c6a0a346-1a95-e511-8105-000c29c9ba21 ",,01/04/2016,31/03/2020,29/03/2016,NO,,Yes,Yes,No,Services,109494284,109494284,31/03/2016,109494284,"[JOHN EDWARDS CARE HOMES LTD|BA14 0EB|NONE||Yes|No][3 Dimensions|TA20 3AJ|NONE||Yes|No][Young Foundations Ltd|LL16 4LU|NONE||Yes|Yes][Friends Therapeutic Community Trust|CB21 4QH|NONE||Yes|No][Carbrey Housing Ltd|GL1 1XD|NONE||Yes|No][Solent Child cARE|gu9 7lw|NONE||Yes|No][Care 4 Children Residential Services Limited|SK6 2SR|NONE||Yes|No][Phoenix Learning and Care Limited|EX31 1JE|NONE||No|No][Beaufort Care Group|BH24 2DB|NONE||Yes|No][Options Group|B49 5JG|NONE||No|No][Headway|BS40 5HY|NONE||Yes|No][Keys Care Limited|BT1 3LP|NONE||No|No][New Forest Care|SO40 2LF|NONE||Yes|No][Potential Ltd Trading as Potens|CH41 4DB|NONE||No|No][Bridge Communities Ltd|GL5 2HT|NONE||Yes|No][wessex College|BA12 9HQ|NONE||Yes|No][Quarriers|PA11 3SX|NONE||No|No][Step-A-Side Care Ltd|GL16 8AA|NONE||Yes|No][Amberleigh Care|SY21 9AF|NONE||Yes|No][Greenfields|BS32 4NQ|NONE||No|No][Arc HD Services|SO50 9FD|NONE||Yes|No][Hexagon Care Services|PR2 2YQ|NONE||No|No][Chances CCFSS|GL4 6SZ|NONE||Yes|No][Cambian Childcare Limited|W6 9RU|NONE||No|No][Oracle Care Ltd|CW12 2AH|NONE||Yes|No][Meadows Care Ltd.|OL12 9EN|NONE||Yes|No][Acorn Care and Education Limited|BL2 1BX|NONE||No|No][Five Rivers Child Care Limited|SP1 3UT|NONE||No|No][Sherant Limited|SN12 7AB|NONE||Yes|No][My Choice Childrens Homes|RH16 1XQ|NONE||Yes|No][Keys Education Limited|BB4 6HR|NONE||Yes|No][Action for Children|WD18 8AG|NONE||No|No][Bryn Melyn Care Limited|TF1 6QJ|NONE||Yes|No][CareTech Community Services Ltd|EN6 1AG|NONE||No|No][Compass Children's Services|LE11 3GE|NONE||Yes|No][Sanctuary Care (North) Limited|WR1 3ZQ|NONE||No|No][Priory Education Services Limited|W14 8UD|NONE||No|No][Ambitions|TQ12 2JB|NONE||Yes|Yes][Turnaround care|DE56 0RN|NONE||Yes|No][Tumblewood Community|BA13 4LF|NONE||Yes|No][Kedleston Schools|UB7 0AE|NONE||No|No][Marlowe Child and Family Services Ltd|GL19 3NY|NONE||Yes|No][Aspirations Care Limited|GL3 1JZ|NONE||No|No][Family Childcare|m34 5be|NONE||Yes|No][St. Christopher's School|BS6 7JE|NONE||No|No][Idem Living|L36 5SE|NONE||Yes|Yes][Kisimul Group Ltd|LN6 9LU|NONE||No|No][Hillcrest Childrens Services Limited|PO9 1TR|NONE||Yes|No][Landsker Child Care|SA67 7AA|NONE||Yes|No][The Caldecott Foundation|TN25 6SP|NONE||Yes|No][North East Specialist Therapeutic Services CIC|TS25 5RE|NONE||Yes|No][Positive Cycle Limited|BS5 0HH|NONE||Yes|No][Cruckton Hall Ltd|SY5 8PR|NONE||Yes|Yes][Witherslack Group|LA6 2PR|NONE||No|Yes][Kites children's services|Ss09hr|NONE||Yes|No][Priority Childcare Ltd|SA10 6JQ|NONE||Yes|No][birribi ltd|SA67 7DU|NONE||Yes|No][Flourish Child Services Ltd|GL50 3AT|NONE||Yes|No][Autonomy Care Limited|SN10 1XA|NONE||Yes|No][Horizon Care and Education Group Limited|WS11 0LG|NONE||No|No][The Aurora Group|EC1N 2HT|NONE||No|No][New Horizons-(Stockport)Ltd|SK7 3DQ|NONE||Yes|No][Homes 2 Inspire Ltd|BR1 1LT|NONE||No|No][Children Services South West|BS5 5GP|NONE||Yes|No][Life Change Care Limited|BB12 6HA|NONE||Yes|No][Fonjocks Social Work Practice T/A FEVACA|IP33 3PQ|NONE||Yes|No][Care Today|SK2 6LR|NONE||No|No]","MRS DAWN JOHNSON",01/04/2016,31/03/2020,"Open ",
DVNCC001-DN316042-67912046,Contract,"Devon County Council",Awarded,2019-02-12T10:15:54Z,"CP1555-18 Peninsula Residential Children's Homes","The Peninsula Children's Services Partnership is a long-standing collaboration between:
- Somerset County Council,
- Devon County Council,
- Torbay Council, 
- Plymouth City Council

The Partnership aims to secure excellent and innovative services for children, young people, and families through sub-regional collaboration.
The work of the Partnership includes joint-commissioning of placements for children and young people in care.
A key activity for 2018 is the re-commissioning of the contract for residential children's homes.  The Peninsula Authorities require a range of placements to meet the needs of children and young people in care. The aim is to achieve a multi-provider framework of Ofsted regulated homes.",,,"South West","85000000 98000000 ","Lee Webber",lee.webber@devon.gov.uk,"County Hall, The Annexe","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,,01/02/2019,31/01/2023,05/10/2018,NO,,Yes,Yes,No,Services,122393192,122393192,15/01/2019,122393192,"[South West Childcare Services|PL1 3QN|NONE||Yes|No][Lifeworks|TQ9 6EQ|NONE||Yes|No][Enhanced Foster Care|BA12 9HQ|NONE||Yes|Yes][Willows Ltd|Wellington|NONE||Yes|No][Idem Living Ltd|L36 5SE|NONE||Yes|No][Cambian Childcare Limited|W6 9RU|NONE||No|No][3 Dimensions|TA20 3AJ|NONE||Yes|No][Broadwood Educational Services Limited|B63 4AH|NONE||No|Yes][Phoenix Learning and Care Limited|EX31 1JE|NONE||No|No][Priory Education Services Limited|W14 8UD|NONE||No|No][The Libra School|EX36 3LN|NONE||Yes|No][Five Rivers Child Care Limited|SP1 3UT|NONE||No|No][Headway|BS40 5HY|NONE||Yes|No][Options Group|B49 5JG|NONE||No|No][Total Care Matters Limited|ng2 2er|NONE||Yes|No][Childhood First|SE1 1JX|NONE||Yes|No][Progress Care Solutions|WV4 6JG|NONE||Yes|No][Bryn Melyn Care Ltd|TF1 6QJ|NONE||No|No][Step-A-Side Care Ltd|GL16 8AA|NONE||Yes|No][New Horizons-(Stockport)Ltd|SK7 3DQ|NONE||Yes|No][Esland|DE56 0RN|NONE||No|No][Hillcrest Childrens Services Limited|PO9 1TR|NONE||Yes|No][CareTech Community Services Ltd|EN6 1AG|NONE||No|No][Options BESD (1) Ltd t/a Options College Shifnal|B49 5JG|NONE||No|No][Pathway Care Solutions Group Ltd|BL2 1BX|NONE||Yes|No][The Caldecott Foundation|TN25 6SP|NONE||Yes|No][Options Autism (4) Limited|B49 5JG|NONE||No|No]","Miss Josie Warne",01/02/2019,31/01/2023,"Other ",
LGSS001-DN119587-24240435,Contract,"Northamptonshire County Council",Awarded,2019-02-04T11:10:41Z,"East Midlands Regional Children's Framework Agreement","Northamptonshire County Council, on behalf of the East Midlands Regional Children's Framework Agreement (EMRCF) Consortium, wishes to invite Tenders for the provision of Children's Homes and Fostering Services Placements for Children and Young People. 

 The EMRCF Consortium includes the following local authorities: 
 o Derby City Council 
 o Derbyshire County Council 
 o Leicestershire County Council 
 o Northamptonshire County Council 
 o Nottingham City Council 
 o Nottinghamshire County Council 
 o Rutland County Council 

 The Services for the EMRCF Framework Agreement to be provided have been categorised into two (2) Lots and split into Categories, which are described in terms of complexity and risk for each Child or Young Person's individual needs. 
 The Lots are split as follows: 
 Lot 1: Children's Homes 
 o Category 1.1 Standard Children's Homes Emotional Behaviour Difficulties (EBD) Provision 
 o Category 1.2 Specialist Children's Homes Emotional Behaviour Difficulties (EBD) Provision 
 o Category 1.3 Specialist Children's Homes Autistic Spectrum Condition (ASC) with challenging behaviour - non Learning Difficulties (LD) or low level LD 
 o Category 1.4 Specialist Children's Homes Autistic Spectrum Condition (ASC) with challenging behaviour - moderate or severe LD 
 o Category 1.5 Specialist Children's Homes Complex Health Needs 
 Lot 2: Fostering Services 
 o Category 2.1 Standard Fostering Provision 
 o Category 2.2 Specialist Fostering Provision 
 o Category 2.3 Specialist Fostering Disabilities 
 o Category 2.4 Specialist Fostering Complex Health Needs 

 Potential Providers can supply Services for one or more Lots and Categories and will be expected to set out in their Tenders how they will deliver the Services they apply for, with reference to the Specification. 

 The light touch regime (LTR) applies to the services under the EMRCF framework agreement as per Public Contracts Regulations 2015, This EMRCF Framework Agreement was originally set up in February 2016 for four (4) years and is being re-opened on an annual basis to allow new Providers to be added to the Framework Agreement or existing Providers to apply for additional Lots, Categories or Provisions. 

 Full details of how to complete and submit an ITT are available on the Northampton County Council's LGSS eSourcing system (Due North).

 URL: https://www.lgssprocurementportal.co.uk/
 Contract Reference number: DN119587
 If assistance is required regarding the use of the LGSS e-Tendering portal, please contact the due north help desk on:
 T: +44 330 005 0352 
 E: ProContractSuppliers@proactis.com
 The Tender closes at 12Noon on 21st September, 2017.",,,"East Midlands","85000000 98000000 85144000 85144100 ","David Isaacs",david.isaacs@cambridgeshire.gov.uk,"One Angel Square",,Northampton,"NN1 1ED",England,"+44 1223703518",http://www.lgssprocurementportal.co.uk,,,,01/02/2018,31/01/2020,21/09/2017,NO,,Yes,Yes,No,Services,500000000,500000000,03/04/2018,120000000,"[Platform Childcare Ltd|DE14 3NT|NONE||Yes|No][Nugent|L7 2PE|NONE||No|Yes][Absolute Children's services Ltd|ST13 8DU|NONE||Yes|No][Progressive Care|S9 2AE|NONE||Yes|No][Action for Children|WD18 8AG|NONE||No|No][Adventure Care|SK17 0TJ|NONE||Yes|Yes][Altum Residential Care Ltd|NG5 1JJ|NONE||Yes|No][Archways Care Ltd|B46 2RN|NONE||Yes|No][Blue Mountain Homes Limited|DE24 8GX|NONE||Yes|No][Cambian Childcare Limited|W6 9RU|NONE||No|No][Capstone Care Provider Ltd|NG3 2EG|NONE||Yes|Yes][Care Today (Children's Services)|SK2 6LR|NONE||Yes|No][CareTech Community Services Ltd|EN6 1AG|NONE||No|No][Compass Community Limited|LE11 3GE|NONE||Yes|No][Crystal Care Solutions|ST7 4JA|NONE||Yes|No][Homes 2 Inspire (G4S Care and Justice Services)|SW1E 6QT|NONE||Yes|Yes][Hexagon Care Services|PR2 2YQ|NONE||No|No][Hillcrest Childrens Services Limited|PO9 1TR|NONE||Yes|No][Keys Education Limited|BB4 6HR|NONE||Yes|No][Living Life (UK) Ltd T/As The Banyan Tree|NN6 0AW|NONE||Yes|No][Meadows Care Limited|OL12 9EN|NONE||Yes|No][North Lakes Childrens Services|CA4 8RR|NONE||Yes|No][Nottinghamshire YMCA|NG1 3FB|NONE||Yes|Yes][Pathway Care Solutions Group Ltd|BL2 1BX|NONE||Yes|No][Prestige Adolescent Care & Education Ltd|ST6 4BF|NONE||Yes|No][Priory Education Services Limited|W14 8UD|NONE||No|No][Sandcastle Care|FY5 1DX|NONE||Yes|No][Searchlight Care Services Ltd|ST3 5XA|NONE||Yes|No][The Caldecott Foundation|TN25 6SP|NONE||Yes|No][esland|DE6 3AY|NONE||Yes|No][the place young peoples company|ng13 8ap|NONE||Yes|No][Total Care Matters Limited|ng2 2er|NONE||Yes|No][Tree House Care Fostering|DN32 9DZ|NONE||Yes|No][UNIQUE CARE HOMES|M33 6TT|NONE||Yes|No][Young Foundations Ltd|LL16 4LU|NONE||Yes|Yes][BeaconChildcare Ltd|GL50 3AT|NONE||Yes|No][Horizon Care and Education Group Limited|WS11 0LG|NONE||No|No][Inspirations Leicestershire Ltd|LE2 5SE|NONE||Yes|No][Resolute Care LTD|NG8 2PP|NONE||Yes|No][Care 4 Children Residential Services Limited|SK6 2SR|NONE||Yes|No][Dalepeak Ltd|PR5 6QE|NONE||Yes|No][Family Care Group Ltd|PR5 6QE|NONE||Yes|No][Kedleston UK Ltd|CA3 0JG|NONE||Yes|No][Stanfield Care Services limited|PE37 7PT|NONE||Yes|No][Keys Group Progressive Care and Education|BB4 6HR|NONE||No|No][Bryn Melyn Care Ltd|TF1 6QJ|NONE||No|No][CareTech Community Services Limited|EN6 1AG|NONE||No|No][Childhood First|SE1 1JX|NONE||Yes|No][Meadows Care Ltd.|OL12 9EN|NONE||Yes|No][Options BESD (1) Ltd t/a Options College Shifnal|B49 5JG|NONE||No|No][Witherslack Group|LA6 2PR|NONE||No|Yes][Amberleigh Care|SY21 9AF|NONE||Yes|No][Halliwell Homes Limited|M6 6AP|NONE||Yes|No][Oracle Care Ltd|CW12 2AH|NONE||Yes|No][Five Rivers Child Care Limited|SP1 3UT|NONE||No|No][Kites Childrens Services|SS0 9LJ|NONE||Yes|No][ROC Northwest|PR3 3YB|NONE||Yes|No][Enabling Futures Ltd|SK14 8LA|NONE||Yes|No][Prestige Adolescent care & education Ltd|ST6 4BF|NONE||Yes|No][The SENAD Group|DE1 1UQ|NONE||No|No][Birtenshaw|BL7 9AB|NONE||No|No][Kisimul Group Ltd|LN6 9LU|NONE||No|No][Progress Care Solutions|WV4 6JG|NONE||Yes|No][Chartwell Care Services|LE5 5DU|NONE||Yes|No][Grace Care|NG2 3HZ|NONE||Yes|No][Foster Care Link Ltd|N16 6AA|NONE||Yes|No][Acorn Fostering Services Ltd|LE1 3BD|NONE||Yes|No][Anchor Foster Care Services Ltd|ME7 4ES|NONE||Yes|No][Alliance Foster Care|NN4 0NB|NONE||Yes|No][Archway Care Ltd|MK1 1SW|NONE||Yes|No][BSN Social Care Group|HA1 3EX|NONE||Yes|Yes][By the Bridge Limited|ME9 8JE|NONE||Yes|No][Caldecott Fostering|TN25 6SP|NONE||Yes|Yes][Child Care Bureau Ltd|WR2 6NJ|NONE||Yes|No][Family Care Fostering Limited|PR5 6QE|NONE||Yes|No][Foster Care Associates|B60 4AD|NONE||No|No][Fostering Dimensions Ltd|NG7 2BY|NONE||Yes|No][Fostering Outcomes Ltd|DA11 0DL|NONE||Yes|No][Fostering People Ltd|NG2 5GJ|NONE||Yes|No][Fostering Solutions Ltd.|BL2 1BX|NONE||Yes|No][Fusion Fostering Ltd|TA3 6BY|NONE||Yes|No][HOPE Fostering Services|NG7 5PN|NONE||Yes|No][Jay Fostering|LE8 6EP|NONE||Yes|No][Orange Grove Fostercare Ltd|B61 7DL|NONE||Yes|No][Care Today / Parallel Parents Ltd|SK2 6LR|NONE||No|No][Pride Fostering Service|LU2 8DL|NONE||Yes|No][Prospects for Young People Limited|LL13 9UG|NONE||Yes|No][Quality Fostering Ltd|CV8 1NP|NONE||Yes|No][Regional Foster Placements|NG2 5AW|NONE||Yes|No][Swiis Foster Care Ltd|W1G 9RE|NONE||Yes|No][TACT|SE13 6TJ|NONE||Yes|No][The National Fostering Agency Ltd|UB8 2AE|NONE||No|No][Anglia Fostering Agency Ltd|NR7 0TA|NONE||Yes|No][Barnardo's|RH10 9NE|NONE||No|No][Capstone Foster Care|B1 1PE|NONE||Yes|No][Fostering Options|MK17 8HS|NONE||Yes|No][Fosterplus Ltd|MK17 8LX|NONE||Yes|No][Sunbeam Fostering Agency Limited|SL3 6EZ|NONE||Yes|No][Team Fostering|S9 1TG|NONE||Yes|Yes][The Children's Family Trust|B60 4DJ|NONE||Yes|No][UK Fostering Ltd|CR9 2ER|NONE||Yes|No][Heath Farm Family Services Ltd.|BL2 1BX|NONE||Yes|No][ISP Ltd|ME10 1GL|NONE||Yes|No][Scope|N7 9PW|NONE||No|No][Credo Care Ltd|TN29 9AN|NONE||Yes|No]","Mr Zamir Lal",04/02/2019,31/01/2020,"Open ",
A5C3-Y6BGS7-A5FF-3J5CBY,Contract,"Darlington Borough Council",Awarded,2015-12-22T11:10:58Z,"Tees Valley Residential Children's Homes Provision For Children & Young People","Tees Valley Residential Children's Homes Provision For Children & Young People",,"DL1 5QT","North East","50000000 ","Stephanie Cox",Stephanie.cox@darlington.gov.uk,"Town Hall",,Darlington,"DL1 5QT",UK,"01325 405498",,,,,01/04/2016,31/03/2020,05/02/2016,NO,,Yes,Yes,No,Services,3500000,5000000,10/03/2016,5000000,"[Highfield Northeast Limited|37 Emerald street, Saltburn, TS12 1EE, Cleveland|||Yes|No][Care 4 Children Residential Services Limited|Affinity House, 1 Station View, Hazel Grove, SK7 5ER, Cheshire|||Yes|No][A J Residential Care Ltd|16 Sycamore Rd, Linthorpe, TS5 6QZ, Cleveland|||Yes|No][The Cladecott Foundation|Caldecott House, Hythe Road, Smeeth, TN25 6SP, Kent|||Yes|No][Meadows Care|Egerton House, OL12 9EN, Lancashire|||Yes|No][Acorn Care|33, Kellaw Road, DL1 4YA, County Durham|||Yes|No][Sandcastle Care|18 Rossall Rd, FY51DX, Lancashire|||Yes|No][Care Today (Children's Services)|2nd Floor, Lansdowne House, 85 Buxton Road, SK2 6LR, Greater Manchester|||Yes|No][Huntercombe House|3 Norton Court, 201 Norton Road, TS20 2BL, Cleveland|||Yes|No][Spark of Genius|35 Moss Street, PA1 1DL, Renfrewshire|||Yes|No][BetterCare Keys Limited|Suite 4, Littlemoor Business Centre, S21 4EF, Derbyshire|||Yes|No][Evolution Children Services|1st Floor, 1 Osborne Road, Jesmond, NE2 2AA, Tyne and Wear|||Yes|No][Cambian Childcare Limited|Pinnacle House, 2 Oakwood Square, Cheadle Royal Business Park, SK8 3SB, Cheshire|||Yes|No][Birtenshaw|Darwen Road, Bromley Cross, BL7 9AB, Lancashire|||Yes|No][Pathfinders Childcare Ltd|Middle Red Lumb Farm, Red Lumb, Ol127TX, Greater Manchester|||Yes|No][A Significant Other Ltd|Green Towers, Wolsingham, DL13 3HQ, Durham|||Yes|No][Acorn Care|33, Kellaw Road, DL1 4YA, County Durham|||Yes|No][Young Foundations Ltd|1a Enterprise House, Valley Street North, DL1 1GY, County Durham|||Yes|No][Beacon Reach|Ward green lane, Ribchester, PR33YB, Lancashire|||Yes|No][Witherslack Care & Education Initiatives|Suite 7 Kingfisher House, St John's Road, DH7 8TZ, County Durham|||Yes|No][Radical Services|2 Wyther Lane, Kirkstall, LS5 3BT, West Yorkshire|||Yes|No][North Lakes Childrens Services|Warwick Mill Business Centre, Warwick Bridge, CA4 8RR, Cumbria|||Yes|No][Pear Tree Projects LTD|Toy Top Farm, Houghton Bank, DL146AR, County Durham|||Yes|No][Approach|6 Fulmerton Crescent, TS10 4NJ, Cleveland|||Yes|No][Options Group|Turnpike Gate House, Alcester Heath, B49 5JG, Warwickshire|||Yes|No][North East Specialist Therapeutic Services|34 Westbourne Road, TS25 5RE, Cleveland|||Yes|No][Hopscotch Care Ltd|19 Lancaster Road, LA5 9LD, Lancashire|||Yes|No][Duty of Care Limited|13, Front Street, Staindrop, DL2 3LZ, County Durham|||Yes|No][Fairfield House Bishop Auckland Limited|Fairfield Lodge Evenwood Lane, Evenwood, DL14 9NH, County Durham|||Yes|No][Arronbeth Limited|4 Hurworth Road, DL2 2DA, County Durham|||Yes|No][Hennessy Children Services|Helme hall, Helme Lane, HD9 5RL, West Yorkshire|||Yes|No]",,01/04/2016,31/03/2020,"Open ",
