"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CQC AM 098",Contract,"Care Quality Commission",Awarded,2016-05-25T15:29:45Z,"Care Quality Commission - Email Marketing System","Details of our requirements can be found in the attached documentation.

Kind regards",,,"Any region","48000000 72000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",,London,"SW1W 9SZ",England,,,"20160525 CQC AM 098 Email marketing system Part 1.pdf 20160525 CQC AM 098 Email Marketing system Part 2.pdf ",,,30/01/2016,29/01/2018,16/12/2015,NO,,Yes,No,No,Services,69608,,20/01/2016,69608,"[GovDelivery Incorportion|408 St Peter St
Minnesota
USA
55102|||No|No]",,30/01/2016,29/01/2018,"Other ",
"CQC ICTC 431",Contract,"Care Quality Commission",Awarded,2016-05-25T15:25:01Z,"Care Quality Commission - Geographical Information System","Please find CQC requirements in the attached documentation.  Kind regards",,,"Any region","48000000 ",,commercialcontracts@cqc.org.uk,"151 Bunhill Row",,London,"SW1W 9SZ",England,,,"20160430 CQC ICTC 431 Geographical Information system Part 1 Redacted.pdf 20160430 CQC ICTC 431 Geographical Infomation system Part 2 Redacted.pdf ",,,11/05/2016,30/04/2018,14/12/2015,NO,,Yes,No,No,Services,26107,,05/02/2016,26107,"[Comparex UK LTD|The Hawk Creative Business Park
Harrier Building, The Hawkhills Estate
Easingwold, York
North Yorkshire
YO61 3FE|||No|No]",,11/05/2016,30/04/2018,"NotApplicable ",
"CQC PSO 020 London",Contract,"Care Quality Commission",Awarded,2016-05-20T10:36:49Z,"Care Quality Commission Experts by Experience","Please view attached contract for all decriptions of the required service.

Kind regards",,,London,"73000000 85100000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",,London,"SW1W 9SZ",England,,www.cqc.org.uk,"20160513 CQC PSO 020 Remploy London Region Part 3_Redacted.pdf 20160513 CQC PSO 020 Remploy London Region Part 2 b.pdf 20160513 CQC PSO 020 Remploy London Region Part 4_Redacted.pdf 20160513 CQC PSO 020 Remploy London Region Part 1.pdf 20160513 CQC PSO 020 Remploy London Region Part 2 a.pdf ",,,01/02/2016,31/07/2017,16/07/2015,NO,,No,Yes,No,Services,1791592,,01/02/2016,1791592,"[Remploy Limited|18C Meridian East, Meridian Business Park, Leicester, LE19 1WZ|||No|No]",,01/02/2016,31/07/2017,"Other ",
"CQC PSO 020 South Region",Contract,"Care Quality Commission",Awarded,2016-05-18T17:41:52Z,"Care Quality Commission Experts by Experience","Please view attached contract for full discription of all services required.",,,"South East,South West","73000000 85000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Buckingham Palace Road",,London,"SW1W 9SZ",England,,www.cqc.org.uk,"20160513 CQC PSO 020 Remploy South Region Part 3_Redacted.pdf 20160513 CQC PSO 020 Remploy South region Part 1.pdf 20160513 CQC PSO 020 Remploy South region Part 2_Redacted.pdf 20160513 CQC PSO 020 Remploy South Region Part 4_Redacted.pdf ",,,01/02/2016,31/07/2017,16/07/2015,NO,,No,Yes,No,Services,2817578,,01/02/2016,2817578,"[Remploy Limited|18C Meridian East, Meridian Business Park, Leicester, LE19 1WZ|||No|No]",,01/02/2016,31/07/2017,"Other ",
"CQC PSO 020 Choice",Contract,"Care Quality Commission",Awarded,2016-05-18T17:39:30Z,"Care Quality Commission Experts by Experience","Please view attached contract for full description of services.",,,"Any region","85000000 73000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Buckingham Palace Road",,London,"SW1W 9SZ",England,,www.cqc.org.uk,"20160513 CQC PSO 020 Choice Part 1.pdf 20160513 CQC PSO 020 Choice Part 3_Redacted.pdf 20160513 CQC PSO 020 Choice Part 2 Redacted.zip ",,,01/02/2016,31/07/2017,16/07/2015,NO,,No,Yes,No,Services,3775650,,01/02/2016,3775650,"[Choice Support|100 Westminster Bridge Road
London, SE1 7XA.|||No|No]",,01/02/2016,31/07/2017,"Other ",
"CQC PSO 20 North Region",Contract,"Care Quality Commission",Awarded,2016-05-18T17:36:38Z,"Care Quality Commission Experts by Experience","Please view attached contract for full description of services required.

Thank you",,,"North East,North West","85100000 73000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Buckingham Palace Road",,London,"SW1W 9SZ",England,,www.cqc.org.uk,"20160513 CQC PSO 020 Remploy North Region Part 1.pdf 20160513 CQC PSO 020 Remploy North Region Part 4_Redacted.pdf 20160513 CQC PSO 020 Remploy North Region Part 3_Redacted.pdf 20160513 CQC PSO 020 Remploy North region part 2_Redacted.pdf ",,,01/02/2016,31/07/2017,16/07/2015,NO,,No,Yes,No,Services,2710132,,01/02/2016,2710132,"[Remploy Limited|18C Meridian East, Meridian Business Park, Leicester, LE19 1WZ|||No|No]",,01/02/2016,31/07/2017,"Other ",
"T70-Y-000528769 (100353401)",Contract,"The Queen Elizabeth Hospital King's Lynn Nhs Foundation Trust",Awarded,2020-05-13T12:42:19Z,"Annual Fee For Care Quality Commission","Annual Fee For Care Quality Commission 2020/21
",,"PE30 4ET",,"72225000 ",,joanne.westbrook@qehkl.nhs.uk,"QUEEN ELIZABETH HOSPITAL",,"KING'S LYNN",PE304ET,England,,,,,,01/04/2020,31/03/2021,31/03/2020,NO,,No,No,No,NotSpecified,130874,,31/03/2020,130874,"[Care Quality Commission|Phoenix House 
Topcliffe Lane
Wakefield
West Yorkshire
WF3 1WE|NONE_OTHER||No|No]",,01/04/2020,31/03/2021,"Other Inter NHS",
"CQC PSO 055",Contract,"Care Quality Commission",Awarded,2015-08-21T15:41:09Z,"The Independent Review of Health and Safety Management, Strategy and Resources across all functions at the Care Quality Commission","We require a professional service which would include competent health and safety consultants to undertake an independent strategic review of all the relevant audit recommendations in to aspects of current health and safety arrangements, knowledge and activities across the support functions in CQC.   
The successful tenderer must have sound knowledge of the risks associated with a multi-disciplinary professional public body, spread over office based and home based employees, including a call centre environment, and the arrangements for supporting bank staff, and sub-contracted specialists.",,,"Any region","98000000 ",,commercialcontracts@cqc.org.uk,Citygate,Gallowgate,"Newcastle upon Tyne","NE12 9QN",England,"0191 2333621",www.cqc.org.uk,"20151116 CQC PSO 055 EDP Health Safety and Environment Consultants Ltd_Redacted.pdf ","https://www.delta-esourcing.com ","This is a competition run by the Care Quality Commission and suppliers should be aware that OGC Model Service Terms and Conditions shall apply. 
How to Access this tender 
This contract is being tendered online using Delta e-Sourcing. Interested suppliers must read through this set of instructions and follow the process to respond to this opportunity.
The information and/or documents for this requirement are available on 
https://www.delta-esourcing.com
You must register on this site to respond, if you are already registered you will not need to register again, simply use your existing username and password. Please note there is a password link on the homepage.
Interested suppliers must log in, go to your Response Manager and add the following Access Code:  F74K8653BC   Please ensure you follow any instructions provided to you here. 
The deadline for submitting your response(s) is Tueday 8th September at 12 noon. It is advisable that you allow yourself plenty of time when responding to this invite prior to the closing date and time, especially if you have been asked to upload documents.
If you experience any technical difficulties please contact the Delta eSourcing Helpdesk Telephone No: 0845 270 7050 or email helpdesk@delta-esourcing.com ",02/11/2015,29/02/2016,08/09/2015,NO,,Yes,Yes,No,Services,32000,60000,28/10/2015,32000,"[EDP Health Safety and Environment Consultants Ltd|Lakeside Alexandra Business Park Prescot Road St Helens
WA10 3TT|||No|No]",,02/11/2015,29/02/2016,"Open ",
36129,Contract,"National Audit Office",Awarded,2017-04-10T14:21:34Z,"Statutory audit of Care Quality Commission","Statutory audit of Care Quality Commission",,"SW1W 9SP",,"79210000 ",,Z3-Procurement@nao.gsi.gov.uk,"157-197 Buckingham Palace Road",,LONDON,"SW1W 9SP",England,,,,,,12/10/2015,12/10/2016,12/09/2015,NO,,No,No,No,Services,156000,,12/09/2015,0,[DELOITTE|DELOITTE|||No|No],,12/10/2015,12/10/2016,"Other ",
"
            MT167437",Contract,"Capita Business Services",Awarded,2015-12-10T17:45:24Z,"RFQ | WPS379 | CQC Mentoring Programme | Care Quality Commission;CQC","12 month rolling Mentoring programme for staff at CQC.
The programme covers the following core components:
- Training for mentors
- Identification of mentees ;through applications
- Training for mentees
- Support the pairing process of mentors and mentees
- Mentoring arrangement established, including    possible 'reverse mentoring' arrangements
- Evaluation / progress undertaken
- Innovative ideas for promotion and communication of the programme.",,,"West Midlands","80511000 ","CSL Procurement",CSLProcurement@capita.co.uk,"5th Floor, Fort Dunlop, Fort Parkway, Erdington,",,Birmingham,"B24 9FD","
              England
            ","+44 2083592188",,,"http://www.mytenders.org/search/show/search_view.aspx?ID=DEC118115 ",,11/11/2015,11/11/2018,01/01/2015,NO,,Yes,No,No,Services,40569.68,,11/11/2015,40569.68,"[David Clutterbuck Partnership|Woodlands, Tollgate,, Maidenhead|||No|No]",,11/11/2015,11/11/2018," ",
