"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN347746-21354468,Contract,"Bristol City Council",Awarded,2018-06-14T10:04:34Z,"Bus Shelter Advertising","Bus Shelter Advertising Concession",,,"South West","79340000 ","Stephen Pick",stephen.pick@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,01/04/2020,31/03/2021,07/06/2018,NO,,Yes,Yes,No,Services,650000,650000,14/06/2018,650000,"[Clear Channel UK Ltd|W1F 9JT|NONE||No|No][Clear Channel UK Limited|BS20 7XE|NONE||Yes|No]","Mrs Jessica Henriques",01/04/2020,31/03/2021,"Open ",
A2014132(1),Contract,Centro,Awarded,2016-02-17T13:04:32Z,"Advertising & Network Infrastructure Maintenance","Centro is seeking suitable suppliers for its Advertising and Network Infrastructure Maintenance contracts that are due to commence on 1st July 2016 for a period of 10 years. This is to replace Centro's existing contracts that expire on 30th June 2016.
The contracts consist of the following Lots:
- Lot 1 Roadside Asset Advertising
- Lot 2 Commercialisation of Assets
- Lot 3 Infrastructure Cleaning & Audit
- Lot 4 Highway Infrastructure Maintenance
- Lot 5 Highway Infrastructure Supply, Install
- Lot 6 Grounds Maintenance
- Lot 7 Timetable cases.
Bidders can submit tenders for any or all of the Lot(s) above. Tenders are due back by the closing date of 1000 on Thursday 24th March 2016 and the deadline for clarification questions is 12 noon on Monday 7th March 2016. Centro is holding pre-tender Briefing Sessions for all interested bidders commencing at 1400 on Tuesday 23rd February 2016 and 1030 on Wednesday 24th February 2016 at Centro House, Birmingham. If either of these are of interest would you please confirm your attendance by 1700 on Monday 22nd February 2016.
It is Centro's intention to make the contracts available to other local authorities in the UK.
This will consist of the following:
- all county councils, borough and district councils and unitary authorities throughout England, Northern Ireland, Scotland and Wales (please see: - www.direct.gov.uk/en/DI1/Directories/Localcouncils/AToZOfLocalCouncils/index.htm)
- West Midlands Integrated Transport Authority
- West Midlands Passenger Transport Executive
- Merseyside Integrated Transport Authority
- West Yorkshire Integrated Transport Authority
- West Yorkshire Passenger Transport Executive
- South Yorkshire Integrated Transport Authority
- South Yorkshire Passenger Transport Executive
- Tyne & Wear Integrated Transport Authority
- Tyne & Wear Passenger Transport Executive
- Greater Manchester Integrated Transport Authority
- Transport for Greater Manchester
- Transport for London
- Strathclyde Partnership for Transport.
Each of these organisations will contract directly with the successful suppliers. There is, however, no obligation on any other Contracting Authorities to utilise any of these contracts.   
Please note that all communications in relation to these contracts will be through BravoSolution, Centro's e-tendering portal (please see https://centro.bravosolution.co.uk and the attached document outlining how to register for more details), which is also the location to download all tender documents and upload bidder responses, no other means of communication will be accepted. 
If you require any further assistance please consult the online help, or contact the eTendering help desk.
Please note that the reference for the Qualification document in BravoSolution is: itt_295.
The tender reference for each Lot in BravoSolution is as follows:
Lot 1 - itt_304
Lot 2 - itt_305
Lot 3 - itt_296
Lot 4 - itt_297
Lot 5 - itt_301
Lot 6 - itt_302
Lot 7 - itt_303.",,,"Any region","79341000 44212000 30199000 50000000 42924740 90910000 ",,procurementteam@centro.org.uk,"Centro House","16 Summer Lane",Birmingham,"B19 3SD",England,,,"Registration_Guide_Bravo_Suppliers_May13.docx ",,,01/07/2016,30/06/2026,24/03/2016,NO,,Yes,Yes,No,Services,0,,07/06/2016,0,"[Clear Channel UK Ltd.|33 Golden Square
London
W1F 9JT|||No|No][Mitie|Unit 3
Valmar Trading Estate
Valmar Road
Camberwell
SE5 9NW|||No|No][Signature Ltd.|51 Hainge Road
Tividale
Oldbury
B69 2NY|||No|No][Bus Shelters Ltd.|Dyffryn Business Park,
Llantwit Major Road,
Llandow
Cowbridge,
CF71 7PY|||No|No][Mitie Landscapes Limited|30 North Luton Industrial Estate,
Sedgwick Road,
Luton,
LU4 9DT.|||No|No][Horizon Group Ltd.|Unit 15b,
Holme Mills Industrial Park,
Britannia Road,
Milnsbridge,
Huddersfield,
HD3 4QF.|||No|No]",,01/07/2016,30/06/2026,"Open ",
LPOOL001-DN216295-55894050,Contract,"Liverpool City Council",Awarded,2018-06-29T11:30:14Z,"Commercial Partner to manage Large Format Digital Advertising Screens","Liverpool City Council (the Contracting Authority) is seeking a commercial partner or partners to manage large format digital advertising signs, by way of concession, using a bespoke Competitive Procedure with Negotiation.                                                       
The successful commercial partner will be responsible for the installation and maintenance of the large digital format advertising boards across the City, and will be able to exploit the opportunities for selling of advertising on these formats.
The Contracting Authority requires a Guaranteed annual revenue and % share of Gross Sales over the 10 year concession period.
The Contracting Authority also invites Bidders to identify and optimise other potential sites across the City of Liverpool for approval, by bringing sites forward for development as part of the concession.
Further details are set out in the tender documents.",,,"North West","79341000 ","Lorraine Cross",Lorraine.Cross@liverpool.gov.uk,"4th Floor, Cunard Building",,Liverpool,"L3 1DS",UK,"+44 1512330585",http://www.liverpool.gov.uk,,,,28/05/2017,28/05/2027,23/01/2017,NO,,Yes,Yes,No,Services,5000000,5000000,31/12/2017,2500000,"[Clear Channel UK Ltd|W1F 9JT|NONE||No|No][JCDecaux UK Ltd|TW8 9DN|NONE||No|No]",,01/05/2018,01/05/2028,"Other ",
LEICSCITY02-DN326785-53630178,Contract,"Leicester City Council",Awarded,2020-10-15T17:05:08Z,"PAN1153 - Supply, Installation and Maintenance of Bus Shelters and Information Panels","Leicester City Council invites Tenders for the supply, installation, maintenance and cleaning of bus shelters and information panels. This will be a concession contract under which the successful Supplier generates income to fund these services from selling advertising space on the panels/shelters.
The proposed Contract will be for ten years with an option to extend for a period or periods totalling no more than a further five years.",,,"East Midlands","44212321 ","Neil Bayliss",neil.bayliss@leicester.gov.uk,"City Hall","115 Charles Street",Leicester,"LE1 1FZ",England,"+44 1164544021",http://www.leicester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=9a453e3e-051e-e811-80ea-005056b64545 ",,01/10/2020,30/09/2030,15/07/2020,NO,,No,No,No,Services,0,,30/09/2020,30800000,"[Clear Channel UK Ltd|33 Golden Square, London, W1F 9JT|NONE||No|No]",,01/10/2020,30/09/2030,"Other ",,12:00
TORB001-DN430116-97787937,Contract,"Torbay Council",Awarded,2020-01-21T00:00:00Z,"Digital Advertising Screens and Marketing","Torbay Council requires a suitably experienced Contractor to work with the Authority, to help raise revenue through the sale of advertising on outdoor digital screen assets. The Contractor will provide and install the screens and seek out, agree and manage commercial advertising packages for the Asset Portfolio contained within the attached Appendix C Initial Locations for advertising. 
The Council has identified eight urban locations for outdoor digital advertising display screens of up to 48 sheet in size.
",,,"South West","32000000 79340000 79400000 ","Joanna Pascoe",joanna.pascoe@torbay.gov.uk,"Torbay Council Town Hall","Castle Circus",Torquay,"TQ1 3DR",England,"+44 1803208517",http://www.torbay.gov.uk/,,,"In order to provide unrestricted, full, direct and free of charge access to the Tender Documents the Authority is providing the Documents in PDF format in the Opportunities Area of the ProContract e-Tendering portal at www.supplyingthesouthwest.org.uk
In order to access amendable versions of the Documents and to submit a response Applicants must be registered as Suppliers on ProContract. Applicants should then express an interest in the opportunity and download the Word and Excel format Documents for completion and submission.

",02/12/2019,01/12/2027,17/09/2019,NO,,Yes,Yes,No,Services,200000,200000,08/11/2019,1375000,"[Clear Channel UK Ltd|W1F 9JT|NONE||No|No]","Ms Maria Macias",02/12/2019,01/12/2027,"Open ",
DN126574,Contract,"STAR Procurement",Awarded,2018-07-27T13:56:48Z,"6 Sheets advertising services","This is an award notice only, please do not respond.",,,"North West","79341200 ","STAR Procurement",procurement@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,,,,,,25/07/2016,24/07/2031,02/06/2016,NO,,No,No,No,Services,4000000,6000000,23/06/2016,3285000,"[Clear Channel UK Ltd|1 Schoolhouse Second Avenue, Trafford Park Manchester Greater Manchester M17 1DZ United Kingdom|COMPANIES_HOUSE|0950526|No|No]",,25/07/2016,24/07/2031,"OpenOJEU ",
MT171492,Contract,"Milton Keynes Council",Awarded,2017-04-06T17:45:06Z,"Advertising Concession for Bus Shelters and Free-Standing Advertising Units","Milton Keynes Council has awarded a concession contract to a suitably experienced and competent supplier, for the provision of advertising services. The concession contract comprises;
- The supply of advertising units, whether affixed to Bus Shelters or as free-standing units, at existing designated sites throughout the borough of Milton Keynes.
- On-going maintenance of the advertising units.
- The development of a marketing and sales strategy to maximise the revenue generation potential for commercial advertising media to be displayed in the advertising units, including identifying potential additional advertising sites.
A portion of the revenue generation generated will be paid to the Council as detailed in the tender documents.",,,"South East","79341000 79340000 34928000 45213315 44212321 45233293 ","Corporate Procurement Team",contracts@milton-keynes.gov.uk,"Civic Offices","1 Saxon Gate East","Milton Keynes","MK9 3HG",England,"+44 1908691691",http://www.milton-keynes.gov.uk,,"http://www.mytenders.org/search/show/search_view.aspx?ID=APR141252 ",,08/02/2016,07/02/2026,30/03/2015,NO,,Yes,No,No,Services,0,,02/02/2016,0,"[Clear Channel Uk Ltd|33 Golden Square,, London|||No|No]","Karen Rankin",08/02/2016,07/02/2026,"Open ",
LEEDSCITY001-DN400772-74625605,Contract,"Leeds City Council",Awarded,2019-03-26T20:59:01Z,"Outdoor advertising contract to raise awareness of the Clean Air Charging Zone and financial support available","To deliver an 8-month, two phase outdoor advertising contract to multiple suppliers to support some of the key communications around the Clean Air Charging Zone and maximise awareness of the Clean Air Charging Zone and support available for affected vehicle owners.",,,"Yorkshire and the Humber","79341000 ","Chad Newton",Chad.Newton@leeds.gov.uk,"Civic Hall",,Leeds,"LS1 1UR","United Kingdom","+44 1133789849",http://www.leeds.gov.uk,,,,26/03/2019,06/01/2020,24/03/2019,NO,,No,No,No,Services,44998,44998,26/03/2019,44998,"[JCDecaux UK Ltd|TW8 9DN|NONE||No|No][Clear Channel UK Ltd|W1F 9JT|NONE||No|No][Pop Art (Leeds) Ltd|LS12 3JB|NONE||Yes|No]","Miss Roshanak Rafati",27/03/2019,06/01/2020,"Open ",
SALF001-DN350512-69302146,Contract,"Salford City Council",Awarded,2018-11-29T13:58:46Z,"Flexible Procurement Agreement Advertising Billboards On Council Land","All documentation for the Flexible Procurement Solution can be found on www.the-chest.org.uk",,,"North West","79341000 ","Christine Flisk",christine.flisk@salford.gov.uk,"Salford Civic Centre","Chorley Road",Swinton,"M27 5AW","United Kingdom",,http://www.salford.gov.uk/,,,,03/09/2018,31/08/2023,23/07/2018,NO,,Yes,No,No,Services,0,,28/10/2018,0,"[Primesight|W1T 2DY|NONE||Yes|No][Vivid Outdoor Media Limited|SK8 7BS|NONE||Yes|No][Clear Channel UK Ltd|W1F 9JT|NONE||No|No][JCDecaux UK Ltd|TW8 9DN|NONE||No|No][Community Partners Limited|LS29 8QT|NONE||Yes|No][immediate solutions|hx3 5ax|NONE||Yes|No]","Mr Stephen Sweeney",01/11/2018,30/09/2023,"Open ",
EC09/01/2675/1,Contract,"SOUTHAMPTON CITY COUNCIL",Awarded,2019-04-09T09:37:50Z,"Out of Home Advertising Large and Small Format","The council is offering the opportunity to manage large and small format advertising concessions in the city of Southampton. We are looking for a service provider(s) who can enhance the cityscape through the provision of high-quality, high specification digital display advertising in the city and districts centres and on the key road network. Opportunities for large format advertising exists in the city centre and key routes in and out of the city which carry in excess of 110,000 commuters per day. Opportunities for small format (six sheet) advertising exists in the city centre and district centres.",,"SO14 7LT",,"79340000 ",,lucy.kelly@southampton.gov.uk,"One Guildhall Square","Above Bar Street",Southampton,"SO14 7LT",England,,,,,,01/01/2019,31/12/2028,14/09/2018,NO,,Yes,No,No,Services,5000000,10000000,28/11/2018,10000000,"[Ocean Outdoor UK Limited|25 Kingly Street,
W1B 5QB London|COMPANIES_HOUSE|5309128|No|No][Clear Channel UK Ltd|33 Golden Square, 
London, W1F 9JT|COMPANIES_HOUSE|950526|No|No]",,01/01/2019,31/12/2029,"OpenOJEU ",
