"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP471144645,Contract,"Coventry City Council",Awarded,2020-02-07T12:40:03Z,"GB-Coventry: TPPL Coventry City Council BNES Bus Lot 4 - 15 x Coachbuilt Accessible Minibus (2999)","TPPL Coventry City Council BNES Bus Lot 4 - 15 x Coachbuilt Accessible Minibus (2999)",,,"West Midlands","34114400 ","Brian Martin",brian.martin@coventry.gov.uk,"259 Whitley Depot","London Road",Coventry,"CV3 4AR",UK,02476832188,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=471144645 ",,02/07/2020,02/08/2020,29/10/2019,NO,,No,No,No,Products,1114254,,29/10/2019,1114254.3,"[Treka Bus Ltd|Archer Road
        Armytage Road Industrial Estate
        Brighouse
        HD6 1XF|NONE||No|No]","Tracy Sharp",02/07/2020,02/08/2020,"NotSpecified ",
BIP298482894,Contract,"Coventry City Council",Awarded,2018-01-22T10:39:06Z,"GB-Coventry: TPPL Coventry City Council HCC lot 2","6 Cleansing vehicles with polypropylene constructed bodies 
      2 Flatbed tippers capable of towing digger of around 2.5 ton 
      1 Beavertail type recovery vehicle",,,"West Midlands","34134100 34144000 ","Brian Martin",Brian.martin@coventry.gov.uk,"Whitley Depot","259 London Road",Coventry,"CV3 4AR",UK,02476832188,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=298482894 ",,12/05/2017,09/06/2017,11/05/2017,NO,,No,No,No,Products,319133,,11/05/2017,319133.6,"[Ford Motor Company Limited|Eagle Way
        Brentwood
        Essex
        CM13 3BW|NONE||No|No]","Ian Watson",12/05/2017,09/06/2017,"NotSpecified ",
BIP373196412,Contract,"Coventry City Council",Awarded,2019-01-28T11:56:11Z,"GB-Coventry City Council: Hertfordshire County Council Framework Contract Award Notices HCC2015/269","up to 7 x 17 Seat Minibuses",,,"West Midlands","34114400 ","Brian Martin",Brian.martin@coventry.gov.uk,"259 Whitley Depot","London Road",Coventry,"CV3 4AR",UK,02476832188,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=373196412 ",,15/03/2018,15/04/2018,14/03/2018,NO,,No,No,No,Products,124846,,14/03/2018,124846.4,"[Lookers Plc|Mayflower House 
        Fifth Avenue Team Valley Trading Estate 
        Gateshead Tyne and Wear 
        NE11 0HF|NONE||No|No]","Richard Hobb",15/03/2018,15/04/2018,"NotSpecified ",
"TECS Lot 4 - Coventry City Council",Contract,"NORTHERN HOUSING CONSORTIUM LIMITED",Awarded,2020-04-15T09:41:29Z,"TECS Lot 4 - Coventry City Council - awarded","This contract award notice is to notify the market that Coventry City Council based in Coventry, UK have appointed Urban Foresight as their Technology Enabled Care Services provider for a period of one month.
This appointment has been made under the Northern Housing Consortium's Technology Enabled Care Services framework. (Contract Award Notice 2019/S 236-579313)
",,"CV1 5RR",,"50421000 ","Nicola Benson",nicola.benson@consortiumprocurement.org.uk,"Loftus House, Colima Avenue",,SUNDERLAND,"SR5 3XB",England,,,,,,01/05/2020,30/06/2020,14/04/2020,NO,,No,No,No,Services,1000,,14/04/2020,1000,"[URBAN FORESIGHT LIMITED|Science Central
NEWCASTLE-UPON-TYNE
TYNE AND WEAR
NE4 5TF
GB|COMPANIES_HOUSE|07705420|No|No]","David Beeton",01/05/2020,30/06/2020,"CallOffFromFrameworkAgreement ",
"TECS 20 - Coventry City Council",Contract,"NORTHERN HOUSING CONSORTIUM LIMITED",Awarded,2020-07-21T12:08:31Z,"TECS 20 - Coventry City Council - awarded","This contract award notice is to notify the market that Coventry City Council based in City, UK have appointed Tunstall as their Technology Enabled Care Services provider for a period of 4 years, with an option to extend for a further 1 year.  
This appointment has been made under the Northern Housing Consortium's Technology Enabled Care Services framework. (Contract Award Notice 2019/S 236-579313)",,"CV1 5RR",,"50421000 ","Nicola Benson",nicola.benson@consortiumprocurement.org.uk,"Loftus House, Colima Avenue",,SUNDERLAND,"SR5 3XB",England,,,,,,01/08/2020,31/07/2024,21/07/2020,NO,,Yes,Yes,No,Services,74876,,21/07/2020,74876,"[TUNSTALL HEALTHCARE (UK) LIMITED|Whitley Lodge,Doncaster Road, Whitley
GOOLE
East Yorkshire
DN14 0HR
GB|COMPANIES_HOUSE|01332249|No|No]","Paula Bambrick",01/08/2020,31/07/2024,"CallOffFromFrameworkAgreement ",
"COV - 9138",Contract,"COVENTRY CITY COUNCIL",Awarded,2020-08-25T10:15:31Z,"UTMC network hardware provision, technical network consultancy and hardware support contract","Coventry City Council is seeking to establish its own Urban Traffic Management Control (UTMC) network. This further competition was to award a contract for the supply of the UTMC network IT hardware, potential technical network design consultancy and implementation support as well as a hardware support and maintenance contract for some of the hardware supplied.

Further competition was concluded through CCS Framework RM6068 Lot 2.",,"CV1 5RR",,"32420000 ","Michael Duffy",michael.duffy@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,,,,,,01/09/2020,31/08/2023,13/08/2020,NO,,No,No,No,Products,0,350000,25/08/2020,346400,"[CDW LIMITED|3rd Floor,One New Change
LONDON
EC4M 9AF
GB|COMPANIES_HOUSE|02465350|No|No]","Andy Wood",01/09/2020,31/08/2023,"CallOffFromFrameworkAgreement ",,10:00
"COV - 7231 - Award",Contract,"COVENTRY CITY COUNCIL",Awarded,2019-11-11T13:38:10Z,"Alternative Learning Opportunities","It is the intention of Coventry City Council to let a flexible framework of approved providers for alternative learning opportunities for 10-19 year-old Learners, particularly those who are most at risk of becoming disengaged from learning, requiring additional support to re-engage them back into mainstream education and bespoke programmes focused on removing barriers to learning. 

Alternative education provision ensures that vulnerable children and young people are kept safe and healthy, can access their learning through elimination of barriers, achieve well, and are provided with opportunities to make a positive contribution, to their education; preparing them for the world of work and employment, thus assisting in reducing the Coventry NEET statistics.",,,"West Midlands","80000000 ","Alex Marsden",alex.marsden@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,"024 7683 3757",,,,,01/11/2019,30/09/2021,12/08/2019,NO,,Yes,No,No,Services,660000,,23/10/2019,660000,"[Educ8 Coventry and Warwickshire Limited|80 Jackson Road,
Bagworth, 
Leicestershire
LE671HL|NONE||Yes|No][Fresh Start in Education Ltd|Castle House, 
Castle Hill Avenue, 
Folkestone, Kent, 
CT20 2TQ|NONE||Yes|No][Horizon Care and Education Ltd|Venture House,
12 Prospect Park, 
Longford Road, 
Cannock, 
WS11 0LG|NONE||Yes|No][Intuitive Thinking Skills|City View House, 
5 Union Street, 
Ardwick
Manchester
M12 4JD|NONE||Yes|No][Progressive Consultancy and Training Ltd|Unit 24 Highcroft Industrial Estate 
Horndean,
Waterlooville.
PO8 0BT|NONE||Yes|No][Tute Education Ltd|Unit 11, Edison Court
Elice Way 
Wrexham Technology Park
Wrexham 
LL13 7YT|NONE||Yes|No]",,01/11/2019,30/09/2021,"OpenOJEU ",
5db2fc2c-f073-45a7-877e-c91619fc51f3a,Contract,"COVENTRY CITY COUNCIL",Awarded,2019-03-11T09:27:04Z,"Performing Arts Service -Music Tutors","It is the intention of Coventry City Council to establish an open framework for the provision of music tutors to provide music tuition across Coventry for children and young people. This work will include; Whole Class Ensemble Tuition, instrumental tuition, out of school ensembles and music performance opportunities.

Further opportunities are found at http://www.csw-jets.co.uk/",,,"West Midlands","80590000 ","Alex Marsden",alex.marsden@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,"024 7683 3757",,"ENOTICES_TaylorMcoventrygov-2017-087209-NF21-EN.pdf ",,,01/09/2021,02/09/2021,31/08/2021,NO,,Yes,No,No,Services,2204000,,28/02/2019,47632,"[Alex Morgan|Sutton Coldfield
West Midlands
B76 1YT|NONE||Yes|No][Geoffrey Williams|Coventry,     CV3 6HY|NONE||Yes|No][Joe Shimmin|106 Silver Street, Kings Heath, Birmingham B14 7QT|NONE||Yes|No][Michelle Heritage|Cheylesmore,
Coventry,
CV3 5ES|NONE||Yes|No][Stephen Plummer|18 Queens Court
24 Bridge Street
Birmingham
B1 2JR|NONE||Yes|No][Arjun Jethwa Music|Flat 5/E, 4 York Road, Edgbaston, Birmingham, B16 9JA|NONE||Yes|No][Elizabeth Long|16 Turchil Walk
Cawston
Rugby
CV22 7GE|NONE||Yes|No][Hazel Buller|91 Peplins Way, Kings Norton, Birmingham, B30 3NJ|NONE||Yes|No][Jaque Daniel Jon Durrant|94 Grafton Street
Coventry
West Midlands
CV1 2HW|NONE||Yes|No][BRENDA ALLISON|62 COVENTRY ROAD, BRINKLOW, NR RUGBY, WARWICKSHIRE CV230NF|NONE||Yes|No]",,01/09/2021,02/09/2021,"CallOffFromDynamicPurchasingSystem ",
2018-162287,Contract,"COVENTRY CITY COUNCIL",Awarded,2018-12-20T09:46:45Z,"Performing Arts Service -Music Tutors","It is the intention of Coventry City Council to establish an open framework for the provision of music tutors to provide music tuition across Coventry for children and young people. This work will include; Whole Class Ensemble Tuition, instrumental tuition, out of school ensembles and music performance opportunities.

Further opportunities are found at http://www.csw-jets.co.uk/",,,"West Midlands","80590000 ","Alex Marsden",alex.marsden@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,"024 7683 3757",,"ENOTICES_TaylorMcoventrygov-2017-087209-NF21-EN.pdf ",,,01/09/2021,02/09/2021,31/08/2021,YES,2018-162287,Yes,No,No,Services,2204000,,30/11/2018,32393,"[Alex Morgan|Sutton Coldfield
West Midlands
B76 1YT|NONE||Yes|No][Geoffrey Williams|Coventry,     CV3 6HY|NONE||Yes|No][Joe Shimmin|106 Silver Street, Kings Heath, Birmingham B14 7QT|NONE||Yes|No][Lucy Sale|Earlsdon
Coventry
CV5 6PH|NONE||Yes|No][Michelle Heritage|Cheylesmore,
Coventry,
CV3 5ES|NONE||Yes|No][Steve Fox|Coventry
CV5 8FX|NONE||Yes|No][Jennifer Boase|3 Galileo,
40 Ryland street, 
Birmingham, 
B16 8BS|NONE||No|No]",,01/09/2021,02/09/2021,"CallOffFromDynamicPurchasingSystem ",
"COV-7309 - 30.10.20",Contract,"COVENTRY CITY COUNCIL",Awarded,2020-10-30T06:05:24Z,"Independent Childrens Complaints Investigation","In line with the 'Getting the Best from Complaints Social Care Complaints and Representations for Children,
Young People and Others' guidance Coventry City Council recognises a good procedure ensures that children
and young people who make representations should have their concerns swiftly resolved, and, wherever
possible, by the people who provide the service locally. The purpose of this procurement is to recruit a 'bank'
of Independent Complaints Investigating Officers, Independent Persons, Independent Chairs of Review Panels and Review Panellists who will undertake, in line with statutory guidance for local authority children's services
representations and complaints procedures, a Stage 2 investigation or Stage 3 review panel.

The procurement documents are available for unrestricted and full direct access, free of charge, at www.cswjets.co.uk",,,"West Midlands","85310000 ","Alex Marsden",alex.marsden@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,"024 7683 3757",,,,,01/10/2019,30/09/2024,15/07/2019,NO,,Yes,No,No,Services,165000,,30/09/2019,3461,"[Debra Johnson|77 Broad Lane
Finchfield
Wolverhampton 
WV3 9BW|NONE_OTHER||Yes|No][Suzanne Gibbon|130 Church Road
Bradmore
Wolverhampton
WV3 7EJ|NONE_OTHER||Yes|No]",,01/10/2019,30/09/2024,"CallOffFromDynamicPurchasingSystem ",,13:00
