"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LEEDSCITY001-DN396538-71780175,Contract,"Leeds City Council",Awarded,2019-03-28T14:14:08Z,"Supply of Liner Products - Cromwell Polythene","Supply of Liner Products - Cromwell Polythene",,,"Yorkshire and the Humber","19640000 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,01/04/2019,31/12/2019,26/02/2019,NO,,No,No,No,Products,107000,107000,28/03/2019,107000,"[Cromwell Polythene Limited|Orion Building, Seafox Court, Sherburn Enterprise Park, Sherburn-in-Elmet, Leeds LS25 6PL|NONE||No|No]",,01/04/2019,31/12/2019,"NotSpecified ",
JS/GW/170820,Contract,"Stroud District Council",Awarded,2020-08-17T14:49:15Z,"Supply and delivery of plastic refuse sacks","Supply and delivery of beige refuse sacks (this is a Contract award notice only)",,,"South West","19640000 ","Sarah Turner",sarah.turner@stroud.gov.uk,"Ebley Mill, Ebley Wharf",,STROUD,"GL5 4UB",England,"01453 754346",,,,,12/08/2020,19/10/2020,11/08/2020,NO,,Yes,No,No,Products,39730,,12/08/2020,39730,"[CROMWELL POLYTHENE LIMITED|Orion Building
LS25 6PL
GB|COMPANIES_HOUSE|02230104|No|No]",,12/08/2020,19/10/2020,"CallOffFromFrameworkAgreement ",,00:00
LEEDSCITY001-DN474850-10780026,Contract,"Leeds City Council",Awarded,2020-07-07T11:55:55Z,"Supply of refuse liners","Supply of refuse liners",,,England,"19640000 34928480 ","Mandi Kaushal",Mandeep.Kaushal@leeds.gov.uk,"St George House, 4th Floor,","40 Great George Street",Leeds,"LS1 1UR",England,"+44 1133785260",http://www.leeds.gov.uk,,,,01/03/2020,31/03/2021,17/02/2020,NO,,Yes,No,No,Products,75810,75810,24/02/2020,75810,"[Cromwell Polythene Limited|1 Glentrool Avenue, Sherburn in Elmet, Leeds, LS25 6RE|NONE||No|No]",,01/03/2020,31/03/2021,"Open ",
BIP467054981,Contract,"Braintree District Council",Awarded,2020-01-27T14:40:03Z,"GB-Braintree: Clear Sacks 2019","BDC would like prices for sacks based on 3 thicknesses. This gives us the option of selecting the best in respect of price versus budget.
      
      •Lot 1 390mm x 780mm x 900mm - 18 Micron
      •Lot 1 390mm x 780mm x 900mm - 20 Micron
      •Lot 1 390mm x 780mm x 900mm - 25 Micron
      •Lot 2 435mm x 760mm x 940mm - 18 Micron
      •Lot 2 435mm x 760mm x 940mm - 20 Micron
      •Lot 2 435mm x 760mm x 940mm - 25 Micron
      
      Quantity: 7 million",,,"Any region","19640000 ",Procurement,procurement@braintree.gov.uk,"Causeway House","Bocking End",Braintree,"CM7 9HB",UK,01376552525,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=467054981 ",,15/07/2019,13/09/2019,10/05/2019,NO,,No,No,No,Products,139500,,10/05/2019,139500,"[Cromwell Polythene Limited|1 Glentrool Avenue
        Sherburn in Elmet
        Leeds
        LS25 6RE|NONE||No|No]",Sales,15/07/2019,13/09/2019,"NotSpecified ",
DCC001-DN409269-15278582,Contract,"Durham County Council",Awarded,2019-05-09T12:30:36Z,"Direct Award via the ESPO Framework 860_18 for Refuse & Recycling Products (including Wheeled Bins)","Purchase of Bags for Street Cleansing Purposes",,,"North East","98341130 ","Denise Corrigan",denise.corrigan@durham.gov.uk,"Corporate services","County Hall",Durham,"DH1 5UL",England,"+44 3000265419",http://www.durham.gov.uk,,,,13/06/2019,31/01/2022,08/04/2019,NO,,Yes,No,No,Products,320000,350000,23/04/2019,320000,"[Cromwell Polythene Limited|Orion Building, Seafox Court, Sherburn Enterprise Park, Sherburn-In-Elmet, Leeds LS25 6PL|NONE||Yes|No]",,13/06/2019,31/01/2022,"DirectAward ",
DN341565,Contract,"Scarborough Borough Council",Awarded,2018-08-24T15:17:35Z,"Call Off: Supply of Compostable Sacks (Lot 2)","This was a mini competition exercise in conjunction with the Braintree District Council Framework Agreement for the Supply of Refuse Supplies (Proc17-0110/Lot 2)",,,"Yorkshire and the Humber","19640000 ",,procurement@scarborough.gov.uk,"Town Hall, St. Nicholas Street",,SCARBOROUGH,YO112HG,England,,,,,,23/08/2018,22/08/2020,10/08/2018,NO,,Yes,No,No,Products,17000,27000,22/08/2018,17000,"[CROMWELL POLYTHENE LIMITED|Orion Building
LS25 6PL
GB|COMPANIES_HOUSE|02230104|Yes|No]",,23/08/2018,22/08/2020,"CallOffFromFrameworkAgreement ",
SOUTHWARK-DN314299-40229593,Contract,"London Borough of Southwark",Awarded,2018-04-06T14:57:33Z,"Refuse and recycling sacks","The supply of plastic and compostable sacks for the cleaning service of LB Southwark",,,London,"19640000 ","Nick Mellish",nick.mellish@southwark.gov.uk,"Southwark Council","160 Tooley Street",London,"SE1 2QH",England,"+44 2075250347",http://www.southwark.gov.uk,,,,01/04/2018,31/03/2021,21/01/2018,NO,,No,No,No,Products,225000,,09/03/2018,225000,"[Cromwell Polythene Limited|Vickers Building, Hurricane Close, Sherburn-in-Elmet, West Yorkshire, LS26 6PB, United Kingdom|NONE||No|No]",,01/04/2018,31/03/2021,"Other ",
TD1284,Contract,"Derby City Council",Awarded,2017-12-15T12:13:30Z,"Supply of Refuse Sacks","Supply and delivery of refuse sacks to the Council.
Annual extension for a further two years is available.",,,"East Midlands","19640000 ",,procurement@derby.gov.uk,"Council House,","Corporation Street",Derby,"DE1 2FS",England,,,,,,01/12/2017,30/11/2021,06/10/2017,NO,,Yes,Yes,No,Products,0,,30/11/2017,140000,"[CROMWELL POLYTHENE LIMITED|Orion Building
LS25 6PL
GB|COMPANIES_HOUSE|02230104|No|No]",,01/12/2017,30/11/2021,"CallOffFromFrameworkAgreement ",
LEEDSCITY001-DN297582-83389063,Contract,"Leeds City Council",Awarded,2017-09-12T14:48:07Z,"Supply of refuse sacks","Supply of refuse sacks",,,"Yorkshire and the Humber","19640000 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,22/08/2017,31/03/2018,31/07/2017,NO,,No,No,No,Products,160000,160000,21/08/2017,160000,"[Cromwell Polythene Limited|Orion Building, Seafox Court, Sherburn-in-elmet, Leeds LS25 6PL|||No|No]",,22/08/2017,31/03/2018,"Restricted ",
000855,Contract,"Yorkshire Purchasing Organisation",Awarded,2018-08-20T10:52:16Z,"The Supply of Refuse Sacks and PE Caddy Liners","YPO are looking for providers to be appointed onto a Framework Agreement for the supply of Refuse Sacks and PE Caddy Liners. This Framework is designed to allow YPO to meet the needs of all public sector organisations by establishing an agreement where the end customer will place orders directly with the provider on a ""contract"" basis and the  provider will deliver direct to the end customer on an agreed basis as well as a requirement to deliver some stock to YPO's own warehouse in Wakefield.",,,"Any region","19640000 ",,contracts@ypo.co.uk,"41 Industrial Park",,WAKEFIELD,WF20XE,England,01924664685,,,"https://procontract.due-north.com/register?ReadForm https://www.ypo.co.uk/about/customers/ojeu-permissible-users.aspx ","*EDIT* This notice has been amended to extend the submission deadline for tenders to the 16th March 2018

To see the documentation, please go online to: https://tendering.ypo.co.uk/procontract/ypo/supplier.nsf/frm_supplier_registrati on_wizard_introduction?openform and 'Register as a Supplier'. 1. Click on the appropriate tender under 'Latest Opportunities' 2. Click the ""Register Interest"" button which is located under the ""Main Contract Detail"" 3. Click on 'ok' 4. Return back to the home page and select the ""My Opportunities"" link, located on the right hand side of your home page. 5. Select the link to the tender 6. Select ""view stage detail"" and follow the response wizard to view the documents and start your tender.",01/08/2018,31/07/2022,16/03/2018,YES,000855,Yes,Yes,No,Products,3500000,4000000,20/07/2018,4000000,"[Vision Gelpack Limited|Westfield Trading Estate, Grandstand Road, Hereford, Herefordshire, United Kingdom, HR4 9NT|COMPANIES_HOUSE|10954834|Yes|No][CROMWELL POLYTHENE LIMITED|Orion Building
LS25 6PL
GB|COMPANIES_HOUSE|02230104|Yes|No][BIOBAG LIMITED|Comet Road, Leyland, Preston, Lancashire, United Kingdom, PR26 7PF|COMPANIES_HOUSE|04151564|Yes|No][BRITISH POLYTHENE LIMITED|Sapphire House, Crown Way, Rushden, Northamptonshire, England, NN10 6FB|COMPANIES_HOUSE|00350729|No|No][IMPERIAL POLYTHENE PRODUCTS LIMITED|Unit 3 Lakeside Industrial Estate Colnbrook By Pass
SL3 0ED
GB|COMPANIES_HOUSE|03082042|Yes|No][J.P.K. TRADE SUPPLIES LIMITED|Ashmead Road, Keynsham
BS31 1SX
GB|COMPANIES_HOUSE|02602689|Yes|No]",,01/08/2018,31/07/2022,"OpenOJEU ",
