"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP528940276,Contract,"Leeds Beckett University",Awarded,2020-10-09T15:50:02Z,"GB-Leeds: DW615 - Periodic Inspection and Testing of Electrical Fixed Wiring Installations and Low Voltage Network","CONTRACT AWARD NOTICE
      DW615 - Periodic Inspection and Testing of Electrical Fixed Wiring Installations and Low Voltage Network",,,"Yorkshire and the Humber","71630000 ","Darren Wood",procurement@leedsbeckett.ac.uk,"212 Queen Square House","Woodhouse Lane",Leeds,"LS2 8NU",UK,+441138125814,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528940276 ","CONTRACT AWARD NOTICE",12/10/2020,11/10/2024,24/09/2020,NO,,No,No,No,Services,55113,,24/09/2020,55113,"[DFP Services Ltd|1 Artemis Court
        St Johns Road
        Meadowfield Industrial Estate
        Durham,
        DH7 8XQ|NONE||Yes|No]","DFP Services Ltd",12/10/2020,11/10/2024,"Open ",,00:00
NOTTCITY001-DN456944-02486805,Contract,"Ashfield District Council",Awarded,2020-04-17T12:04:47Z,"CPU 3557 (ADC) Mechanical and Electrical Equipment Maintenance Services","Ashfield District Council is seeking tenders from suitably experienced and qualified entities for the provision of Mechanical and Electrical Equipment Maintenance services.
All tender documents and accompanying information can be found on www.eastmidstenders.org and the opportunity ID is DN456944",,,"East Midlands","50710000 ","Holly Fisher",Holly.Fisher@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom","+44 0",http://www.nottinghamcity.gov.uk,,"https://procontract.due-north.com/Advert?advertId=99a2ad0b-f032-ea11-80fc-005056b64545 ",,01/04/2020,31/03/2023,07/02/2020,NO,,Yes,No,No,Works,90000,90000,24/02/2020,63622.5,"[DFP Services Ltd|1 Artemis Court,
St Johns Road,
Meadowfield Industrial Estate
Durham
DH7 8XQ
|NONE||No|No]",,01/04/2020,31/03/2023,"Open ",
ROTHMBC001-DN355097-94860291,Contract,"Rotherham MBC",Awarded,2020-03-05T00:00:00Z,"18-044 Fire and Security Systems, Service, Repair and Maintenance","Rotherham Borough Council is looking for a suitably experienced contractor to provide a range of services, including but not limited to:

•	Fire and Intruder Alarms -maintenance, with occasional elements of new or replacement supply and installation
•	Emergency Lighting - maintenance, with occasional elements of new or replacement supply and installation
•	Monitoring Services - alarm activations
•	Access Control - maintenance, with occasional elements of new or replacement supply and installation
•	CCTV (Excluding Highways) - maintenance and monitoring, with occasional elements of new or replacement supply and installation.
The core element of the contract is the provision of maintenance services.
",,,"Yorkshire and the Humber","50000000 35120000 ","Annette Norfolk",annette.norfolk@rotherham.gov.uk,"Riverside House","Main Street",Rotherham,"S60 1AE","United Kingdom","+44 1709255759",http://www.rotherham.gov.uk/,,,"Tender documents are available to download and complete via the YORtender system at https://procontract.due-north.com
",01/04/2020,31/03/2022,16/12/2019,NO,,Yes,No,No,Services,980000,1000000,04/03/2020,280000,"[DFP Services Ltd|DH7 8XQ|NONE||Yes|Yes]","Miss Heather Taylor",01/04/2020,31/03/2022,"Open ",
SLAKE001-DN392008-37284476,Contract,"South Lakeland District Council",Awarded,2019-09-04T14:52:36Z,"SLDC HVAC Maintenance Contract","South Lakeland District Council are inviting tenders for the provision of a 4 year service contract for the maintenance of HVAC plant across various sites. Please see specification documents for full details/scope of works.
All Expression of interest, clarification questions and submission must be made via the Chest (www.the-chest.org.uk).
Submission deadline is 7pm on Friday 22nd March 2019.",,,"North West","45000000 50700000 51100000 ","Paul Scullion",pscullion@lsh.co.uk,"Cumbria Tourism Building","Windermere Road","Staveley, Kendal","LA8 9PL",England,"+44 1539760796",http://www.southlakeland.gov.uk/,,,,01/06/2019,31/05/2023,22/03/2019,NO,,Yes,No,No,Services,80000,,31/07/2019,91000,"[DFP Services Ltd|DH7 8XQ|NONE||Yes|Yes]","Miss Heather Taylor",01/08/2019,31/07/2023,"Open ",
ROCH001-DN342083-63151743,Contract,"Rochdale Metropolitan Borough Council",Awarded,2019-01-09T14:27:19Z,"Inspection, Servicing and Maintenance of Portable Firefighting Equipment within various Educational Establishments and Public Buildings 2018 - 2020","Inspection, Servicing and Maintenance of Portable Firefighting Equipment within various Educational Establishments and Public Buildings 2018 - 2020",,,"North West","50000000 ","Jamie Cooper",jamie.cooper@star-procurement.gov.uk,"Trafford Town Hall","Talbot Road",Stretford,"M32 0TH","United Kingdom","+44 1619125086",http://www.rochdale.gov.uk/,,,,01/08/2018,31/07/2020,25/06/2018,NO,,Yes,Yes,No,Services,185000,185000,06/11/2018,102000,"[DFP Services Ltd|DH7 8XQ|NONE||Yes|Yes]","Miss Heather Taylor",01/02/2019,31/01/2021,"Open ",
ROCH001-DN351109-01404044,Contract,"Rochdale Metropolitan Borough Council",Awarded,2019-01-08T11:58:28Z,"Boiler Servicing within various Educational Establishments, SLA Buildings and Public Buildings 2018 - 2020","Boiler Servicing and minor repairs within various Educational Establishments, SLA Buildings and Public Buildings 2018 - 2020 to ensure Health and Safety and Statutory Compliance",,,"North West","50700000 ","Jamie Cooper",jamie.cooper@star-procurement.gov.uk,"Trafford Town Hall","Talbot Road",Stretford,"M32 0TH","United Kingdom","+44 1619125086",http://www.rochdale.gov.uk/,,,,01/10/2018,31/08/2020,08/08/2018,NO,,Yes,Yes,No,Services,180000,360000,17/12/2018,175134,"[DFP Services Ltd|DH7 8XQ|NONE||Yes|Yes]","Miss Heather Taylor",14/01/2019,13/01/2021,"Open ",
THIR/CON/17/432,Contract,"THIRTEEN HOUSING GROUP LIMITED",Awarded,2017-08-21T08:49:13Z,"Fire Risk Assessments to Commercial Properties","In order to comply with our legal duties as a RSL the group requires the services of a company to carry out and produce Fire Risk Assessments (FRA's) and associated reports to approximately 175 shops and commercial properties within the Group's portfolio to ensure so far as is reasonably practicable that no person is put at risk from a fire occurring in any or our premises and that procedural measures are maintained at each site commesurate with the risk",,,"North East","71317100 ",,procurement@thirteengroup.co.uk,"North Shore",,Stockton-on-Tees,"TS18 2NB",England,,,,"https://www.housingprocurement.com/ ",,01/09/2017,31/03/2018,14/08/2017,NO,,Yes,No,No,Services,19402,,15/08/2017,19402,"[DFP Services Ltd|1 Artemis Court
St Johns Road
Meadowfield Industrial Estate
Durham
DH7 8XQ|||No|No]",,01/09/2017,31/03/2018,"Open ",
ADCT16-0346/2,Contract,"Bassetlaw District Council",Awarded,2017-03-15T11:24:13Z,"Ashfield District Council ADCT16-0346 Mechanical and Electrical Maintenance","Suppliers are invited to bid for a three year mechanical and electrical maintenance contract for various properties across the Ashfield district.

Full details are available in the specification.",,,"East Midlands","50000000 ","Mark Ellison",mark.ellison@bassetlaw.gov.uk,"Queens Building","Potters Street",Worksop,"S80 2AH",England,,,,"https://www.eastmidstenders.org/ ","To register an interest and to request specification documentation, please access the East Mids Tenders Website.",01/04/2017,01/04/2020,24/02/2017,YES,ADCT16-0346,Yes,No,No,Services,120000,,14/03/2017,81786,"[DFP Services Ltd|1 Artemis Court
St Johns Road
Meadowfield Industrial Estate
Durham
DH7 8XQ|||No|No]",,01/04/2017,01/04/2020,"Open ",
"DW451 - AWARD",Contract,"Leeds Beckett University",Awarded,2017-01-09T15:18:46Z,"DW451 - Fixed Wire Testing - AWARD","Leeds Beckett University are seeking tenders for Periodic inspection and testing of electrical fixed wiring installations and low voltage network.
      
      Suppliers that would like to take part in this tender process are invited to Express Interest upon which they will be given access to the full tender documentation delivery through this e-tendering system. 
      
      When the tender documents have been made available involved suppliers will receive notification via email and the tender documents can be accessed from the My Tenders area of this website by selecting the View Details button of this project. 
      
      The deadline for submissions of the tender will be 12:00 Noon on Friday 17th June 2016
      
      Please allow sufficient time to make your return as late returns will not be permitted. 
      
      Any questions relating to this tender should be made via correspondence on the website.",,"LS1 3HE","Any region","71630000 ","Darren Wood",darren.wood@leedsbeckett.ac.uk,"Leeds Beckett University",Leeds,Leeds,"LS1 3HE","United Kingdom","0113 8126249",,,,,04/07/2016,03/07/2018,17/06/2016,NO,,No,No,No,Services,0,,,0,"[DFP Services Ltd|1 Artemis Court, St Johns Road, Durham, County Durham, United Kingdom, DH7 8XQ|||No|No]","Heather Taylor",04/07/2016,03/07/2018,"Open ",
A7EJ-QWU598-A7EK-4BOLOS,Contract,"Calderdale Council",Awarded,2016-02-23T14:26:10Z,"Periodic 5 Yearly Electrical Testing","The tender documents are available for interested suppliers to download from the YORtender system (www.yortender.co.uk) using reference A7EJ-QWU598. Bidders are required to register on this site in order to access the documentation. Registration is free. For assistance with registering on the YORtender site and/or accessing the documents please contact +44 1670597136 or email yorkshiresupport@due-north.com. The Council require a suitably qualified contractor to undertake 100% (all circuits) Electrical condition, testing and inspection of electrical installations within the Council buildings listed on the attached Appendix A. The inspections must verify that the Electrical installation is in a safe condition and complies with the requirements of the current edition of the BS 7671 IEE wiring regulations and Electricity at work regulations (1989). The inspections cover the 5 year period of 1st January 2016 to 31st December 2020 programme. Please ensure that all the requirements, as detailed within the attached documentation, are fully met.",,"HX1 1UN","Yorkshire and the Humber","45317000 50116100 50532000 50711000 71000000 ","Lucy Beever",lucy.beever@calderdale.gov.uk,"Northgate House",,HALIFAX,"HX1 1UN",UK,"01422 392019",,,,,01/04/2016,31/12/2020,18/03/2016,NO,,Yes,No,No,Services,0,,19/04/2016,150000,"[DFP Services Ltd|Unit 12d Oakway Court, Meadowfield Industrial Estate, DH7 8XD, County Durham|||Yes|No]",,01/04/2016,31/12/2020,"Open ",
STK001-DN380465-39626199,Contract,"Stockton Borough Council",Awarded,2020-02-04T00:00:00Z,"Framework Agreement for Stockton-on-Tees Borough Council Minor Works","Notification of Award of Contract(s) for Stockton-on-Tees Borough Council's requirements for Minor Works Services covering;          
Lot 1 :Mechanical Services (including domestic gas, industrial gas and oil) 
Lot 2: Electrical Services (including domestic and commercial re-wires) 
Lot 3: Roofing & Fascia's
Lot 4: Building and Joinery 
Lot 5: Flooring and Wall Coverings 
Lot 6: Windows",,,"North East","45000000 51100000 45420000 45310000 45430000 44112000 ","James Hall",James.hall@stockton.gov.uk,"Municipal Buildings","Church Road",Stockton-on-Tees,"TS18 1LD",England,"+44 1642527475",http://www.stockton.gov.uk/,,,,01/04/2019,31/03/2022,18/02/2019,NO,,Yes,No,No,Works,0,,28/03/2019,4000000,"[Birchtree Northern Ltd|West House, Redburn Road, Newcastle-upon-Tyne, NE5 1NB|NONE||Yes|No][Aiken Flooring Contracts Limited|Unit 6, NEP Business Park, Stratford Road, Washington, NE38 8QP|NONE||Yes|No][Contract Flooring Services (North East) Ltd|Contract Flooring Services (North East) Ltd, No15, DL1 2PB|NONE||Yes|No][DFP Services Ltd|1 Artemis Court, St Johns Road, Meadowfield Industrial Estate, Durham, DH7 8XQ|NONE||Yes|No][Duffell Roofing Co Ltd|Alexander House, Unit 28, Faverdale Ind Estate, Darlington, DL3 0QQ|NONE||Yes|No][FME Property Solutions Limited|Rutland House, Wood Fold, Sheffield, S3 9PE|NONE||Yes|No][Hodgson Sayers Ltd|Unit 15, Tanfield Lea (North) Industrial Estate, Stanley, Co. Durham, DH9 9NX|NONE||Yes|No][JDM Earth Limited|Censis Accountants, 66 Church Road, Hartlepool, TS24 7DN|NONE||Yes|No][KM Electrical Services Ltd|Unit 9, Market Place Industrial Estate, Houghton le Spring,   Tyne & Wear, DH5 8AN|NONE||Yes|No][Lorne Stewart PLC|Lorne Stewart House, 8 Chapell Ln S, Stockton-on-Tees, Billingham TS22 5FG|NONE||Yes|No][M&J Group (Construction & Roofing) Ltd|Head Office, Hammond Road, Elm Farm Industrial Estate, Bedford, Bedfordshire MK41 0UD|NONE||Yes|No][NT Sweeting Roofing Contractors Ltd|38 Portrack Grange Road, Stockton on Tees, TS18 2PH|NONE||Yes|No][Polar NE Ltd|9 Stephenson Court, Middlesbrough, TS6 6UT|NONE||Yes|No][Powercare Electrical Services Limited|24 Regency Park, Stockton on Tees, TS170QR|NONE||Yes|No][Quartz Electrical & Mechanical Services Ltd|Thornton House, Brighouse Road, Riverside Park, Middlesbrough, TS2 1RT|NONE||Yes|No][Rimick Floors|Rimick Floors, Cranston House, Douglas Street, Middlesbrough, TS4 2BL|NONE||Yes|No][Sendrig Construction Limited|Andrew House, 4 Benton Terrace, Jesmond, Newcastle upon Tyne, NE2 1QU|NONE||Yes|No][Sovereign Group Ltd|Vale Street, Nelson, Lancashire, BB9 0TA|NONE||Yes|No][Swainstons Ltd|Wellington Street, Stockton on Tees, TS18 1QN|NONE||Yes|No][T Clarke|45 Moorfields, London, EC2Y 9AE|NONE||Yes|No][T Manners & Sons Ltd|Peel House, Dovecot Hill, South Church Ent. Park, Bishop Auckland, Co. Durham, DL14 6XW|NONE||Yes|No][Vickers Construction Ltd|Yarm Road, Stockton-On-Tees, TS18 3RU|NONE||Yes|No]",,01/04/2019,31/03/2022,"Open ",
