"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DORST001-DN375101-41473916,Contract,"Dorset County Council",Awarded,2019-03-05T10:14:18Z,"Printing of Election and Electoral Registration Materials","Printing services are required to meet the needs of the Council in respect of (1) its delivery of all elections, (2) the Annual Electoral Registration Canvass and ongoing electoral registration work.  The Council intends to establish an agreement for 3 years for the election and electoral registration printing materials as follows-
• Ballot papers and Corresponding Numbers Lists (CNLs)
• Postal vote ballot packs
• Poll cards
• Large print ballot papers
• Grass skirts
• Canvass Household Enquiry Forms (HEFs)
• Invitations to Register (ITRs)
• Household Notification Letters (HNLs)
• Annual Postal Vote Personal Identifier (PI) Refresh letters
This shall include but is not limited to providing a full print and design service delivering poll cards, ballot papers, postal vote packs and relevant electoral registration forms.
Scheduled elections for the next three years: -
• May 2019 - Dorset Council and all 163 parish and town councils within the Dorset area
• May 2020 - Police and Crime Commissioner election
The Contract will cover the elections listed above, and any unscheduled by-elections, referenda or poll that may arise. Contractors submitting a tender will be expected to demonstrate a successful track record in supplying electoral printing. They must fulfil all legislative requirements and must be able to meet the required deadlines and any performance standards set by the Electoral Commission.",,,"South West","22000000 ","Gayle Acors",g.acors@dorsetcc.gov.uk,"Dorset County Council","County Hall",Dorchester,"DT1 1XJ","United Kingdom","+44 1305221278",http://www.dorsetforyou.com/,,,,01/03/2019,28/02/2022,27/12/2018,NO,,Yes,No,No,Products,492070,492070,26/02/2019,492070,"[Electoral Reform Services Limited|The Election Centre
33 Clarendon Road
London
N8 0NW|NONE||Yes|No]","Mrs Victoria Patel",01/03/2019,28/02/2022,"Open ",
IA1069,Contract,"Staffordshire County Council",Awarded,2020-01-14T09:58:23Z,"Provision of Electoral Printing Services for Stafford Borough Council and Cannock Chase District Council","This is an electronic tender and all documents can be accessed only via the portal: https://supplierlive.proactisp2p.com/Account/Login

Further details are available in the attached Supplier Guide

Provision of printing and mailing services for canvasses and elections.  This will include production of:
•	Household Enquiry Forms (HEFs)
•	Invitation to Register Forms (ITRs)
•	Associated Reminder Forms for HEFs and ITRs
•	Polling Cards
•	Postal Voting Packs
•	Ballot Papers
 
Stafford Borough Council and Cannock Chase District Council require a rapid and cost-effective provision of services to meet strict electoral services deadlines, including electoral registration and elections.  The successful provider must have the ability to interface with IDOX and Xpress electoral management software systems and be able to offer a service that will facilitate seamless secure transfer of appropriate data.  Note that where there is any reference to a specific branded name of a product, service, accreditation etc the Council welcomes suppliers to offer a fully equivalent substitute.",,,"West Midlands","22000000 79810000 79824000 ",,commercial.team@staffordshire.gov.uk,"Tipping Street",,STAFFORD,ST162DH,England,"01785 854652",,"SCC E-Tendering Portal User Guide  06.02.18.pdf ","https://supplierlive.proactisp2p.com/Account/Login ",,01/12/2019,30/11/2024,15/08/2019,YES,IA1069,Yes,Yes,No,Products,1600000,1800000,26/11/2019,1800000,"[Electoral Reform Services Ltd|33 Clarendon Road					           
London 
N8 0NW  
|COMPANIES_HOUSE|2263092|Yes|No]",,01/12/2019,30/11/2024,"OpenOJEU ",
JA/GFA/ElectionPrinting/2,Contract,"BRACKNELL FOREST COUNCIL",Awarded,2017-04-11T16:42:06Z,"Specialist Printing for Electoral Services","Bracknell Forest Council is seeking to appoint a single Framework Supplier to deliver specialist printing services for Electoral Services. The Supplier shall provide fit for purpose electoral registration and elections printing service solution to realise our objective of centralising printing activity, where this is cost effective, and to make operational efficiencies within the electoral services team where possible.
 ** 14-Oct-16 Questions and Answers added to South East Business Portal**
** 21-Oct-16 Updated Questions and Answers added to South East Business Portal**",,,"South East","22800000 79800000 ","Glenda Favor-Ankersen",Elections@Bracknell-Forest.gov.uk,"Easthampstead House","Town Square",BRACKNELL,"RG12 1AQ",England,"01344 352024",www.bracknell-forest.gov.uk,,"www.businessportal.southeastiep.gov.uk ","The Framework duration will be for a maximum of 4 years, covering an initial period of 2 years plus 2 optional extensions, each of 1 year (i.e. 2 + 1 + 1) starting from March 2017.  Estimated Framework value over the four years ranges from £300,000 to £500,000.

Organisations must register their interest on the South East Business Portal in order to receive any changes or notifications issued by the Council during this tender process. The Council will not be held responsible for lack of communication to any organisation who does not register their interest. ",01/03/2017,28/02/2019,07/11/2016,YES,JA/GFA/ElectionPrinting,Yes,Yes,No,Services,300000,500000,30/01/2017,600000,"[Electoral Reform Services|The Election Centre, 33 Clarendon Road, LONDON N8 0NW|||No|No]","Hannah Lake",01/03/2017,28/02/2021,"Open ",
WOKHM001-DN447025-48711199,Contract,"Wokingham Borough Council",Awarded,2020-02-25T00:00:00Z,"Electoral Printing Services","Wokingham Borough Council are inviting tenders for the provision of Electoral Printing Services, covering all elections and referenda during the contract period and printing for registration purposes.
The tender is divided into three (3) lots:
	Lot 1: Election Printing - to cover all elections and referenda
	Lot 2: Registration Printing - covering all printing for registration purposes
	Lot 3: Both of Lots 1 & 2 in a single integrated contract.
",,,"South East","79811000 ","Richard Turner",R.Turner@wokingham.gov.uk,"Civic Offices","Shute End",Wokingham,"RG40 1BN",England,"+44 1189746000",http://www.wokingham.gov.uk,,,,03/02/2020,02/02/2023,13/12/2019,NO,,Yes,No,No,Services,280000,280000,20/02/2020,153000,"[Electoral Reform Services Limited|The Election Centre, 33 Clarendon Road, Wood Green, London, N8 0NW|NONE||Yes|No]",,02/03/2020,01/03/2023,"Open ",
CHWEST001-DN439541-66703906,Contract,"Cheshire west and Chester Borough Council",Awarded,2020-02-05T00:00:00Z,"Ballot papers, Postal voting packs and Poll cards for elections","BALLOT PAPERS, POSTAL VOTING PACKS AND POLL CARDS FOR ELECTIONS.   Cheshire West and Chester Council intend to establish an agreement for 3 years with an option to extend for up to 24 months for the election printing materials as follows-

•	Ballot papers and Corresponding Numbers Lists
•	Postal vote ballot packs
•	Poll cards 
•	Postal poll cards
•	Empty property poll cards
•	Large print ballot papers

The supplier should be able to undertake all work involved in meeting the Council's election requirements for production of the above documents and meet all current and any future electoral rules. This will include but is not exclusive to providing a full print and design service delivering poll cards, ballot papers and postal vote packs. It will also include any election specific voter facing information products that may be introduced in legislation during the time of the contract.

The process must be secure and provide a quality assured process to ensure supply of accurate election materials at dates/times agreed with the Council that meet legislative requirementsand Electoral Commission guidance and directions specified by the Returning Officer. 
 Please contact The Chest, www.the-chest.org.uk  for the tender documents.  

",,,"Any region","22000000 79800000 79810000 ","Debbie Pitcher",debbie.pitcher@cheshirewestandchester.gov.uk,"Civic Way","Ellesmere Port","Ellesmere Port","CH65 0BE","United Kingdom","+44 1244976943",http://www.cheshirewestandchester.gov.uk/,,,,01/01/2020,31/12/2022,11/11/2019,NO,,Yes,Yes,No,Products,0,,04/02/2020,750000,"[Electoral Reform Services Limited|N8 0NW|NONE||Yes|No]","Mrs Victoria Patel",01/03/2020,28/02/2023,"Open ",
KNOWS001-DN379867-54829080,Contract,"Knowsley Council",Awarded,2018-12-03T16:11:13Z,"Call-Off Contract For The Provision Of Graphic And Printing Services For Electoral Registration For Knowsley Metropolitan Borough Council","Call-Off Contract For The Provision Of Graphic And Printing Services For Electoral Registration For Knowsley Metropolitan Borough Council. 

Sefton Council led on this procurement.",,,"North West","79000000 ","Faye Williamson",faye.williamson@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514434246",http://www.knowsley.gov.uk,,,,01/07/2018,30/06/2021,14/05/2018,NO,,Yes,No,No,Services,2189100,2189100,04/06/2018,2189100,"[Electoral Reform Services Limited|N8 0NW|NONE||Yes|No]","Mrs Victoria Patel",01/07/2018,30/06/2021,"Open ",
LANC001-DN370892-07209621,Contract,"Lancaster City Council",Awarded,2018-10-12T12:51:43Z,"Electoral Printing and Graphic Services","Electoral Printing and Graphic Services for Lancaster City Council procured via a framework agreement which was led by Sefton Council.",,,"North West","22000000 ","Helen McMahon",helenmc20@hotmail.com,"Town Hall","Dalton Square",Lancaster,"LA1 1PJ","United Kingdom","+44 1524582122",http://www.lancaster.gov.uk/,,,,01/09/2018,31/08/2021,01/08/2018,NO,,Yes,No,No,Products,210000,210000,27/08/2018,210000,"[Electoral Reform Services Limited|N8 0NW|NONE||Yes|No]","Mrs Hannah Lake",01/09/2018,31/08/2021,"Other ",
LPOOL001-DN350490-36491835,Contract,"Liverpool City Council",Awarded,2018-10-05T11:56:17Z,"Electoral Printing Services","Full Electoral Printing Services for Liverpool City Council including all election and registration documents for the City of Liverpool. Also including Mayoral Booklets under the Sefton Framework.",,,"North West","22100000 ","Paul Christie",paul.christie@liverpool.gov.uk,"4th Floor","Cunard Building",Liverpool,"L3 1DS",England,"+44 1512330591",http://www.liverpool.gov.uk,,,"
OJEU Reference 2018/S 076-168779 original Framework Reference.",05/10/2018,04/10/2021,21/05/2018,NO,,Yes,No,No,Products,352000,352000,27/06/2018,352000,"[Electoral Reform Services Limited|N8 0NW|NONE||Yes|No]","Mrs Hannah Lake",05/10/2018,04/10/2021,"Open ",
SEFT001-DN313912-71076620,Contract,"Sefton Council",Awarded,2018-09-04T14:37:46Z,"Framework Agreement for Graphic/Printing Services for Electoral Registration","Sefton Council (""the Council"") is inviting responses to establish a Framework Agreement for the provision of Graphic/Printing Services for Electoral Registration.  

The Framework will initially be for, Sefton Metropolitan Borough Council, Knowsley Metropolitan Borough Council, St Helens Borough Council, Wirral Council, Liverpool City Council, Halton Borough Council, West Lancashire Borough Council, Preston City Council, Lancaster City Council.  Rossendale Borough Council will join the Framework in January 2019.",,,"North West","22000000 ","Jane Taylor",jane.taylor1@sefton.gov.uk,"7th Floor Merton House","Stanley Road",Bootle,"L20 3UU",England,"+44 1519344282",http://www.sefton.gov.uk/,,,,01/07/2018,30/06/2021,21/05/2018,NO,,Yes,No,No,Services,0,3000000,19/06/2018,3000000,"[Electoral Reform Services Limited|N8 0NW|NONE||Yes|No][Adare SEC Ltd|HD8 9QQ|NONE||No|No]","Mrs Hannah Lake",01/07/2018,30/06/2021,"Open ",
SUN001-DN312105-62659391,Contract,"Sunderland City Council",Awarded,2018-05-21T11:00:11Z,"Electoral Registration and Election Printing","Electoral Registration and Election Printing",,,"North East","79810000 79820000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7DN","United Kingdom","+44 1915611772",http://www.sunderland.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=6b6812a9-b4d9-e711-80e7-005056b64545 ",,24/01/2018,25/01/2021,09/01/2018,NO,,No,No,No,Services,1000000,1000000,23/01/2018,115000,"[Electoral Reform Services Limited|The Election Centre, 33 Clarendon Road, London, N8 0NW|NONE||No|No]",,05/02/2018,04/02/2021,"Open ",
