"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HEREFCC-DN371213-46186947,Contract,"Herefordshire Council",Awarded,2019-01-21T09:23:05Z,"Early Years Workforce Development:  Speech and Language Support","Herefordshire is seeking to make a significant, fixed term, investment in the early years workforce that will deliver improved early identification and support for young children with speech, language and communication needs, and their families.

A key objective is that the work, learning and benefit of the service is sustained beyond the lifetime of the contract. 

The primary outcomes that the service aims to achieve are to:

	enable the Early Years workforce to effectively support parents to understand how to develop their child's communication skills
	develop and strengthen the skills and capabilities across Herefordshire's Early Years offer and workforce so that the speech, language and communication needs of children aged under five years are better identified and supported 
	ensuring that those skills capabilities are embedded and sustained across the Early Years offer and workforce beyond the lifetime of the contract 
	improve attainment of early learning goals for communication and language to 95% for girls and 85% for boys at the end of reception year by April 2021
	increase for Herefordshire's funded two year olds from 52.8% at the expected level for speaking at age 3years (62.0% for listening and attention, and 62.9% understanding) 2017, to a minimum of 54% and, 63% and 64% respectively by the end of the contract term.
	target settings achieving Communication Friendly Accreditation status 
	new referrals of children aged under five to Herefordshire's speech and language therapy service are consistently appropriate

To achieve these aims, the service will:
	deliver communication friendly setting accreditation and lead communication practitioners within target settings throughout Herefordshire
	deliver practitioner training for Elklan 'let's talk' or equivalent programmes 
	support settings to deliver their own small group and individual work, using learning from evidence based programmes
	establish self-sustaining networks of lead communication practitioners
	establish and embed an online toolkit for use by families and professionals                                                              
                                                                                                                                                                                            Herefordshire Council has published this opportunity on the 'Supplying the Southwest Portal'. To view the tender documentation related to this opportunity you will need to register on the portal, if you are not already register with Procontract, and express an interest in the opportunity.

To Register with Supplying the Southwest Portal (Procontract) click on the link below or copy and paste the link into your browser address bar; https://www.supplyingthesouthwest.org.uk",,,"West Midlands","80000000 ","Claire Bennett",Claire.Bennett@herefordshire.gov.uk,"Council Offices","Plough Lane",Hereford,"HR4 0LE","United Kingdom","+44 1432261994",https://www.herefordshire.gov.uk,,,,08/01/2019,31/03/2021,19/11/2018,NO,,Yes,Yes,No,Services,500000,500000,21/12/2018,500000,"[Elklan Training ltd|PL30 3BQ|NONE||Yes|No]","Mrs Alex Hall",08/01/2019,31/03/2021,"Open ",
