"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
WP1177B,Contract,"H M GOVERNMENT CABINET OFFICE",Awarded,2017-03-22T16:48:35Z,"Ernst & Young LLP","Common taxonomy service for the Digital, Data and Technology Professions team at GDS.",,,London,"72000000 ",GDS,gds-procurement@digital.cabinet-office.gov.uk,"125 Kingsway, 6th Floor, Aviation House",,Holborn,"WC2B 6NH",England,,,"WP1177B_Redacted.pdf ",,,26/01/2017,17/06/2017,20/01/2017,NO,,No,No,No,Services,650332,,25/01/2017,650332,"[Ernst & Young LLP|1 More London Place, London, SE1 2AF|||No|No]","Kevin Harling",26/01/2017,17/06/2017,"NotSpecified ",
WP1177,Contract,"H M GOVERNMENT CABINET OFFICE",Awarded,2017-01-06T10:52:24Z,"Ernst & Young LLP","Provision of professional taxonomy services.",,,London,"72000000 ",GDS,gds-procurement@digital.cabinet-office.gov.uk,"125 Kingsway, 6th Floor","Aviation House",Holborn,"WC2B 6NH",England,,,"WP1177 - Fully signed contract_Redacted_Part1_Redacted (1)_Redacted_Part1.pdf WP1177 - Fully signed contract_Redacted_Part1_Redacted (1)_Redacted_Part2.pdf WP1177 - Fully signed contract_Redacted_Part1_Redacted (1)_Redacted_Part3.pdf WP1177 - Fully signed contract_Redacted_Part1_Redacted (1)_Redacted_Part4.pdf ",,,19/09/2016,17/06/2017,09/09/2016,NO,,No,No,No,Services,1062922,,19/09/2016,1062922,"[Ernst & Young LLP|1 More London Place, London, SE1 2AF|||No|No]",,19/09/2016,17/06/2017,"NotSpecified ",
"CCCC18A43 - Provision of Consultancy for Commercial Capability Expansion Programme - Work Package 1 ",Contract,"Crown Commercial Service",Awarded,2019-07-29T15:13:11Z,"CCCC18A43 - Provision of Consultancy for Commercial Capability Expansion Programme - Work Package 1 Variation","This contract variation is in line with Clause 23.1 of the call-off contract between Cabinet Office and Ernst & Young LLP. Cabinet Office woud like to extend the contract with Ernst & Young LLP until 31st March 2020 to continue with original scope of work included within the call-off contract.",,,London,"72221000 72224000 79414000 ",,info@crowncommercial.gov.uk,"39 Old Hall Street",,Liverpool,L39PP,England,,,"CCCC18A43-1 Call off Schedule 12 Variation REDACTED.pdf ",,,27/06/2018,31/03/2020,22/06/2018,NO,,No,No,No,Services,900000,,25/06/2018,900000,"[ERNST & YOUNG LLP|Becket House,1 Lambeth Palace Road
LONDON
SE1 7EU
GB|COMPANIES_HOUSE|OC300001|No|No]","Penny Caselberg",27/06/2018,31/03/2020,"CallOffFromFrameworkAgreement ",
700547374,Contract,"MINISTRY OF DEFENCE",Awarded,2020-08-20T12:19:29Z,"For Transparency Purposes Only - Business Insights Regime for CNR","FOR TRANSPARENCY PURPOSES ONLY - This is a voluntary transparency notice to advise of the intent to award a 2 year contract to Ernst & Young  LLP on the ESPO Framework 664,  Consultancy Services Lot 1.  This requirement is deemed single source as will ensure a seamless continuity of the capability by the existing supplier who has the necessary experience and knowledge of the system to enable additional developmental work to build, implement/integrate new reporting and analytics instruments within the existing dashboard.",,,"South East","79000000 ","Angela Benneworth",angela.benneworth100@mod.gov.uk,"HM Naval Base",,Portsmouth,"PO1 3LU",England,,,,,,20/05/2020,19/05/2022,15/05/2020,NO,,No,No,No,Services,1600000,2000000,15/06/2020,1666666,"[ERNST & YOUNG LLP|1 More London Place
LONDON
SE1 2AF
GB|COMPANIES_HOUSE|OC300001|No|No]",,15/06/2020,14/06/2022,"CallOffFromFrameworkAgreement ",,23:59
tender_201385/762210,Contract,HS2,Awarded,2019-04-12T15:51:50Z,"ERP Transition Support","A contract has been awarded to Ernst & Young LLP for the provision of support services for integration of Oracle Fusion ERP, for a period of nine (9) months, under the Crown Commercial Services (CCS) Management Consultancy Framework (RM3745).",,,"Any region","79000000 ",,jennifer.bignell@hs2.org.uk,"Two Snowhill, Snow Hill Queensway",,Birmingham,"B4 6GA",England,,,,,,02/04/2019,31/12/2019,02/04/2019,NO,,Yes,No,No,Services,575780,,03/04/2019,575780,"[Ernst & Young LLP|1 More London Place, London, SE1 2AF|COMPANIES_HOUSE|OC300001|No|No]",,02/04/2019,31/12/2019,"CallOffFromFrameworkAgreement ",
SR177310351,Contract,"HM REVENUE & CUSTOMS",Awarded,2018-11-27T12:50:45Z,"CDS Migration and Readiness Phase 4","This requirement is for Ernst & Young LLP to provide support for the following deliverables:

• PMO Support; 
• Migration; 
• Fast Parcel Operator Readiness; 
• Freight Forwarder Readiness; 
• Software Developer Readiness; 
• Communications and Development; 
• Integration Support; and 
• External Stakeholder Engagement Readiness",,,"Any region","72224000 ","Sarah Phillips",sarah.phillips@hmrc.gsi.gov.uk,"Alexander House,21 Victoria Avenue",,SOUTHEND-ON-SEA,SS991AA,England,07586477941,,"181108 18 EY Updated Version REDACTED SP v1.0.docx ",,,15/10/2018,29/03/2019,12/10/2018,NO,,No,No,No,Services,3075940,,12/10/2018,3075940,"[ERNST & YOUNG LLP|Becket House,1 Lambeth Palace Road
LONDON
SE1 7EU
GB|COMPANIES_HOUSE|OC300001|No|No]","Penny Caselberg",15/10/2018,29/03/2019,"CallOffFromFrameworkAgreement ",
tender_190914/719591,Contract,HS2,Awarded,2018-11-20T11:27:44Z,"IT Transformation Strategy","A contract has been awarded to Ernst & Young LLP for the provision of IT Transformation Strategy Services for a period of three (3) months as a call off contract under the Crown Commercial Services (CCS) RM3745 Management Consultancy Framework.",,,"West Midlands,London","72000000 ","Stephen Mann",stephen.mann@hs2.org.uk,"2 Snow Hill, Snow Hill Queensway",,Birmingham,"B4 6GA",England,,,,,,15/10/2018,15/01/2019,11/10/2018,NO,,No,No,No,Services,998103,,08/10/2018,998103.75,"[Ernst & Young LLP|1, More London Place, London, SE1 2AF|COMPANIES_HOUSE|OC300001|No|No]",,15/10/2018,15/01/2019,"CallOffFromFrameworkAgreement ",
"CCCC17A28-01 CCN",Contract,"Crown Commercial Service",Awarded,2018-05-15T11:47:57Z,"Variation  Provision of Consultancy for Commercial Capability Programme Support","This is a variation to the Contract between the Cabinet Office and Ernst & Young LLP. 

The Terms and Conditions of the Contract apply but with the following amendments:

•	Uplift in Value of an additional £60,000.00 (Exc. VAT), increasing total Contract value from £397,580.00 (Exc. VAT) to £457,580.00 (Exc. VAT).",,,"Any region","79410000 ",,cclpcoe@crowncommercial.gov.uk,"9th Floor The Capital",,Liverpool,"L3 9PP",England,"01633 811565 ext 1565",,"CCCC17A28-01 CCN v1 0  REDACTED (4).docx ",,,22/05/2017,30/12/2017,19/05/2017,NO,,No,No,No,Services,60000,,19/05/2017,457580,"[ERNST & YOUNG LLP|Becket House,1 Lambeth Palace Road
LONDON
SE1 7EU
GB|COMPANIES_HOUSE|OC300001|No|No]",,22/05/2017,30/12/2017,"Other Variation to Contract",
1380,Contract,"HIGH SPEED TWO (HS2) LIMITED",Awarded,2018-02-16T10:31:28Z,"Land and Property Development Programme (Tranche Two) - Contract Award Notice","A contract has been awarded to Ernst & Young LLP for the provision of Land and Property Development via Direct Award under Lot 2 of the CCS Management Consultancy Framework (RM3745).",,,"Any region","79900000 ","Hannah Cole",hannah.cole@hs2.org.uk,"Two Snowhill",Queensway,BIRMINGHAM,"B4 6GA",England,,,,,,12/02/2018,25/05/2018,09/02/2018,NO,,Yes,No,No,Services,467600,,09/02/2018,467600,"[Ernst & Young LLP|1 More London Place
London
SE1 2AF|COMPANIES_HOUSE|OC300001|No|No]",,12/02/2018,25/05/2018,"CallOffFromFrameworkAgreement ",
ncgcorporation001-DN243612-57246853,Contract,"NCG Corporation",Awarded,2017-08-08T15:54:34Z,"External Audit Services for NCG ****AWARD****","NCG Corporation have awarded a contract to Ernst & Young LLP for External Audit Services following completion of a Further Competition against Lot 5.4 of the Crown Commercial Services ConsultancyOne Framework.  This is a contract award notice as per PCR15 as the value of the award is above £25,000.",,,"North East","79212000 ","Noel Proudfoot",procurement@ncgrp.co.uk,"Rye Hill House","Rye Hill Campus, Scotswood Road","Newcastle upon Tyne","NE4 7SA",England,"0191 2004290",https://www.ncgrp.co.uk/,,,,03/05/2017,30/05/2020,13/03/2017,NO,,Yes,No,No,Services,168000,168000,23/03/2017,168000,"[Ernst & Young LLP|Citygate, St James Boulevard, Newcastle upon Tyne, NE1 4JD|||No|No]",,03/05/2017,03/05/2020,"Other ",
