"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP388085745,Contract,"Student Loans Company",Awarded,2019-04-03T09:42:18Z,"GB-Glasgow: Experian QAS","Software Support for Experian QAS for 2 years",,,Scotland,"72261000 ","Martin Woods",martin_woods@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01413062109,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=388085745 ",,01/04/2019,31/03/2021,29/03/2019,NO,,No,No,No,Services,646365,,29/03/2019,646365.41,"[Experian Limited|The Sir John Peace Building
        Experian Way
        Ng2 Business Park
        Nottingham
        NG80 1ZZ|NONE||No|No]","Edward Glassey",01/04/2019,31/03/2021,"NotSpecified ",
tender_239487/899212,Contract,"MHRA Buyer Organisation",Awarded,2020-10-30T11:01:23Z,"Online Investigation Software","Experian Investigators Online and Market IQ are services providing the capability to enhance and corroborate intelligence to support criminal investigations.",,"E14 4PU",London,"72222300 ",,purchasing@nibsc.org,"10 South Colonnade",,London,"E14 4PU",England,,,,,,01/08/2020,31/07/2021,31/07/2020,NO,,Yes,No,No,Services,35382,,22/06/2020,35382,"[Experian Limited|The Sir John Peace Building, Experian Way, NG2 Business Park,NG2 Business Park. NG80 1ZZ.|COMPANIES_HOUSE|653331|No|No]",,01/08/2020,31/07/2021,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
BIP442177660,Contract,"Student Loans Company",Awarded,2019-10-28T12:20:03Z,"GB-Glasgow: Credit Balance Refund & Fraud Technology","The provision of Experian Bank Wizard to support Credit Balance Refund & Fraud Technology Projects",,,Scotland,"72610000 ","Martin Woods",martin_woods@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01413062109,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=442177660 ",,30/09/2019,29/09/2021,27/09/2019,NO,,No,No,No,Services,110619,,27/09/2019,110619.7,"[Experian Limited|The Sir John Peace Building
        Experian Way
        NG2 Business Park
        Nottingham
        NG80 1ZZ|NONE||No|No]","Damain Kenny",30/09/2019,29/09/2021,"NotSpecified ",
SR114845763,Contract,"HM REVENUE & CUSTOMS",Awarded,2018-03-26T08:28:00Z,"Provision of Public Sector Services (Citizenview and Investigator Online)","This is a Variation Agreement for a further six month extension for access to Experian's provision of public sector services (Citizenview and Investigator online)",,,"Any region","48000000 ","Joanne Sykes",joanne.sykes@hmrc.gsi.gov.uk,"3 Stanley Street",,Salford/Manchester,"M60 9LA",England,,,"IOL Variation Agreement (Term and GDPR clauses) contracts finder.doc ",,,01/04/2018,31/10/2018,31/03/2018,NO,,No,No,No,Services,20000,,28/03/2018,20000,"[EXPERIAN LIMITED|Talbot House
NG8 1TH
GB|COMPANIES_HOUSE|00653331|No|No]",,01/04/2018,31/10/2018,"Other Direct Award",
"FSCS SS 031",Contract,"FINANCIAL SERVICES COMPENSATION SCHEME LIMITED",Awarded,2020-09-11T19:37:46Z,"Real-time GBR address verification","Data capture solution that offers real-time GBR address verification",,,"United Kingdom","48800000 ",,Procurement@fscs.org.uk,"10th Floor, Beaufort House","15 St Botolph Street",LONDON,"EC3A 7QU",England,,,,,,01/09/2020,31/08/2021,28/08/2020,NO,,Yes,Yes,No,Services,81933,,28/08/2020,81933,"[Experian Limited|Sir John Peace Building Experian Way
Nottingham
NG80 1ZZ|COMPANIES_HOUSE|653331|No|No]",,01/09/2020,31/08/2021,"SingleTenderActionNonOJEU ",,00:00
2019-SLC-009,Contract,"STUDENT LOANS COMPANY LIMITED",Awarded,2019-09-04T09:56:06Z,"Tracing Partner","Suite of tracing services for the location of SLC customers.",,,Scotland,"79714100 ","susan butcher",susan_butcher@slc.co.uk,"Memphis Building, McMullen Road","Lingfield Point",Darlington,"DL1 1RW",England,"01412433482 ext 33482",www.gov.uk/slc,,,,01/09/2019,31/08/2021,22/07/2019,NO,,No,No,No,Services,286400,1000000,15/08/2019,1000000,"[Experian Limited|The St John's Peace Building 
Experian Way
NG2 Business Park
Nottingham
NG80 1ZZ|NONE||No|No]",,01/09/2019,31/08/2021,"CallOffFromFrameworkAgreement ",
PS-19-57,Contract,"Driver & Vehicle Licensing Agency",Awarded,2020-09-15T13:26:49Z,"Provision of Identity Authentication Services for DVLA's Driver Licence Online system (DLO)","Provision of Identity Authentication Services for DVLA's Driver Licence Online system (DLO",,,Wales,"72000000 ","Sue O'Neill",sue.oneill@dvla.gov.uk,"Longview Road",,SWANSEA,SA67JL,Wales,+441792783405,,,,,01/08/2020,31/07/2022,27/08/2019,NO,,No,No,No,Services,658000,,15/07/2020,658000,"[EXPERIAN LIMITED|Landmark House,Ng2 Experian Way Business Park
NOTTINGHAM
Nottinghamshire
NG80 1ZZ
GB|COMPANIES_HOUSE|00653331|No|No]",,01/08/2020,31/07/2022,"CallOffFromFrameworkAgreement ",,23:59
CCSO19B24,Contract,"Crown Commercial Service",Awarded,2020-08-04T12:27:39Z,"Economic Forecasting Services","Provision of specialist IPR protected Economic Forecasting Services",,"SW1A 2HQ",,"79000000 ",,info@crowncommercial.gov.uk,"39 Old Hall Street",,Liverpool,L39PP,England,,,"Order form REDACTED.pdf ",,,06/12/2019,05/12/2020,05/12/2019,NO,,No,No,No,Services,21500,,06/12/2019,21500,"[Experian Limited|The Sir John Peace Building 
Experian Way 
NG2 Business Park 
Nottingham 
NG80 1ZZ|COMPANIES_HOUSE|00653331|No|No]",,06/12/2019,05/12/2020,"SingleTenderActionNonOJEU ",,12:00
"Business Service",Contract,"The Riverside Group Ltd",Awarded,2020-07-15T17:51:59Z,"Credit Checking","Credit Checking Services",,,England,"48812000 66113000 ","Tony Mitchell",tony.mitchell@riverside.org.uk,"2, Estuary Boulevard, Speke",,LIVERPOOL,L248RF,England,01512956412,,,,,17/04/2020,30/03/2021,17/03/2020,NO,,No,No,No,Services,70000,,17/04/2020,70000,"[Experian Limited|The Sir John Peace Building
Experian Way
NG2 Business Park
Nottingham
NG80 1ZZ|COMPANIES_HOUSE|653331|No|No]",,17/04/2020,30/03/2021,"CompetitiveQuotationNonOJEU ",
tender_139755/790363,Contract,"Department for Work and Pensions",Awarded,2019-08-09T15:06:40Z,"CMG: Exchange of LO data with CRAs","This contract will enable IT change within the Credit Reference Agency's internal systems to facilitate the receipt of data from CMG relating to unpaid Liability Order debt.",,"NG80 1RH","East Midlands","79990000 ",,CDCS.BOMTEAM@DWP.GOV.UK,"Quarry House, Quarry Hill",,LEEDS,"LS2 7UA",England,,,,,,13/01/2017,12/01/2020,13/12/2016,NO,,No,No,No,Services,371246,,13/12/2016,371246,"[Experian Limited|The Sir John Peace Building, Experian Way, NG2 Business Park, Nottingham NG80 1ZZ|NONE||No|No]",,13/01/2017,12/01/2020,"SingleTenderActionNonOJEU ",
