"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CRH 02620",Contract,NOE-CPC,Awarded,2018-12-19T14:53:14Z,"Chesterfield Borough Council Consultancy Advice","Chesterfield Borough Council is seeking to procure a suitably qualified consultant to undertake a feasibility study into the potential creation of the Derbyshire Rail Industry  Innovation Vehicle (DRIIVe) facility at Barrow Hill Round House in Chesterfield. The maximum budget for the feasibility study is circa ?50,000 inc VAT.
      
      It is envisaged that DRIIVe will see the creation of a Rail Innovation and Training Centre that will enhance an already thriving centre of railway maintenance and engineering.  In addition to a suite of specialist Rail Research and Development Laboratories and a Training Centre, the facility will provide commercial office and rail engineering workshop space.  
      The concept has been developed as a result of a collaborative partnership between Barrow Hill Engine Shed Society, Chesterfield Borough Council, Chesterfield College, the University of Derby and Newcastle University.   Partners have committed to working with a single inward investor to develop DRIIVe where the intention is that the facility will become a focus for rail innovation and training as well as providing commercial office and rail engineering  workshop space.  It is hoped that DRIIVe will facilitate growth in jobs across the wider supply chain, building upon the existing commercial offer at Barrow Hill which currently supports 65 rail related jobs.
      The purpose of the feasibility study is to inform and formalise discussions taking place  around the development of the DRIIVe Centre.  It is envisaged that the feasibility study will help us understand how the proposed uses within the building will function and based on this provide design and cost proposals for the centre up to RIBA stage 2+,  that take into account the site and its environment.
      
      How to Express Interest in this Tender: 
      
      1. Register your company on the eSourcing portal (this is only required once) - Browse to the eSourcing Portal: https://in-tendhost.co.uk/noecpc and click the link to register - Enter your correct business and user details - Note: your username will be the email address you have entered - you will also then shortly receive an email confirmation. 
      2. Once registered access the site and from the Home page hover over 'Tenders' on the tool bar  and select 'current tenders' from the drop down options
      3. Express Interest in the tender you are interested in - Select `Express Interest` within the Tender Details ( located at the bottom of the synopsis).  On doing so, you will instantly have access to the Tender Management area for that tender.  Any available documentation will be available via the various relevant tabs.  You can access this area at any point by logging in, navigating to `My Tenders` and selecting `View Details`.
      4. Responding to the tender - There will be a tab allocated to any tender stage (e.g. SQ and/or ITT).  Under the `My Tender Return` area, you will be required to complete any mandatory questionnaires and upload any requested do...",,"S44 5BL","Any region","79411100 ","Amanda Gregory",Amanda.Gregory4@nhs.net,"Top Road",Chesterfield,Derbyshire,"S44 5BL","United Kingdom","01246 513563",,,"https://in-tendhost.co.uk/noecpc/aspx/ ","Is a Recurrent Procurement Type? : No",29/11/2018,28/02/2019,05/11/2018,YES,"CRH 02620",Yes,No,No,Services,0,,03/12/2018,46975,"[Focus Consultants 2010 LLP|1 Pinnacle Way 
Pride Park 
Derby 
DE24 8ZS|COMPANIES_HOUSE|OC357628|Yes|No]",,04/12/2018,28/02/2019,"OpenNonOJEU ",
CD1182,Contract,"SUFFOLK COUNTY COUNCIL",Awarded,2016-08-19T14:45:50Z,"The Hold Cost Consultant","Suffolk County Council wishes to appoint a Cost Consultant to provide estimates, advice, and other cost consultancy services regarding the cost of construction for The Hold; initially, this will be up to and including RIBA stage 3 design level, obtain planning, building regulations and any other consents. Subject to securing Round 2 HLF funding, the contract would then be extended to complete development, to include production of detailed designs and specifications, and assist with the production and evaluation of ITT documents for construction contractors, and to provide pre and post tender advice.

The Tender Documentation can be found at www.suffolksourcing.co.uk",,,"East of England","71324000 71242000 71244000 ",,martin.jennings@suffolk.gov.uk,"Endeavour House","8 Russell Road",Ipswich,"IP1 2BX",England,,www.suffolksourcing.co.uk,,,"The tender documentation can be found at www.suffolksourcing.co.uk ",25/10/2016,31/05/2020,23/09/2016,NO,,Yes,No,No,Services,90000,,25/10/2016,90000,"[Focus Consultants 2010 LLP|1 Pinnacle Way, Pride Park, Derby, DE24 8XS|||No|No]",,25/10/2016,31/05/2020,"Open ",
ADCQ17-0356/2,Contract,"Bassetlaw District Council",Awarded,2017-06-16T15:13:04Z,"Ashfield District Council ADCQ17-0356 Consultancy Services to Understand the Development Potential of the Annesley Hall Site","Suppliers are invited to bid to provide consultancy services to establish the development potential of the Annesley Hall site including associated buildings and parkland.

Full details are available in the specification.",,,"East Midlands","71241000 ","Mark Ellison",mark.ellison@bassetlaw.gov.uk,"Queens Building, Potter Street",,Worksop,"S80 2AH",England,,,,"https://www.eastmidstenders.org/ ","To register an interest and to request specification documentation, please access East Midlands Tenders website.",28/04/2017,28/09/2017,03/04/2017,YES,ADCQ17-0356,Yes,No,No,Services,0,,06/06/2017,33930,"[Focus Consultants 2010 LLP|Focus House
Millennium Way West
Phoenix Business Park
Nottingham
NG8 6AS|||No|No]",,07/06/2017,06/11/2017,"Open ",
LEICSCITY02-DN379699-65207275,Contract,"Leicester City Council",Awarded,2019-07-02T12:25:03Z,"PAN2089 - LLEP Evaluation","Leicester City Council invited quotations for the provision of a consultant to provide an evaluation of Leicester & Leicestershire Enterprise Partnership (LLEP) programmes.",,,"East Midlands","73000000 ","Siobhan Hole",Siobhan.Hole@leicester.gov.uk,"City Hall (4th Floor)","115 Charles Street",Leicester,"LE1 1FZ","United Kingdom","+44 1164542048",http://www.leicester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=504af28b-374a-e911-80f3-005056b64545 ",,05/06/2019,04/09/2019,01/04/2019,NO,,Yes,Yes,No,Services,45000,45000,02/05/2019,39975,"[Focus Consultants 2010 LLP|1 Pinnacle Way, Pride Park, Derby DE24 8ZS|NONE||Yes|No]",,05/06/2019,04/09/2019,"Open ",
"CBC-0923-FC-CE - AWARD",Contract,"Central Bedfordshire Council",Awarded,2018-11-20T13:51:00Z,"CBC-0923-FC-CE Potton Road Housing Development - Design and Contract Admin Services - AWARD","You are invited to tender for multi-disciplinary design consultants and Principal Designer and contract administration services. This will be for a proposed 8 no. Shared ownership/Affordable rental Houses: - 2 X 3-bedroom houses and 6 X 2 bedroom houses scheme located on Potton Road, Wrestlingworth. 
      
      To be in accordance with the designer's duties and the terms and conditions of the ESPO Framework 2664 for Property, Building and Infrastructure Advice and Management Services.
      
      Return of Tender - Completed Tenders and attachments should be submitted electronically, by the due date via our ""In-tend"" electronic tendering system. Tenders must be uploaded via the ""My Return"" section of the system. Tenders submitted through the correspondence facility will not be considered. 
      
      Your Tender must be submitted via the In-Tend system by no later than 12:00 noon on 18th October 2018. Tenders received after that time will be excluded
      
      Help and Support - The Council will provide as much support and information as it can in order to help guide you through the Tender process.  Questions asked together with the Council's response will be made available to all tenderers to ensure a fair and consistent approach to all. If there is anything you are not sure of or need clarification on, please contact us using the Correspondence facility on the In-tend portal. Last date for receiving questions on Intend system 12 noon 12th October 2018. 
      
      Contract start date 31st October 2018.",,"SG17 5TQ","Any region","71220000 ","ADMINISTRATOR ADMINISTRATOR",procurement@centralbedfordshire.gov.uk,"Priory House","Monks Walk",Shefford,"SG17 5TQ","United Kingdom",03003008000,,,,,22/10/2018,28/08/2020,18/10/2018,NO,,No,No,No,Works,0,,22/10/2018,48543,"[Focus Consultants 2010 LLP|Focus House, Millennium Way West, Phoenix Business Park, Nottingham, Nottinghamshire, United Kingdom, NG8 6AS|NONE||No|No]","Sonja Greenhow",22/10/2018,28/08/2020,"NotApplicable ",
"CBC0037P - AWARD",Contract,"GO Shared Services",Awarded,2017-08-17T15:39:31Z,"Masterplan Scoping Study Scoping Study for Cheltenham Town Hall - AWARD","An innovative and creative consultant is required to develop and provide a dynamic Masterplan Scoping Study of the Cheltenham Town Hall, exploring and defining its future potential to aid decision making and re-imagining the use of the asset in a 21st Century setting.",,"GL50 9SA","South West","79000000 ","Stella Yates",stella.yates@cotswold.gov.uk,Promenade,Cheltenham,Gloucestershire,"GL50 9SA","United Kingdom",01285623324,www.cheltenham.gov.uk,,,,01/08/2017,31/12/2017,31/03/2017,NO,,No,No,No,Services,40000,50000,17/08/2017,0,"[Focus Consultants 2010 LLP|Millennium Way West Phoenix Business Park, Nottingham, United Kingdom, NG8 6AS|||No|No]","Patricia Fletcher",01/08/2017,31/12/2017,"Open ",
"PS1920 - 039 LGF Mid Term Review",Contract,"Barnsley, Doncaster, Rotherham and Sheffield Combined Authority",Awarded,2020-10-01T09:34:24Z,"Local Growth Fund (LGF) Mid-Term Evaluation","Sheffield City Region Mayoral Authority is seeking to procure an organisation to undertake a mid-term evaluation of the Local Growth Fund programme, assessing the impact and achievements to date in meeting our objectives.",,,"Yorkshire and the Humber","73000000 79300000 ","Joe Gardner",procurement@sheffieldcityregion.org.uk,"S1 2BQ",,Sheffield,S12BQ,England,,https://sheffieldcityregion.org.uk/explore/funding-opportunities/,,,"Please go to https://sheffieldcityregion.org.uk/explore/funding-opportunities/ to download the quotation document.",15/07/2020,31/10/2020,26/06/2020,NO,,Yes,No,No,Services,30000,40000,20/07/2020,30050,"[FOCUS CONSULTANTS 2010 LLP|Millennium Way West
NOTTINGHAM
NOTTINGHAMSHIRE
NG8 6AS
GB|COMPANIES_HOUSE|0|No|No]",,15/07/2020,31/10/2020,"OpenNonOJEU ",,12:00
ASTONUNI001-DN295890-82659770,Contract,"Aston University",Awarded,2017-11-17T10:59:43Z,"339 EBRI Evaluation of Projects","Evaluation of EBRI Projects",,"B4 7ET","Any region","09000000 ","Jason Goodwin",j.goodwin@aston.ac.uk,"Aston Triangle",,Birmingham,"B4 7ET","United Kingdom","+44 1212044392",http://www.aston.ac.uk,,,,18/11/2017,30/04/2019,01/10/2017,NO,,Yes,Yes,No,Services,30000,100000,17/11/2017,32586,"[Focus Consultants 2010 LLP|Focus House
Millennium Way West
Phoenix Business Park
Nottingham 
NG8 6AS|||Yes|No]","Ian Stevens",18/11/2017,30/04/2019,"Other ",
"KEYSTONE DEVELOPMENTS (LG) LIMITED  (ON BEHALF OF KEYSTONE ALLIANCE) CONSULTANTS FRAMEWORK",Contract,"KEYSTONE DEVELOPMENTS (LG) LIMITED",Awarded,2018-09-26T15:06:03Z,"Keystone Alliance Consultants Framework 2018","Framework opportunity for Residential Development Consultancy Services on behalf of Keystone Alliance.

Duration of Framework: 4 years.

Keystone Alliance is; Keystone Developments (LG) Ltd, Longhurst & Havelock Homes, Spire Homes, Axiom Housing Association, Friendship, Care and Housing, Lace Housing, Tuntum Housing Association and Framework Housing Association and could include any other Registered Provider, Local Authority or other Arms-Length Management Organisation situated in the English counties of Nottinghamshire, Lincolnshire, Leicestershire, Derbyshire, Northamptonshire, Rutland, Warwickshire (including the city of Birmingham), Bedfordshire, Norfolk, South Yorkshire, Staffordshire, Humberside, Cambridgeshire and Buckinghamshire].

The Alliance require Consultants to perform the services and roles of:
A. Employer's Agent (including optional Principal Designer services);
B. Architect (including optional Principal Designer services);
C. Clerk of Works;
D. Affordable Housing Project Manager.",,,"Yorkshire and the Humber,East Midlands,West Midlands,East of England,South East","71000000 ","Ian Penn",ian.penn@longhurst-group.org.uk,"Leverett House, Gilbert Drive, Endeavour Park",,Boston,PE217TQ,England,"01205 319630",,,"https://xantive.supplierselect.com ","To access the tender documents:
Go to Xantive.supplierselect.com
Follow the instructions to register if you do not have an account
When you are signed in click on Public Projects (Top Right)
You will find:
Keystone Alliance Consortium Consultants Framework Tender 2018
- listed on the list of Public Projects You can download the tender document there for referal
Click on Create Opportunity and follow prompts to access all information
Complete your application ON LINE and provide all information requested in the form requested.
Submit your response before the deadline. To submit a response:
- Click on Project Status.
- If any Mandatory Questions are unanswered you can click on the red text to find out which.
- Once those are completed a Submit option will be provided
- Follow the prompts. Note it is impossible to submit after the deadline.",03/09/2018,03/09/2022,09/07/2018,YES,"KEYSTONE DEVELOPMENTS (LG) LIMITED  (ON BEHALF OF KEYSTONE ALLIANCE) CONSULTANTS FRAMEWORK",Yes,No,No,Services,750000,2500000,20/08/2018,2500000,"[RICHARD JULIAN AND ASSOCIATES LIMITED|Newby Castleman West Walk Building 110 Regent Road
LEICESTER
Leicestershire
LE1 7LT
GB|COMPANIES_HOUSE|07941809|No|No][MICHAEL DYSON ASSOCIATES LIMITED|West House
HD9 6LB
GB|COMPANIES_HOUSE|02903668|No|No][FOCUS CONSULTANTS 2010 LLP|Pinnacle Way, Pride Park
Derby
DE24 8ZS|COMPANIES_HOUSE|OC357628|No|No][RG+P LIMITED|71 Princess Road West
LEICESTER
Leicestershire
LE1 6TR
GB|COMPANIES_HOUSE|03837194|No|No][PELHAM ARCHITECTS|12 - 14 Pelham Road, Sherwood Rise, Nottingham|COMPANIES_HOUSE|7104|No|No][ABODE CONSULTANCY LIMITED|12 Clarendon Place
Leamington Spa
Warwickshire
CV32 5QR|COMPANIES_HOUSE|8764666|No|No][ALLAN JOYCE ARCHITECTS LIMITED|16-20 Bath Street
NOTTINGHAM
Nottinghamshire
NG1 1DF
GB|COMPANIES_HOUSE|05756164|No|No][SAUNDERS BOSTON LIMITED|119 Newmarket Road
Cambridge
Cambridgeshire
CB5 8HA
GB|COMPANIES_HOUSE|02110520|No|No][Core Architects|At9 The Terrace,Grantham Street
LINCOLN
Lincolnshire
LN2 1BD
GB|COMPANIES_HOUSE|07016284|No|No][PRP ARCHITECTS LLP|Ferry Works, Summer Road
Thames Ditton
Surrey
KT7 0QJ|COMPANIES_HOUSE|OC361169|No|No][Jefferson Sheard Architects (U K) Ltd|1 Scotgate Mews
PE9 2FX
GB|COMPANIES_HOUSE|308290|No|No][PITCH DEVELOPMENT SERVICES|14 Pelham Road, Sherwood Rise, Nottingham NG5 1AP|COMPANIES_HOUSE|OC331866|No|No][BAILY GARNER LLP|146-148 ELTHAM HILL
SE9 5DY
GB|COMPANIES_HOUSE|0|No|No][BOND BRYAN ARCHITECTS LIMITED|Springvale Road
SHEFFIELD
SOUTH YORKSHIRE
S10 1LP
GB|COMPANIES_HOUSE|06296993|No|No][THORNTON FIRKIN LLP|98 West Parade, Lincoln, LN1 1JZ|COMPANIES_HOUSE|OC348151|No|No][AECOM Limited|St George's House, 5 St George's Road
Wimbledon, London
Greater London
SW19 4DR|COMPANIES_HOUSE|1846493|No|No][LONGHURST GROUP LIMITED|Leverett House
PE21 7TQ
GB|COMPANIES_HOUSE|03958380|No|No][WT PARTNERSHIP LIMITED|AMP House, Dingwall Road
CROYDON
Surrey
CR0 2LX|COMPANIES_HOUSE|01130989|No|No][SUMMERS INMAN CONSTRUCTION AND PROPERTY CONSULTANTS LLP|Bevan House, Sir Bobby Robson Way
Newcastle Upon Tyne
Tyne & Wear
NE13 9BA|COMPANIES_HOUSE|OC303181|No|No][LEWIS AND HICKEY Ltd|18 Farnham Road
Guildford
Surrey
GU1 4XA|COMPANIES_HOUSE|2007297|No|No]",,10/09/2018,09/09/2022,"OpenOJEU ",
BIP173922970,Contract,"The British Museum",Awarded,2015-12-20T08:00:07Z,"Project and Cost Management","The contract award is for a framework agreement to cover the provision of services for the following: Project Management, Employer's Agent and Cost Management (Quantity Surveying) consultancy in connection with projects commissioned by The British Museum.",,,London,"71500000 71324000 71541000 ","Steven Davies",sdavies@thebritishmuseum.ac.uk,"Great Russell Street",,London,"WC1B 3DG",UK,+442073238739,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=173922970 ",,01/12/2015,30/11/2019,01/12/2015,NO,,Yes,No,No,Services,650000,,01/12/2015,650000,"[Buro Four Project Services Limited|1 Naoroji Street
London
WC1X 0GB|||No|No][Focus Consultants 2010 LLP|88 Kingsway
London
WC2B 6AA|||No|No][Equals Consulting Limited|17-19 Foley Street
London
W1W 6DW|||No|No][Lend Lease Consulting (EMEA) Limited|20 Triton Street
London
NW1 3BF|||No|No][Mace Limited|155 Morgate
London
EC2M 6XB|||No|No][RISE Management Consulting Limited|5-13 Trinity Street
London
SE1 1DB|||No|No][Stace LLP|2-3 Eldon Street
London
EC2M 7LS|||No|No][Baker Mallett LLP|10 Churchill Square
Kings Hill
West Malling
ME19 4YU|||No|No][Fraser Randall Limited|228 Long Lane
London
SE1 4QB|||No|No][Gardiner and Theobald LLP|10 South Crescent
London
WC1E 7BD|||No|No][Potter Raper Partnership|26-28 Great Portland Street
London
W1W 8QT|||No|No]",,01/12/2015,30/11/2019,"Restricted ",
