"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM1070 Ford Motor Company Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:15:09Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Ford Motor Company Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,,02/12/2014,0,"[Ford Motor Company Ltd|Eagle Way
Warley
Brentwood
CM13 3BW|||No|No]",,02/12/2014,01/12/2018,"Open ",
BIP464479499,Contract,"Fylde Borough Council",Awarded,2020-01-15T14:30:54Z,"GB-St Annes: TPPL Fylde Borough Council HCC lot 2 - 1 x Ford Transit with Arborist Body, 1 x Ford Transit with Cage (2843)","TPPL Fylde Borough Council HCC lot 2 - 1 x Ford Transit with Arborist Body, 1 x Ford Transit with Cage (2843)",,,"North West","34136000 ","Terence Lowe",terence.lowe@fylde.gov.uk,"St Annes Road West",,"St Annes","FY8 1LW",UK,01253658531,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=464479499 ",,02/04/2020,02/05/2020,14/11/2019,NO,,No,No,No,Products,74460,,14/11/2019,74460.76,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/04/2020,02/05/2020,"NotSpecified ",
BIP429504473,Contract,"Fylde Borough Council",Awarded,2019-11-28T14:50:02Z,"GB-St Annes: TPPL Fylde Borough Council HCC lot 2 - 1 x Ford Vans 2 x Ford Rangers","TPPL Fylde Borough Council HCC lot 2 - 1 x Ford Vans 2 x Ford Rangers",,,"North West","34144700 ","Terence Lowe",terence.lowe@fylde.gov.uk,"St Annes Road West",,"St Annes","FY8 1LW",UK,01253658531,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=429504473 ",,02/12/2019,02/01/2020,12/08/2019,NO,,No,No,No,Products,60826,,12/08/2019,60826,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/12/2019,02/01/2020,"NotSpecified ",
BIP539755763,Contract,"London Borough of Redbridge",Awarded,2020-11-02T12:35:01Z,"GB-London Borough of Redbridge: TPPL London Borough of Redbridge HCC Lot 2 - 1 x Ford Transit Custom Trend 340 130PS L1 H1 Panel Van (5865)","TPPL London Borough of Redbridge HCC Lot 2 - 1 x Ford Transit Custom Trend 340 130PS L1 H1 Panel Van (5865)",,,London,"34136200 ","Graham Tillett",graham.tillett@redbridge.gov.uk,"Ley Street Depot",,London,"IG2 7QZ",UK,02087085212,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=539755763 ",,02/01/2021,02/02/2021,24/09/2020,NO,,No,No,No,Products,21646,,24/09/2020,21646,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2021,02/02/2021,"NotSpecified ",,00:00
BIP528041004,Contract,"London Borough of Redbridge",Awarded,2020-09-22T12:30:05Z,"GB-London Borough of Redbridge: TPPL London Borough of Redbridge HCC lot 2 - 10 x Ford LCVs - RCS (5076)","TPPL London Borough of Redbridge HCC lot 2 - 10 x Ford LCVs - RCS (5076)",,,London,"34136000 ","Graham Tillett",graham.tillett@redbridge.gov.uk,"Ley Street Depot",,London,"IG2 7QZ",UK,02087085212,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528041004 ",,02/11/2020,02/12/2020,25/06/2020,NO,,No,No,No,Products,298601,,25/06/2020,298601,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BIP527970188,Contract,"London Borough of Redbridge",Awarded,2020-09-22T10:40:02Z,"GB-London Borough of Redbridge: TPPL London Borough of Redbridge HCC lot 2 - 4 x Ford LCVs - Misc (5051)","TPPL London Borough of Redbridge HCC lot 2 - 4 x Ford LCVs - Misc (5051)",,,London,"34136000 ","Graham Tillett",graham.tillett@redbridge.gov.uk,"Ley Street Depot",,London,"IG2 7QZ",UK,02087085212,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=527970188 ",,02/11/2020,02/12/2020,25/06/2020,NO,,No,No,No,Products,118522,,25/06/2020,118522,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BIP527961375,Contract,"London Borough of Redbridge",Awarded,2020-09-22T10:30:19Z,"GB-London Borough of Redbridge: TPPL London Borough of Redbridge HCC lot 2 - 19 x Ford LCVs - Cleansing (5049)","TPPL London Borough of Redbridge HCC lot 2 - 19 x Ford LCVs - Cleansing (5049)",,,London,"34136000 ","Graham Tillett",graham.tillett@redbridge.gov.uk,"Ley Street Depot",,London,"IG2 7QZ",UK,02087085212,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=527961375 ",,02/11/2020,02/12/2020,25/06/2020,NO,,No,No,No,Products,673602,,25/06/2020,673602,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BIP527762167,Contract,"London Borough of Redbridge",Awarded,2020-09-21T14:55:04Z,"GB-London Borough of Redbridge: TPPL London Borough of Redbridge HCC lot 2 - 7 x Ford LCVs - Caretaking (5047)","TPPL London Borough of Redbridge HCC lot 2 - 7 x Ford LCVs - Caretaking (5047)",,,London,"34136000 ","Graham Tillett",graham.tillett@redbridge.gov.uk,"Ley Street Depot",,London,"IG2 7QZ",UK,02087085212,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=527762167 ",,02/11/2020,02/12/2020,25/06/2020,NO,,No,No,No,Products,271622,,25/06/2020,271622,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BATH001-DN455416-36177987,Contract,"Bath and North East Somerset Council",Awarded,2020-01-24T13:48:13Z,"NTM Poly Body Tipper on 4.7 Ford Transit Chassis","Purchase of one Ford Transit 470 L2 Chassis Cab 2.0TDCi 130 RWD fitted with an NTM Poly Body with RS360 Bin lift in accordance with the supplied specification.",,,"South West","34134200 ","Martin Hellyer",martin_hellyer@bathnes.gov.uk,Guildhall,"High Street",Bath,"BA1 5AW","United Kingdom","+44 1225396264",http://www.bathnes.gov.uk,,,,27/01/2020,30/09/2020,17/01/2020,NO,,Yes,No,No,Products,61000,61000,24/01/2020,61000,"[Ford Motor Company Ltd|SS15 6EE|NONE||No|Yes]","Miss Sarah Robinson",26/01/2020,30/09/2020,"DirectAward ",
BIP457877149,Contract,"Durham County Council",Awarded,2019-12-16T13:10:05Z,"GB-Durham: TPPL Durham County Council HCC Lot 2 - 8 x Various Vans (2568)","TPPL Durham County Council HCC Lot 2 - 8 x Various Vans (2568)",,,"North East","34136000 ","Susan Kitching",susan.kitching@durham.gov.uk,"County Hall",,Durham,"DH1 5UL",UK,03000265489,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=457877149 ",,02/01/2020,02/02/2020,22/11/2019,NO,,No,No,No,Products,67672,,22/11/2019,67672.73,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No][Peugeot Motor Company Plc|2 Sunbeam Way
        Pinley House
        Coventry
        CV3 1ND|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
BATH001-DN415306-46940263,Contract,"Bath and North East Somerset Council",Awarded,2019-12-19T13:10:13Z,"Purchase of 8 Tipping Vehicles for the Parks Team","Purchase of eight new Ford Transit Chassis Cab 350 L2 2.0 TDCi 130 RWD with the TGS bodies",,,"South West","34134200 ","Martin Hellyer",martin_hellyer@bathnes.gov.uk,Guildhall,"High Street",Bath,"BA1 5AW",England,"+44 1225396264",http://www.bathnes.gov.uk,,,,21/10/2019,30/04/2020,05/07/2019,NO,,No,No,No,Products,289684,289684,18/10/2019,289684.88,"[Ford Motor Company Ltd|SS15 6EE|NONE||No|Yes]","Miss Sarah Robinson",21/10/2019,30/04/2020,"Other ",
BIP534705266,Contract,"Wigan Metropolitan Borough Council",Awarded,2020-10-15T12:35:04Z,"GB-Wigan: HCC & TPPL Vehicle Purchase Framework 2019","TPPL Horsham District Council HCC Lot 2 - 4 x LCVs (4189)",,,"North West","34136000 ","Andrea Yates",a.yates@wigan.gov.uk,"HindleyTowns Yard","Wigan Road",Hindley,"WN2 3BQ",UK,01942705110,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=534705266 ",,02/01/2021,02/02/2021,29/09/2020,NO,,No,No,No,Products,60030.32,,29/09/2020,60030.32,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2021,02/02/2021,"NotSpecified ",,00:00
BIP534699550,Contract,"Horsham District Council",Awarded,2020-10-15T12:25:02Z,"GB-Horsham: TPPL Horsham District Council HCC Lot 2 - 4 x LCVs (4189)","TPPL Horsham District Council HCC Lot 2 - 4 x LCVs (4189)",,,"South East","34136000 ","Roger Dennis",roger.dennis@horsham.gov.uk,"North Street",,Horsham,"RH12 1RL",UK,01403215299,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=534699550 ",,02/01/2021,02/02/2021,01/10/2020,NO,,No,No,No,Products,69875.82,,01/10/2020,69875.82,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2021,02/02/2021,"NotSpecified ",,00:00
BIP528766503,Contract,"Conwy County Borough Council",Awarded,2020-09-24T14:40:02Z,"GB-Conwy: TPPL Conwy County Borough Council HCC lot 2 - 3 x 3.5 GVW Twin Rear Wheel Drive Caged Tippers (5299)","TPPL Conwy County Borough Council HCC lot 2 - 3 x 3.5 GVW Twin Rear Wheel Drive Caged Tippers (5299)",,,Wales,"34134200 ","Nigel Jones",nigel.jones@conwy.gov.uk,"Black Marsh Road",,Conwy,"LL28 5HA",UK,01492577625,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528766503 ",,02/11/2020,02/12/2020,10/07/2020,NO,,No,No,No,Products,103410,,10/07/2020,103410,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BIP528436101,Contract,"Adur District Council & Worthing Borough Council",Awarded,2020-09-23T14:50:06Z,"GB-Worthing: TPPL Adur District Council HCC lot 2 - 3 X 3.5 Tonne Chassis / Cab With NTM Plastic Litter Collection Bodies (5101)","TPPL Adur District Council HCC lot 2 - 3 X 3.5 Tonne Chassis / Cab With NTM Plastic Litter Collection Bodies (5101)",,,"South East","34139100 ","Raman Singla",raman.singla@adur-worthing.gov.uk,"Room 7-9","Town Hall",Worthing,"BN11 1HB",UK,01903221291,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528436101 ",,02/11/2020,02/12/2020,23/06/2020,NO,,No,No,No,Products,148272.62,,23/06/2020,148272.62,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/11/2020,02/12/2020,"NotSpecified ",,00:00
BIP511574311,Contract,"Sheffield City Council",Awarded,2020-07-27T13:31:04Z,"GB-Sheffield: TPPL Sheffield City Council HCC lot 2 - 8 x Crew Vans (5266)","TPPL Sheffield City Council HCC lot 2 - 8 x Crew Vans (5266)",,,"Yorkshire and the Humber","34136000 ","Anna Peysner",anna.peysner@sheffield.gov.uk,"Staniforth Road",,Sheffield,"S9 3GZ",UK,01142037575,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=511574311 ",,02/09/2020,02/10/2020,16/06/2020,NO,,No,No,No,Products,139076.8,,16/06/2020,139076.8,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/09/2020,02/10/2020,"NotSpecified ",
7620128155-1,Contract,"FCO SERVICES",Awarded,2020-04-28T14:19:49Z,"Vehicle Purchase","https://www.crowncommercial.gov.uk/agreements/RM6060
",,"MK19 7BH",,"34100000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,06/01/2020,01/12/2022,05/01/2020,NO,,No,No,No,Products,23758.67,,05/01/2020,23758.67,"[FORD MOTOR COMPANY LTD TRUST A/C|SS15 6EE|NONE_OTHER||No|No]",,06/01/2020,01/12/2022,"CallOffFromFrameworkAgreement ",
BIP490487088,Contract,"Neath Port Talbot County Borough Council",Awarded,2020-04-28T10:00:32Z,"GB-Neath Port Talbot: TPPL Neath Port Talbot County Borough Council HCC Lot 2 - 2 x Medium Wheel Base Light Panel Vans (3348)","TPPL Neath Port Talbot County Borough Council HCC Lot 2 - 2 x Medium Wheel Base Light Panel Vans (3348)",,,Wales,"34136200 ","Diane Spencer",d.spencer@npt.gov.uk,"Tregelles Court","Neath Abbey","Neath Port Talbot","SA10 7DF",UK,01639763936,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=490487088 ",,02/07/2020,02/08/2020,04/12/2019,NO,,No,No,No,Products,27159,,04/12/2019,27159.34,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/07/2020,02/08/2020,"NotSpecified ",
BIP489595316,Contract,"Denbighshire County Council",Awarded,2020-04-23T09:50:02Z,"GB-Denbighshire: TPPL Denbighshire County Council HCC lot 2 - Up to 5 x 17 Seat Minibuses (3977)","TPPL Denbighshire County Council HCC lot 2 - Up to 5 x 17 Seat Minibuses (3977)",,,Wales,"34114400 ","Lizzie Williams",lizzie.williams@denbighshire.gov.uk,"Fleet Management & Vehicle Maintenance","Expressway Business Park",Ruthin,"LL18 5SQ",UK,01745839234,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=489595316 ",,02/07/2020,02/08/2020,12/04/2020,NO,,No,No,No,Products,142806,,12/04/2020,142806.85,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/07/2020,02/08/2020,"NotSpecified ",
BIP489468948,Contract,"Conwy County Borough Council",Awarded,2020-04-22T14:30:34Z,"GB-Conwy: TPPL Conwy Council BNES Bus Lot 1 - 1 x 17 seat Transit Minibus (3922)","TPPL Conwy Council BNES Bus Lot 1 - 1 x 17 seat Transit Minibus (3922)",,,Wales,"34114400 ","Nigel Jones",nigel.jones@conwy.gov.uk,"Black Marsh Road",,Conwy,"LL28 5HA",UK,01492577625,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=489468948 ",,02/06/2020,02/07/2020,28/02/2020,NO,,No,No,No,Products,29881,,28/02/2020,29881.48,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/06/2020,02/07/2020,"NotSpecified ",
BIP483097640,Contract,"Sefton Council",Awarded,2020-03-19T14:10:04Z,"GB-Bootle: TPPL Sefton Council HCC lot 2 - 1 x Van Mounted Access Platform (4309)","TPPL Sefton Council HCC lot 2 - 1 x Van Mounted Access Platform (4309)",,,"North West","34136000 ","John Ainsworth",john.ainsworth@sefton.gov.uk,"Transport Section","Hawthorne Road",Bootle,"L20 9PR",UK,01512886158,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=483097640 ",,02/06/2020,02/07/2020,16/03/2020,NO,,No,No,No,Products,52528,,16/03/2020,52528,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/06/2020,02/07/2020,"NotSpecified ",
762013045,Contract,"FCO SERVICES",Awarded,2020-03-12T10:09:11Z,"Vehicle Purchase","https://www.crowncommercial.gov.uk/agreements/RM6060
",,"MK19 7BH",,"34100000 ",,purchasingenquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,22/11/2019,01/12/2022,21/11/2019,NO,,No,No,No,Products,23867,,21/11/2019,23867,"[FORD MOTOR COMPANY LTD TRUST A/C|SS15 6EE|NONE_OTHER||No|No]",,22/11/2019,01/12/2022,"CallOffFromFrameworkAgreement ",
