"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
01945-2019,Contract,"West Midlands Combined Authority",Awarded,2019-07-23T14:30:32Z,"Cash Collections Tender","West Midlands Combined Authority (WMCA) requires a cash collection/management service for a number of its sites, namely New Street Station Travel Information Centre, Wolverhampton Travel Information Centre, WMCA Offices (16 Summer Lane) and Stourbridge Interchange.

The deadline to respond is Monday 6th May 2019 at 5:00pm.

Interested suppliers should register their interest on our Bravo Solution Portal by expressing an interest in the following listed tender: 

ITT: itt_612 - Cash Collection Services Tender

Please see the ITT letter within the Bravo for information. 

 Other Key links: 
 E-tendering portal Supplier Registration Guidance: 
 https://www.wmca.org.uk/media/1692/wmca_etendering_supplier_registration_guide_2016.pdf

For general information about the WMCA Procurement Team please visit: 
https://www.wmca.org.uk/procurement",,,"West Midlands","98000000 ",,emma.hibbert@wmca.org.uk,"16 Summer Lane",,BIRMINGHAM,B193SD,England,,,"Cash Collection Services - Specification 2019.docx ",,,01/06/2019,31/05/2022,06/05/2019,YES,01945-2019,No,No,No,Services,45000,,16/07/2019,62288,"[G4S Cash Solutions (UK) Limited|Sutton Park House
15 Carshalton Road
Sutton
SM1 4LD|COMPANIES_HOUSE|00354883|No|No]",,01/08/2019,31/07/2022,"OpenNonOJEU ",
ITP18-12,Contract,"UNIVERSITY OF CENTRAL LANCASHIRE HEC",Awarded,2018-10-02T12:27:09Z,"Cash in Transit Services","The University is renewing its contract for Cash in Transit Services utilising the NEUPC framework. The service will compromise of Cash Collection (Referred to as Service 1) from 8 locations on various dates & times. 
 
Following collection of cash and cheques they are to be taken to a central cash centre, the location of which is dependent on the carrier. 

Upon arrival at the cash centre UCLAN require the cash to be opened and counted, and the cheques sorted. From here the credits are to be passed through to the nominated UCLAN bank account(s) in a maximum of 3 working days. All collections are paid into the same account except the T2000 collection.  

At peak times throughout the contract period the University may require to add or amend collections, as well as running multiple collections across campus therefore the supplier must be able to accommodate these requirements. Collection amendments for bank holidays including Christmas are provided on request and UCLAN would aim to give 7 days' notice where possible for any other amendments. 

Where no collection for a particular site is required UCLAN would contact the carrier to advise them not to attend.

There is also an adhoc requirement for notes and coins to be delivered to the University therefore the supplier has to be able to offer this service (Referred to as Service 2). 
This service is required approx. 2-4 times per month to locations listed on the Cash Collection schedule document. This may fluctuate due to demand in peak periods (the figures are to be used as guidance only). UCLAN require the carrier to deliver notes within 24 hours and coins within 48 hours if requested before 12 noon.",,,"North West","79710000 ","Brett Dixon",etenders@uclan.ac.uk,"University Of Central Lancashire",,PRESTON,PR12TQ,England,"01772 893174",,,,,05/11/2018,04/11/2021,29/08/2018,NO,,No,No,No,Services,45000,,02/10/2018,45000,"[G4S CASH SOLUTIONS (UK) LIMITED|15 Carshalton Road
SUTTON
SURREY
SM1 4LD
GB|COMPANIES_HOUSE|00354883|No|No]",,05/11/2018,04/11/2021,"CallOffFromFrameworkAgreement ",
KNOWS001-DN128734-44187494,Contract,"Knowsley Council",Awarded,2016-07-22T11:48:46Z,"CCS Framework Agreement RM1006 – Further Competition – Lot 5 – Courier Services - Provision of Cash Collection Service","This contract is for the provision of cash collection Services from Council locations and car parks, banking and reconciliation services. The sites are located across the Authorities and include Cash Offices, Libraries, Leisure Centres, Schools and Nurseries   

Knowsley Metropolitan Borough Council is facilitating this collaborative procurement on behalf of Halton Borough Council, Sefton Council and Wirral Council.  The appointed contractor must be experienced and have the capacity to provide services throughout the Merseyside and Cheshire geographical area. 

The Contract covers:

•	Collection of Cash &/or Cheques prepared for banking
•	Collection of bulk coin prepared for banking
•	Delivery of change
•	Delivery of bulk coin
•	Delivery of collected monies to cash centres of High Street Banks for banking 
•	Cash Processing/Reconciliation Service",,,"North West","66000000 ","Kelly Black",kelly.black@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",UK,"+44 1514434938",http://www.knowsley.gov.uk,,,,01/07/2016,30/06/2019,01/06/2016,NO,,Yes,Yes,No,Services,195000,195000,30/06/2016,195000,"[G4S Cash Solutions (UK) Limited|SM1 4LD|||No|No]",,01/07/2016,30/06/2019,"Open ",
HULLCC001-DN341610-32080839,Contract,"Hull City Council",Awarded,2018-07-16T11:26:19Z,"Cash Collection Services 2018","Hull City Council is looking for a supplier capable of providing a service for the collection of cash (Notes & Coins), and cheques from the Treasury Building in Hull, and to deposit cash and cheques at a bank cash centre, for a 12 month period. The same service is also required for three Information Point Centres within Hull (Notes & Cheque). Successful delivery of the cash collection service will support the Hull City Council's Treasury Sections ability to deliver a continual service to internal departments and the general public in the payments made to the Council by the citizens of Hull.",,,"Yorkshire and the Humber","66000000 79710000 ","Simon Bugg",simon.bugg@hullcc.gov.uk,"Room 94, The Guildhall","Alfred Gelder Street",Hull,"HU1 2AA",England,"+44 1482615117",http://www.hullcc.gov.uk,,,"Interested parties can obtain the Request for Quotation documents for this opportunity via the YORtender portal; https://www.yortender.co.uk.  If your organisation is already registered on YORtender you will have the capabilities to download the opportunity immediately, YORtender reference DN341610. If your organisation is not registered you will need to register first before gaining access to documents. Registration for this site is free of charge, and help guides are available within the site.
",16/07/2018,15/07/2019,04/06/2018,NO,,Yes,No,No,Services,30000,,03/07/2018,30000,"[G4S Cash Solutions (UK) Limited|Sm1 4LD|NONE||No|No]","Ms Sara Raspin",01/08/2018,31/07/2019,"Open ",
KNOWS001-DN400567-25219402,Contract,"Knowsley Council",Awarded,2019-07-29T10:40:21Z,"Further Competition from the YPO Framework Agreement -  324F Cash Collection & Cash in Transit Services Lot 4 - North West","Knowsley Metropolitan Borough Council in conjunction with Halton BC and Sefton MBC is looking to receive quotations from bidders for the Cash Collection and Cash in Transit Further Competition from the YPO Framework Agreement - 324F (Lot 4 - North West).",,,"North West","66111000 66112000 ","Kelly Black",kelly.black@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514434938",http://www.knowsley.gov.uk,,,,01/08/2019,31/07/2021,16/04/2019,NO,,Yes,Yes,No,Services,221965,221965,25/07/2019,221965.92,"[G4S Cash Solutions (UK) Limited|SM1 4LD|NONE||No|No]","Miss Amie Lambert",01/08/2019,31/07/2021,"Other ",
DN298989,Contract,"Wakefield Council Customer Service",Awarded,2018-12-21T09:21:01Z,"Cash Collection and Cash in Transit Service","Cash Collection and Cash in Transit Service from Council premises and car parks. 

Mini competition via lot 8 (Yorkshire and Humber) of YPO framework 324F.

The call off contract will be put in place for 2 years with 2 x 1 year extensions available.",,,"Yorkshire and the Humber","66110000 ","The Council of the City of wakefield",rcalladine@wakefield.gov.uk,"Town Hall","Wood Street",WAKEFIELD,"WF1 2HQ",England,,,,,,07/01/2019,06/01/2021,05/10/2018,NO,,Yes,No,No,Services,390294,,12/11/2018,390294,"[G4S CASH SOLUTIONS (UK) LIMITED|15 Carshalton Road
SUTTON
SURREY
SM1 4LD
GB|COMPANIES_HOUSE|00354883|No|No]",,07/01/2019,06/01/2021,"CallOffFromFrameworkAgreement ",
FEE/0229,Contract,"DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS",Awarded,2015-04-02T10:38:17Z,"Cash-in-Transit and Related Services","Tenders are invited for the provision of cash-in-transit, cash processing and change float services.  The services are required at Forestry Commission premises and car park machines are various sites across England.  Due to the wide geographical coverage required, this tender has been split into 11 lots.  Bidders should note that within each lot there may be remote locations and should satisfy themselves that they are able to service all locations prior to submitting a tender for that lot.  The successful contractor(s) must be able to provide services 7 days a week including weekends and Bank Holidays. 
Please express your interest in this tender to procurement.england@forestry.gsi.gov.uk by 11th May 2015 to allow us to notify you of any questions and answers we may receive.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West","79710000 66112000 ","Procurement England",procurement.england@forestry.gov.uk,"620 Bristol Business Park","Coldharbour Lane",Bristol,"BS16 1EJ",England,,,"CIT FINAL ITT.doc Appendix 3 - Pricing Schedule - Version 2.xls Appendix 1 - Site Info.xls Appendix 2 - Ticket Returns.xls ",,"Suppliers must express their interest in this tender by the 11th May 2015.  To express an interest please email: procurement.england@forestry.gsi.gov.uk. Suppliers must download the attached tender documents by the same date. ",25/07/2015,24/07/2019,11/05/2015,NO,,Yes,No,No,Services,430000,,30/06/2015,332000,"[G4S Cash Solutions (UK) Limited|Sutton Park House
15 Carshalton Road
Sutton
Surrey
SM1 4LD|||No|No]",,25/07/2015,24/07/2019,"Open ",
4452-2455,Contract,"Surrey & Borders Partnership N H S Foundation Trust",Awarded,2017-11-03T10:36:24Z,"Cash Collection Services from Cashier Offices to Sussex Partnership NHS Foundation Trust","Sussex Partnership NHS Foundation Trust wishes to select a preferred provider in order to achieve an efficient, secure and auditable cash collection service for trust wider income and disbursements by engaging a contractor for a complete collection service from the cash collections to the Bank.",,,"South East","79710000 ","Monjur Elahi",monjur.elahi@nhs.net,"The Atrium, Curtis Road,",,Dorking,"RH4 1XA",England,,,"ITTs.ppt ",,"Please follow the instruction to log on to Bravo and access the ITT to access the tender documents.",04/08/2017,03/08/2020,11/07/2017,YES,4452-2455,Yes,No,No,Services,60000,100000,02/11/2017,95266,"[G4S Cash Solutions (UK) Limited|Sutton Park House, 15 Carshalton Road 
Sutton, Surrey
SM1 4LD|||No|No]",,12/11/2017,11/11/2020,"OpenNonOJEU ",
"15 004  DN113076",Contract,"CHESHIRE EAST COUNCIL",Awarded,2016-06-10T08:09:35Z,"Further Competition under ESPO Framework Agreement No. 324F_16 For the supply of Cash Collection and Cash and Valuables in Transit Services","A contract for cash collection services",,,"North West","79940000 ",,abigail.coyne@cheshireeast.gov.uk,Westfields,"Middlewich Road",Sandbach,"CW11 1HZ",England,,,,,,28/05/2016,27/05/2018,14/03/2016,NO,,No,No,No,Services,400000,,25/04/2016,400000,"[G4S Cash Solutions  (UK) Limited|Sutton Park House
15 Carshalton Road
Sutton
Surrey
SM1 4LD|||No|No]",,28/05/2016,27/05/2018,"Other ",
K28/002/0770,Contract,"The Driver & Vehicle Standards Agency",Awarded,2019-10-15T10:16:48Z,"Cash Collection","DVSA require cash collection and depositing services.",,,"Any region","66112000 ","Alison Altoft",Alison.Altoft@dvsa.gov.uk,"112 Upper Parliament Street",,NOTTINGHAM,NG16LP,England,07831540723,,,,,01/10/2019,31/03/2020,30/09/2019,NO,,No,No,No,Services,5265,,20/09/2019,5265,"[G4S CASH SOLUTIONS (UK) LIMITED|15 Carshalton Road
SUTTON
SURREY
SM1 4LD
GB|COMPANIES_HOUSE|00354883|No|No]",,01/10/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
