"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
XLY420/008/18/20B,Contract,"FCO SERVICES",Awarded,2018-12-03T13:18:47Z,"HAYS SPECIALIST RECRUITMENT LTD",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM971%22&items_per_page=10,,"MK19 7BH",,"79620000 ",,PurchasingEnquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,06/09/2018,01/03/2019,05/09/2018,NO,,Yes,No,No,Services,63600,,05/09/2018,63600,"[HAYS SPECIALIST RECRUITMENT LTD|KT3 4JQ|NONE||Yes|No]",,06/09/2018,01/03/2019,"CallOffFromFrameworkAgreement ",
"RM971 - HAYS SPECIALIST RECRUITMENT LTD",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-17T12:58:22Z,"The Supply of Non Medical Non Clinical (NMNC) and Fixed Term Staff","This Framework Agreement is for the Supply of Non Medical Non Clinical temporary and fixed term staff. The Framework Agreement will bring together a comprehensive range of suppliers providing a mix of national and local coverage.

This Framework Agreement comprises of eight (8) lots, listed as followed:

Lot 1 — Neutral Vendor Supply,

Lot 2 — Master Vendor Supply,

Lot 3 — Admin and Clerical Supply,

Lot 4 — Corporate Functions Supply,

Lot 5 — IT Professionals Supply,

Lot 6 — Legal Supply,

Lot 7 — Clinical Coding Supply,

Lot 8 — Ancillary Staff Supply.",,,"Any region","79600000 85100000 ",,nmnc@crowncommercial.gov.uk,"The Capital, 9th Floor,","Old Hall Street,",Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Hays Specialist Recruitment Ltd - REDACTED.pdf ",,,01/07/2015,30/06/2017,07/01/2015,YES,"RM971 - Access Computer Consulting plc",Yes,Yes,No,Services,600000000,2000000000,23/06/2015,0,"[HAYS SPECIALIST RECRUITMENT LTD|250 Euston Road, London, EC2V 6DN|||No|No]",,01/07/2015,30/06/2017,"Open ",
XLY420/008/18/34,Contract,"FCO SERVICES",Awarded,2018-09-07T14:18:53Z,"Hays Special Recruitment Ltd",http://ccs-agreements.cabinetoffice.gov.uk/?field_views_search_value=%22RM971%22&items_per_page=10,,"MK19 7BH",,"79620000 ",,purchasing.enquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,N/A,26/07/2018,26/10/2018,25/07/2018,NO,,Yes,No,No,Services,23560,,25/07/2018,23560,"[Hays Specialist Recruitment Ltd|KT3 4JQ|NONE||Yes|No]",,26/07/2018,26/10/2018,"CallOffFromFrameworkAgreement ",
CF-0045600D58000000L5A4EAK1,Contract,"Home Office",Awarded,2019-03-20T11:37:35Z,"Civil Servant Recruitment","Civil servant recruitment consisting of two orders: 
1. Digital and technology specialists 
2. Generalist, Operational and non-digital specialist roles.",,"SW1W 0NT","Any region","79600000 ","Jenny Beard",jenny.beard@homeoffice.gov.uk,"2 Marsham Street",,London,"SW1P 4DF",GB,,,,,,19/07/2018,18/07/2020,19/07/2018,NO,,No,No,No,Services,2000000,2000000,19/07/2018,6000000,"[HAYS SPECIALIST RECRUITMENT LTD|36 KING STREET |  |  | BRISTOL BS1 4DZ|NONE||No|No]",,19/07/2018,18/07/2020,"CallOffFromFrameworkAgreement ",
tender_104241/580186,Contract,"Ministry of Justice.",Awarded,2017-04-19T15:35:01Z,"Provision of Specialist Recruitment Campaign for Band As and Band Bs in the Commercial and Contract Management Directorate","Provision of Specialist Recruitment Campaign for Band As and Band Bs in the Commercial and Contract Management Directorate",,,"Yorkshire and the Humber,London","79600000 ",,MoJProcurementProfessionalServices@justice.gsi.gov.uk,"Harcourt House, Chancellor Way",,Leeds,"LS2 7EH",England,,,"4262-1 Band A and Band B Recruitment campaign [redacted].pdf HSR 220616 CCMD Proposal.pdf ",,,01/01/2015,31/12/2017,21/12/2014,NO,,Yes,Yes,No,Services,268000,402000,22/12/2014,268000,"[Hays Specialist Recruitment Ltd|250 Euston Road, London, NW1 2AF|||No|No]",,01/01/2015,31/12/2017,"Other ",
4262-1,Contract,"MINISTRY OF JUSTICE",Awarded,2016-03-03T11:00:42Z,"Provision of Specialist Recruitment Campaign for Band As and Band Bs in the Commercial and Contract Management Directorate","Provision of Specialist Recruitment Campaign for Band As and Band Bs in the Commercial and Contract Management Directorate",,,"North East,London","75120000 ",,MoJProcurementContingentLabourandRecruitment@justice.gsi.gov.uk,"Ministry of Justice (CCM) Directorate","10.02, 102 Petty France",London,"SW1H 9AJ",England,,,,,,01/01/2015,31/12/2017,21/12/2014,NO,,No,No,No,Services,267500,,22/12/2014,267500,"[Hays Specialist Recruitment Ltd|250 Euston Road, London, NW1 2AF|||No|No]",,01/01/2015,31/12/2017,"Other ",
CCPF16A05.,Contract,"Crown Commercial Service",Awarded,2017-04-21T11:57:55Z,"Finance Specialist Recruitment Support","Recruitment services to fill up to eight Grade 6/7 finance roles in 2017.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales,Northern Ireland,Isle of Man,Channel Islands","79600000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCPF16A05-Redacted Award Letter and Call Off Terms.pdf CCPF16A05-Appendix B-Statement of Requirements.pdf ",,,24/02/2017,23/02/2018,27/01/2017,NO,,Yes,No,No,Services,80000,,22/02/2017,80000,"[Hays Specialist Recruitment Ltd|250 Euston Road NW1 2AF London England|||No|No]",,24/02/2017,23/03/2018,"Restricted ",
A9MQ-JVLPV7-A9ND-V39DZP,Contract,"Rotherham MBC",Awarded,2016-05-05T10:13:32Z,"16-016 Executive Search, Assessment & Recruitment","Rotherham Metropolitan Borough Council (RMBC) invites tenders in respect of a contract for the provision of high quality marketing, search, assessment and recruitment of candidates. Suppliers will be expected to assist the Council to identify and recruit two officers who will be able to provide the necessary skills, energy and potential to support and drive the major improvement agenda and address a range of significant challenges. It should be noted that this contract is to support appointment on the Council's terms and conditions. It is expected that successful organisations would be those commonly referred to as executive head hunters. It is not anticipated that organisations which operate solely as providers of interim/consultancy personnel would have the necessary skills, experience and candidate networks to satisfy the Council's requirements. All Requests for Quotation must be returned through the YORtender system and will not be accepted by any other means.",,"S60 1AE","Yorkshire and the Humber","73000000 75000000 79000000 80000000 98000000 ","Annette Arnall",annette.arnall@rotherham.gov.uk,"Riverside House","Main Street",Rotherham,"S60 1AE",UK,"01709 255759",,,,"Instructions to Suppliers: The tender documents can be downloaded from the YORtender portal at 
www.yortender.co.uk Information about delivery location: The tender documents can be downloaded from the YORtender portal at 
www.yortender.co.uk ",30/05/2016,30/06/2016,20/05/2016,NO,,No,No,No,Services,0,50000,07/06/2016,50000,"[Hays Specialist Recruitment Ltd|107 Cheapside, EC2V 6DN, Greater London|||No|No]",,07/06/2016,06/06/2017,"Open ",
tender_130705/582426,Contract,"Defra Network eTendering Portal",Awarded,2017-05-02T14:29:50Z,"Provision of an ICT Contractor Resource for Unity, Data and Digital Programmes","Provision of an ICT contractor resource for Unity, Data and Digital Programmes using Framework RM971 Lot 5: IT Professionals Supply 

Provision of a resource to provide contingent labour. This resource will supplement our existing specialist IT skills and experience, to provide capacity and resilience within our workforce. The work centres around several key areas:
 - Transformation of our IT, making data sets publically available and moving into the digital world
 - Moving to a new, multi-supplier operating model
- Maintaining 'business as usual' IT services

 The requirement also includes the following Generic Requirements

• Provide timely contingent labour solutions for ICT positions across the Defra Group using market intelligence to support each search and provide strong, accurate and concrete hiring recommendations; 
• Regularly meet with Defra Group staff to enhance understanding of the organisation and its core activities, and the specific requirements of each role;
• Provide information on how electronic timesheeting and invoicing will operate;
• Produce quality CVs for potential hires within agreed timescales, with right first time CVs and following through promptly to secure candidates and onboard;
• Ensure that attracting a diverse range of candidates underpins all our recruitment activity;
• Provide Management Information for searches, including diversity and time to hire statistics;
• Provide Management Information monthly, from labour market intelligence on permanent and temporary resource, including skills availability, location of skills, average salary/rates for each skillset and future trends;
• Provide rigorous referencing and qualification checks on successful candidates; Ensure all submitted candidates have the right to work in the UK and have appropriate baseline personnel security checks, including higher level security checks in some cases;
• Where the service involves the processing of personal data, the supplier shall comply with the requirements of the Data Protection Act 1998.",,,"Any region","72222300 48000000 72267100 32412120 ",,network.procurement@defra.gsi.gov.uk,Defra,,London,"SW1P 3JR",England,,,,,,20/01/2017,31/01/2019,07/12/2016,NO,,No,No,No,Services,0,,20/01/2017,0,"[Hays Specialist Recruitment Ltd|107 Cheapside  London|||No|No]",,20/01/2017,31/01/2019,"Restricted ",
KNCT-011,Contract,"Cell Therapy Catapult Limited",Awarded,2020-09-16T17:12:05Z,Recruitment,"Urgent recruitment of key resources that align to critical path activities to get the site ready for manufacture per UK Government requirements",,,"East of England","79621000 ","Tony Morris",Tony.Morris@ct.Catapult.org.uk,"Gunnels Wood Road",,Stevenage,"SG1 2FX",England,,,,,,18/09/2020,15/09/2021,17/09/2020,NO,,Yes,No,No,Services,20000,20000,17/09/2020,20000,"[Hays Specialist Recruitment Ltd|PO Box 502, New Malden, KT3 9FL|NONE||No|No]",Sales,17/09/2020,16/09/2021,"SingleTenderActionNonOJEU ",,00:00
BIP396066853,Contract,"British Business Bank",Awarded,2019-05-09T14:24:02Z,"GB-Sheffield: Recruitment","Recruitment of Temporary and Permanent multi roles.",,,"Any region","79600000 ",Procurement,procurement@british-business-bank.co.uk,"Steel City House","West Street",Sheffield,"S1 2GQ",UK,0,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=396066853 ",,01/04/2019,30/06/2019,25/03/2019,NO,,No,No,No,Services,30000,,25/03/2019,30000,"[Hays Specialist Recruitment Ltd|250 Euston Road
        London
        NW1 2AF|NONE||No|No]","Doug Evans",01/04/2019,30/06/2019,"NotSpecified ",
