"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"ITT 60090",Contract,"DEPARTMENT OF HEALTH",Awarded,2016-12-07T11:18:15Z,"The Provision of Occupational Health Services","The Department of Health's (DH) Occupational Health Service (OHS) contract will cover occupational health services and risk assessment provision.
The services shall be provided as required to all Department of Health employees and prospective employees.
The Contractor shall develop and maintain effective partnership working with other health & well-being providers whether internal or external and promote the services available to staff.  This should include, but is not limited to, the Charity for Civil Servants and the Department's Employee Assistance Programme.
The Contractor shall ensure that its staff are appropriately qualified and experienced.  This includes for the OH Physician Membership of the Faculty of Occupational Medicine or equivalent and for a OH Advisor a diploma or degree in OH Nursing or equivalent.

This procurement was run via a Framework Mini Competition and is now awarded and closed.",,,"Any region","85100000 ","Hannah Cook",supplier.helpdesk@dh.gsi.gov.uk,"Quarry House","Quarry Hill",Leeds,"LS2 7UE",England,,,"Call-off terms DH Redactions FINAL.docx ",,,18/07/2016,03/10/2017,15/12/2015,NO,,Yes,No,No,Services,80000,,29/02/2016,0,"[Health Management Limited|Health Management Ltd, The Broyle, Ringmer, East Sussex, BN8 5NN|||No|No]",,18/07/2016,03/10/2017,"Other ",
2017196,Contract,"HER MAJESTYS LAND REGISTRY",Awarded,2018-04-27T16:08:33Z,"Occupational Health Provider","Health Management - Occupational Health Services",,,"Any region","85100000 ","Procurement and Commercial Group",CorporateProcurement@landregistry.gov.uk,"Land Registry Procurement Unit","PO Box 292",PLYMOUTH,"PL5 9BY",England,,,,,,30/10/2017,31/10/2020,03/08/2017,NO,,Yes,No,No,Services,555000,,31/08/2017,555000,"[HEALTH MANAGEMENT LIMITED|Ash House
BN8 5NN
GB|COMPANIES_HOUSE|04369949|Yes|No]","Claire Murray",30/10/2017,31/10/2020,"CallOffFromFrameworkAgreement ",
"01/2020/RCC-OCCUPATIONAL HEALTH",Contract,"Welland Procurement Unit",Awarded,2020-08-27T16:44:23Z,"The Provision of Occupational Health (Employees) Services","Occupational Health support covering pre-employment checks, OH referals and Ill-health retirement",,"LE15 6HP",,"85147000 ",,CSnell@rutland.gov.uk,"Rutland County Council",Oakham,Rutland,"LE15 6HP",England,,,,,,01/05/2020,30/06/2024,01/01/2020,NO,,Yes,No,No,Services,40000,40000,01/03/2020,40000,"[Health Management Limited (a subsidiary of MAXIMUS)|Ash House, The Broyle, Ringmer, East Sussex, BN8 5NN|NONE_OTHER||No|No]",,01/05/2020,30/06/2024,"CallOffFromFrameworkAgreement ",,12:00
"HDC 359 Occupational Health/EAP",Contract,"Harborough District Council",Awarded,2020-07-14T12:27:57Z,"HDC 359 Occupational Health/EAP","Occupational Health/Employee Assistance Programme",,,"East Midlands","85000000 ",,Commissioning@harborough.gov.uk,"The Symington Building","Adam and Eve Street","Market Harborough","LE16 7AG",England,,,,,,13/07/2020,12/07/2022,30/06/2020,NO,,Yes,No,No,Services,12393,12393,01/07/2020,12393,"[HEALTH MANAGEMENT LIMITED|Ash House
BN8 5NN
GB|COMPANIES_HOUSE|04369949|Yes|No]","Claire Murray",13/07/2020,12/07/2022,"CallOffFromFrameworkAgreement ",
CCHR18A40.,Contract,"Department for Transport : Department for Transport",Awarded,2019-04-03T16:57:43Z,"The Provision of Occupational Health Services for the Department for Transport","This contract has already been awarded and is published for transparency purposes. The contract is a call-off from Lot 2 of the RM3795 Occupational Health, Employee Assistance Programmes and Eye Care Framework, for the provision of Occupational Health services to the Department for Transport.",,,"Any region","85100000 ","Crown Commercial Service on behalf of Department for Transport : Department for Transport",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCHR18A40 Call Off Award Letter v1.0 REDACTED.pdf CCHR18A40 Order Form and Call-off Terms v1.0 REDACTED.pdf ",,,01/04/2019,31/03/2021,25/01/2019,NO,,No,No,No,Services,234000,,11/03/2019,234000,"[Health Management Limited|Ash House
The Broyle
Ringmer
East Sussex
BN8 5NN|COMPANIES_HOUSE|04369949|No|No]",,01/04/2019,31/03/2021,"CallOffFromFrameworkAgreement ",
tender_177908/727458,Contract,"NHS England",Awarded,2018-11-20T13:52:46Z,"NHS England Occupation Health Service","A permissible direct award from CCS Framework RM3795 for occupational health services for National Health Service Commissioning Board (NHS England) only",,,"Any region","85000000 85100000 85140000 85300000 ",,melissa.thorpe2@nhs.net,"Quarry House, Quarry Hill",,Leeds,"LS2 7UE",England,,,,,,05/11/2018,04/11/2019,28/09/2018,NO,,Yes,No,No,Services,44000,,01/10/2018,44000,"[Health Management Limited|Ash House, The Broyle, Ringmer, BN8 5NN|NONE||No|No]",,05/11/2018,04/11/2019,"CallOffFromFrameworkAgreement ",
BIP246351487,Contract,"Procurement Lincolnshire",Awarded,2017-03-21T16:51:02Z,"GB-Lincolnshire: Occupational Health","Occupational Health Services for Lincolnshire County Council (including Lincolnshire Fire and Rescue), City of Lincoln Council, South Kesteven District Council and North Kesteven District Council. This as awarded following a further competition under the ESPO Occupational Health Framework.",,,"East Midlands","85100000 ","Megan Rice",megan.rice@lincolnshire.gov.uk,"c/o Lincolnshire County Council",Newland,Lincoln,"LN1 1BA",UK,01522553649,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=246351487 ",,07/03/2017,06/03/2021,23/02/2017,NO,,No,No,No,Services,1000000,,23/02/2017,1000000,"[Health Management Limited|Ash House
        The Broyle
        Ringmer
        East Sussex
        BN8 5NN|||No|No]","Laura Moore",07/03/2017,06/03/2021,"NotSpecified ",
CON-19-058,Contract,"THE FINANCIAL CONDUCT AUTHORITY",Awarded,2020-10-29T17:03:59Z,"Occupational Health Services","Full occupational health service that include virtual GP service and workplace disability assessments.",,,London,"85100000 ","Kevin McMahon",Kevin.McMahon@fca.org.uk,"12 Endeavour Square",,LONDON,E201JN,England,+442070664634,,,,,01/07/2020,30/06/2023,10/06/2020,NO,,Yes,No,No,Services,500000,1000000,17/06/2020,786000,"[HEALTH MANAGEMENT LIMITED|Ash House, The Broyle, Ringmer, LEWES, BN8 5NN, GB|COMPANIES_HOUSE|04369949|No|No]",,01/07/2020,30/06/2023,"CallOffFromFrameworkAgreement ",,12:00
"TCA 3/7/428 pt 4",Contract,"Maritime & Coastguard Agency",Awarded,2020-05-14T12:38:44Z,"Occupational Health Contract","Occupational Health Contract",,,"Any region","85147000 ",,contracts@mcga.gov.uk,"105 Commercial Road",,Southampton,SO151EG,England,,,,,,01/12/2014,31/03/2018,30/11/2014,NO,,Yes,No,No,Services,720000,,30/11/2014,720000,"[HEALTH MANAGEMENT LIMITED|Ash House
BN8 5NN
GB|COMPANIES_HOUSE|04369949|No|No]","Claire Murray",01/12/2014,31/03/2018,"CallOffFromFrameworkAgreement ",
HACK001-DN417678-72613831,Contract,"London Borough of Hackney",Awarded,2020-04-08T14:41:45Z,"Occupational Health","Procurement of Occupational health",,,London,"85100000 ","Jacqueline Rutherford",jacqueline.rutherford@hackney.gov.uk,"The Annexe","2 Hillman Street",Hackney,"E8 1DY",England,,http://www.hackney.gov.uk,,,,28/10/2019,29/10/2021,09/08/2019,NO,,Yes,No,No,Services,450000,450000,28/10/2019,156150,"[Health Management Limited|Ash House The Broyle Ring Met East Sussex BN8 BNN|NONE||No|No]",,01/01/2020,31/12/2023,"Other ",
