"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP447255813,Contract,"Hartlepool Borough Council",Awarded,2019-11-14T13:31:13Z,"GB-Hartlepool: TPPL Hartlepool Borough Council NEPO GM & P Lot 1- 2 x ATV with Sprayer","TPPL Hartlepool Borough Council NEPO GM & P Lot 1- 2 x ATV with Sprayer",,,"North East","34144700 ","Dave Morton",dave.morton@hartlepool.gov.uk,"Bryan Hanson House","Hanson Square",Hartlepool,"TS24 7BT",UK,01429523817,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=447255813 ",,02/01/2020,02/02/2020,23/07/2019,NO,,No,No,No,Products,19200,,23/07/2019,19200,"[Lloyd Limited|Kingstown Broadway
        Kingstown Industrial Estate
        Carlisle
        CA3 0EF|NONE||No|No]","Simon Holmes",02/01/2020,02/02/2020,"NotSpecified ",
DN401881,Contract,"Hartlepool Borough Council",Awarded,2019-09-18T13:17:38Z,"Cash Collection services for the Revenues Section at Hartlepool Borough Council","Cash Collection services for the Revenues Section at Hartlepool Borough Council",,,"North East","79710000 ","Roy Horseman",Roy.Horseman@hartlepool.gov.uk,"Civic Centre, Victoria Road",,HARTLEPOOL,TS248AY,England,"(01429) 523146",,,,,03/04/2019,31/03/2021,02/04/2019,NO,,Yes,No,No,Services,0,,02/04/2019,0,"[Security Plus + Limited|The Manor House, High Street, Uttoxeter, Staffordshire ST14 7JQ|COMPANIES_HOUSE|1325489|No|No]",,03/04/2019,31/03/2021,"SingleTenderActionNonOJEU ",
DN281825,Contract,"Hartlepool Borough Council",Awarded,2017-06-14T09:30:36Z,"CPREX - HBC Cash Collection services for the Revenues Section at Hartlepool Borough Council","Cash Collection services for the Revenues Section at Hartlepool Borough Council",,,"North East","79710000 ","Roy Horseman",roy.horseman@hartlepool.gov.uk,"Civic Centre","Victoria Road",Hartlepool,"TS24 8AY",England,,,,,,01/03/2017,28/02/2019,14/02/2017,NO,,Yes,Yes,No,Services,0,,14/02/2017,160000,"[Security Plus + Limited|The Manor House, High Street, Uttoxeter, Staffordshire ST14 7JQ|||No|No]",,01/03/2017,28/02/2019,"Other ",
"DN228061 - Award Notice",Contract,"Hartlepool Borough Council",Awarded,2017-01-04T16:47:33Z,"Portfolio Asset Valuations at Hartlepool Borough Council","Provision from suitably qualified and experienced organisations with the capacity to provide Portfolio Asset Valuations for Annual Account Purposes.",,,"North East","71251000 ","Philip Timmins",philip.timmins@hartlepool.gov.uk,"Civic Centre","Victoria Road",Hartlepool,"TS24 8AY",England,"01429 523228",,,,,03/01/2017,30/09/2017,16/12/2016,NO,,Yes,Yes,No,Services,0,,20/12/2016,0,"[Wilks Head & Eve LLP|Newlands House, 40 Berners Street, London, W1T 3NA|||No|No]",,02/01/2017,30/09/2017,"Other ",
DN326915,Contract,"Hartlepool Borough Council",Awarded,2018-05-23T16:45:20Z,"Provision of Carers Services in Hartlepool","Hartlepool Borough Council is seeking submissions from suitably experienced organisations to provide services for Carers in Hartlepool. 

The service will be available to all carers who provide care and support to a parent, grandparent, sibling or close relative who are ordinarily resident in the borough of Hartlepool. In particular, this service will support and facilitate carers to meet individual outcomes and achieve equal access to a life in relation to health, wellbeing, education and training and/or employment.  

The contract will be for 3 years commencing 1st June 2018 with an option to extend for a further 2 years subject to demand and satisfactory performance.

The allocated annual budget for the provision of the service is £230,000.  Organisations are expected to utilise the whole of the annual budget to meet the service outcomes. Tenders should not be submitted above or below this amount. 

The service is for adult and young carers. It is accepted that elements of service provision will overlap across adults and young carers however where service are required to be provided in a specific way to either group this should be reflected in the tender submission.  The budget has been funded 75% from Adults Social Care and 25% from Childrens Social Care and the service design should reflect this.  

Organisations wishing to register an interest and download the tender documents, should apply via the ProContract e-tendering portal https://procontract.due-north.com",,,"North East","85000000 ","Karen Cooper",karen.cooper@hartlepool.gov.uk,"Civic Centre, Victoria Road",,HARTLEPOOL,TS248AY,England,01429523495,,,,,01/06/2018,31/05/2023,06/04/2018,YES,DN326915,Yes,Yes,No,Services,0,,10/05/2018,0,"[HARTLEPOOL CARERS|19A Lowthian Road
TS24 8BH
GB|COMPANIES_HOUSE|7025891|Yes|Yes]",,01/06/2018,31/05/2023,"OpenOJEU ",
"900-2017 - DN299677",Contract,"Hartlepool Borough Council",Awarded,2018-03-14T13:54:17Z,"Domiciliary Care Services","Hartlepool Borough Council wishes to invite registered domiciliary care providers to tender for two contracts for the provision of domiciliary care services in Hartlepool.

The primary objective of the service is to enable people living in the Hartlepool community to remain living at home for as long as possible and maintain a good quality of life which meets their indentified outcomes. Service users should be able to achieve and maintain their maximum levels of independence and self-care allowing to live more independently with dignity.",,,"North East","85000000 ","Karen Cooper",karen.cooper@hartlepool.gov.uk,"Civic Centre",,Hartlepool,"TS24 8AY",England,,,,,,01/04/2018,31/03/2023,27/10/2017,YES,"900-2017 - DN299677",Yes,Yes,No,Services,0,,26/01/2018,0,"[CLECE CARE SERVICES LIMITED|125-135 Staines Road
HOUNSLOW
MIDDLESEX
TW3 3JB
GB|COMPANIES_HOUSE|08719018|No|No][HARTLEPOOL CARE SERVICES LIMITED|Unit 5, Crown Buildings
Avenue Road
Hartlepool
TS24 8RZ|NONE||No|No]","James Muller",01/04/2018,31/03/2023,"RestrictedOJEU ",
HART001-DN146008-28524023,Contract,"Hartlepool Borough Council",Awarded,2016-07-15T14:06:46Z,"Focus on Health 2016","Hartlepool Borough Council is seeking submissions from suitably experienced organisations or individuals to provide a Focus on Health Project in Hartlepool to empower Hartlepool’s deaf community to improve their physical and emotional wellbeing.
",,,"North East","85100000 ","David Mitchell",david.mitchell@hartlepool.gov.uk,"Civic Centre","Victoria Road",Hartlepool,"TS24 8AY",UK,,http://www.hartlepool.gov.uk,,,,01/04/2016,31/03/2019,19/02/2016,NO,,Yes,Yes,No,Services,60000,60000,08/03/2016,60000,"[Hartlepool Deaf Centre|C/o Hartlepool Families First, ONE77, 177 York Road, Hartlepool, Cleveland, TS26 9EQ|||Yes|No]",,01/04/2016,31/03/2019,"Open ",
"HBC 822-2017",Contract,"Hartlepool Borough Council",Awarded,2017-09-22T16:08:02Z,"Supported Accommodation & Floating Support Services for Young People Aged 16-24 (3 Lots)","Hartlepool Borough Council is seeking providers for a range of supported accommodation and floating support services for young people aged 16-24 who are Hartlepool residents and identified as being:
-	Looked after Children
-	Care leavers
-	Teenage parents
-	Homeless young people
-	Unaccompanied asylum seekers

broken down into the following Lots:-
Lot 1 - Supported Housing and Crash Pads in Hartlepool for Children Looked After/ Care Leavers/ Homeless/ Unaccompanied Asylum Seekers. Including In reach and Outreach Support to Young People aged 16-24 Transitioning from the Service
Lot 2 - Supported Housing for Young Parents Including In Reach and Outreach Support to those transitioning from Placement 
Lot 3 - Floating Support Outreach",,,"North East","85000000 98000000 ","Ursula Larkin",ursula.larkin@hartlepool.gov.uk,"Level 3, Civic Centre","Victoria Road,",Hartlepool,"TS24 8AY",England,,,,,,01/10/2017,30/09/2022,17/08/2017,NO,,Yes,Yes,No,Services,0,,12/09/2017,0,"[Sanctuary Housing Association trading as Sanctuary Supported Liv|Chamber Court,
Castle Street,
Worcester,
Greater London
WR1 3ZQ|||No|No][Thirteen Care and Support Limited|The Exchange,
1st Floor,
Manor Court,
Jesmond,
Newcastle,
Tyne and Wear
NE2 2JA|||No|No]",,01/10/2017,30/09/2022,"RestrictedOJEU ",
645-2016,Contract,"Hartlepool Borough Council",Awarded,2016-03-04T13:41:21Z,"REHABILITATION AND TRANSITIONAL CARE","Hartlepool Borough Council, in collaboration with the Stockton & Hartlepool CCG, seeks to commission a rehabilitation and transitional care service through the block purchase of 20 beds in a designated unit within a registered care home in Hartlepool.",,"TS24 8AY","North East","85000000 ","Karen Burke",karen.burke@hartlepool.gov.uk,"Civic Centre",,HARTLEPOOL,"TS24 8AY",England,,www.hartlepool.gov.uk,,,,01/06/2016,31/05/2019,24/03/2016,NO,,Yes,Yes,No,Services,0,,01/06/2016,0,"[Four Seasons Health Care Limited|Norcliffe House, Station Road, Wilmslow, Cheshire SK9 1BU|||No|No]",,01/06/2016,31/05/2019,"Open ",
"HBC 625A-2018 Issued 6.7.18",Contract,"Hartlepool Borough Council",Awarded,2018-11-29T10:50:31Z,"Passenger Transport Services for After School Provision","Hartlepool Borough Council currently has a requirement for an After School Provision for passenger transportation services. Predominantly the journeys will be within the Borough of Hartlepool, however there may be requests for some out of town work. The Council is looking for providers to call on for this service. 
Operators who wish to be considered will need to register an interest on the NEPO/ProContract portal at: - https://procontract.due-north.com
 and download the documentation under the relevant tender details -  Passenger Transport Services for After School Provision, ProContract Reference DN351861. 
Full requirements are provided in the documentation. All Completed documentation must be returned via the ProContract portal, prior to the deadline of 14:00 on Friday 20th July 2018. (Postal and e-mail submissions WILL NOT be accepted.)",,,"North East","60130000 60140000 60170000 ",,ursula.larkin@hartlepool.gov.uk,"Civic Centre, Victoria Road",,HARTLEPOOL,TS248AY,England,,,,,,03/09/2018,02/09/2021,20/07/2018,YES,"HBC 625A-2018 Issued 6.7.18",Yes,No,No,Services,0,,06/08/2018,0,"[Hudson 23 Ltd trading as 23 Taxis|Mainsforth Terrace,
Hartlepool.
TS24 7AJ|COMPANIES_HOUSE|4773350|Yes|No]",,03/09/2018,02/09/2021,"OpenNonOJEU ",
