"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_199695/812505,Contract,"NHS Business Services Authority",Awarded,2019-11-29T10:27:22Z,"Provision of Legal Services - Contract & Commercial Law","Notification of award of contract to Hill Dickinson LLP for the provision of legal services for contract & commercial law following further competition process via the NHS Shared Business Services Framework for Legal Services (Lot 6)",,,"North East,North West,Yorkshire and the Humber,West Midlands,London,South East","79100000 ","Julie Davison",julie.davison8@nhs.net,"Stella House, Goldcrest Way",,"Newcastle upon Tyne","NE15 8NY",England,,,,,,01/10/2019,30/09/2023,30/05/2019,NO,,Yes,Yes,No,Services,1200000,,19/09/2019,1200000,"[Hill Dickinson LLP|Princes Exchange, Princes Square, Leeds, LS1 4HY|COMPANIES_HOUSE|OC314079|No|No]",,01/10/2019,30/09/2023,"CallOffFromFrameworkAgreement ",
"Hill Dickinson LLP",Contract,"DEPARTMENT FOR WORK AND PENSIONS",Awarded,2015-05-22T08:40:48Z,"Provision of Legal Services to the Office for Nuclear Regulation","Hill Dickinson shall provide legal services and employment advice to ONR by means of telephone call, email or letter in response to the services identified in Schedule B, and for any other services agreed in writing, or by email from time to time.",,,"Any region","73000000 ",,procurement@hse.gsi.gov.uk,"Redgrave Court","Merton Road",Bootle,"L20 7HS",England,,,"1.11.4.2523. Hill Dickinson LLP.zip ",,,01/04/2014,31/03/2015,31/03/2014,NO,,Yes,No,No,NotApplicable,13500,,25/03/2014,13500,"[Hill Dickinson LLP|1 St Paul’s Square
Liverpool
L3 9SJ|||No|No]",,01/04/2014,31/03/2015,"NotApplicable ",
RM6137-,Contract,"Crown Commercial Service",Awarded,2019-08-29T16:12:46Z,"Costs Lawyer Services","This Framework provides costs law services to the Public Sector as detailed in the Contract Notice Authorised Customer List.
This Framework replaced the previous (expired) Law Costs Draftsman Services (RM1675). The policy drivers supporting the development and procurement of this Framework are:
o Provide Buyers with a route to market compliant with EU regulations;
o Offer a simplified agreement for both Buyers and Suppliers;
o Be attractive to Small-Medium Sized Enterprises (SMEs); and
o Achieve value for money.
This Framework consists of 3 lots. Lot 1 - General Costs Law Services, Lot 2 - Clinical Negligence Specialist
Services and Lot 3 - Security Clearance Specialist Services.
The framework period is for 24 months with option to extend for 2 periods of 12 months.
The Supplier will provide services to Buyers in the jurisdictional area of England & Wales.",,,"Any region","79100000 ","The Minister for the Cabinet Office acting through Crown Commercial Service",supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street,",,Liverpool,"L3 9PP",England,"+44 3450103503",https://www.gov.uk/ccs,"Customer List for RM6137 Cost Lawyer Services.pdf RM6137 - Costs Lawyer - Supplier List.pdf ",,,06/08/2019,05/08/2021,26/04/2019,NO,,Yes,No,No,Services,64000000,,06/08/2019,64000000,"[HILL DICKINSON LLP|1 St Pauls Square
LIVERPOOL
MERSEYSIDE
L3 9SJ
GB|COMPANIES_HOUSE|0|No|No][Horwich Farrelly Solicitors|Alexander House, 
Talbot Road, 
Manchester 
M16 0SP|NONE||No|No][KEOGHS LLP|2 The Parklands, Lostock
BL6 4SE
GB|COMPANIES_HOUSE|0|No|No][Plexus Law|Joseph's Well, 
Hanover Walk, 
Leeds, 
LS3 1AB|NONE||No|No][Alternative Costs Ltd|E.W.M House, 
Regent Street, 
Liverpool, 
L3 7BN|NONE||Yes|No][QM Legal Costs Solutions Ltd|Exchange Station, 
Tithebarn Street, 
Liverpool, 
L2 2QP|NONE||Yes|No][Phoenix Legal Services|21 St. Andrews Crescent, 
Cardiff. 
CF10 3DB|NONE||Yes|No][Kennedys|25 Fenchurch Avenue
LONDON
EC3M 5AD
GB|NONE||No|No]",,07/08/2019,06/08/2021,"OpenOJEU ",
MEDDISC001-DN487700-36927660,Contract,"Medicines Discovery Catapult",Awarded,2020-07-16T11:41:33Z,"Litigation Costs","Costs associated with ongoing litigation associated with the COVID-19 response. 
In its response to COVID-19 and with only days available, MDC, on behalf of the Department of Health and Social Care, is entering into contracts without competition or advertising the requirement. In accordance with the Public Contracts Regulations (2015) and Procurement Policy Note 01/20, the following tests have been met:
•	There are genuine reasons for extreme urgency - the response to the COVID-19 consequences needs to be immediate because of public health risks.
•	The events that have led to the need for extreme urgency were unforeseen - the COVID-19 situation is so novel that the consequences are not something that MDC could have predicted.
•	It is impossible to comply with the usual timescales in the Public Contract Regulations (2015) - there is no time to run an accelerated procurement under the open or restricted procedures or competitive procedures with negotiation, nor does the MDC have access to an existing commercial agreement such as a framework or dynamic purchasing system.
The situation is not attributable to the MDC - MDC has not done anything to cause or contribute to the need for extreme urgency.",,,England,"79100000 ","Kieran McGowan",Kieran.McGowan@md.catapult.org.uk,"Block 35, Mereside","Alderley Park",Cheshire,"SK10 4TG",England,"+44 1625708394",https://md.catapult.org.uk/,,,,18/05/2020,31/05/2020,14/05/2020,NO,,Yes,No,No,Services,150000,150000,15/05/2020,150000,"[Hill Dickinson LLP|50 Fountain Street
Manchester
M2 2AS|NONE||No|No]",,18/05/2020,31/05/2020,"Open ",
AGEMCSU/TRANS/18/519,Contract,"NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT",Awarded,2018-07-27T14:22:44Z,"Legal Support in relation to Commercial and Procurement Law for AGEM","Legal Support in relation to Commercial and Procurement Law for AGEM",,,"East Midlands","79100000 ","David Bailey",david.bailey1@nhs.net,"Cardinal Square","10 Nottingham Road",Derby,"DE1 3QT",England,,,,,,01/07/2018,30/06/2021,20/04/2018,NO,,No,No,No,Services,0,,19/06/2018,100000,"[HILL DICKINSON LLP|1 St Pauls Square
LIVERPOOL
MERSEYSIDE
L3 9SJ
GB|COMPANIES_HOUSE|0|No|No]","Julia Spurrett",01/07/2018,30/06/2021,"CompetitiveQuotationNonOJEU ",
MT178449,Contract,"General Medical Council (GMC)",Awarded,2016-06-22T13:04:55Z,"Whistleblowing Training (GMC361)","We believe that doctors should be able to raise public interest concerns without fear of reprisal. We commissioned the Hooper report, which we published in March 2016. We are working to see how we can use the Hooper recommendations to improve the experience of those who raise public interest concerns. To support this work, we aim to provide awareness sessions to approx. 250 staff in key roles across the GMC. It is expected that the external training provider will meet with key GMC groups to understand the specific GMC context, including a high-level view of policies and processes.",,,"Scotland,North West,South East,Wales,Northern Ireland,London","80500000 ","Lawrence Paddon",gmctenders@gmc-uk.org,"3 Hardman Street",,Manchester,"M3 3AW",England,"+44 1619236340",http://www.gmc-uk.org,,"http://www.mytenders.org/search/show/search_view.aspx?ID=JUN126595 ",,20/06/2016,19/06/2019,30/05/2016,NO,,Yes,No,No,Services,35000,,15/06/2016,35000,"[Hill Dickinson Llp|50 Fountain Street, , Manchester|||No|No]",,20/06/2016,19/06/2019,"Open ",
T16/01/RW6,Contract,"THE PENNINE ACUTE HOSPITAL N H S TRUST",Awarded,2016-06-01T10:50:29Z,"Legal Services","The contract award was the result of a further competition run under the NHS Shared Business Services Limited (NHS SBS)
Framework - Reference: SBS/13/SG/ZWS/8355",,,"North West","79100000 ",,procurement.nm@pat.nhs.uk,"The Pennine Acute Hospitals NHS Trust","Delaunays Road, Crumpsall",Manchester,"M8 5RB",England,,,,,,01/06/2016,31/05/2019,15/04/2016,NO,,No,No,No,Services,1355000,,31/05/2016,1355000,"[Hill Dickinson LLP|50 Fountain Street 
Manchester, 
M2 2AS|||No|No]",,01/06/2016,31/05/2019,"Other ",
MT199070,Contract,"NHS Resolution",Awarded,2017-06-30T17:45:04Z,"Health-related Legal Services","NHS Resolution (""NHSR"") has established a framework agreement on behalf of itself and the bodies listed in section VI.3 for the purposes of procuring certain health-related legal services.",,,"North East,Yorkshire and the Humber,North West,East Midlands,West Midlands,East of England,South East,South West,London","79100000 ",,Contract.Queries@resolution.nhs.uk,"2nd Floor, 151 Buckingham Palace Road",,London,"SW1W 9SZ",England,"+44 2078112700",http://resolution.nhs.uk/,,"http://www.mytenders.org/search/show/search_view.aspx?ID=JUN144811 ",,28/05/2017,27/05/2021,01/01/2017,NO,,No,No,No,Services,480000000,,25/05/2017,480000000,"[Bevan Brittan LLP|Kings Orchard, 1 Queen Street, Bristol|||No|No][Browne Jacobson LLP|Mowbray House, Castle Meadow Road, Nottingham|||No|No][Capsticks Solicitors LLP|1 St Georges Road, Wimbledon, London|||No|No][Capsticks Solicitors LLP|1 St Georges Road, Wimbledon, London|||No|No][Clyde & Co LLP|The St Botolph Building, 138 Houndsditch, London|||No|No][DAC Beachcroft LLP|Portwall Place, Portwall Lane, Bristol|||No|No][DAC Beachcroft LLP|3 Hardman Street, Manchester|||No|No][Bevan Brittan LLP|Fleet Place House, 2 Fleet Place, London|||No|No][Bevan Brittan LLP|Interchange Place, 151-165 Edmund Street, Birmingham|||No|No][DAC Beachcroft LLP|7 Park Square East, Leeds|||No|No][DAC Beachcroft LLP|Winton House, St Peter Street, Winchester|||No|No][DAC Beachcroft LLP|36 Gallowgate, Newcastle upon Tyne|||No|No][Hempsons|16th Floor City Tower, Piccadilly Plaza, Manchester|||No|No][Hempsons|Hempsons House, 40 Villiers Street, London|||No|No][Hempsons|The Exchange, Station Parade, Harrogate|||No|No][Hill Dickinson LLP|1 St Pauls Sqaure, Liverpool|||No|No][Hill Dickinson LLP|50 Fountain Street, Manchester|||No|No][Hill Dickinson LLP|The Broadgate Tower, 20 Primrose Street, London|||No|No][Kennedys Law LLP|25 Fenchurch Avenue, London|||No|No][Kennedys Law LLP|Terrington House, 13-15 Hills Road, Cambridge|||No|No][Kennedy Law LLP|35 Newhall Street, Birmingham|||No|No][Ward Hadaway Solicitors|Sandgate House, 102 Quayside, Newcastle upon Tyne|||No|No][Weightmans LLP|100 Old Hall Street, Liverpool|||No|No][Weightmans LLP|The Hallmark Building, 105 Fenchurch Street, London|||No|No][Weightmans LLP|St Philips Point, Temple Row, Birmingham, West Midlands|||No|No][Browne Jacobson LLP|Mowbray House, Castle Meadow Road, Nottingham|||No|No][Browne Jacobson LLP|Victoria Square House, Victoria Square, Birmingham|||No|No][Browne Jacobson LLP|Victoria Square House, Victoria Square, Birmingham|||No|No][Clyde & Co LLP|50 Brown Street, Manchester|||No|No][DAC Beachcroft LLP|Portwall Place, Portwall Lane, Bristol|||No|No][DAC Beachcroft LLP|3 Hardman Street, Manchester|||No|No][DAC Beachcroft LLP|7 Park Square East, Leeds|||No|No][DAC Beachcroft LLP|Tricorn House, 51-53 Hagley Road, Birmingham|||No|No][DAC Beachcroft LLP|36 Gallowgate, Newcastle upon Tyne|||No|No][DAC Beachcroft LLP|100 Fetter Lane, London|||No|No][Kennedys Law LLP|25 Fenchurch Avenue, London|||No|No][Weightmans LLP|100 Old Hall Street, Liverpool|||No|No][Weightmans LLP|St Philips Point, 47 Cannon Street, Birmingham|||No|No][Weightmans LLP|The Hallmark Building, 105 Fenchurch Street, London|||No|No][Bevan Brittan LLP|Kings Orchard, 1 Queen Street, Bristol|||No|No][Blake Morgan LLP|Harbour Court, Compass Road, North Harbour, Portsmouth|||No|No][Browne Jacobson|Mowbray House, Castle Meadow Road, Nottingham|||No|No][Capsticks Solicitors LLP|1 St Georges Road, Wimbledon, London|||No|No][DAC Beachcroft LLP|100 Fetter Lane, London|||No|No][Fieldfisher LLP|Riverbank House, 2 Swan Lane, London|||No|No][Hempsons|Hempsons House, 40 Villiers Street, London|||No|No][Hill Dickinson LLP|No. 1 St. Paul's Square, Liverpool|||No|No][Kennedys Law LLP|25 Fenchurch Avenue, London|||No|No][Mills & Reeve LLP|Moument Place, 24 Monument Street, London|||No|No][Ward Hadaway Solicitors|Sandgate House, 102 Quayside, Newcastle upon Tyne|||No|No][Weightmans LLP|100 Old Hall Street, Liverpool|||No|No]",,28/05/2017,27/05/2021,"Open ",
20180815090041-39,Contract,"NHS Shared Business Services Ltd (NHS SBS)",Awarded,2018-08-15T09:01:03Z,"Legal Services","Provision of Legal Services
Lot 1 NHS Governance & Public Law 	
Lot 2 Primary Care Services	
Lot 3 Healthcare Law	
Lot 4 Mental Health Law	
Lot 5 Employment Law	
Lot 6 Contract and Commercial Law 	
Lot 7 Property Law	Lot 8 Construction Law	
Lot 9 IT, Telecommunications & E-Commerce	
Lot 10 Corporate Finance & PFI/PPP projects including LIFT	
Lot 11 Multi-Disciplinary Project Support",,"M50 2UW","Any region","79100000 ","Maria Amariei",maria_amariei@nhs.net,"Halyard Court, 31 Broadway, The Quays",,Salford,"M50 2UW",ENG,"+44 161 212 3721",https://www.sbs.nhs.uk/proc-framework-agreements-support,,"https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/39 ","https://ted.europa.eu/udl?uri=TED:NOTICE:17107-2018:TEXT:EN:HTML&WT.mc_id=RSS-Feed&WT.rss_f=Printing+and+Publishing&WT.rss_a=17107-2018&WT.rss_ev=a
",01/06/2018,31/05/2022,15/02/2018,NO,,Yes,No,No,Services,1,100000000,01/06/2018,100000000,"[Addleshaw Goddard LLP|Milton Gate, 60 Chiswell Street London, EC1 Y4AG|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Bevan Brittan LLP|Kings Orchard
1 Queen Street
Bristol
BS2 0HQ|NONE||No|No][Bird & Bird LLP|12 New Fetter Lane
London EC4A 1JP|NONE||No|No][Blake Morgan LLP|Harbour Court, Compass Road, North Harbour, Portsmouth, PO6 4ST|NONE||No|No][Womble Bond Dickinson (UK) LLP|4 More London Riverside, London, SE1 1AU|NONE||No|No][Browne Jacobson LLP|Browne Jacobson LLP
Castle Meadow Road
Nottingham
NG2 1BJ|NONE||No|No][Capsticks Solicitors LLP|1 St George's Road, London, SW19 4DR|NONE||No|No][Clyde & Co LLP|The St Botolph Building, 138 Houndsditch, London, EC3A 7AR|NONE||No|No][DAC Beachcroft LLP|100 Fetter Lane, London, EC4A 1BN, DX 45 London|NONE||No|No][Freeths LLP|Cumberland Court, 80 Mount Street, Nottingham NG1 6HH|NONE||No|No][Gowling WLG (UK) LLP|4 More London Riverside, London, SE1 2AU|NONE||No|No][Hempsons|Hempsons House, 40 Villiers Street, London, WC2N 6NJ|NONE||No|No][Hill Dickinson LLP|No.1 St Paul's Square, Liverpool, L3 9SJ, 50 Fountain Street, Manchester M2 2AS|NONE||No|No][Hogan Lovells International LLP|Atlantic House, 50 Holborn Viaduct, London. EC1A 2FG|NONE||No|No][Kennedys Law LLP|25 Fenchurch Avenue, London EC3M 5AD|NONE||No|No][Law By Design Limited|Kingsley Hall, 20 Bailey Lane, Manchester M90 4AB|NONE||No|No][Michelmores LLP|Woodwater House, Pynes Hill, Exeter, EX2 5WR|NONE||No|No][Mills & Reeve LLP|Monument Place,
24 Monument Street, 
London, 
EC3R 8AJ|NONE||No|No][Ortolan Legal Limited|Chancery Place, 10th Floor, 50 Brown Street, Manchester M2 2JG|NONE||No|No][Quigg Golden Solicitors|1 Tonbridge Road
Maidstone
Kent
ME16 8RL|NONE||No|No][RadcliffesLeBrasseur|85 Fleet Street, London, EC4Y 1AE|NONE||No|No][Sintons Limited Liability Partnership|The Cube, Barrack Road, Newcastle upon Tyne NE4 6DB|NONE||No|No][Sharpe Pritchard LLP|Elm Yard 13-16 Elm Street London WC1X 0BJ|NONE||No|No][Trowers & Hamlins LLP|3 Bunhill Row, London EC1Y 8YZ|NONE||No|No][Walker Morris LLP|Kings Court, 12 King Street, Leeds, LS1 2HL|NONE||No|No][Ward Hadaway|Sandgate House, 102 Quayside, Newcastle upon Tyne, NE1 3DX|NONE||No|No][Weightmans LLP|100 Old Hall Street
Liverpool
Merseyside
L3 9QJ|NONE||No|No]","Michael O'Connor",01/06/2018,31/05/2022,"Open ",
1460,Contract,"CENTRE FOR PROCESS INNOVATION LIMITED",Awarded,2020-04-07T16:30:16Z,"1460 - Legal Advice Framework","CPI has a requirement for an external legal panel to assist in giving advice across the organisation on various matters when they arise.",,,"North East","79100000 ","CPI Procurement",e-tendering@uk-cpi.com,Wilton,,REDCAR,TS104RF,England,"01740 625716",www.uk-cpi.com,,"https://ne1procurementservices.com/ ",,06/04/2020,05/04/2024,31/01/2020,YES,1460,Yes,Yes,No,Services,189330,,02/04/2020,189330,"[DWF Law LLP|1 Scott Place
2 Hardman Street
Manchester
M3 3AA|COMPANIES_HOUSE|OC423384|No|No][THE ENDEAVOUR PARTNERSHIP LLP|Of St. Marks Court Teesdale Business Park
STOCKTON-ON-TEES
Cleveland
TS17 6QW
GB|COMPANIES_HOUSE|OC302638|Yes|No][HILL DICKINSON LLP|1 St Pauls Square
LIVERPOOL
MERSEYSIDE
L3 9SJ
GB|COMPANIES_HOUSE|0|No|No][MUCKLE LLP|Time Central,32 Gallowgate
NEWCASTLE-UPON-TYNE
TYNE AND WEAR
NE1 4BF
GB|COMPANIES_HOUSE|0|Yes|No][Square One Law LLP|Anson House
Fleming Business Centre
Burdon Terrace
Newcastle upon Tyne 
NE2 3AE
|COMPANIES_HOUSE|OC362083|Yes|No][Ward Hadaway Solicitors|Sandgate House,102 Quayside
NEWCASTLE-UPON-TYNE
TYNE AND WEAR
NE1 3DX
GB|COMPANIES_HOUSE|OC381988|No|No][WOMBLE BOND DICKINSON (UK) LLP|4 More London Riverside
LONDON
SE1 2AU
GB|COMPANIES_HOUSE|OC317661|No|No]",,06/04/2020,05/04/2024,"OpenNonOJEU ",
