"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CPD04/118/171A,Contract,"MINISTRY OF HOUSING, COMMUNITIES & LOCAL GOVERNMENT",Awarded,2019-04-02T15:38:29Z,"MHCLG IBM Cognos Licences Amendment/Reduction","MHCLG IBM Cognos Software licences and support - reduction in use and type of licences.
This contract has been awarded and is published for transparency purposes.",,,"Any region","48000000 ","Debbie Stogdon",debbie.stogdon@communities.gov.uk,"Ashdown House","Sedlescombe Road North","St Leonards on Sea","TN37 7GA",England,,,"190402 redacted.pdf ",,,01/04/2019,31/03/2020,27/03/2019,NO,,Yes,No,No,Services,13044,,29/03/2019,13044,"[IBM UK Ltd|North Harbour
Portsmouth
Hampshire PO6 3AE|NONE||No|No]",,01/04/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
ecm_2900,Contract,"Department for Work and Pensions",Awarded,2018-02-13T17:58:13Z,"IBM Software Enterprise Licence Agreement","Software enterpise licence agreement for IBM software, program licensing and software support (This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts).",,"LS2 7UA","Any region","48218000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,21/12/2015,30/06/2019,03/02/2014,NO,,No,No,No,Services,43680000,,21/12/2015,43680000,"[IBM UK Ltd|PO Box 41, North Harbour
Portsmouth
PO6 3AU|NONE||No|No]",,21/12/2015,30/06/2019,"CallOffFromFrameworkAgreement ",
ecm_4335,Contract,"Department for Work and Pensions",Awarded,2018-02-12T17:18:24Z,"Enterprise License Agreement (IBM)","Enterprise License Agreement (IBM) (This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts).",,"LS2 7UA","Any region","72500000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,29/06/2016,30/06/2019,30/04/2016,NO,,No,No,No,Services,43669001,,30/05/2016,43669001,"[IBM UK Ltd|PO Box 41, North Harbour
Portsmouth
PO6 3AU|NONE||No|No]",,29/06/2016,30/06/2019,"CallOffFromFrameworkAgreement ",
tender_193798/736880,Contract,HS2,Awarded,2019-01-18T10:15:10Z,"END USER ORACLE TRAINING - RELEASE 2","HS2 Ltd has awarded a contract to IBM UK Limited for the provision of End User Training for Oracle ERP Release 2. The award has been made under the Crown Commercial Services G-Cloud 10 Framework.",,"B4 6GA","Any region","72000000 80500000 ","Anthony Davies",Anthony.Davies@hs2.org.uk,"High Speed Two (HS2) Ltd, Two Snowhill, Snowhill Queensway",,Birmingham,"B4 6GA",England,,,,,,10/01/2019,19/04/2019,10/01/2019,NO,,No,No,No,Services,434763,,10/01/2019,434763,"[IBM UK Ltd|P.O. Box 41, North Harbour, Portsmouth, Hampshire, PO6 3AU|COMPANIES_HOUSE|00741598|No|No]",,10/01/2019,19/04/2019,"CallOffFromFrameworkAgreement ",
"Digital Marketplace Service ID number: 6360 0062 2145 903",Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-12-20T15:56:51Z,"IBM Cloud Garage Service - Rapid Engineering Model migration","Migration of current Rapid Engineering Modelling infrastructure to a Highways England owned cloud-based environment",,,"Any region","72000000 ",,transparencysgrm@highwaysengland.co.uk,"Highways England","The Cube",Birmingham,"B1 1RN",England,,,"DOC_D6AB2718.pdf ",,,18/12/2019,15/12/2020,17/12/2019,NO,,No,No,No,Services,886782.88,,17/12/2019,886782.88,"[IBM UK Ltd|PO Box 41, North Harbour, Portsmouth, PO6 3AU|COMPANIES_HOUSE|741598|No|No]",,18/12/2019,15/12/2020,"CallOffFromFrameworkAgreement ",
tender_198512/744824,Contract,"Department for Work and Pensions",Awarded,2019-02-06T10:49:53Z,"contract awarded","On boarding ICSS services for X86 & AIX Development environment (to be hosted on IBM Cloud) for existing release 11i and R12 upgrade Project",,,"Any region","72000000 ",,CD.DDSPMAILBOX@dwp.gsi.gov.uk,"PEEL PARK, BRUNEL WAY,",,BLACKPOOL,"FY4 5ES",England,1,,"G-cloud_10__IBM_On Boarding_final v2 fully redacted final.pdf ",,,21/01/2019,05/04/2019,14/01/2019,NO,,No,Yes,No,Services,18451,,21/01/2019,18451,"[IBM UK LTD|PO BOX 41, NORTH HARBOUR, PORTSMOUTH, HANTS, PO6 3AU|COMPANIES_HOUSE|741598|No|Yes]",,21/01/2019,05/04/2019,"CallOffFromFrameworkAgreement ",
tender_197655/744813,Contract,"Department for Work and Pensions",Awarded,2019-02-06T10:06:59Z,"contract awarded","AIX Development environment (to be hosted on IBM Cloud) for existing release 11i and R12 upgrade Project",,,"Any region","72000000 ","COMMERCIAL TEAM",CD.DDSPMAILBOX@dwp.gsi.gov.uk,"PEEL PARK, BRUNEL WAY",,BLACKPOOL,"FY4 5ES",England,1,,"DWPCPS-G-cloud_10_call-off_contract_IBM_FINAL v2 fully redacted final.pdf ",,,21/01/2019,20/01/2020,14/01/2019,NO,,No,No,No,Services,49720,,21/01/2019,49720.92,"[IBM UK LTD|PO BOX 41, NORTH HARBOUR, PORTSMOUTH, HANTS, PO6 3AU|COMPANIES_HOUSE|741598|No|Yes]",,21/01/2019,20/01/2020,"CallOffFromFrameworkAgreement ",
"Transition to World Class Operations",Contract,"DEPARTMENT FOR WORK AND PENSIONS",Awarded,2019-10-08T17:42:54Z,"Transition to World Class Operations","A 5 month transitional contract which will embed the transformational and continuous improvement work undertaken as part of World Class Services into standard ways of working within the Department (World Class Operations) with the Supplier off-boarded at the end of this contract.",,,"Any region","72000000 ","Shirley Jeffery",shirley.jeffery@dwp.gov.uk,"2 St Peters Square",,Manchester,"M2 3AA",England,,,"WCO Redacted Contract.pdf ",,,08/04/2019,20/09/2019,05/04/2019,NO,,No,No,No,Services,4795740,,05/04/2019,4795740,"[IBM UK Ltd|North Harbour
Portsmouth
Hants
PO6 3AU|NONE||No|No]",,08/04/2019,20/09/2019,"CallOffFromFrameworkAgreement ",
ecm_4786a,Contract,"Department for Work and Pensions",Awarded,2018-04-18T16:40:45Z,"PACS Maintenance Agreement","PACS Maintenance Agreement",,"LS2 7UA","Any region","48510000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,12/10/2017,31/01/2018,05/01/2016,NO,,Yes,No,No,Services,99500,,12/10/2017,99500,"[IBM UK Ltd|PO Box 41, North Harbour
Portsmouth
PO6 3AU|NONE||No|No]",,12/10/2017,31/01/2018,"Other Single Supplier",
2017-SLC-256,Contract,"STUDENT LOANS COMPANY LIMITED",Awarded,2018-02-02T14:55:05Z,"Service Design Partner","A further competition, held under RM3804 (Technology Services 2) for a partner to support service redesign.",,,Scotland,"72000000 ","Joan McCluskey",joan_mccluskey@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",England,"0141 243 3415",,,,,05/02/2018,06/05/2019,06/11/2017,NO,,Yes,No,No,Services,485030,,15/01/2018,485030,"[IBM UK Ltd|PO Box 41
North Harbour
Portsmouth
Hampshire
PO6 3AU|COMPANIES_HOUSE|00741598|No|No]","Ian Bradbury",05/02/2018,06/05/2019,"CallOffFromFrameworkAgreement ",
PS/17/169,Contract,"D V L A",Awarded,2018-01-23T15:26:10Z,"Mainframe Managed Service","DVLA currently has a contract to provide a Mainframe and Disaster Recovery managed Service.  This contract is due to expire on 15th August 2018. This contract is to continue with a managed service for a further 2 years.",,,Wales,"72000000 ","Gareth Peters",gareth.peters@dvla.gsi.gov.uk,DVLA,,Morriston,"SA6 7JL",England,,,,,,16/08/2018,15/08/2020,15/01/2017,NO,,No,No,No,Services,4166060,,16/01/2018,4166060,"[IBM UK LTD|PO Box 41
North Harbour
Portsmouth
PO6 3AU|NONE||No|No]",,16/08/2018,15/08/2020,"OpenOJEU ",
