"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HCA001-DN374393-42686409,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-11-12T11:16:07Z,"Homes England - Property Panel Monitoring Surveyor - Mansfield, Nottinghamshire.","Homes England required to appoint a Monitoring Surveying (MS) Firm from it's national Property Panel.  

The appointed MS is Jones Lang LaSalle and their work will include providing initial due diligence and ongoing monitoring of the residential development works.  

All work will be instructed under the standard terms of the HCA's Property Panel dated June 2018.

https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=7f88e6c1-bcdd-e811-80ef-005056b64545&returnPage=ContractsRegisterSettings",,,"East Midlands","70000000 ",,etendering@homesengland.gov.uk,"5 St Philips Place","Colmore Row",Birmingham,"B3 2PW","United Kingdom",,,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=7f88e6c1-bcdd-e811-80ef-005056b64545&returnPage=ContractsRegisterSettings ",,23/01/2019,28/02/2020,09/11/2018,NO,,Yes,No,No,Services,11350,,12/11/2018,11350,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||No|No]","Mr Christopher Prescott",13/11/2018,28/02/2020,"NotApplicable ",
HCA001-DN347981-59074135,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-06-26T14:36:10Z,"Homes England - Property Panel Monitoring Surveyor - Shropshire","Homes England required to appoint a Monitoring Surveying (MS) Firm from its national Property Panel.   https://www.gov.uk/government/publications/homes-england-contracts-and-tenders

Homes England required to appoint a Monitoring Surveying (MS) Firm from its national Property Panel. The appointed MS is JLL and their work will include providing initial due diligence and ongoing monitoring of the residential development works. All work will be instructed under the standard terms of the HCA's Property Panel dated November 2014",,,"North West","70000000 ",,etendering@homesengland.gov.uk,"5 St Philips Place","Colmore Row",Birmingham,"B3 2PW","United Kingdom",,,,,"
https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=600c3d1f-e66f-e811-80ed-005056b64545&returnPage=ContractsRegisterSettings",11/07/2018,31/01/2020,25/06/2018,NO,,Yes,No,No,Services,19350,,26/06/2018,19350,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||No|No][Jones Lang LaSalle|E14  5EG|NONE||No|Yes]","Mr Christopher Prescott",11/07/2018,31/01/2020,"Open ",
HCA001-DN289502-23102052,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-04-13T17:17:40Z,"Property Panel - Torbay Council - Support for Delivery of Torbay's Town Centres Regeneration Programme, Urban Extensions and Development Management Service","The Authority and the Torbay Economic Development Company Ltd trading as TDA, a company wholly owned by the Authority, are seeking professional support from appropriately qualified and experienced organisations to provide a range of property, planning and regeneration advice in support of the delivery of key projects to support delivery of the Council's town centre regeneration programme, delivery of urban extensions and delivery of the Council's Development Management service.",,,"South West","70000000 71000000 ","Joanna Pascoe",procurement.team@torbay.gov.uk,"Torbay Council, Civic Office","Castle Circus",Torquay,"TQ1 3DR",England,"+44 1803208517",https://www.gov.uk/government/organisations/homes-england,,,,21/09/2017,20/09/2019,24/08/2017,NO,,Yes,No,No,Services,200000,200000,29/08/2017,155451,"[Jones Lang LaSalle Ltd|EX1 1UG|NONE||No|No]","Tim Western",27/11/2017,26/11/2018,"Other ",
FM19328,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-02-07T08:56:33Z,"FM19328 - UKRI Estates Strategy","UKRI - had a requirement for the provision of Estates Professional Services including the preparation and development of an Estate Strategy

The Contract was awarded following the Direct Award Procedure under the CCS RM3816 Framework.
",,"SN2 1UH",,"70000000 ","FM Procurement",FMProcurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,20/01/2020,31/03/2020,20/12/2019,NO,,Yes,No,No,Services,44650,,20/12/2019,44650,"[Jones Lang Lasalle Ltd|30 Warwick Street 
London
W1B5NH|NONE_OTHER||No|No]",,20/01/2020,31/03/2020,"CallOffFromFrameworkAgreement ",
TORB001-DN402730-18003444,Contract,"Torbay Council",Awarded,2019-08-19T17:04:08Z,"Commercial Adviser for Developments at Little Blagdon Farm, Collaton St Mary, Paignton and Preston Down Road, Paignton","Working alongside its legal advisers, the TDA and Torbay Council officers, Torbay Council wishes to appoint an appropriately qualified and experienced consultant to support it throughout the process of procuring a development partner in respect of land at Little Blagdon Farm, Collaton St Mary, and Preston Down Road, Paignton. This will include assisting in the preparation of tender evaluation criteria and Heads of Terms; undertaking financial modelling; evaluating and advising upon tender submissions from prospective partners; attendance at meetings; and supporting the team generally throughout the Competitive Dialogue process.",,,"South West","70000000 71000000 73220000 ","Joanna Pascoe",joanna.pascoe@torbay.gov.uk,"Torbay Council Town Hall","Castle Circus",Torquay,"TQ1 3DR","United Kingdom","+44 1803208517",http://www.torbay.gov.uk/,,,,24/05/2019,23/05/2020,17/05/2019,NO,,Yes,No,No,Services,50000,50000,24/05/2019,44060,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||No|No]","Ms Gina Gregory",31/07/2019,31/03/2020,"Other ",
CS19163,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-08-01T10:25:41Z,"UK SBS CS19163 UKRI Travel Plan","Operating across the whole of the UK with a combined budget of more than £6 billion, UK Research and Innovation is a new entity that brings together nine partners to create an independent organisation with a strong voice for research and innovation, and a vision to ensure the UK maintains its world leading position in research and innovation. 
UKRI is committed to reducing the impact of travel and transport associated with its operations and is therefore seeking to procure a Consultancy to work with them to develop a Travel and Implementation Action Plan for its Swindon Campus (Polaris House). 
It should be noted that Implementation of the Travel Plan will be progressed by UKRI based on the mutually agreed Action Plan and that we are not looking to procure services beyond the initial consultancy. 
The overall aim will be to encourage staff and visitors to make travel choices other than the prevailing approach of single occupancy car for travel to Polaris House. Additional car parking provision is not an option being considered. 

UKRI is seeking guidance and support in relevant employee relations, Communications channels and staff engagement. 

The Plan should seek to find alternative solutions to solve the current problems of demand for parking and assist staff by making the",,,"South West","70000000 ","Professional Services",professionalservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,"SN2 1FL",England,"01793 867005",www.uksbs.co.uk,,,,01/08/2019,31/10/2019,05/07/2019,NO,,Yes,No,No,Services,30000,30000,31/07/2019,28000,"[Jones Lang LaSalle Ltd|30 Warwick Street, 
London 
W1B 5NH|NONE||No|No]",,01/08/2019,31/10/2019,"Other 3 quote process",
"BPSQ 044 - AWARD",Contract,"Birmingham City Council",Awarded,2019-07-22T13:13:51Z,"BPSQ 044 - Rates Mitigation - AWARD","Birmingham Property Services is seeking a supplier for the provision of Rates Mitigation Strategy for city council owned commercial.
      
      The contract will be for a period of one year commencing Monday 25 February 2019 until 24 September 2019, with the option to extend for a further one year subject to requirements and funding.
      
      Award will be based on the evaluation criteria stated in the quotation pack. 
      
      If you are interested in tendering please click on the following link to access Birmingham City Council's tender portal:
      https://in-tendhost.co.uk/birmninghamcc/ and submit your details to register as a bidder.  We will send you a log on and password so you can download the Invitation to Quote.
      
      Your completed Quote should be returned by noon on Friday 8 February 2019.",,"B4 7WB","West Midlands","70332200 70331000 70330000 70332000 70210000 ","Carole Smith",carole.smith@birmingham.gov.uk,"10 Woodcock Street",Birmingham,"West Midlands","B4 7WB","United Kingdom","0121 464 1623",,,,,25/02/2019,24/09/2019,08/02/2019,NO,,No,No,No,Services,0,,02/04/2019,170000,"[Jones Lang LaSalle Ltd|45 Church Street, Birmingham, United Kingdom, B3 2RT|NONE||No|No]","Katie Kopec",25/02/2019,24/09/2019,"Open ",
HCA001-DN393797-12557947,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-03-11T10:19:15Z,"Homes England - Property Professional Services Framework - Land and Property Agency Services - Ribbleton Hospital","Agency services for the disposal of Ribbleton Hospital.
https://www.gov.uk/government/publications/homes-England-contracts-and-tenders",,,"North West","70000000 ",,etendering@homesengland.gov.uk,"Level 1A, City Tower","Piccadilly Plaza",Manchester,"M1 4BT",England,,,,,,17/03/2019,31/12/2019,08/03/2019,NO,,Yes,No,No,Services,13600,,11/03/2019,13600,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||Yes|No]","Mr Christopher Prescott",17/03/2019,31/12/2019,"NotApplicable ",
HCA001-DN380940-10347603,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-03-06T09:52:37Z,"Homes England - Property Professional Services Framework - Reading","Homes England required to appoint a valuer from its national property panel. The appointed valuer is JLL and their work is for a single valuation of a proposed new residential development.

https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=b4edd94e-a630-e711-80e0-005056b64545&returnPage=ContractsRegisterSettings",,,"South East","70000000 ",,etendering@homesengland.gov.uk,Rivergate,"Temple Quay",Bristol,"BS1 6EH","United Kingdom",,,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=8175f9ef-7bfc-e811-80f0-005056b64545&returnPage=ContractsRegisterSettings ",,31/01/2019,31/03/2019,06/01/2019,NO,,Yes,No,No,Services,3850,,19/01/2019,3850,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||Yes|No]","Mr Christopher Prescott",31/01/2019,31/03/2019,"NotApplicable ",
WOLVCITY001-DN363039-36742539,Contract,"Wolverhampton City Council",Awarded,2018-12-03T12:51:11Z,"PP18163 - i54 Commercial Property Agent","The City of Wolverhampton Council (CWC) and Staffordshire County Council (SCC) as joint venture partners are inviting tenders for the provision of commercial property agency services in connection with the proposed marketing and sale of land to be prepared for development at I54 western extension.",,,"West Midlands","70332200 ","Jessica Prince",jessica.prince@wolverhampton.gov.uk,"Civic Centre","St Peters Square",Wolverhampton,"WV1 1RL","United Kingdom","+44 1902556556",http://www.wolverhampton.gov.uk,,,"The tender documents can all be found on the e-tendering portal at www.wolverhamptontenders.com  Please ensure you allow sufficient time to submit your response.
",22/10/2018,20/10/2023,04/10/2018,NO,,Yes,No,No,Services,90000,90000,06/11/2018,0,"[Jones Lang LaSalle Ltd|W1B  5NH|NONE||No|No]","Mr Christopher Prescott",07/11/2018,31/10/2023,"Open ",
