"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_211904/845216,Contract,"Defra Network eTendering Portal",Awarded,2020-04-28T10:48:35Z,"27214 - Natural Course - Macro Plastics North West","The Environment Agency has awarded a contract to carry out an EU Life Funded project to raise public awareness of impact of plastic waste on natural environment and watercourses. This project is awarded as as part of the Natural Course LIFE 14 IPE/UK/000027 RBMP NWRBD funding.",,,"North West","90713000 ","Carol Caddick",carol.caddick@environment-agency.gov.uk,"17 Nobel House",,London,"SW1P 3JR",England,"0203 02 50491",https://defra.bravosolution.co.uk,"27214_CAL KBT_Redacted.pdf 27214_Collaborative Agreement_v1.0_Redacted.pdf ","https://defra.bravosolution.co.uk https://defra.bravosolution.co.uk ","
Contract Documents",02/01/2020,31/12/2026,08/11/2019,YES,tender_211904/799558,Yes,Yes,No,Services,70000,,20/12/2019,69848,"[Keep Britain Tidy|Elizabeth House, Wigan, GREATER MANCHESTER, WN3 4EX, UNITED KINGDOM|NONE_OTHER||Yes|Yes]",,02/01/2020,31/12/2026,"CompetitiveQuotationNonOJEU ",
LGSS001-DN418130-11975083,Contract,"Milton Keynes Council",Awarded,2019-07-23T13:13:40Z,"Survey to assess the suitability of a wheeled bin introduction to Milton Keynes Residents","Survey to assess the suitability of a wheeled bin introduction to Milton Keynes residents.  All information is available on the LGSS e-tendering portal ProContract - https://www.lgssprocurementportal.co.uk/",,,"South East","79311000 ","1Ruth Holt",ruth.holt@Milton-keynes.gov.uk,"Civic Offices, 1 Saxon Gate East",,"Milton Keynes","MK9 3EJ","United Kingdom","+44 1908254744",https://www.lgss.co.uk/about/,,,,22/07/2019,31/12/2019,08/07/2019,NO,,Yes,Yes,No,Services,0,,23/07/2019,56096,"[Keep Britain Tidy|SE1 7TY|NONE||Yes|No]","Dr Anna Scott",24/07/2019,31/12/2019,"Open ",
tender_196006/759726,Contract,"Defra Network eTendering Portal",Awarded,2019-04-05T07:34:21Z,"Research into Litter Composition, including Composition of Dropped Versus Binned","The aim of the Project is to obtain, analyse and add value to data on litter composition, including composition of dropped versus binned litter, with data on brands of litter items as well as litter type.",,,"Any region","73000000 73110000 73210000 ",,Network.Procurement@defra.gov.uk,"17 Nobel House",,London,"SW1P 3JR",England,00,,"itt_5319 - Research into Litter Composition, including Composition of Dropped Versus Binned _CONTRACTS FINDER.pdf ",,"
Please note that Defra procurement uses an E-tendering system for Procurement activities.  This is currently provided by Bravo Solutions.   To access appropriate tendering and contractual documents, please access the E-Tendering portal at https://defra.bravosolution.co.uk"", ensuring that your registration includes ""Defra"".  If you have any problems with this system, please contact Bravo on their telephone helpline number 0800 368 4850 or by emailing them at help@bravosolution.co.uk.",05/04/2019,05/07/2019,06/02/2019,YES,tender_196006/735955,Yes,Yes,No,Services,88412,,22/03/2019,88412,"[Keep Britain Tidy|Elizabeth House, Wigan, Greater Manchester, WN3 4EX, UNITED KINGDOM|NONE||No|No]",,05/04/2019,05/07/2019,"OpenNonOJEU ",
WP-FW-18,Contract,"NORTH LONDON WASTE AUTHORITY",Awarded,2018-11-06T10:08:19Z,"Food waste prevention services in north London","North London Waste Authority (NLWA) is running an extensive waste prevention programme from 1 April 2018 to 31 March 2020 focusing on reducing local authority collected waste in north London. The 2018-20 programme of activity has recently been agreed and will include intensive activity to reduce three priority waste streams: food, furniture and textiles.

We are seeking to appoint contractors to complement the work that NLWA will deliver in 2018/19 by developing, organising and running a range of food waste prevention activities around bread, which is one of the food items more likely to be wasted. The aim is to raise awareness of the level of bread that goes to waste, provide north London residents with tips and advice to make the most of the bread they buy, and promote bread waste reduction messages alongside money saving messages.

There will be an option to extend the contract in 2019/20 at the discretion of NLWA. Further details of the waste prevention programme of activity for 2018/20 as approved by Authority Members at the February 2018 Authority meeting can be viewed at http://nlwa.gov.uk/media/2422/13-waste-prevention-plan-2018-20-web.pdf.",,,London,"79952000 79956000 ","Waste Prevention Manager",generalprocurement@nlwa.gov.uk,"Unit 1b Berol House","25 Ashley Road",LONDON,"N17 9LJ",England,,www.nlwa.gov.uk,,"http://nlwa.gov.uk/procurement/provision-of-food-waste-prevention-services-in-north-london/ ",,15/10/2018,31/03/2019,28/09/2018,YES,WP-FW-18,Yes,Yes,No,Services,25000,50000,12/10/2018,50000,"[KEEP BRITAIN TIDY|Southgate
WIGAN
Lancashire
WN3 4EX
GB|COMPANIES_HOUSE|03496361|No|Yes]",,24/10/2018,31/03/2019,"OpenNonOJEU ",
NLWA007/DR,Contract,"NORTH LONDON WASTE AUTHORITY",Awarded,2018-09-14T13:39:46Z,"TENDER FOR SERVICES IN RESPECT OF PROVISION OF 'WASTE LESS, LUNCH FREE' EVENTS IN NORTH LONDON","North London Waste Authority (NLWA) is running an extensive waste prevention programme from 1 April 2018 to 31 March 2020 focusing on reducing local authority collected waste in north London. The 2018/20 programme of activity has recently been agreed and will include intensive activity to reduce three priority waste streams: food, furniture and textiles.

Further details of the waste prevention programme of activity for 2018/20 as approved by Authority Members at the February 2018 Authority meeting can be viewed at http://nlwa.gov.uk/docs/2011/13-waste-prevention-plan-2018-20-(web).pdf

We are seeking to appoint contractors to develop, organise and deliver seven 'Waste Less, Lunch Free' in public areas with high footfall in during the late summer period to complement the work that NLWA will deliver in 2018/19 with potential extension in 2019/20.   Accordingly NLWA wishes to invite Tenders for the provision of Waste Less, Lunch Free events in north London.",,,London,"79952000 79956000 ","Waste Prevention Manager",generalprocurement@nlwa.gov.uk,"Unit 1b Berol House","25 Ashley Road",LONDON,"N17 9LJ",England,,www.nlwa.gov.uk,,"http://nlwa.gov.uk/procurement/waste-less-lunch-free-events-tender/ ",,19/05/2018,31/03/2019,14/05/2018,YES,NLWA007/DR,Yes,Yes,No,Services,45000,90000,24/05/2018,45000,"[KEEP BRITAIN TIDY|Southgate
WIGAN
Lancashire
WN3 4EX
GB|COMPANIES_HOUSE|03496361|No|Yes]",,04/06/2018,31/03/2019,"OpenNonOJEU ",
tender_173994/700741,Contract,"Defra Network eTendering Portal",Awarded,2018-09-04T08:46:20Z,"Non-market benefits of Deposit Return Schemes","Contract awarded",,,"Any region","73000000 ","James  Edlin-Benwell",James.Edlin-Benwell@defra.gsi.gov.uk,"17 Nobel House",,London,"SW1P 3JR",England,,,,,,20/08/2018,31/03/2019,14/07/2018,NO,,Yes,No,No,Services,75000,,20/08/2018,75000,"[Keep Britain Tidy|Elizabeth House, Wigan, Greater Manchester, WN3 4EX, UNITED KINGDOM|NONE||No|No]","Danielle Charman",20/08/2018,31/03/2019,"OpenNonOJEU ",
STOCK001-DN282488-45800434,Contract,"Stockport Metropolitan Borough Council",Awarded,2018-05-21T10:32:54Z,"Waste Management and Environmental Improvement Campaign","The aim of the project is to develop and deliver a campaign which will promote an improvement in the overall engagement of Stockport residents, visitors and business in improving our environment, increasing the cleanliness of the borough and increasing Stockport's waste disposal recycling rate by 3% (NI192).",,,"North West","71311000 71318000 ","Michael Halsall",michael.halsall@star-procurement.gov.uk,"STaR Shared Procurement Service","Trafford Council, Trafford Town Hall",Stretford,"M32 0TH",England,"+44 1619121616",http://www.stockport.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=14832a7a-a156-e711-80e3-005056b64545 ",,01/09/2017,31/03/2019,14/07/2017,NO,,Yes,No,No,Services,100000,,01/08/2017,100000,"[Keep Britain Tidy|Elizabeth House/The Pier, Wigan WN3 4EX|NONE||No|No]",,01/09/2017,31/03/2019,"Open ",
tender_155841/642328,Contract,"Defra Network eTendering Portal",Awarded,2018-01-09T10:42:51Z,"Roadside litter survey","(previously 24918 - now retendered)

To provide an assessment, by local authority (district/unitary council) of the state of roadside litter on trunk roads other than motorways by measuring site cleanliness grade pertaining to litter. It would be useful (but not essential) to also have a record of the most commonly occurring types of litter. 

The data are required to inform policy development and to assist the Litter Strategy for England.",,,"Any region","73000000 90000000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses an E-tendering system for Procurement activities.  This is currently provided by Bravo Solutions.   To access appropriate tendering and contractual documents, please access the E-Tendering portal at https://defra.bravosolution.co.uk"", ensuring that your registration includes ""Defra"".  If you have any problems with this system, please contact Bravo on their telephone helpline number 0800 368 4850 or by emailing them at help@bravosolution.co.uk. """,08/01/2018,30/03/2018,17/11/2017,YES,tender_155841/636607,Yes,Yes,No,Services,73118,,05/01/2018,73118,"[Keep Britain Tidy|Elizabeth House, Wigan, WN3 4EX, United Kingdom|NONE||No|No]",,08/01/2018,30/03/2018,"Open ",
KNOWS001-DN289309-78604940,Contract,"Knowsley Council",Awarded,2017-08-07T11:19:48Z,"Market Research Advisor to support the Knowsley Parks and Green Spaces Review Board","Market Research Advisor to support the Knowsley Parks and Green Spaces Review Board",,,"North West","79310000 ","Mark Woodward",mark.woodward@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,,http://www.knowsley.gov.uk,,,,02/08/2017,05/10/2017,31/07/2017,NO,,No,No,No,Services,45000,45000,01/08/2017,45000,"[Keep Britain Tidy|Elizabeth House, The Pier, Wigan WN3 4EX|||No|Yes]",,02/08/2017,05/10/2017,"Other ",
"SCC - 009821 - AWARD",Contract,"SE Shared Services",Awarded,2016-09-19T08:53:20Z,"SCC LP SWP Door Stepping Campaign  - AWARD","Surrey County Council (SCC) is working on behalf of the Surrey Waste Partnership (SWP), to procure a doorstepping exercise in Surrey. (The SWP is made up of SCC acting as the Waste Disposal Authority (WDA), and the 11 District & Boroughs acting as the Waste Collection Authorities (WCAs) in Surrey.) The SWP is looking to carry out the doorstepping campaign in mid-low performing recycling rounds, which have high levels of contamination, within 9 of its 11 authorities (not including Epsom & Ewell Borough Council and Reigate & Banstead Borough Council). These rounds include both individual households and households of multiple occupancy. 

As both low recycling rates and contaminated recycling continue to be an issue in parts of Surrey, the SWP would like the doorstepping to address these issues with targeted messages and conversations. By being able to speak face to face in targeted areas, doorsteppers will be able to tackle the resident barriers to recycling and recycling the correct materials.

Please see the attached Documentation for a full description of the requirement",,"KT1 2DN",London,"79342100 79310000 ","Luca Palazzo (SCC)",luca.palazzo@surreycc.gov.uk,"Penrhyn Road","Kingston upon Thames",Surrey,"KT1 2DN","United Kingdom","020 8541 9000",www.surreycc.gov.uk,,,,21/09/2016,20/12/2016,05/09/2016,NO,,No,No,No,Services,34000,34000,19/09/2016,0,"[Keep Britain Tidy|Elizabeth House, The Pier, Wigan, United Kingdom, WN3 4EX|||No|No]",,21/09/2016,20/12/2016,"Open ",
