"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
MBC000223,Contract,"Middlesbrough Council",Awarded,2020-10-27T10:31:44Z,"Drain clearance and inspections","Drain clearance and inspection",,,"North East","45000000 ","Phillip Robinson",phillip_robinson@middlesbrough.gov.uk,"Town Hall,Cleveland",,MIDDLESBROUGH,TS12QQ,England,,,,,,01/11/2020,31/10/2024,31/07/2020,NO,,Yes,No,No,Works,80000,,01/10/2020,80000,"[LANES GROUP PLC|17 Parkside Lane
LEEDS
West Yorkshire
LS11 5TD
GB|COMPANIES_HOUSE|03784486|Yes|No]","Vicki Green",01/11/2020,31/10/2024,"CompetitiveQuotationNonOJEU ",,12:00
tender_234505/853192,Contract,"Highways England",Awarded,2020-04-30T09:29:49Z,"570135 A303 B3092 Underbridge Drainage survey","Full drainage survey of A303 B3092 underbridge

Please note you will need to be a registered TST supplier to bid for this contract. Details can be found in the Instructions for Tenderers.",,,"South West","45232452 ",,emma.townend@highwaysengland.co.uk,"Brunel House, 930 Aztec West",,Almondsbury,"BS32 4SR",England,,,,,,06/04/2020,20/04/2020,06/03/2020,NO,,Yes,No,No,Works,10000,,30/04/2020,9895.4,"[Lanes Group PLC|Birmingham B76 1DH|NONE_OTHER||No|No]",,08/05/2020,15/05/2020,"OpenNonOJEU ",
MANC001-DN308679-42874076,Contract,"Manchester City Council",Awarded,2018-06-08T12:05:53Z,"TC944 - Provision of Gully Cleansing Framework","The provision of gully cleansing services to be utilised by the Manchester City Council Highways Directorate. The above estimated value is based on anticipated spend via the framework over the maximum contract period (4 years). All documentation is available via the Chest procurement portal (www.the-chest.org.uk)",,,"North West","90640000 ","Michael Shields",m.shields@manchester.gov.uk,"Level 3","Town Hall Extension",Manchester,"M60 2LA",England,"+44 1612341009",http://www.manchester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=2c09f088-fdc9-e711-80e6-005056b64545 ",,08/06/2018,07/06/2020,18/12/2017,NO,,Yes,No,No,Services,1250000,5000000,08/06/2018,5000000,"[Lanes Group PLC|17 Parkside Lane, Parkside Industrial Estate, Leeds, LS11 5TD|NONE||No|No][Sapphire Utility Solutions Limited|93 Walton Summit Road, Bamber Bridge, Preston, PR5 8AW|NONE||Yes|No][Clearway Drainage Systems Ltd|Unit A2, Leigh Trading Estate, Norweb Way, Leigh, WN7 3AE|NONE||Yes|No]",,11/06/2018,10/06/2020,"Open ",
DAR001-DN335789-97448722,Contract,"Darlington Borough Council",Awarded,2018-04-23T12:57:44Z,"CCTV surveys","CCTV surveys",,,"North East","85000000 ","Damian Perry",damian.perry@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/04/2018,31/03/2019,01/03/2018,NO,,No,No,No,Services,40000,40000,31/03/2018,40000,"[Lanes Group Plc|LS11 5TD|NONE||No|No]","Mr Matt Todd",01/04/2018,31/03/2019,"DirectAward ",
WIGN001-DN281842-97706570,Contract,"Wigan Council",Awarded,2017-09-21T10:31:59Z,"Drainage Asset Mapping","A Drainage Asset Survey is required to improve knowledge of the location and condition of highway drainage in Wigan Borough. This will specifically require locating and mapping gully connections and any other pipes in order to show how the gullies in the survey area connect to known drainage infrastructure; the provision of CCTV survey reports and footage of these gully connection pipes according to the WRc Manual of Sewer Classification; hydraulically cleaning all pipework and gullies prior to the survey; and undertaking any traffic management in support of these tasks. The contract will also require the accurate recording of all work and any variations or additions to the inventory supplied using a software mapping system, the maintenance and development of the system during the period of the contract, and the provision of access to the data for a period of 36 months following the completion of the 12 month contract period.",,,"North West","50000000 71000000 90000000 ","Alan Carver",a.carver@wigan.gov.uk,"Wigan Council","PO Box 100",Wigan,"WN1 3DS",England,"+44 1942489290",http://www.wigan.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=b97067e3-3d50-e711-80e3-005056b64545 ","A Drainage Asset Survey is required to improve knowledge of the location and condition of highway drainage in Wigan Borough. This will specifically require locating and mapping gully connections and any other pipes in order to show how the gullies in the survey area connect to known drainage infrastructure; the provision of CCTV survey reports and footage of these gully connection pipes according to the WRc Manual of Sewer Classification; hydraulically cleaning all pipework and gullies prior to the survey; and undertaking any traffic management in support of these tasks. The contract will also require the accurate recording of all work and any variations or additions to the inventory supplied using a software mapping system, the maintenance and development of the system during the period of the contract, and the provision of access to the data for a period of 36 months following the completion of the 12 month contract period.
",08/08/2017,07/08/2018,14/07/2017,NO,,No,No,No,Services,350000,350000,22/08/2017,349559,"[Lanes Group Plc|300 Lansdowne Road, Monton, Eccles, Manchester, M30 9PJ|||No|No]","Mr. Richard Leigh - Group Development Director",07/09/2017,06/09/2018,"Open ",
"1FM3.2 - TfL00926",Contract,"TRANSPORT FOR LONDON",Awarded,2017-09-15T13:48:26Z,"1FM3.2 - TfL00926 Pan TfL Premises Maintenance (R&U)","Fabric and Premises Maintenance Services (Rail)",,,London,"50700000 ",,CommercialCoE@TfL.gov.uk,"50 Victoria Street,",,London,"SW1H 0TL",England,,,"Facilities Management Contract (Target Cost) - TfL & Lanes Group Plc - B3.2_Redacted_Part1.pdf Facilities Management Contract (Target Cost) - TfL & Lanes Group Plc - B3.2_Redacted_Part2.pdf Facilities Management Contract (Target Cost) - TfL & Lanes Group Plc - B3.2_Redacted_Part3.pdf Facilities Management Contract (Target Cost) - TfL & Lanes Group Plc - B3.2_Redacted_Part4.pdf ",,,25/06/2017,24/06/2022,25/04/2017,NO,,No,No,No,Services,65222910.58,65222910.58,25/04/2017,65222910.58,"[Lanes Group Plc,|17 Parkside Lane, Parkside Industrial Estate, Leeds, LS11 5TD|||No|No]",,25/06/2017,24/06/2022,"CompetitiveProcedureWithNegotiationOJEU ",
"TFL - 00466 Lot 2",Contract,"TRANSPORT FOR LONDON",Awarded,2017-05-23T15:27:55Z,"Lot 2 - Supply of Structural Maintenance and related services across TfL","Supply of Structural Maintenance and related services across TfL",,,London,"45000000 50000000 71000000 77310000 ",,CommercialCoE@TfL.gov.uk,"50 Victoria Street,",,London,"SW1H 0TL",England,,,"TfL - 00466 Lot 2 Drainage P1.pdf TfL - 00466 Lot 2 Drainage P2.pdf TfL - 00466 Lot 2 Drainage P3.pdf TfL - 00466 Lot 2 Drainage P4.pdf TfL - 00466 Lot 2 Drainage P5.pdf TfL - 00466 Lot 2 Drainage P6.pdf TfL - 00466 Lot 2 Drainage P7.pdf TfL - 00466 Lot 2 Drainage P8.pdf TfL - 00466 Lot 2 Drainage P9.pdf TfL - 00466 Lot 2 Drainage P10.pdf TfL - 00466 Lot 2 Drainage P11.pdf TfL - 00466 Lot 2 Drainage P12.pdf TfL - 00466 Lot 2 Drainage P13.pdf TfL - 00466 Lot 2 Drainage P14.pdf TfL - 00466 Lot 2 Drainage P15.pdf TfL - 00466 Lot 2 Drainage P16.pdf TfL - 00466 Lot 2 Drainage P17.pdf TfL - 00466 Lot 2 Drainage P18.pdf TfL - 00466 Lot 2 Drainage P19.pdf TfL - 00466 Lot 2 Drainage P20.pdf TfL - 00466 Lot 2 Drainage P21.pdf TfL - 00466 Lot 2 Drainage P22.pdf TfL - 00466 Lot 2 Drainage P23.pdf TfL - 00466 Lot 2 Drainage P24.pdf TfL - 00466 Lot 2 Drainage P25.pdf TfL - 00466 Lot 2 Drainage P26.pdf TfL - 00466 Lot 2 Drainage P27.pdf TfL - 00466 Lot 2 Drainage P28.pdf TfL - 00466 Lot 2 Drainage P29.pdf TfL - 00466 Lot 2 Drainage P30.pdf ",,,01/04/2017,01/04/2022,25/01/2017,NO,,No,No,No,Services,8177980,8177980,25/01/2017,8177980,"[Lanes Group PLC,|16 Lamsons Road, Rainham, Essex, RM13 9YY|||No|No]",,01/04/2017,01/04/2022,"Negotiated ",
"TFL - 00466 (L)",Contract,"TRANSPORT FOR LONDON",Awarded,2017-05-23T14:52:57Z,"Lot 3 Framework Agreement for the supply of ad-hoc Structural maintenance works","Framework Agreement for the supply of ad-hoc Structural maintenance works",,,London,"45000000 50000000 71000000 ",,CommercialCoE@TfL.gov.uk,"50 Victoria Street,",,London,"SW1H 0TL",England,,,"Lot 3 Lanes P1.pdf Lot 3 Lanes P2.pdf Lot 3 Lanes P3.pdf Lot 3 Lanes P4.pdf Lot 3 Lanes P5.pdf ",,,01/04/2017,01/04/2022,06/01/2017,NO,,No,No,No,Works,0,,06/01/2017,0,"[Lanes Group PLC,|17 Parkside Lane, Parkside Industrial Estate, Leeds, LS11 5TD|||No|No]",,01/04/2017,01/04/2022,"Negotiated ",
