"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
16-N093,Contract,"DURHAM COUNTY COUNCIL",Awarded,2017-03-29T13:44:04Z,"Local Government Association Membership Subscription","Local Government Association Membership Scheme Subscription Renewal",,,"North East","79980000 ","Rob Huck",rob.huck@durham.gov.uk,"County Hall",,Durham,"DH1 5UL",England,"03000 265430",,,,,01/04/2017,31/03/2018,30/03/2017,NO,,No,No,No,NotApplicable,85026,85026,29/03/2017,85026,"[Local Government Association|Local Government House
Smith Square 
London
SW1P 3HZ|||No|No]",,01/04/2017,31/03/2018,"NegotiatedWithoutCompetition ",
SS0041,Contract,"North Tyneside Council",Awarded,2017-05-17T15:45:41Z,"Award of 2017-18 Local Government Association Subscription","Award Notice - 
Subscription charges for Local Government Association (LGA)support only available from the LGA

The LGA are informed by the priorities of the subscribing councils. The LGA supports the sector across a number of areas, including, the public service transformation agenda and sector led improvement.  This is a requirement to ensure the services and benefits of LGA Membership are available to NTC",,,"North East","75130000 ","Christine Bordoli",christine.bordoli@northtyneside.gov.uk,"Quadrant  The Silverlink North","Cobalt Business Park","North Tyneside","NE27 0BY",England,,,,,,01/04/2017,31/03/2018,30/03/2017,NO,,No,No,No,NotSpecified,30593,,31/03/2017,19068,"[Local Government Association|Local Government House
Smith Square
London
SW1P 3HZ|||No|No]",,01/04/2017,31/03/2018,"AwardWithoutPriorPublication ",
"DN479883 / 978",Contract,"Yorkshire Purchasing Organisation",Awarded,2020-07-30T12:09:47Z,"Local Government Association Further Competition - Insurance Placement Services DPS 978","Local Government Association's further competition for Insurance services awarded via YPO's insurance placement DPS - 978.",,,London,"66510000 ","Jon Taylor",jon.taylor@lgmutual.co.uk,"18 Smith Square, Westminster",,London,"SW1P 3HZ",England,,,,,,01/07/2020,30/06/2021,26/06/2020,NO,,Yes,Yes,No,Services,140000,140000,25/06/2020,140000,"[Aviva Plc|Aviva Insurance Limited
Pitheavlis 
Perth 
PH2 0NH|COMPANIES_HOUSE|02468686|No|No]",,01/07/2020,30/06/2021,"Other Further Competition via YPO&#039;s Insurance Placement DPS - 978",
"RWM Purchase Order RWM007962",Contract,"RADIOACTIVE WASTE MANAGEMENT LIMITED",Awarded,2016-09-29T10:44:02Z,"Core funding for Local Government Association special interest group","Core funding for Local Government Association special interest group",,OX110RH,"South East","73000000 ","Tony Potts",tony.potts@nda.gov.uk,"Radioactive Waste Management Limited","Building 587, Curie Avenue, Harwell","Didcot, Oxfordshire",OX110RH,England,,,"r_RWM007962_Nuleaf.pdf ",,,10/06/2016,31/03/2017,10/06/2016,NO,,No,No,No,Services,112500,,10/06/2016,112500,"[NULEAF|c/o Suffolk County Council
Endeavour House
8 Russell Road
Ipswich
IP1 2BX|||No|No]",,10/06/2016,31/03/2017,"Other ",
BIP351270636,Contract,"Local Government Association",Awarded,2018-10-11T11:15:10Z,"GB-London: Job evaluation and pay grading project in a Multi-Academy Trust","The Local Government Association (LGA) is looking for someone to develop a standardised set of new workforce terms and conditions across a large multi-academy trust (MAT) operating across the north of England by September 2020.",,,"Any region","80000000 ","Stephen Cooper",stephen.cooper@local.gov.uk,"18 Smith Square",,London,"SW1P 3HZ",UK,02076643000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=351270636 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",15/10/2018,31/12/2020,10/10/2018,NO,,No,Yes,No,Services,38250,,10/10/2018,38250,"[A G Stagg Consultancy|13 Barford Close
        Hartlepool
        TS25 2RQ|NONE||No|No]","Andrew Stagg",15/10/2018,31/12/2020,"Open ",
BIP313684559,Contract,"Local Government Association",Awarded,2018-04-19T10:21:11Z,"GB-London: Increasing Apprenticeship Starts in Local Government","The government has made a commitment to create 3 million apprenticeship starts by 2020. The LGA is seeking a strategic partner to work with them to support the 151 large councils in England so they will maximise their apprenticeship levy spend and achieve their public-sector apprenticeship targets.",,,"Any region","80000000 ","Alison Edwards",alison.edwards@local.gov.uk,"18 Smith Square",,London,"SW1P 3HZ",UK,02076653857,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=313684559 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",01/05/2018,31/03/2019,18/04/2018,NO,,No,Yes,No,Services,97125,,18/04/2018,97125,"[Spark and Associates|37 Chelmsley Lane  
        Marston Green
        Solihull,
        B37 7BJ|NONE||No|No]","Rebecca Rhodes",01/05/2018,31/03/2019,"Open ",
BIP412671313,Contract,"Local Government Association",Awarded,2019-07-09T13:10:02Z,"GB-London: Assessment services as part of the LGA's national graduate development programme for local government (ngdp)","As part of the LGA's national graduate development programme for local government, the LGA wishes to receive bids from individuals, organisations or sole traders to provide assessment services relating to its recruitment and selection process for the national graduate development programme's next intake (running from January 2020 until August 2020). There will be two stages in the selection process at which assessment processes may be required and so bidders are permitted to apply to conduct all or only some of the services outlined in this document.",,,"Any region","80000000 ","Alison Edwards",alison.edwards@local.gov.uk,"18 Smith Square",,London,"SW1P 3HZ",UK,02076643000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=412671313 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",03/02/2020,13/04/2020,08/07/2019,NO,,No,Yes,No,Services,11904,,08/07/2019,11904,"[Graduate Recruitment Bureau|4 Clifton Mews
        Clifton Hill
        Brighton
        BN1 3HR|NONE||No|No]","Jenny Austin",03/02/2020,13/04/2020,"Open ",
BIP411296252,Contract,"Local Government Association",Awarded,2019-07-03T10:20:04Z,"GB-London: Workforce Planning Guidance for Local Government","As part of the LGA's Workforce Planning offer, the LGA wishes to receive bids from individuals or sole traders to design and deliver a workforce planning guide for local government.",,,"Any region","85312300 ","Welna Bowden",welna.bowden@local.gov.uk,"18 Smith Square",,London,"SW1P 3HZ",UK,02076643000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=411296252 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",01/07/2019,31/03/2020,28/06/2019,NO,,No,Yes,No,Services,21802,,28/06/2019,21802,"[NHS Transformation Unit|4th Floor, 
        11 Ducie Street, 
        Manchester
         M1 2JB|NONE||No|No]","Dianna Hollins",01/07/2019,31/03/2020,"Open ",
BIP294224046,Contract,"Local Government Association",Awarded,2017-12-20T16:15:07Z,"GB-London: Assessment services as part of the LGA's national graduate development programme for local government (ngdp","As part of the LGA's national graduate development programme for local government, the LGA wishes to receive bids from individuals, organisations or sole traders to provide assessment services relating to its recruitment and selection process for the national graduate development programme's next intake (running from January 2018 until August 2018).",,,"Any region","80000000 ","Alison Edwards",alison.edwards@local.gov.uk,"18 Smith Square","Smith Square",London,"SW1P 3HZ",UK,02076653857,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=294224046 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",08/01/2018,31/08/2018,19/12/2017,NO,,No,Yes,No,Services,10000,,19/12/2017,10000,"[Graduate Recruitment Bureau|4 Clifton Mews 
        Clifton Hill
        Brighton
        BN1 3HR|NONE||No|No]","Jenny Austin",08/01/2018,31/08/2018,"Open ",
BIP332840878,Contract,"Local Government Association",Awarded,2018-07-13T15:53:09Z,"GB-London: PROVISION OF LOCAL GOVERNMENT CYBER SECURITY STOCKTAKE","The LGA wishes to capture the cyber security arrangements currently in place in councils as part of its portfolio of work to support authorities as they develop their cyber resilience. This project will be a ""stocktake"" of both the prevention measures in place to reduce the risk of cyber security incidents, and the arrangements in place to respond to an attack if and when one takes place.",,,"Any region","73110000 ","Helen Reeves",helen.reeves@local.gov.uk,"18 Smith Square","Smith Square",London,"SW1P 3HZ",UK,02076643000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=332840878 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",16/07/2018,25/10/2018,12/07/2018,NO,,No,Yes,No,Services,84206,,12/07/2018,84206,"[Rand Europe (UK) Community Interest Company|Westbrook Centre
        Milton Rd
        Cambridge
        CB41YG|NONE||No|No]","Guy Newman",16/07/2018,25/10/2018,"Open ",
BIP290172433,Contract,"Local Government Association",Awarded,2017-11-28T10:12:06Z,"GB-London: Design, delivery and facilitation of  Emergency Planning and civil resilience.","Following the tragedy at Grenfell Tower on June 14, a number of councils and councillors have requested training and support on the role of a councillor during an emergency or crisis.  We are looking to procure a facilitator/trainer to deliver a one-day workshop on the role of a local leader during an emergency.",,,"Any region","80000000 ","Alison Edwards",alison.edwards@local.gov.uk,"18 Smith Square","Smith Square",London,"SW1P 3HZ",UK,02076653857,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=290172433 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",01/12/2017,28/02/2018,27/11/2017,NO,,No,Yes,No,Services,695,,27/11/2017,695,"[Greston Associates|6 Stevenson Close
         East Hanney
        OX120FF|NONE||No|No]","Andy Fry",01/12/2017,28/02/2018,"Open ",
