"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
P104800,Contract,"MET OFFICE",Awarded,2018-07-20T14:22:04Z,"Met Office Remote Sites Network (MORSN) Refresh","Further competition run under Government Framework Agreement RM1045.",,,"South West","32412100 ",,procurement.enquiries@metoffice.gov.uk,"FitzRoy Road",,EXETER,EX13PB,England,,,,,,16/04/2018,30/04/2023,29/03/2018,NO,,Yes,No,No,Services,1991229.95,,12/04/2018,1991229.95,"[GAMMA TELECOM LTD|KINGS HOUSE
RG14 5BY
GB|COMPANIES_HOUSE|04340834|No|Yes]","Sam Winterbottom",16/04/2018,30/04/2023,"CallOffFromFrameworkAgreement ",
PS17121/2,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2017-07-25T08:51:11Z,"PS17121:Executive search for the following position: Met Office Chair","*Please do not respond directly to the buyer. Please Note: Tender will close at 11:00 on 20/06/2017
BEIS are looking to appoint a new Chair to work closely with the full-time Chief Executive of the Met Office. The role of Chair is pivotal and demands effective strategic leadership of the Board. The Chair has many responsibilities for providing first-rate strategic leadership on matters including: 
• Leading the Board by facilitating a high standard of discussion, allowing it to steer the Met Office through collective working, ensuring that systems are in place to provide Board members with appropriate support and the timely, relevant information required for them to perform their role. 
• Leading the Board to support and challenge the Executive Team in setting the strategic direction of the organisation, including advising on organisational targets and priorities.
• Leading on the appointment, induction, and assessment of non-Executive Board Members to ensure a strong Board with a range of skills, and being actively involved in the appointment and performance assessment of the Chief Executive. 
• Providing the Minister and BEIS Sponsor with the Board's perspective on strategic matters and other relevant issues as required, this includes ensuring that the Board takes proper account of guidance provided by the Minister and Secretary of State for BEIS. 
The appointed search and recruitment firm will be required to deliver search requirements for the vacancy in order for the successful applicant to be appointed by October 2017. This post is currently not regulated by the Commissioner for Public Appointments (OCPA). However, the campaign process will still follow the best practice according to those appointment principles. 
The successful bidder will be required to: 
• Attend planning meetings and discuss search and campaign requirements with the Independent Panel Member(s), both appointment teams and other key stakeholders to agree the search, advertising strategies and timetable; 
• Provide search and selection services ensuring a strong and diverse field of candidates; 
• Give support and advice on the preparation of recruitment documents and ensure applicant packs are made available in alternative formats if requested; 
• To respond to requests for applications via post and e-mail. To receive, log and acknowledge applications about the post and answer any queries by email or telephone; 
• Advise on advertising text and negotiating with media on prices for placing external adverts, plus placing advert; and bringing the advert to the attention of names of potential applicants (the team are considering the following publications/websites for advertisements: Times and any other publications/websites which are relevant to the vacant position; 
• Provide weekly campaign updates and statistics on the search and selection, including diversity; and 
• Attend a wash up meeting after the advertisement closes to discuss the pool of candidates and debrief.",,"SW1H 0ET",,"79600000 ",,professionalservices@uksbs.co.uk,"Concept House",,Newport,"NP10 8QQ",Wales,,,"PS17121 AW5.2 Price Schedule Approved.xlsx PS17121 ITQ Invitation to Quote approved (2).pdf PS17121 ITQ Invitation to Quote questions Approved.pdf PS17121-S1-Services purchasing contract Approved.pdf ",,"UK Shared Business Services eSourcing 

As part of the strategic alliance between UK Shared Business Services Ltd (UK SBS) and Crown Commercial Service (CCS), UK SBS can use the CCS eSourcing Suite for future procurements. If you have not yet registered on the eSourcing Suite, this can be done online at https://gpsesourcing.cabinetoffice.gov.uk by following the link 'Register for CCS eSourcing'. Please note that, to register, you must have a valid DUNS number (as provided by Dun and Bradstreet) for the organisation which you are registering, who will be entering into a contract if invited to do so. Once you have registered on the eSourcing Suite, a registered user can express an interest for a specific procurement. This is done by emailing expressionofinterest@crowncommercial.gov.uk Your email must clearly state: the name and reference for the procurement you wish to register for; the name of the registered Bidder; and the name and contact details for the registered individual sending the email. Crown Commercial Service will process the email and then enable the Bidder to access the procurement online via the e-Sourcing Suite. The registered user will receive a notification email to alert them once this has been done. The Sourcing documents can then be accessed on the eSourcing Suite at: https://gpsesourcing.cabinetoffice.gov.uk using the instructions detailed in the Specification documents within Contracts Finder. As a user of the e-Sourcing Suite you will have access to Emptoris email messaging service which facilitates all messages sent to you and from you in relation to any specific RFX event. Please note it is your responsibility to access these emails on a regular basis to ensure you have sight of all relevant information. For technical assistance on use of the e-Sourcing Suite please contact Crown Commercial Service Helpdesk : Telephone: 0345 010 3503 Training documents to support Bidders utilise Emptoris CCS eSourcing are available in the Contracts Finder Tender documents section.",03/07/2017,31/10/2017,20/06/2017,YES,PS17121,Yes,Yes,No,Services,0,14000,20/07/2017,14000,"[Saxton Bampfylde Hever Ltd|9 Savoy Street, London, WC2E 7EG|||No|No]",,24/07/2017,30/11/2017,"Open ",
RE20231,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-04-28T11:23:01Z,"UKRI - RE20231 - Certification of Modifications to the Met Office's Deimos Instrument","Award notice for the Certification of Modifications to the Met Office's Deimos Instrument. Single tender action was justified under Regulation 32, (2), (b), (ii) Competition is absent for technical reasons.",,"OX11 0QX",,"38000000 ",,Scientificresearch@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,,www.uksbs.co.uk,,,,20/04/2020,15/09/2020,17/04/2020,NO,,No,No,No,Services,36180,,20/04/2020,36180,"[Cranfield Aerospace Solutions Ltd|Cranfield University
College Road
Cranfield
Bedford
MK43 0AL
United Kingdom|NONE_OTHER||Yes|No]",,20/04/2020,15/09/2020,"SingleTenderActionNonOJEU ",,11:00
P100047,Contract,"MET OFFICE",Awarded,2015-06-24T14:06:11Z,"Automatic Weather Station","Automatic Weather Station",,,"South West","38000000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,Exeter,"EX1 3PB",England,,,"P100047_REDACT.pdf ",,,28/05/2015,31/07/2015,28/05/2015,NO,,Yes,No,No,NotApplicable,20530,,28/05/2015,20530,"[Met Office of New Zealand|30 Salamanca Road
Kelburn
Wellington 6012
New Zealand|||No|No]",,28/05/2015,31/07/2015,"NotApplicable ",
P106418,Contract,"MET OFFICE",Awarded,2019-08-01T15:13:52Z,"Meteorological equipment maintenance","Met Office equipment maintenance in existing network.",,,"South West","31681400 38120000 50433000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,17/04/2019,31/05/2019,16/04/2019,NO,,Yes,No,No,Services,30264,,16/04/2019,30264,"[EQUINOX INSTRUMENTS LTD|UNIT 0.08 BOOLE TECHNOLOGY CENTRE
LINCOLN SCIENCE AND INNOVATION PARK
BEEVOR STREET
LINCOLN
LN6 7DJ|COMPANIES_HOUSE|27239004|Yes|No]",,17/04/2019,31/05/2019,"SingleTenderActionNonOJEU ",
P104840,Contract,"MET OFFICE",Awarded,2018-08-15T15:15:20Z,"Car park improvements","Met Office car park improvements",,,"South West","45220000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,24/04/2018,30/11/2018,28/02/2018,NO,,Yes,No,No,Works,419334,,23/04/2018,419334,"[Ultim8 Construction LTD|196 High Street,
Honiton, 
Devon,
EX14 1AJ|NONE||Yes|No]",,24/04/2018,30/11/2018,"RestrictedOJEU ",
METOFC001-DN439456-58302489,Contract,"Met Office",Awarded,2020-01-07T00:00:00Z,"Supply of office furniture","The Met Office is undergoing a total refurbishment of its HQ and outstation offices. The requirement is for supply of all office furniture, collaboration areas, meeting rooms and associated accessories which will achieve the objective of refurbishing the Met Office in line with modern standards of office working. The tendering exercise is being conducted via E-tendering portal.  If you are interested in this opportunity, please register at the E-tendering portal to access  relevant documentation in link provided below.",,,"Any region","39130000 ","Miriam Rowan",miriam.rowan@metoffice.gov.uk,"Fitzroy Road",,Exeter,"EX1 3PB",England,,http://www.metoffice.gov.uk,,"https://procontract.due-north.com/Register ",,27/11/2019,26/11/2023,01/11/2019,NO,,Yes,No,No,Products,2000000,,20/12/2019,2000000,"[FMS Interior Services Ltd|WA3 6AX|NONE||Yes|No]","MR David Beddy",21/12/2019,20/12/2023,"Open ",
P106527,Contract,"MET OFFICE",Awarded,2019-08-05T14:43:46Z,"Forestry Services","Forestry services for the management of woodland adjacent to Met Office radar site.",,,"South West","77200000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,16/05/2019,29/05/2019,15/05/2019,NO,,Yes,No,No,Services,18524,,15/05/2019,18524,"[TILHILL FORESTRY LTD|KINGS PARK HOUSE 
LAURELHILL BUSINESS PARK 
STIRLING 
FK7 9NS|COMPANIES_HOUSE|3242286|No|No]",,16/05/2019,29/05/2019,"SingleTenderActionNonOJEU ",
P106256,Contract,"MET OFFICE",Awarded,2019-06-11T14:49:34Z,"IT Equipment","IT equipment to support observations network. Contract awarded following Met Office tender exercise.",,,"South West","31000000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,19/03/2019,05/04/2019,18/03/2019,NO,,Yes,No,No,Products,22011,,18/03/2019,22011,"[CAMPBELL SCIENTIFIC LTD|CAMPBELL SCIENTIFIC LTD
CAMPBELL PARK 
80 HATHERN ROAD 
SHEPSHED
LEICESTERSHITE 
LE12 9GX|COMPANIES_HOUSE|1933935|Yes|No]",,19/03/2019,05/04/2019,"CallOffFromFrameworkAgreement ",
23514,Contract,"DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS",Awarded,2016-09-14T10:45:41Z,"Ozone Monitoring at Lerwick","This research will meet the UK's commitment under the UN Vienna Convention to monitor the thickness of the ozone layer and supply the data to the World Meteorological Organisation, NASA and other organisations to determine the health of the ozone layer globally and inform international policy decisions about action needed to protect the ozone layer. It will be procured from the Met Office by means of a work order linked to an existing Memorandum of Understanding which Defra has with the Met Office.",,,Scotland,"73000000 90731000 ",,Network.Procurement@Defra.gsi.gov.uk,Defra,,London,"SW1P 3JR",England,,,,,,01/08/2016,31/07/2019,01/08/2016,NO,,No,No,No,Services,348742,,01/08/2016,348742,"[Met Office|FitzRoy Road, Exeter, DEVON|||No|No]",,01/08/2016,31/07/2019,"NotApplicable ",
