"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"NW 112 16/17 Mouchel",Contract,"Highways Agency",Awarded,2017-04-13T17:01:31Z,"National Grid - North West Coast Connections","The task involves continuing support to Highways England as part of National Grid's North West Coast Connections DCO process.",,,"North West","71311210 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,01/03/2017,31/03/2017,28/02/2017,NO,,No,No,No,Services,14867.91,,28/02/2017,14867.91,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,01/03/2017,31/03/2017,"NotSpecified ",
"NW 113 16/17 Mouchel",Contract,"Highways Agency",Awarded,2017-04-13T16:59:14Z,"Moorside Power Station","Moorside Power Station.",,,"North West","71311210 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,01/03/2017,31/03/2017,28/02/2017,NO,,No,No,No,Services,14992.34,,28/02/2017,14992.34,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,01/03/2017,31/03/2017,"NotSpecified ",
"NW 123 16/17 Mouchel",Contract,"Highways Agency",Awarded,2017-04-12T14:45:06Z,"Cross-a-Moor Stage 3 Assessment","The Road Investment Strategy established £100 million Growth and Housing Fund to be administered by HE.",,,"North West","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,20/03/2017,05/06/2017,19/03/2017,NO,,No,No,No,Services,24989.5,,19/03/2017,24989.5,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,20/03/2017,05/06/2017,"Restricted ",
"NW 41 16/17 Mouchel",Contract,"Highways Agency",Awarded,2016-12-01T13:52:49Z,"Chester Box RIS2 Baseline","To develop an appropriate modelling tool to allow assessment of baseline network issues and potential RIS 2 highways schemes.",,,"North West","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,13/09/2016,22/12/2016,12/09/2016,NO,,No,No,No,Services,42792.9,,12/09/2016,42792.9,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,13/09/2016,22/12/2016,"Restricted ",
"CDF PC1 0016",Contract,"HIGHWAYS ENGLAND CO LTD",Awarded,2015-07-30T14:13:13Z,"Trans Pennine Tunnel Study","Feasibility studies into the Trans Pennine Tunnel",,,"North East,North West","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"TPTS_Hyder_Mouchel_Award_letter_with_feedback_(no_standstill).docx ",,,07/07/2015,30/12/2016,01/07/2015,NO,,No,No,No,Services,1325114.92,,07/07/2015,1325114.92,"[Mouchel Ltd|Knights House, 2 Parade 
City 
Sutton Coldfield 
State/County 
West Midlands 
B72 1PH|||No|No]",,07/07/2015,30/12/2016,"Restricted ",
tender_84541/603667,Contract,"Highways England",Awarded,2017-08-08T12:21:31Z,"Spatial Planning NW CTO M56-M60 Study Scheme SOBC's","The primary outcome of the task is the delivery of the completed SOBC pro-forma and feasibility design drawings for the A34-M60 SCOOT System and Off-Slip realignment and the A560 Sharston Interchange/Link Signalisation schemes to Highways England, which can be used when exploring funding opportunities and, in the future, to feed into the Final Business Case and Detailed Design of the schemes.",,,"North West","71356400 ","Nicholas Magog",nicholas.magog@highwaysengland.co.uk,"8 City Walk",,Leeds,"LS11 9AT",England,,,,,,08/08/2017,29/09/2017,08/08/2017,NO,,No,No,No,Services,13395,,08/08/2017,13395.03,"[Mouchel Ltd|Knights House 2 Parade Sutton Coldfield B72 1PH|||No|No]",,08/08/2017,29/09/2017,"Other ",
tender_84541/602358,Contract,"Highways England",Awarded,2017-08-01T13:07:13Z,"Spatial Planning NW CTO Warrington Local Plan - Preferred Development Option","To review the Warrington Local Plan Preferred Development Option (Regulation 18), including an independent assessment of the impact of the proposals on the SRN, with a view to advising Highways England as to how it should respond to the consultation insofar as the impacts upon the safety and operation of the M62, M6 and M56 motorways.",,,"North West","71356400 ","Nicholas Magog",nicholas.magog@highwaysengland.co.uk,"8 City Walk",,Leeds,"LS11 9AT",England,,,,,,01/08/2017,29/08/2017,01/08/2017,NO,,No,No,No,Services,14122,,01/08/2017,14122.83,"[Mouchel Ltd|Knights House 2 Parade Sutton Coldfield B72 1PH|||No|No]",,01/08/2017,29/08/2017,"Other ",
GHF00117/18,Contract,"Highways Agency",Awarded,2017-06-22T14:03:11Z,"M6 J26 / M58 J1 Pemberton, Wigan, Improvements Stage 3 Assessment","M6 J26 / M58 J1 Pemberton, Wigan, Improvements Stage 3 Assessment.",,,"North West","71310000 ",,transparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,12/06/2017,15/07/2018,11/06/2017,NO,,Yes,No,No,Services,17310.19,,11/06/2017,17310.19,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,12/06/2017,15/07/2017,"Restricted ",
"NW 8 17/18Mouchel",Contract,"Highways Agency",Awarded,2017-06-01T11:19:32Z,"M6 Junction 17 Bridge Widening Feasibility","M6 Junction 17 Bridge Widening Feasibility.",,,"North West","71000000 ",,transparencysgrm@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,30/05/2017,31/03/2018,29/05/2017,NO,,No,No,No,Services,14121.68,,29/05/2017,14121.68,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,30/05/2017,31/03/2018,"Restricted ",
"NW 112 16/17Mouchel",Contract,"Highways Agency",Awarded,2017-06-01T11:17:28Z,"National Grid - North West Coast Connections","National Grid - North West Coast Connections.",,,"North West","71000000 ",,transparencysgrm@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,30/05/2017,31/03/2018,29/05/2017,NO,,No,No,No,Services,14867.91,,29/05/2017,14867.91,"[Mouchel Ltd|97 99 Beddington Lane
Croydon
CR0 4TD|||No|No]",,30/05/2017,31/03/2018,"Restricted ",
