"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
FRAM043/16,Contract,"UNIVERSITY OF BIRMINGHAM",Awarded,2016-10-05T12:04:07Z,"Supply of Non Half Hourly Electricity to Domestic","Contract for the supply of non half hourly electricity to its domestic and other small sites.

The first part contains 72 meters of which 53 are domestic meters. This section is for 3 years to move this in line with the rest of our utility contracts and is estimated to be around £180k per annum for 1.4 GWh

The second part is 6 meters. Due to the change in the market npower are only will to provide fixed prices for 12 months. The value of this is approx. £95k per annum for 0.85 GWh

The third part is 1 meter and again due to this being a new market npower are only willing to provide the fixed price for 12 months. The value of this is approx. £6k per annum for 0.05 GWh.

Total £290k per annum for 2.3GWh",,,"West Midlands","09310000 ","Matt Home",M.Home@bham.ac.uk,Edgbaston,,Birmingham,"B15 2TT",England,,,,,,05/10/2016,02/10/2017,05/10/2016,NO,,No,No,No,Products,250000,300000,03/10/2016,250000,"[npower Limited|Birch House, Joseph Street,
Oldbury,
B69 2AQ|||No|No]",,05/10/2016,02/10/2017," ",
EASTRIDING1-DN475231-08982341,Contract,"East Riding of Yorkshire Council",Awarded,2020-06-01T15:12:12Z,"2053 Supply of Electricity","Supply of Electricity",,,"Yorkshire and the Humber","09310000 ","Will Monk",will.monk@eastriding.gov.uk,"County Hall","Cross Street",Beverley,"HU17 9BA","United Kingdom","+44 1482395341",http://www.eastriding.gov.uk,,,,01/10/2020,30/09/2024,02/04/2019,NO,,No,No,No,Products,10100000,10100000,01/06/2020,10100000,"[Npower Limited|Windmill Hill Business Park, Whitehill Way, Swindon, Wiltshire, SN5 6PB|NONE||No|No]",,01/10/2020,30/09/2024,"Restricted ",
1945a-2019,Contract,"South Yorkshire Police Headquarters",Awarded,2020-04-02T14:32:47Z,"Provision of Electricity to South Yorkshire Police","Provision of electricity supply to South Yorkshire Police.",,,"Yorkshire and the Humber","09310000 ","Laura Foster",laura.foster@southyorks.pnn.police.uk,"5 Carbrook Hall Road",,SHEFFIELD,S92EH,England,01924924918,,,,,01/04/2020,31/03/2023,15/01/2019,NO,,No,No,No,Services,800000,,01/03/2019,800000,"[NPOWER LIMITED|Windmill Hill Business Park,Whitehill Way
SWINDON
Wiltshire
SN5 6PB
GB|COMPANIES_HOUSE|03653277|No|No]","famiha akther",01/04/2020,31/03/2023,"CallOffFromFrameworkAgreement ",
"1780- 2018",Contract,"South Yorkshire Police Headquarters",Awarded,2020-04-02T13:57:44Z,"Provision of Mains Electricity Supply","Provision of Mains Electricity for the Humberside Police force.",,,"Yorkshire and the Humber","09310000 ","Laura Foster",laura.foster@southyorks.pnn.police.uk,"5 Carbrook Hall Road",,SHEFFIELD,S92EH,England,01924924918,,,,,01/04/2019,31/03/2023,19/08/2018,NO,,No,No,No,Services,2670000,,01/03/2019,2670000,"[NPOWER LIMITED|Windmill Hill Business Park,Whitehill Way
SWINDON
Wiltshire
SN5 6PB
GB|COMPANIES_HOUSE|03653277|No|No]","famiha akther",01/04/2019,31/03/2023,"CallOffFromFrameworkAgreement ",
NORTHLC001-DN374462-06343293,Contract,"North Lincolnshire Council",Awarded,2019-03-06T09:41:42Z,"Supply of Electricity","Direct award under the YPO Non Half Hourly, Half Hourly and Unmetered Electricity - 791.",,,"Yorkshire and the Humber","65000000 65300000 09310000 ",,Procurement@northlincs.gov.uk,"Civic Centre","Ashby Road",Scunthorpe,"DN16 1AB",England,,http://www.northlincs.gov.uk/,,,,01/04/2019,31/03/2023,08/02/2019,NO,,No,No,No,Services,9400000,9400000,15/02/2019,9400000,"[npower Limited|B69 2AQ|NONE||No|No]","Ms Colette Quan",01/04/2019,31/03/2023,"Other ",
BIP346535712,Contract,"Essex County Council",Awarded,2018-09-22T11:50:11Z,"Mitie Supply of Electricity and Gas Tender On Behalf of Essex County Council","Mitie Energy on behalf of Essex County Council are seeking to appoint provider(s) for the supply of flexible gas and electricity contracts from 1st October 2018 over the next 3 years. There are two separate lots for gas and electricity which will be awarded individually. Potential Bidders will be required to offer flexible contracts including ability to purchase the commodity component via a trading desk. Service provision and Corporate Social Responsibility elements are of particular interest to Essex County Council and within the electricity tender they have a requirement around supply of REGO (Renewable Energy Guarantee of Origin) backed renewable energy across the portfolio. Estimated total value for Lot 1 Electricity is £8.7M per annum and Lot 2 Gas is £1.7M per annum. There will be an option to extend the Agreement for an additional 12 month period,",,,"East of England","09000000 ",,matt.kindred@mitie.com,"County Hall","Market Road",Chelmsford,"CM1 1QH",UK,+441604872517,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=346535712 ",,01/10/2018,30/09/2021,03/09/2018,NO,,No,No,No,Products,32824800,,03/09/2018,32824800,"[NPOWER LIMITED|Windmill Hill Business Park
        Whitehill Way
        Swindon
        SN5 6PB|NONE||No|No][SSE Energy Supply Ltd|1 Forbury Place
        43 Forbury Road
        Reading
        RG1 3JH|NONE||No|No]",,01/10/2018,30/09/2021,"Restricted ",
000791,Contract,"Yorkshire Purchasing Organisation",Awarded,2018-05-31T13:52:03Z,"YPO - 000791 The Flexible Procurement and Supply of Electricity for NHH, HH and UMS","YPO are looking for a Supplier to be appointed onto a Framework Agreement for the supply of non-half hourly, half hourly and unmetered electricity supplies, as well as related ancillary services, primarily for use in the local authority sector, education sector and emergency services sector. This Framework is designed to meet the needs of both YPO and Other Contracting Authorities by establishing an agreement where the end customer will enter into an electricity supply agreement with  the supplier and the supplier will supply electricity, as well as any ancillary services that the customer requires, direct to the end customer.",,,"Any region","09310000 ",,contracts@ypo.co.uk,YPO,"41 Industrial Park",Wakefield,WF20XE,England,,,,"https://procontract.due-north.com/register?ReadForm https://www.ypo.co.uk/about/customers/ojeu-permissible-users.aspx ","To see the documentation, please go online to: https://tendering.ypo.co.uk/procontract/ypo/supplier.nsf/frm_supplier_registrati on_wizard_introduction?openform and 'Register as a Supplier'. 1. Click on the appropriate tender under 'Latest Opportunities' 2. Click the ""Register Interest"" button which is located under the ""Main Contract Detail"" 3. Click on 'ok' 4. Return back to the home page and select the ""My Opportunities"" link, located on the right hand side of your home page. 5. Select the link to the tender 6. Select ""view stage detail"" and download the documents for response.

The terms and price structures of the Framework Agreement will be agreed between YPO and the preferred bidder. YPO will mutually agree the Framework Terms and Conditions with the preferred bidder. It is a pre-requisite that some public sector boiler plate clauses will need to be included. If terms and conditions cannot be agreed between the parties within one month of being notified of preferred bidder status YPO reserve the right not to award the Contract with the preferred bidder and to negotiate terms and conditions with the provider offering the next most economically advantageous tender.

The Supplier must adhere to all KPIs as these will form part of the final framework agreement. The final column in Appendix B details the number of failures within a specified period which amounts to a repeated failure. A repeated failure shall be deemed to constitute a breach of contract and the escalation procedure must be enacted. The escalation points and timescales must be agreed and detailed in the framework agreement - this will consist of three escalation stages, after which YPO may implement an option to terminate the contract The local authorities and public sector bodies who use this framework will sign the supplier's pre-approved contract and the supplier will then manage this contract to pre-determined Key Performance Indicators.

Tenderers should be aware that the Transfer of Undertakings Protection of Employment (TUPE) regulations may apply to this Framework Agreement. TUPE is a matter between the Tenderer and the incumbent supplier. The relevant contact details at the incumbent supplier are provided below. The incumbent supplier will respond to a Tenderer query providing information appropriate for this stage of the tender process. The Tenderer is responsible for ensuring they complete their communications with the incumbent supplier in a timely manner. YPO gives no warranty as to the accuracy of any information that is provided by the incumbent supplier. Please find contact details of the current Provider within the tender documentation in order to make further enquiries.",01/04/2019,31/03/2023,16/01/2018,YES,00791,No,No,No,Products,700000000,1200000000,03/05/2018,1200000000,"[NPOWER LIMITED|Windmill Hill Business Park Whitehill Way, Swindon, Wiltshire, SN5 6PB|COMPANIES_HOUSE|03653277|No|No]",,01/04/2019,31/03/2023,"OpenOJEU ",
271.2016,Contract,"Uttlesford District Council",Awarded,2016-09-20T10:33:04Z,"Electricity Supply Agreement","Provision of Half-Hourly and Non Half Hourly Electricity Supplies to Council owned properties.",,"CB11 4ER","East of England","09310000 ",,procurement@uttlesford.gov.uk,"Council Offices","London Road","Saffron Walden","CB11 4ER",England,,,,,,01/10/2016,30/09/2020,20/09/2016,NO,,No,No,No,Products,588000,,16/09/2016,588000,"[Npower Limited|Windmill Hill Business Park
Whitehill Way
Swindon
Wiltshire SN5 6PB|||No|No]",,01/10/2016,30/09/2020,"Restricted ",
9WBJ-R2YPZ9-A78S-6PJOO5,Contract,"North East Lincolnshire Council",Awarded,2016-02-17T15:10:41Z,"North East Lincolnshire Council Electricity Basket Framework","North East Lincolnshire Borough Council (the Authority) seeks to establish a single supplier national Framework Agreement to enable North East Lincolnshire Borough Council and other Contracting Bodies to purchase Electricity Products. A Prior Information Notice (PIN) was submitted to the Official Journal of the European Union on the 5th August 2015 reference number 2015/S 149-274913. call for competition in accordance with Directive 2014/24/EU Article 48 (2). The Authority reserves the right to accept initial tenders without any further negotiation The Authority has sought expressions of interest from Energy Suppliers wanting to tender for the above agreement. Lots were considered for this tender and were deemed not appropriate nor in the Authority's best commercial interests because the Authority requires a whole service approach and to split the service by lots would create an administrative burden.",,"DN37 9TZ","Yorkshire and the Humber","09310000 ","Christina Tabor",christina.tabor@nelincs.gov.uk,"Origin 2","Origin Way",Grimsby,"DN37 9TZ",UK,"01472 326942",,,,,01/04/2016,31/03/2019,06/01/2016,NO,,Yes,No,No,Products,0,,01/02/2016,0,"[npower limited|windmill hill busines park, whitehill way, sn5 6pb, Wiltshire|||No|No]",,01/04/2016,31/03/2020,"Negotiated ",
KENTPS001-DN333114-84964129,Contract,"Kent County Council (via LASER)",Awarded,2019-10-23T13:41:36Z,"Flexible Procurement and Supply of Half Hourly (HH), Non-Half Hourly (NHH), Metered and Unmetered Electricity with Meter Operations and Additional Services - Y18003","Framework Agreement (the Agreement) for Flexible Procurement and Supply of half hourly (HH), non-half hourly (NHH), metered and unmetered supply (UMS) electricity, along with Meter Operations and Additional Services.  Additional Services consisting of provision of Renewable Energy, Automatic Meter Reading (AMR), Data Aggregation (DA) and Data Collection (DC) services, Demand Side Response (DSR), Power Purchase Agreements (PPA) and Energy Services.",,,"Any region","09310000 71314000 ",,psg@commercialservices.org.uk,"Procurement Services Group","1 Abbey Wood Road, Kings Hill","West Malling","ME19 4YT","United Kingdom","+44 1622236767",http://www.procurementservicesgroup.org.uk,,,"Any public body will have access to this Framework Agreement but may only do so with the agreement of the Contracting Authority through Commercial Services. Those organisations who may wish to access this Framework Agreement include local authorities the Police Service, the Fire Service, the NHS & NHS Trusts, port authorities, third sector organisations, academic centres (including Academies), publicly funded organisations and publicly owned private companies, operating within the geographic boundaries of the United Kingdom, Channel Islands and Northern Ireland (together referred to in this tender document as Participating Authorities or End Users). 
Full details of the classification of potential public bodies who may become Participating Authorities and/or End Users under this Framework Agreement via the Contracting Authority can be found within the ITT and OJEU Contract Notice
",01/10/2018,30/09/2024,08/06/2018,NO,,Yes,No,No,Products,300000000,900000000,12/12/2018,900000000,"[EDF Energy Customers Ltd|90 Whitfield Street
London
 W1T 4 EZ|NONE||No|No][NPower Limited|Windmill Hill Business Park, Whitehill Way
Swindon, Wiltshire
 SN5 6PB|NONE||No|No][Total Gas & Power Limited|10 Upper Bank Street, Canary Wharf
London
E14 5BF|NONE||No|No][E.ON Energy Solutions Ltd|Westwood way, Westwood Business Park
 Coventry
CV4 8LG|NONE||No|No][Connected Energy Ltd|Floor A, Milburn House, Dean Street
Newcastle Upon Tyne
 NE1 1LE|NONE||No|No][Octopus Investments Ltd|33 Holborn
 London
EC1N 2HT|NONE||No|No][Stark Software International Ltd|Sentinel House, 10-12 Massetts Road
Horley
RH6 7DE|NONE||No|No][Solar Advanced Systems Ltd T/A SAS Energy|Solar Advanced Systems Ltd T/A SAS Energy
Unit 9, Edenbridge Trading Centre, Hever Road
Edenbridge, Kent
TN8 5EA|NONE||No|No]",,01/01/2019,30/09/2024,"Open ",
