"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
L0911,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-05T15:06:40Z,"L0911; HMT - Software licences and support - Contract","This contract has already been awarded and is published for transparency purposes.
The contract relates to the provision of Enterprise Resource Planning (ERP) software, licenses and associated technical support for HM Treasury Group.
The contract is in accordance with the MoU agreed between the Cabinet Office and Oracle Corporation UK Ltd.",,,"Any region","48451000 ","CCS Managed Service London",managedprocurementservice@crowncommercial.gov.uk,"Aviation House","125 Kingsway",London,"WC2B 6NH",England,,,,,,06/04/2015,05/04/2018,06/04/2015,NO,,Yes,No,No,Services,107000,320000,26/03/2015,320000,"[Oracle Corporation UK Ltd|Oracle Parkway
Thames Valley Park
Reading, RG6 1RA|||No|No]",,06/04/2015,05/04/2018," ",
tender_153100/765391,Contract,"City of London Corporation",Awarded,2019-04-29T16:18:39Z,"Oracle Annual License Renewal","Licensing for the line of business systems utilising oracle. Specifically, the City's ERP platform.  This contract is for both the City of London Corporation and the City of London Poilce.",,"EC2P 2EJ",London,"48000000 ",David,david.scott@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,2073323629,,,,,06/04/2019,05/04/2021,22/03/2019,NO,,No,No,No,Services,569923,,22/03/2019,569923.08,"[Oracle Corporation UK Ltd|Oracle Parkway, Thames Valley Park, Reading|COMPANIES_HOUSE|01782505|No|No]",,06/04/2019,05/04/2021,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
BIP316407588,Contract,"University of Greenwich",Awarded,2018-05-06T13:12:09Z,"ORACLE CLOUD UPGRADE","The University of Greenwich is currently using Oracle EBS HCM 12.1.3 which is an Oracle business software application used to manage human resources and payroll. Oracle have publically stated that they will not be enhancing the existing platform beyond 2030 or supporting release 12.1 beyond 2021, and are upgrading their existing supplied solution to cloud based Software as a Service (SaaS). The University of Greenwich will therefore upgrade their existing on premise solution to Oracle Cloud for a five year term.",,,London,"48450000 ","Vincent M John, Director of Procurement & Business Services",tenders@gre.ac.uk,"Procurement & Business Services","Southwood Lodge, Avery Hill Campus",London,"SE9 2UG",UK,+442083318294,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=316407588 ",,16/05/2018,15/05/2023,30/04/2018,NO,,Yes,No,No,Products,578640,,30/04/2018,578640,"[ORACLE CORPORATION UK LTD|Oracle Parkway
        Thames Valley Park
        Reading
        RG6 1RA|NONE||No|No]",,16/05/2018,15/05/2023,"Other ",
tender_222991/852726,Contract,"Public Health England",Awarded,2020-04-28T12:04:57Z,"Oracle ERP Cloud Upgrade - MaPS Programme","PHE has awarded a contract to Oracle UK Ltd to provide licences/subscriptions for the upgrade to PHE's Enterprise Resource Planning solution.",,,"Any region","48000000 ",,tenders@phe.gov.uk,"Wellington House, 133-155 Waterloo Road, London",,London,"SE1 8UG",England,,,,,,30/01/2020,30/01/2027,14/01/2020,NO,,Yes,No,No,Products,6200472,,14/01/2020,6200472.31,"[Oracle Corporation UK Ltd|Oracle Parkway, Thames Valley Park, Reading, Berkshire, RG6 1RA|COMPANIES_HOUSE|01782505|No|No]",,30/01/2020,30/01/2027,"SingleTenderActionNonOJEU ",
2019035,Contract,"Hm Land Registry",Awarded,2019-05-20T15:52:21Z,"Oracle Support Contract","ORACLE PLATFORMS AND ASSOCIATED HARDWARE / SOFTWARE MAINTENANCE

The following LR Services are currently hosted on Oracle Hardware/Software:
MapSearch
Electronic Online Ownership Verification (EOOV) 
Inspire View 
Inspire Download  
FME Pol",,,"Any region","48000000 ","Gary Chubb",Gary.Chubb@landregistry.gov.uk,"HM Land Registry IS","PO Box 292",PLYMOUTH,"PL5 9BY",England,,,,,,06/04/2019,05/04/2020,08/03/2019,NO,,No,No,No,Services,194919.28,351000,22/03/2019,194919.28,"[Oracle Corporation (UK) Ltd|Oracle Parkway
Thames Valley Park
READING
Berkshire
RG6 1RA|NONE||No|No]",,06/04/2019,05/04/2020,"SingleTenderActionNonOJEU ",
tender_202489/761555,Contract,"Department of Health and Social Care",Awarded,2019-04-09T12:52:50Z,"DHSC Oracle Licencing 2018/19","This requirement is to renew Oracle licences from April 2018 for 1 year.
The requirement was procured in line with the MoU agreement between CCS and Oracle.",,"SW1H 0EU","Any region","48000000 ","Sanjay Chana",Sanjay.Chana@dhsc.gov.uk,"39 Victoria Street",,London,"SW1H 0EU",England,0,www.gov.uk/government/organisations/department-of-health-and-social-care,"Oracle Licencing 2018.19_DOH_Redacted for publication_Redacted for publication_1.pdf ",,,05/04/2018,04/04/2019,20/03/2018,NO,,No,No,No,Products,140948,,20/03/2018,140948.01,"[Oracle Corporation UK Ltd|Oracle Parkway Thames Valley Park Reading Berkshire RG6 1RA|NONE||No|No]",,05/04/2018,04/04/2019,"SingleTenderActionNonOJEU ",
BFDMDC001-DN370632-09534489,Contract,"Bradford Metropolitan District Council",Awarded,2018-11-01T09:07:49Z,"Annual Support & Maintenance of Oracle Licences (For VEAT notification purposes only)","This contract is for the annual support and maintenance of existing Oracle Licences which cannot be procured from anywhere other than from Oracle themselves.",,,"Yorkshire and the Humber","72000000 ","Nita Patel",nita.patel@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX","United Kingdom","+44 1274432752",http://www.bradford.gov.uk/bmdc,,,,02/11/2018,01/11/2019,22/10/2018,NO,,No,No,No,Services,69000,69000,29/10/2018,69396.73,"[Oracle Corporation UK Ltd|Oracle Parkway, Thames Valley Park, Reading, Berkshire, RG6 1RA|NONE||No|No]",,02/11/2018,01/11/2019,"Open ",
LPA/PROC/4822,Contract,"Lincolnshire Police Authority",Awarded,2016-03-08T16:39:51Z,"Renewal of Oracle Licences and support","Renewal of Oracle Licence Support and Maintenance for Internet Application Server Enterprise Edition - Named User Plus Perpetual and Oracle Data Enterprise Edition - Named User Plus Perpetual for period 24/11/2015 to 23/11/2016",,,"East Midlands","48612000 48821000 ","Sarah Hayes",sarah.hayes@lincs.pnn.police.uk,"Lincolnshire Police HQ","Deepdale Lane",Lincoln,"LN2 2LT",England,"01522 947182",,,,,24/11/2015,23/11/2016,13/11/2015,NO,,No,No,No,Services,59000,79000,20/11/2015,70000,"[Oracle Corporation UK Ltd|Oracle Parkway
Thames Valley Park
Reading
Berkshire
RG6 1RA|||No|No]",,24/11/2015,23/11/2016," ",
tender_215597/843094,Contract,"NHS Business Services Authority",Awarded,2020-03-10T14:22:01Z,"Oracle Cloud Services (UCs)","Contract Finder Award Notice - Oracle Universal Credit contract for Cloud Services, for NHSBSA Data Warehouse and Business Intelligence.",,,"North East","72300000 ","Darren Batey",darren.batey@nhs.net,"Stella House",,"Newcastle Upon Tyne","NE15 8NY",England,,https://nhsbsa.bravosolution.co.uk/web/login.shtml,,,,29/02/2020,28/02/2021,27/11/2019,NO,,No,No,No,Services,1754026,,24/02/2020,1754026,"[Oracle Corporation UK Ltd|Oracle Parkway, Thames Valley Park, Reading, Berkshire, RG6 1RA|COMPANIES_HOUSE|01782505|No|No]",,29/02/2020,28/02/2021,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
LPA/PROC/5506,Contract,"THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE",Awarded,2019-04-04T11:24:03Z,"Renewal of Oracle Software Update Licence and Support","Renewal of Oracle licences and support under the Crown Commercial Services Memorandum of Understanding",,"LN2 2LT",,"48000000 ","Lisa Norton",lisa.norton@lincs.pnn.police.uk,"Po Box 999",,LINCOLN,LN57PH,England,"01522 947140",,,,,06/04/2019,05/04/2021,03/03/2019,NO,,No,No,No,Services,140000,,02/04/2019,140000,"[Oracle Corporation UK Ltd|Oracle Parkway 
Thames Valley Park
Reading
Berkshire
RG6 1RA|COMPANIES_HOUSE|01782505|No|No]",,06/04/2019,05/04/2021,"SingleTenderActionNonOJEU ",
TNA224,Contract,"THE NATIONAL ARCHIVES",Awarded,2019-03-07T13:12:11Z,"Oracle Support","The National Archives has a requirement for a number of Oracle support services. We require the support services for the period 1 April 2019 to 31 March 2020 inclusive (i.e. one year).Please see Invitation to Tender for full details.",,"TW9 4DU",,"48000000 72000000 ",,procurement@nationalarchives.gov.uk,Kew,,Richmond,"TW9 4DU",England,,,"The National Archives - Oracle Support.pdf ",,,01/04/2019,31/03/2020,06/03/2019,YES,TNA224,Yes,No,No,Services,0,,07/03/2019,60525,"[Oracle Corporation UK ltd|Oracle Parkway
Thames Valley park
Reading 
Berkshire
RG6 1RA|NONE||No|No]",,01/04/2019,31/03/2020,"OpenNonOJEU ",
"UKHO 4500054659",Contract,"THE UNITED KINGDOM HYDROGRAPHIC OFFICE",Awarded,2018-05-22T16:09:17Z,"Oracle Support & Maintenance","Oracle Support & Maintenance",,,"South West","48000000 72000000 ","Ashley Parker",ashley.parker@ukho.gov.uk,"ADMIRALTY WAY",,TAUNTON,TA12DN,England,,,,,,06/04/2018,05/04/2021,16/03/2018,NO,,No,No,No,NotSpecified,250976.58,,28/03/2018,250976.58,"[Oracle Corporation UK Ltd|Oracle Parkway
Thames Valley Park
Reading
Berkshire
RG6 1RA|NONE||No|No]",,06/04/2018,05/04/2021,"SingleTenderActionNonOJEU ",
tender_153298/621892,Contract,"Ministry of Justice.",Awarded,2017-09-26T09:45:47Z,"Oracle Advanced Customer Support for HM Prison and Probation Service","Provision of Oracle Advanced Customer Services to HMPPS",,"S3 7DQ","Yorkshire and the Humber","48000000 ","Markus Heckhausen",Markus.Heckhausen@justice.gsi.gov.uk,"102 Petty France",,London,"SW1H 9AJ",England,07973755909,,"Oracle ACS_redacted.PDF ",,,13/07/2017,12/07/2018,12/07/2017,NO,,No,No,No,Services,301239,301239,30/08/2017,301238.82,"[Oracle Corporation UK Ltd|Thames Valley Park, Reading, Berkshire|||No|No]",,13/07/2017,12/07/2018,"NegotiatedWithoutCompetition ",
201767,Contract,"H M LAND REGISTRY",Awarded,2017-06-13T10:09:51Z,"Oracle hardware support","Oracle hardware support contract",,,"Any region","48000000 ",,claire.hughes@landregistry.gov.uk,"2 William Prance Road,",,Plymouth,"PL6 5WS",England,,,,,,05/04/2017,04/04/2018,31/03/2017,NO,,No,No,No,Services,104419,,01/04/2017,104419,"[Oracle Corporation (UK) Ltd|READIN RG6 1RA|||No|No]",,05/04/2017,04/04/2018,"DirectAward ",
201760,Contract,"H M LAND REGISTRY",Awarded,2017-05-11T11:33:36Z,"Oracle hardware maintenance/support","Oracle Hardware support",,,"Any region","72261000 ",,ian.smallbones@landregistry.gov.uk,"2 William Prance Road,",,Plymouth,"PL6 5WS",England,,,,,,15/02/2017,05/04/2018,01/02/2017,NO,,No,No,No,Services,13218.6,,14/02/2017,13218.6,"[Oracle Corporation (UK) Ltd|Oracle Parkway, Thames Valley Park, Reading, Berks|||No|No]",,15/02/2017,05/04/2018,"DirectAward ",
201745,Contract,"H M LAND REGISTRY",Awarded,2017-05-10T12:35:12Z,"Oracle software support contract","Oracle software support contract",,,"Any region","72261000 ",,claire.hughes@landregistry.gov.uk,"2 William Prance Road",,Plymouth,"PL6 5WS",England,,,,,,06/04/2017,05/04/2018,13/03/2017,NO,,No,No,No,Services,437739.07,,01/04/2017,437739.07,"[Oracle Corporation (UK) Ltd|READIN RG6 1RA|||No|No]",,06/04/2017,05/04/2018,"DirectAward ",
ORAKVDI,Contract,"HOME OFFICE",Awarded,2017-04-05T14:30:37Z,"Key vault & Data Integrator","Oracle key vault - server perpetual licences, and data integrator for Oracle BI named user licences. One year of software update licence and support.",,,"Any region","48000000 ",,amit.kapoor@homeoffice.gsi.gov.uk,"2 Marsham Street",,London,"SW1P 4DF",England,,,,,,05/04/2017,05/04/2018,15/03/2017,NO,,No,No,No,Products,13000,,27/03/2017,0,"[Oracle Corporation UK Ltd|Thames Valley Park, Reading, Berkshire, RG6 1RA|||No|No]",,05/04/2017,05/04/2018,"DirectAward ",
LPA/PROC/5052,Contract,"Lincolnshire Police Authority",Awarded,2016-11-07T18:21:08Z,"Renewal of Oracle Enterprise Licences","The Office of the Police and Crime Commissioner for Lincolnshire (PCC for Lincolnshire requires the renewal of Oracle Enterprise Licences.",,"LN2 2LT","East Midlands","48218000 ","Sarah Hayes",sarah.hayes@lincs.pnn.police.uk,"Lincolnshire Police HQ","Deepdale Lane",Nettleham,"LN2 2LT",England,,,,,,24/11/2016,05/04/2018,07/11/2016,NO,,Yes,No,No,Services,94405.24,,07/11/2016,94405.24,"[Oracle Corporation UK Ltd|Oracle Parkway
Thames Valley Park
Reading
Berkshire
RG6 1RA|||No|No]",,24/11/2016,05/04/2018," ",
BIP200254610,Contract,"Driver and Vehicle Licensing Agency",Awarded,2016-05-06T12:27:01Z,"PS/15/40 Oracle Premier Support - variation","Variation to existing contract, to renew Premier Support for certain Oracle licences for years 2 and 3",,,Wales,"72267100 ",,christopher.peach@dvla.gsi.gov.uk,"Longview Road",,Swansea,"SA6 7JL",UK,+441792788970,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=200254610 ",,29/05/2016,05/04/2018,29/04/2016,NO,,No,No,No,Services,639659.53,,29/04/2016,639659.53,"[Oracle Corporation UK Ltd|Oracle Parkway
Thames Valley Park
Reading
Berkshire
RG6 1RA|||No|No]",,29/05/2016,05/04/2018,"Other ",
