"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN349932-45745494,Contract,"Bristol City Council",Awarded,2018-06-26T12:24:37Z,"To Operate, Develop and Maintain the Portway Rugby Development Centre (PRDC","To Operate, Develop and Maintain the Portway Rugby Development Centre (PRDC",,,"South West","79993000 ","Guy Fisbourne",guy.fishbourne@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,08/01/2018,07/01/2028,22/12/2017,NO,,Yes,Yes,No,Services,70000,70000,05/01/2018,70000,"[Parkwood Leisure|WR3 7NS|NONE||No|No][Parkwood Leisure Ltd|WR3 7NW|NONE||No|No]","Mr Chris True",08/01/2018,07/01/2028,"Open ",
P3734,Contract,"High Peak Borough Council & Staffordshire Moorlands District Council",Awarded,2020-03-23T13:51:34Z,"HPBC Leisure Centres Management & Operating Contract","High Peak Borough Council wish to appoint a suitably experienced and competent Leisure operator to deliver leisure services and activities at the Council's Leisure sites to the local and extended communities. We are inviting proposals through an Open tender procedure compliant under Section 7 of the Public Contracts Regulations 2015, to secure a five year contract for this service.

In addition to the operation of the Leisure centres, there will be a requirement for the operator to lead on capital works projects at the various sites and some grounds maintenance responsibilities at extended recreational sites.

The Council owns four Leisure sites across High Peak;

• Buxton Swimming & Fitness Centre , St John's Road, Buxton, SK17 6BE

• Glossop Leisure Centre, High Street East, Glossop, SK13 8PN

• Glossop Swimming Pool, Dinting Road, Glossop, SK13 7DS

• New Mills Leisure Centre, Hyde Bank Road, New Mills, High Peak, SK22 4BP

The Facilities across the locations, host a mixture of activities and fixed equipment including for example;  Sports Hall multi-use, Swimming pools, Fitness Suites, Dance Studios, Squash Courts, outdoor hard Courts, Athletics and Cycle Track and Grass pitches.

This exercise is being managed through the Council's Electronic tendering system Procontract. To Register an Interest and submit a tender for this opportunity please click on the link below:

Project reference number: DN359530

https://supplystokeandstaffs.proactishosting.com

You will need to register or log in (if you have already registered). If you have any queries or need assistance please contact us:

Email:  procurement@highpeak.gov.uk

Reference: P3734

Closing date and time: Wednesday 31st October 2018 by 12:00 noon",,,"East Midlands","92600000 ","Procurement Unit",procurement@staffsmoorlands.gov.uk,"Town Hall",,Buxton,SK176EL,England,"0345 129 77 77",,,"https://procontract.due-north.com/Advert?advertId=9416f7ca-61ba-e811-80ee-005056b64545&p=08c1102f-61ba-e711-80e6-005056b64545 ",,01/04/2019,31/03/2024,31/10/2018,YES,P3734,Yes,No,No,Services,0,,15/03/2019,726737,"[Parkwood Leisure|tbc|NONE_OTHER||No|No]",,01/04/2019,31/03/2024,"OpenOJEU ",
BIP198803536,Contract,"South Northamptonshire Council",Awarded,2016-05-13T13:21:04Z,"Joint Leisure Management Contract with Development Opportunities","Leisure Management of Towcester Centre for Leisure, Brackley Leisure Centre and Brackley Swimming Pool in Northamptonshire and Woodgreen Leisure Centre in Banbury Oxfordshire. Includes development opportunities for New Brackley Swimming Pool co located at Brackley Leisure Centre and Dryside Refurbishment at Woodgreen Leisure Centre. This contract is divided into three lots. Please see contract documents for further details.",,,"South East","92000000 ","Sharon Bolton",sharon.bolton@cherwellandsouthnorthants.gov.uk,"The Forum",,Towcester,"NN12 6AD",UK,+441295221714,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=198803536 ",,04/05/2016,03/05/2033,04/05/2016,NO,,Yes,Yes,No,Services,900000,,04/05/2016,900000,"[Parkwood Leisure Limited|Attwood House
Worcester
|||No|No]",,04/05/2016,03/05/2033," ",
NTHDVN001-DN286822-54314516,Contract,"North Devon District Council",Awarded,2019-10-23T16:38:33Z,"Design, Build, Operate and Maintain (DBOM) Contract for North Devon District Council Leisure Facilities","The contract includes the design and build of a new leisure centre, located in Barnstaple, which will form anextension to the current Tarka Tennis Centre. It will also include the management and operation of the following facilities:
• Existing Tarka Tennis Centre including the new build leisure centre referred to above.
• New build full-size Artificial Grass Pitch (3G) subject to delivery by NDDC.
• Ilfracombe Pool & Fitness Centre                                                                                                                                                                                                          
Design & Build anticipated to run from 8 November 2019 to opening.                                                                                                                                                    This is a Design, Build, Operate & Maintain contract.                              
The design and build part of the contract is valued at £13,808,712.  
The operate and maintain part of the contract will involve the management of the leisure facilities at the Contractor's risk but will include an Annual Payment, from  the Contractor to the Authority, of £380,517.
Operate & Maintain to run 20 years from commencement of the Service Period anticipated to be 18 October 2021.",,,"South West","92000000 45212100 45212110 ",,supplyingndc@northdevon.gov.uk,"Lynton House",,"Commercial Road","EX31 1DG",England,,http://www.northdevon.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=449f5ac7-028f-e711-80e4-005056b64545 ",,08/11/2019,07/05/2041,03/07/2019,NO,,No,No,No,Services,56500000,56500000,23/10/2019,56500000,"[Parkwood Leisure Limited|The Stables Duxbury Park, Duxbury Hall Road, Chorley, England, PR7 4AT|NONE||No|No]",,08/11/2019,07/05/2041,"CompetitiveDialog ",
NTHDVN001-DN476999-39181469,Contract,"North Devon District Council",Awarded,2020-05-05T09:12:55Z,"Management of North Devon Leisure Centre and Ilfracombe Swimming Pool and the Agreement for the Management of the Tarka Tennis Centre","Management of North Devon Leisure Centre and Ilfracombe Swimming Pool and the Agreement for the Management of the Tarka Tennis Centre",,,"South West","92610000 ",,supplyingndc@northdevon.gov.uk,"Lynton House",,"Commercial Road","EX31 1DG",England,,http://www.northdevon.gov.uk/,,,,05/05/2020,31/01/2022,30/04/2020,NO,,No,No,No,Services,2338620,2338620,01/05/2020,2338620,"[Parkwood Leisure Ltd|WR3 7NW|NONE||No|No]","Mr Business Development",05/05/2020,31/01/2022,"Open ",
"EBCT 253",Contract,"Erewash Borough Council",Awarded,2018-12-18T12:31:43Z,"Management of Leisure Centres and Services for Erewash Borough Council","Erewash Borough Council is seeking a competent organisation to manage its Leisure Centres and Services. The Authority is seeking Applicants to participate in its tender of services through a competitive process. This procurement falls under the Light Touch Regime (as set out in Schedule 3 of the Public Contracts Regulations 2015). The proposed Contract is for an initial period of ten (10) years with the option to extend for further incremental periods up to a maximum of five (5) years in total. Full details can be found within the procurement documents. Applicants wishing to participate in this Procurement should express interest via this portal, download the procurement documents then complete and return a completed Selection Questionnaire (SQ) response. The deadline for return of completed SQ's is 12.00 noon on 11th April 2018.",,,"East Midlands","92000000 ","Eloise Keeble",eloise.keeble@erewash.gov.uk,"Ilkeston Town Hall",,ILKESTON,DE75RP,England,01159072244,,," ","This process is being managed electronically.  In order to express interest and download the procurement documents, please go to the link above.",07/01/2019,06/01/2029,11/04/2018,YES,"EBCT 253",Yes,Yes,No,Services,33000000,,20/11/2018,33000000,"[Parkwood Leisure|Attwood House
WORCESTER
Worcestershire
WR3 7NW
GB|COMPANIES_HOUSE|03232979|No|No]",,01/02/2019,31/01/2029,"Other Light touch regime",
ecm_3951,Contract,"Department for Work and Pensions",Awarded,2018-02-13T16:46:19Z,"Provision of Management of the Quarry House Sports and Leisure Centre","Provision of Management of the Quarry House Sports and Leisure Centre",,"LS2 7UA","Any region","92000000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,01/01/2013,31/12/2018,17/11/2011,NO,,No,No,No,Services,500000,,01/01/2012,500000,"[Parkwood Leisure|Attwood House
Worcester
WR3 7NW|NONE||No|No]",,01/01/2013,31/12/2018,"OpenOJEU ",
"CU2575 - AWARD",Contract,"Milton Keynes Council Electronic Tendering Site",Awarded,2017-08-22T16:08:15Z,"Leisure Operator to manage the Central Milton Keynes Community Sports Facility (Sport Central)  - AWARD","The procurement of a Leisure Operator to manage the Central Milton Keynes Community Sports Facility, comprising of 3G pitch, 2 courts and sports pavilion.",,"MK9 3EJ","South East","92610000 ","Ruth Holt",ruth.holt@milton-keynes.gov.uk,"1 Saxon Gate East","Silbury Boulevard","Central Milton Keynes","MK9 3EJ","United Kingdom","01908 25 4744",,,,,11/09/2017,10/09/2032,29/06/2017,NO,,Yes,No,No,Services,0,,21/08/2017,0,"[Parkwood Leisure Ltd|Attwood House , Perdiswell Park , Worcester, Worcestershire, United Kingdom, WR37NS|||No|No]","Chris True",11/09/2017,10/09/2032,"Open ",
P3363,Contract,"High Peak Borough Council & Staffordshire Moorlands District Council",Awarded,2020-03-23T13:08:48Z,"Concession Contract:  P3363 Provision of Hospitality, Catering and Events at the Pavilion Gardens Buxton","High Peak Borough Council wish to invite proposals from suitable operators in the Catering, Hospitality and Leisure industry to provide Hospitality, Catering and Events Services under the form of a Concession Contract for the Pavilion Gardens Visitor attraction situated in Buxton Derbyshire.

The Pavilion Gardens is an excellent historic venue situated in the heart of the spa town, providing a visitor attraction popular for catering and events to the local community, visitors and tourists to the town. The Council is looking to appoint a successfully established and experienced organisation to deliver and promote a high quality, value for money experience for visitors.

This exercise is being completed in accordance with the Concession Contract Regulations 2016 as advertised in the Official Journal of the European Union.
The intended start date for this contract is 1st January 2019.

This exercise is being managed through the Council's Electronic tendering system Proactis. To Register an Interest and submit a tender for this opportunity please visit the website below and select opportunities, Project reference number DN331466
https://supplystokeandstaffs.proactishosting.com/

You will need to register or log in (if you have already registered). The site is free to register and use and you will be given a secure login by the portal providers.

Requests to express an interest in this opportunity will be approved by the Council, prior to prospective participants accessing the full ITT (Invitation to Tender) Information.
If you have any queries or need assistance please contact us on procurement@highpeak.gov.uk or phone 0345 129 77 77

HPBC Reference: P3363
Closing date and time: Tuesday 4th September 2018 by 12:00 noon (please note that this has been extended from Friday 3rd August 2018 by 12:00 noon)",,"SK17 6BE",,"55300000 55400000 55500000 55900000 92320000 92330000 ","Elaine Hallworth",procurement@highpeak.gov.uk,"Town Hall",,Buxton,SK176EL,England,"0345 129 77 77",www.highpeak.gov.uk,,"https://supplystokeandstaffs.proactishosting.com/ ",,01/01/2019,31/12/2023,04/09/2018,YES,P3363,Yes,Yes,No,Services,0,,20/01/2019,0.01,"[Parkwood Leisure|TBC|NONE_OTHER||No|No]",,01/02/2019,31/01/2029,"OpenOJEU ",
TORB001-DN375675-78006122,Contract,"Torbay Council",Awarded,2019-09-06T16:32:21Z,"Development Opportunity and Lease for Riviera International Conference Centre","Torbay Council is seeking a strategic development partner for an innovative redevelopment opportunity In Central Torquay.
This project provides a fantastic opportunity to improve upon the current Riviera International Conference Centre and its surrounding land through the potential provision of a high-quality hotel, conference, leisure and mixed-use development.
The term of the Lease is negotiable from 25 years up to a maximum period of 125 years. In order to access the editable Tender documents, Applicants need to be registered as suppliers on www.supplyingthesouthwest.org.uk and within the Tender opportunity itself, in the Respond area. Addition CPV codes applicable are: 55000000, 71000000, 92000000",,,"South West","45000000 ","Adam Harmer",adam.harmer@torbay.gov.uk,"Torbay Council Town Hall","Castle Circus",Torquay,"TQ1 3DR",England,"+44 1803208515",http://www.torbay.gov.uk/,,,"In order to access the editable Tender documents, Applicants need to be registered as suppliers on www.supplyingthesouthwest.org.uk and within the Tender opportunity itself, in the Respond area.
",01/04/2020,31/03/2145,09/01/2019,NO,,Yes,No,No,Services,0,,25/07/2019,470000,"[Parkwood Leisure Ltd|WR3 7NW|NONE||No|No]","Mr Business Development",01/04/2020,31/03/2045,"CompetitiveDialog ",
