"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
FM19217,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-08-16T12:14:08Z,"FM19217 - UKRI - Titan Porta Cabins Lease","This requirement was awarded following a competitive quotation process. The requirement is for the supply of 2 x TN124 Double Stacked Portakabin Titan Buildings for UK Research and Innovation.",,"OX11 0QX",,"44211100 ","Jodene Pritchard",fmprocurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,"SN2 1FL",England,"01793 867005",www.uksbs.co.uk,,,,15/08/2019,13/02/2020,14/08/2019,NO,,Yes,No,No,Products,35138,,14/08/2019,35138,"[Portakabin Limited|New Lane
Huntington
Yorj
TO32 9PT|NONE||Yes|No]",,15/08/2019,13/02/2020,"CompetitiveQuotationNonOJEU ",
tender_246539/877756,Contract,"Ministry of Justice.",Awarded,2020-08-05T17:56:29Z,"Additional Courts and Tribunal Capacity (ACTC) Prog - Hire of Modular Buildings","Contract Award Notice for the Hire of Modular buildings across HMCTS estate to allow backlog of jury&apos;s to commence",,,"Any region","44211100 ",,adrian.cunningham@justice.gov.uk,"102 Petty France",,Westminster,"SW1H 9AJ",England,,,,,,27/07/2020,26/07/2021,24/07/2020,NO,,Yes,No,No,Services,2700000,,27/07/2020,2700000,"[Portakabin Limited|Geldard Road, Leeds, LS12 6LZ|NONE_OTHER||No|No]",,27/07/2020,26/07/2021,"CallOffFromFrameworkAgreement ",,12:00
RM60142,Contract,"Crown Commercial Service",Awarded,2020-05-20T14:28:44Z,"Refrigerated Modular Units","Provision of refrigerated modular units under CCS Framework Agreement RM6014",,,"United Kingdom","44211100 ","Cabinet Office",Info@crowncommercial.gov.uk,"Old Hall Street",,Liverpool,L39PP,England,03454102222,https://www.crowncommercial.gov.uk/,"20200414 Portakabin Cabinet Offfice contract for temp chilled buildings FINAL redacted.DOCX ",,,10/04/2020,10/10/2020,27/03/2020,NO,,No,No,No,Products,19651000,22350000,02/04/2020,19651000,"[PORTAKABIN LIMITED|New Lane,Huntington
YORK
North Yorkshire
YO32 9PT
GB|COMPANIES_HOUSE|00685303|No|No]","Portakabin Ltd",10/04/2020,10/10/2020,"Other Other",
LEEDSCITY001-DN476512-43144205,Contract,"Leeds City Council",Awarded,2020-04-30T14:18:14Z,"Moor Allerton Hall Primary School modular unit removal","Moor Allerton Hall Primary School modular unit removal",,,"Yorkshire and the Humber","45214210 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,15/02/2020,28/02/2020,18/12/2019,NO,,No,No,No,Services,44623,44623,01/02/2020,44623,"[Portakabin Limited|Compass House,
 17-19 Empringham Street,
 Kingston upon Hull,
 HU9 1RP|NONE||No|No]",,15/02/2020,28/02/2020,"NotSpecified ",
BUCKSH001-DN436803-07408303,Contract,"Buckinghamshire County Council",Awarded,2019-09-23T10:44:58Z,"Chesham Grammar School","Temporary Classroom provision and installation",,,"South East","45000000 ","Samantha Hewson",shewson@buckscc.gov.uk,"1) NCO","Walton Street",Aylesbury,"HP20 1YQ","United Kingdom","+44 1296387032",http://www.buckscc.gov.uk,,,,30/08/2019,30/11/2019,28/08/2019,NO,,No,No,No,Services,90000,90000,29/08/2019,82842,"[Portakabin Limited|London Central Hire Centre, Portakabin Ltd, Old Parkbury Lane, St Albans|NONE||No|No]","Tim Williams",30/08/2019,30/11/2019,"Open ",
LEICSCITY02-DN361623-13605939,Contract,"Leicester City Council",Awarded,2019-04-15T15:50:40Z,"PAN2036 - SEND Programme - Ellesmere College","Direct Award under NHS framework",,,"East Midlands","45000000 ","Izabela Skowronek",izabela.skowronek@leicester.gov.uk,"City Hall","115 Charles Street",Leicester,"LE1 1FZ","United Kingdom","+44 1164542319",http://www.leicester.gov.uk,,,,18/02/2019,18/04/2019,16/02/2019,NO,,No,No,No,Services,398000,398000,17/02/2019,550647,"[Portakabin Limited|Yorkon House New Lane, Huntington, York, England, YO32 9PT|NONE||No|No]",,18/02/2019,18/04/2019,"Other ",
LEEDSCITY001-DN253879-82514180,Contract,"Leeds City Council",Awarded,2017-06-26T14:04:01Z,"Classroom and school modular units in Leeds- FC0401","Classroom and school modular units in Leeds- FC0401",,,"Yorkshire and the Humber","39000000 45000000 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,21/06/2017,28/08/2017,31/05/2017,NO,,No,No,No,Products,556112,556112,20/06/2017,556112,"[Portakabin Limited|New Lane, Huntington, York YO32 9PT|||No|No]",,21/06/2017,28/08/2017,"Restricted ",
CF1V3-20160407-00001825,Contract,"Torbay Council",Awarded,2016-04-07T15:07:04Z,"PCSA Modular Classrooms","Torbay Council are looking for a supplier to build, deliver and install two modular classrooms joined together with toilets and stores between them, at Paignton Community and Sports Academy, Waterleat Road, Paignton, TQ3 3WA.",,,"South West","45000000 ","Laura Howells",laura.howells@torbay.gov.uk,"1st Floor South","Tor Hill House, C/O Torquay Town Hall, Castle Circus",Torquay,"TQ1 3DR",UK,"+44 1803208946",http://www.torbay.gov.uk/,,,"Applicants can access the documents from the https://www.supplyingthesouthwest.org.uk/ without being registered on the portal, but will need to be registered in order to submit a bid.
The contract will be delivered in Torbay. ",14/03/2016,31/08/2016,02/03/2016,NO,,No,No,No,Works,300000,400000,21/03/2016,400000,"[Portakabin Limited|Huntington House, Jockey Lane, Huntington, Yorkshire, YO32 9WX, UK|||No|No]",,14/03/2016,31/08/2016,"NotSpecified ",
UCL-PROC-156,Contract,"UNIVERSITY COLLEGE LONDON",Awarded,2015-08-12T10:13:54Z,"South Quad Teaching Facility","To supply and install 8no Temporary Accommodation cabins plus additional stair pod to the South Quad area to the right of the medical sciences steps. This will include 1no 100 person lecture theatre at ground floor level and 3no seminar rooms at the 1st floor. (between 18 and 24 person). This will include transforming UCL vinyl wrap to the cabins as well as electrics and data install. Must be complete by mid September 2015.",,,London,"98341000 ","UCL Procurement Services",tenders.procurement@ucl.ac.uk,"UCL Finance & Business Affairs","University College London. Gower Street",London,"WC1E 6BT",England,,,,,,27/08/2015,18/09/2015,20/07/2015,NO,,No,No,No,NotApplicable,350000,,27/07/2015,350000,"[Portakabin Limited|New Lane
Huntington
York
YO32 9PT|||No|No]",,27/07/2015,18/09/2015,"NotApplicable ",
1182617649,Contract,"Leeds City Council",Awarded,2015-07-17T14:06:14Z,"Re-location of Modular Units","Re-location of Modular Units",,,"Yorkshire and the Humber","44211100 ","Robert Thirtle",robert.thirtle@leeds.gov.uk,"10 Floor West","Merrion House",Leeds,"LS2 8DT",UK,"0113 2475344",https://www.yortender.co.uk/procontract/supplier.nsf,,"https://www.yortender.co.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9Y3G-MNVFZZ ",,21/07/2015,28/08/2015,10/07/2015,NO,,No,No,No,Works,0,,17/07/2015,178492,"[Portakabin Limited|10 Floor West, Merrion House, Leeds, South Yorkshire, LS2 8DT|||No|No]",,21/07/2015,28/08/2015,"NotSpecified ",
