"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"PPRO 4/101/123",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2018-04-09T15:47:02Z,"PROJECT HEXAGON technical and commercial advice","To appoint technical advisers to provide advice, that will inform negotiations with Heathrow Airport Limited and First Group Plc to put into effect the agreements outlined in the Statement of Principles reached with Heathrow Airport Limited, dated 3rd July 2017 regarding the operation of Heathrow Express Services by the Great Western franchisee under a management contract. The advice provided by the Technical advisers will support the development of the project's business case.		

This contract award was not published at the time of award.  It has been published for transparency purposes to provide a record of existing Departmental contracts",,,"South East","73000000 ",DFT,dftprocurement@dft.gsi.gov.uk,"GREAT MINSTER HOUSE,76 MARSHAM STREET",,LONDON,SW1P4DR,England,,,"180409 Award letter-REDACTED_Redacted.pdf ",,,09/10/2017,31/03/2018,28/09/2017,NO,,No,No,No,Services,100000,100000,08/10/2017,100000,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|NONE||No|No][Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|NONE||No|No]",,09/10/2017,31/03/2018,"CallOffFromFrameworkAgreement ",
BIP538141366,Contract,"Student Loans Company",Awarded,2020-10-30T12:00:03Z,"Managed Cyber Defence Services","Endpoint threat detection and response services to support home working arrangements.",,,Scotland,"72222300 ",,commercial@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,+441413062000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=538141366 ",,15/07/2020,14/11/2020,14/07/2020,NO,,No,No,No,Services,188000,,14/07/2020,188000,"[Price Waterhouse Coopers|Atria 1
        144 Morrison Street
        Edinburgh
        EH3 8EX|NONE||No|No]",,15/07/2020,14/11/2020,"Other ",,00:00
20-F-08,Contract,"National Savings & Investments",Awarded,2020-09-03T12:10:01Z,"Outsourcing of Risk - Assurance Review 2020/21 - IT Patching and Maintenance","NS&I has an outsourced customer servicing model which, in addition, provides IT and infrastructure services. These services are provided to NS&I by Atos. As part of this agreement Atos are responsible for maintaining and keeping up to date the servers and software used by both their own sales processing and customer servicing teams, and by NS&I staff.

IT patching is split into two main areas:

•	Patching of the server estate used to service operations, overseen by NS&I's IS and Information Assurance team;
•	Patching of security vulnerability overseen by the IT Security team.

NS&I wishes to appoint a suitable firm to conduct a review of Atos's patch management. The scope of this review will focus on the management of server estate patching and will exclude security vulnerabilities.",,"SW1V 2QX",,"79212000 ","Jamie Thomas",jamie.thomas@nsandi.com,"1 Drummond Gate",,London,"SW1V 2QX",England,,,,,,01/10/2020,31/01/2021,24/08/2020,NO,,Yes,No,No,Services,38150,,03/09/2020,38150,"[Price Waterhouse Coopers (PwC UK)|7 More London Riverside
London
SE1 2RT|COMPANIES_HOUSE|OC303525|No|No]",,01/10/2020,31/01/2021,"CallOffFromFrameworkAgreement ",,16:00
101961,Contract,"DEPARTMENT FOR DIGITAL, CULTURE, MEDIA & SPORT",Awarded,2020-06-01T14:01:07Z,"Office for Civil Society Strategic Consultancy Support","To provide strategic consultancy support services for Office for Civil Society including governance support and oversight for the grant award and administration of the Voluntary, Community and Social Enterprise stablisation fund being administered by the National Lotteries Communities Foundation.",,"SW1A 2BQ",,"72224000 ","Andrew Sternberg",andrew.sternberg@culture.gov.uk,"100 Parliament Street",,London,SW1A2BQ,England,"0207 2112122",,,,,01/06/2020,30/11/2020,11/05/2020,NO,,Yes,Yes,No,Services,1429218,,01/06/2020,1429218,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|COMPANIES_HOUSE|OC303525|No|No]",,01/06/2020,30/11/2020,"CallOffFromFrameworkAgreement ",
"UK SBS CS20186",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-05-01T14:36:29Z,"UK Research and Innovation - Due Diligence for Fast Start Covid 19","****This is not a call for competition****Contract was procured via Direct Award against Crown Commercial Services Framework RM3745 Management Consultancy LOT 2 - Finance to provide UK Research and Innovation - Innovate UK Due Diligence for Fast Start Covid 19",,,"Any region","71621000 72221000 72224000 ",,Professionalservices@uksbs.co.uk,"UK Shared Business Services, Polaris House","North Star Avenue",SWINDON,SN21FF,England,,,,,,29/04/2020,28/01/2021,28/04/2020,YES,"UK SBS CS20186",Yes,Yes,No,Services,477831,,28/04/2020,477831,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|COMPANIES_HOUSE|OC303525|Yes|Yes]",,29/04/2020,28/01/2021,"CallOffFromFrameworkAgreement ",
CF-0106900D58000000L5A4EAK1,Contract,"Home Office",Awarded,2020-04-07T11:42:54Z,"Mobilising Settled Status Scheme","EU Exit Scheme - Inital mobilisation and scoping",,"WC2N 6DX","Any region","73220000 ","Amelia Harwood",amelia.harwood@homeoffice.gsi.gov.uk,"Marsham Street",,London,"SW1P 4DF",GB,"077774 773819",,,,,12/03/2018,06/09/2018,12/03/2018,NO,,No,No,No,Services,433000,433000,12/03/2018,433000,"[PRICE WATERHOUSE COOPERS LLP|1 Embankment Place, London WC2N 6DX WC2N 6DX|NONE||No|No]",,12/03/2018,06/09/2018,"CallOffFromFrameworkAgreement ",
BIP466112511,Contract,"Department of Culture, Media and Sport",Awarded,2020-01-22T09:05:25Z,"Dormant Assets Research","The Government is assessing the potential impact of expanding the dormant assets scheme to include assets from across new sectors. To inform this work, it seeks a Supplier to deliver a publishable report on: 

- the level of dormant assets being considered for inclusion in an expanded scheme
- costs and benefits for firms to participate in an expanded scheme.",,,London,"73110000 ","Andrew Sternberg",andrew.sternberg@culture.gov.uk,"100 Parliament Street",,London,"SW1A 2BQ",England,+442072112122,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=466112511 ",,02/01/2020,31/03/2020,16/12/2019,NO,,Yes,Yes,No,Services,60000,,16/12/2019,60000,"[Price Waterhouse Coopers LLP|1 Embankment Place,
        London
        WC2N 6RH|NONE||No|No]",,02/01/2020,31/03/2020,"OpenNonOJEU ",
TROO0084,Contract,"Department For Transport",Awarded,2020-01-06T11:48:03Z,"THAMESLINK PROGRAMME FINANCIAL ADVISOR","Financial Advisors to the Thameslink Programme",,,"South East","73000000 ",dft,procurementExcellence@dft.gov.uk,"Great Minster House,76 Marsham Street",,LONDON,SW1P4DR,England,,,"200106 Award letter - TROO0084 - Financial Advisor for Thameslink Programme_Redacted.pdf ",,,30/07/2019,01/04/2020,12/07/2019,NO,,No,No,No,Services,114000,228000,29/07/2019,114000,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|NONE_OTHER||No|No]",,30/07/2019,01/04/2020,"CallOffFromFrameworkAgreement ",
CCHR19A83.,Contract,"HM Treasury : HM Treasury",Awarded,2019-12-11T17:23:08Z,"Provision of IFRS 16 Training Events","This opportunity has been awarded and is published for Transparency purposes. HM Treasury has a requirement for a Supplier to organise and co-facilitate two training events, to ensure the provisions of the IFRS 16 Lease are implemented successfully in the public sector.",,,"Wales,Northern Ireland","80000000 ","Crown Commercial Service on behalf of HM Treasury : HM Treasury",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,"0345 410 2222",https://www.gov.uk/government/organisations/crown-commercial-service,"CCHR19A83 Contract Terms and Conditions v1.0 REDACTED.docx CCHR19A83 Award Letter V1.0 REDACTED.docx ",,,13/11/2019,31/01/2020,05/11/2019,NO,,No,No,No,Services,20000,,11/11/2019,20000,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|COMPANIES_HOUSE|OC303525|No|No]",,13/11/2019,31/01/2020,"SingleTenderActionNonOJEU ",
RWM010055,Contract,"RADIOACTIVE WASTE MANAGEMENT LIMITED",Awarded,2019-11-15T12:47:51Z,"Delivery of Organisational Transformation Services","Delivery of organizational transformation services",,"OX11 0GD",,"73000000 ","Lynn Leniewski",lynn.leniewski@nda.gov.uk,"Radioactive Waste Management Limited","Building 329, Thomson Avenue, Harwell Campus","Didcot, Oxon","OX11 0GD",England,"01925 802894",,,,,11/11/2019,31/03/2022,08/11/2019,NO,,No,No,No,Services,772188,,08/11/2019,772188,"[Price Waterhouse Coopers LLP|Hay's Galleria
1 Hay's Lane
London
SE1 2RD|COMPANIES_HOUSE|OC303525|No|No]",,11/11/2019,31/03/2022,"CallOffFromFrameworkAgreement ",
