"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HACK001-DN461560-55234110,Contract,"London Borough of Hackney",Awarded,2020-11-10T11:39:18Z,"Bulk Scanning and Offsite Storage (BSOSS)","The provision of Offsite Storage, Scanning, and Secure Destruction Services. Procurement route: further competition under ESPO Framework 390_18 Document Management Solutions LOT 3 - Total Document Management Solutions. 
",,,London,"92512000 ","LBH eProcurement Team",eprocurement@hackney.gov.uk,"Hackney Service Centre","1 Hillman Street",Hackney,"E8 1DY",England,"+44 2083563000",http://www.hackney.gov.uk,,,,23/06/2020,22/03/2023,21/02/2020,NO,,No,No,No,Services,900000,900000,12/06/2020,921307.24,"[Restore Plc|Unit 5, The Data Bank, Redhill Distribution Centre	Redhill, Surrey RH1 5DY|NONE||No|No]",,01/11/2020,31/10/2023,"Open ",,13:00
LBKING001-DN466573-50752970,Contract,"The Royal Borough of Kingston upon Thames",Awarded,2020-10-06T11:37:00Z,"Document Storage & Retrieval Services Contract Project","Contract for document storage & retrieval services awarded under ESPO framework 390 Lot 2.",,,London,"63121000 ","Charlotte Murphy",charlotte.murphy@kingston.gov.uk,"Guildhall 2",,"Kingston upon Thames","KT1 1EU","United Kingdom","+44 2085475000",http://www.kingston.gov.uk,,,,01/08/2020,31/07/2021,11/06/2020,NO,,No,No,No,Services,105000,105000,28/07/2020,105000,"[Restore Plc|RH1 5DY|NONE||No|No]","Miss Sadie Burch",01/08/2020,31/07/2021,"Other ",,12:00
CS20158,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-09-28T14:43:32Z,"Off-site Records Storage Management Facility for Science Records (including records containing sensitive Medical Data)","Provide a secure off-site storage management facility for UKRI-MRC files with a functional and intuitive online portal to support the management of the physical storage and file destruction, shredding, retrieval, labelling and withdrawal service, including provision of transport.",,,"South West","63121000 ",,professionalservices@uksbs.co.uk,"Polaris Star House",,SWINDON,SN21FF,England,01793-867204,,,,"The initial term of this contract shall be for 3 years with an option to extend annually for a further 4 years, although this is not guaranteed.",29/09/2020,29/09/2023,27/08/2020,NO,,Yes,No,No,Services,1,192000,28/09/2020,192000,"[Restore Plc|The Databank
Unit 5 Redhill Distribution Centre
Salbrook Road
Redhill
RH1 5DY|NONE_OTHER||No|No]",,29/09/2020,29/09/2027,"CallOffFromFrameworkAgreement ",,11:00
SUN001-DN450266-74668983,Contract,"Sunderland City Council",Awarded,2020-06-17T07:51:29Z,"Document Storage and Related Services","Document Storage and Related Services",,,England,"63121000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7SN","United Kingdom","+44 1915611772",http://www.sunderland.gov.uk/,,,,22/06/2020,21/06/2024,27/12/2019,NO,,No,No,No,Services,37000,,16/06/2020,37000,"[Restore Plc|Unit 7 Orbit Business Park, 
Alfred Eley Close, 
Swadlincote, Derbyshire,
DE11 0WU|NONE||No|No]",,22/06/2020,21/06/2024,"Restricted ",
CS19377,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-05-05T09:42:04Z,"Off-site Records Storage Management Facility","Provide a secure off-site storage management facility for UKRI files with a functional and intuitive online portal to support the management of the physical storage and file destruction, shredding, retrieval, labelling and withdrawal service, including provision of transport. 
",,,"South West","63121000 ",,professionalservices@uksbs.co.uk,"Polaris Star House",,SWINDON,SN21FF,England,01793-867200,,,,"The initial term of this contract shall be for 3 years with an option to extend annually for a further 4 years, although this is not guaranteed.",04/05/2020,19/04/2023,12/03/2020,NO,,No,No,No,Services,210000,,29/04/2020,490000,"[Restore Plc|Unit 5, Redhill Distribution Centre
Salbrook Road
Redhill
RH1 5DY|COMPANIES_HOUSE|05169780|No|No]",,04/05/2020,19/04/2023,"CallOffFromFrameworkAgreement ",
PROC.03.0145,Contract,"Water Services Regulation Authority (Ofwat)",Awarded,2020-03-05T16:15:27Z,"Document Management Solution","Ofwat requires the successful Supplier to remove Ofwat's boxes, maps, files, catalogue data and metadata ('Material') from the current contractor's storage within 2 weeks of the contract being signed e.g. signed on 8th May and Material transferred by 22nd May 2019 unless both parties agree otherwise. OFWAT will agree to an extension where the current supplier (Storetec) cannot operate within this timescale. The successful Supplier must organise their workload to ensure the Material is collected by this date. The Material must be processed by the successful Supplier and accepted into suitable storage facilities that have been identified, visited and agreed with Ofwat. The Supplier has stated that storage will be in Coventry. The Supplier must take their location into account when advising on the service level that they can provide e.g. delivery times to Birmingham and London for both physical and digital data. Please also note that major roadworks are ongoing around both locations. There is no parking available at either the London or Birmingham office. There is on street parking but the successful Supplier will need to make their own arrangements. The successful Supplier must provide details of how catalogue data will be exported along with all existing metadata to the new system. The process must include what checks will be made to ensure no data is lost and that there is a retrieval system for corrupted files. It is essential that the successful Supplier can accept and use the existing bar codes and maintain the link to the relevant catalogue data currently held by the incumbent Supplier or suggest a suitable no or low cost alternative. Catalogue systems must accept and retrieve Welsh language entries. Digital data must be stored and made available securely in line with GDPR requirements and industry best practice. The successful Supplier needs to have suitable systems in place to store digital data securely. It is desirable that the successful Supplier can provide regular checks to ensure no data is lost, that software formats are still accessible.  The successful Supplier must have the capacity to scan documents in accordance with relevant standards and manage increasing levels of digital data, as required. A service level agreement will be required providing the terms and costs for the retrieval and storage of digital data as well as physical records. The successful Supplier must demonstrate that the scanning process from receipt of documents to destruction creates digital records that are BS 10008:2014 compliant. The successful Supplier must expect regular audits of this by the Customer.  All scanning must be done by the successful Supplier and must not be sub-contracted to a third party supplier without Ofwat's permission.The potential for scanning may include anything up to and including A0 maps in bound books.",,,"West Midlands,London","79411000 ",,mailbox@ofwat.gov.uk,Birmingham,,Birmingham,B54UA,England,,,,,"For Further Information;please contact procurement@ofwat.gov.uk",16/05/2019,07/05/2021,19/04/2019,NO,,Yes,No,No,Services,65989,,08/05/2019,65989,"[Restore PLC|Unit 1
Redhill Distribution Centre
Salbrook Road
Redhill
Surrey
RH1 5DY|COMPANIES_HOUSE|05169780|No|No]",,16/05/2019,07/05/2021,"CallOffFromFrameworkAgreement ",
CS19342,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-01-15T15:57:14Z,"ACAS Record Storage","Provide a secure off-site storage management facility for ACAS files with a functional and intuitive online portal to support the management of the physical storage to include requesting file destruction, shredding, retrieval, scanning, and labelling and withdrawal service including provision of transport service with account management support. The online portal should also be available for online poral queries Future project of digitalisation of all files and cataloguing service",,,London,"63121000 ",,professionalservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,01793-867000,,,,"The initial term of this contract shall be for 3 years with an option to extend annually for a further 4 years, although this is not guaranteed.",13/01/2020,12/01/2027,10/12/2019,NO,,No,No,No,Services,89000,,20/12/2019,89000,"[Restore Plc|The databank
Unit 5
Redhill Distribution Centre
Salbrook Road
Redhill
RH1 5DY|NONE_OTHER||No|No]",,13/01/2020,12/01/2027,"CallOffFromFrameworkAgreement ",
BIP459076390,Contract,"Dorset HealthCare University NHS Foundation Trust",Awarded,2019-12-19T12:01:01Z,"GB-Poole: Document Storage and Retrieval Services","Dorset HealthCare NHS Foundation Trust requires a secure document storage and retrieval service.",,,"Any region","79996100 72512000 63120000 79995100 63121000 ","David Barratt",david.barratt1@nhs.net,www.dorsethealthcare.nhs.uk,"4-6 Nuffield Road",Poole,"BH17 0RB",UK,01202277271,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=459076390 ","The tender exercise was carried out as a mini-competition under the ESPO framework #390_18 Document Management Solutions (Lot 4).",01/12/2019,30/11/2022,05/11/2019,NO,,No,No,No,Services,229255,,05/11/2019,229255.8,"[Restore plc|www.dorsethealthcare.nhs.uk
        Salbrook Road
        Poole
        BH17 0RB|NONE||No|No]","Mark Shelvey",01/12/2019,30/11/2022,"NotSpecified ",
"EHRC 1920-01",Contract,"EQUALITY AND HUMAN RIGHTS COMMISSION",Awarded,2019-11-08T13:12:22Z,"EHRC 1920-01 Offsite Storage of Records","This opportunity is for the provision of Offsite Storage services for any hardcopy, non-current records. The scope also includes the offsite storage of data backup tapes which will be retrieved on a set schedule basis. 
The services are required for an initial period of five years and may be extended further under two separate twelve month periods depending upon the operational needs of the EHRC. 
This is a General Further Competition opportunity open to all suppliers under Service Lines 1, 2, 3 and 6 of Lot 4 ""Records Information Management Services"" of the Crown Commercial Services RM3781 ""Multifunctional Devices, Managed Print and Content Services and Records Information Management"" Framework only.",,,"North West,London,Scotland,Wales","72317000 79995100 79996100 ",,procurementhelpdesk@equalityhumanrights.com,"Arndale Centre",,MANCHESTER,M43AQ,England,,,,,,01/11/2019,31/10/2024,03/09/2019,NO,,Yes,No,No,Services,0,113000,17/09/2019,113000,"[RESTORE PLC|15-19 Cavendish Place
W1G 0QE
GB|COMPANIES_HOUSE|05169780|No|No]",,01/11/2019,31/10/2024,"CallOffFromFrameworkAgreement ",
MT216401,Contract,"Office of Qualifications and Examinations Regulation (Ofqual)",Awarded,2019-06-20T17:45:08Z,"Provision of Records and Information Management Services","Off- site records information management service (full end to end)
Off-site storage inactive records
Off-site secure shredding, destruction and disposal services
Off-site combined records information management services
Off-site scanning services",,,"West Midlands","79996100 63121100 64216200 48311100 48613000 92512000 63121000 79999100 72212311 92512100 72512000 79995100 ","David Thomas",procurement@ofqual.gov.uk,"Earlsdon Park","53-55 Butts Rd",Coventry,"CV1 3BH",England,"+44 2476716830",http://ofqual.gov.uk,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=JUN157496 ",,02/09/2019,01/09/2022,01/01/2019,NO,,Yes,No,No,Services,21450,,05/06/2019,21450,"[Restore Plc|Unit 5 Redhill Distribution Centre, Salbrook Road, Redhill|NONE||No|No]","Sadie Burch",02/09/2019,01/09/2022,"Open ",
DN383295,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2018-12-14T13:32:44Z,"Archive Document Storage and Retrieval Service","Provision of an Archiving Document Storage and Retrieval Service.",,,"North East","63121000 ","Michelle Gray",procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",www.redcar-cleveland.gov.uk,,,,01/01/2019,31/12/2020,06/12/2018,NO,,Yes,Yes,No,Services,116000,,12/12/2018,116000,"[RESTORE PLC|66 GROSVENOR STREET
W1K 3KL
GB|COMPANIES_HOUSE|05169780|No|No]","Jacqui Nunn",01/01/2019,31/12/2020,"CallOffFromFrameworkAgreement ",
032a5c98-43f5-44e6-a8fc-0807d8429aaf,Contract,"Peterborough City Council",Awarded,2018-10-05T11:24:02Z,"Peterborough City Council Request For Quotation - Off-site Storage and Retrieval Service","The award of the contract for the delivery of an off-site storage and retrieval Service for confidential and archived material, as per the specification.",,,"East of England","30193700 63121000 ","Helga Kendall",helga.kendall@peterborough.gov.uk,"Sand Martin House","Bittern Way, Fletton Quays",Peterborough,"PE2 8TY",ENG,01733384593,https://www.peterborough.gov.uk/,"Business-SupplyTheCouncil-TermsAndConditionsOfOrder.pdf PCC Confidentiality Agreement Template 151117.doc FINAL Specification for the Off-site Storage and Retrieval of Confidential and Important Documents (1).docx ",,,13/07/2018,12/07/2021,06/05/2018,NO,,Yes,No,No,NotApplicable,51619,51619,13/07/2018,51619,"[Restore plc|Unit 2 Redhill Distribution Centre, 
Salbrook Road, 
Redhill, 
Surrey, RH1 5DY|NONE||No|No]","Rebecca Raworth",13/07/2018,12/07/2021,"Open ",
