"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CCSO17A74,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2017-04-26T15:20:36Z,"Redacted Contract Award Letter for contract for the Provision of  VMWare ELA (PS/17/17)","Redacted Contract Award Letter for Award of contract for the Provision of  VMWare ELA (PS/17/17)",,SA67JL,,"48000000 ","Steven Lewis",Steve.lewis@crowncommercial.gov.uk,"CCS, Concept House, Cardiff Road,",,Newport,"NP10 8QQ",Wales,07909856691,,"Provision of  VMWare - Redacted.pdf ",,,14/03/2017,31/03/2018,13/03/2017,NO,,Yes,No,No,Products,361156.95,,03/03/2017,361156.95,"[Computacenter (UK) Ltd|Unit 38 Cardiff Business Park, 
Lambourne Cresent,
Llanishen, 
Cardiff 
CF14 5GG|||No|No]",,04/03/2017,31/03/2018,"Other ",
CCBC17A04,Contract,"Crown Commercial Service",Awarded,2017-04-20T12:20:33Z,REDACTED,"This notice is for transparency purposes.",,,"Any region","72000000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCBC17A04 - Award Letter REDACTED.pdf Annex 1 - CCBC17A04 Appendix C.pdf Annex 2 - CCBC17A04 - Appendix B SoR.pdf ",,"This notice is for transparency purposes.",27/02/2017,31/03/2017,26/02/2017,NO,,No,No,No,Services,18000,,26/02/2017,18000,"[ERNST & YOUNG|ONE BRIDEWELL ST BS12AA BRISTOL England|||No|No]","James Eliot",27/02/2017,31/03/2017,"Other ",
CCZJ19A06.,Contract,"British Forces Cyprus (Part of JFC) : Ministry of Defence",Awarded,2020-03-26T11:43:03Z,"REDACTED Police Public Order Vehicles","Armoured Vehicles",,,"Any region","35410000 ","Crown Commercial Service on behalf of British Forces Cyprus (Part of JFC) : Ministry of Defence",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCZJ19A06 REDACTED BABCOCK Call Off Award Letter v1.1.pdf CCZJ19A06  - FINAL Contract - Redacted.pdf ",,,17/12/2019,31/05/2020,21/11/2019,NO,,No,No,No,Products,1759030,,12/12/2019,1759030.25,"[Babcock Vehicle Engineering Limited|REDACTED|COMPANIES_HOUSE|00434529|No|No]",REDACTED,17/12/2019,31/05/2020,"CallOffFromFrameworkAgreement ",
CCFM17A02,Contract,"Crown Commercial Service",Awarded,2018-03-22T11:48:57Z,"Redacted Contract","This contract relates to the supply, installation, de-installation, re-installation and maintenance of covert surveillance equipment in vehicles for the Department for Work and Pensions.",,,"Any region","50117000 ","Steve Lewis",steve.lewis@crowncommercial.gov.uk,"​Crown Commercial Service","Room 1B60, Concept House, Cardiff Road,","Newport,","NP10 8QQ",Wales,,,"CCFM17A02 - Contract for Services REDACTED.pdf ",,,04/01/2018,03/01/2022,02/01/2018,NO,,No,No,No,Services,600000,,02/01/2018,600000,"[SONIC COMMUNICATIONS LTD|.|NONE||No|No]",,04/01/2018,03/01/2022,"CallOffFromFrameworkAgreement ",
CCIH17A60,Contract,"Crown Commercial Service",Awarded,2017-10-18T10:33:53Z,"Redacted Contract","Provision of new ATV equipment, including its installation and ongoing support and maintenance, at an MoD site.",,,"Any region","72000000 ","Steve Lewis",steve.lewis@crowncommercial.gov.uk,"​Concept House, Cardiff Road,",,"Newport,","NP10 8QQ",England,,,"RM3733 Attachment 5b - Order Form - Redacted.pdf ",,,27/07/2017,26/07/2022,26/07/2017,NO,,Yes,No,No,Services,77550.3,,26/07/2017,77550.3,"[Fujitsu Services Ltd||||No|No]",,27/07/2017,26/07/2022,"CallOffFromFrameworkAgreement ",
"CCIS17B27 - Support for Checkpoint Firewall Estate",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2017-07-04T16:35:53Z,"Redacted contract for CCIS17B27 - Support for Checkpoint Firewall Estate","The Driver and Vehicle Licensing Agency (DVLA) invited bids for the supporting of the Agency's current Checkpoint (CP) Firewall Estate at DVLA.",,SA67JL,,"48000000 ","Steve Lewis",steve.lewis@crowncommercial.gov.uk,"​Crown Commercial Service Room 1B60, Concept House, Cardiff Road,",,Newport,"NP10 8QQ",Wales,,,"CCIS17B27 - Check Point Firewall Suppport, redacted contract.pdf ",,,01/07/2017,30/06/2020,25/05/2017,NO,,Yes,No,No,Services,1721382.65,,30/06/2017,1721382.65,"[Computacenter (UK) Ltd|Hatfield Avenue, 
Hatfield Business Park, 
Hatfield, 
Hertfordshire, 
AL10 9TW.|||No|No]",,01/07/2017,30/06/2020,"Other ",
CCSO17A66.,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2017-04-26T14:59:55Z,"Award of contract for the Provision of an MS Enterprise Agreement - Redacted","Redacted Award Letter for Award of contract for the Provision of an MS Enterprise Agreement",,SA67JL,,"48000000 ","Steven Lewis",Steve.lewis@crowncommercial.gov.uk,"CCS, Concept House, Cardiff Road,",,Newport,"NP10 8QQ",Wales,07909856691,,"Provision of an MS Enterprise Agreement - Redacted.pdf ",,,20/03/2017,19/03/2020,06/03/2017,NO,,Yes,No,No,Services,3797923.09,,19/03/2017,3811923.09,"[Comparex UK Ltd|The Hawk Creative Business Park,
The Hawkhills Estate,
Easingwold,
York,
YO61 3FE|||No|No]",,20/03/2017,19/03/2020,"Other ",
BFDMDC001-DN492396-39507172,Contract,"Bradford Metropolitan District Council",Awarded,2020-08-21T11:38:09Z,"Tender for Electronic Redaction Software","The full specification and details of how to respond to the tender can be found on www.yortender.co.uk reference DN492396.

City of Bradford Metropolitan District Council (the Council) is seeking to appoint a suitably experienced and qualified Provider (the Provider) to deliver a redaction software product.
The proposed contract will be for an initial duration of three (3) years with a possible two (2) twelve (12) month extensions. The Council reserves the right to amend the scope of the support requirement for the extension period. 
The procurement of the software is to be initially used by the Department of Corporate Resources to irreversibly block out selected data including confidential and sensitive information when dealing with Subject Access Requests or other documentation.  This could be from electronic files and documents in varying formats.  However, this may be rolled out to other Departments who require the same facility. 

The current redacting process being used by Officers is a manual one.  Documents are redacted using a redacting pencil or via the paint function on word.  Documents are then printed out and re-scanned prior to disclosure to ensure the redacted information cannot be viewed or reversed in any way.  This is currently a resource intensive and cumbersome process considering the Council only have one month to respond to a request. If a case requires a vast amount of redacting, the manual process is very time consuming.
",,,England,"72000000 ","Catherine Mullins",catherine.mullins@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX","United Kingdom",,http://www.bradford.gov.uk/bmdc,,,,07/11/2020,06/11/2023,21/09/2020,NO,,Yes,No,No,Services,25000,,03/11/2020,32500,"[OLM Systems Limited|TW11 9AA|NONE||Yes|No]","Ms Aagna Trivedi",10/11/2020,06/11/2023,"Open ",,13:00
CCLL20A11.,Contract,"Cabinet Office : Cabinet Office",Awarded,2020-10-23T15:54:07Z,"Urgent Covid-19 Legal Analysis and Support REDACTED","The purpose of this requirement is to procure the legal advice and legal support for the REDACTED, to act for the customer, should it decide to REDACTED",,,London,"79100000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,,,,26/06/2020,25/03/2021,22/05/2020,NO,,No,No,No,Services,950000,,23/06/2020,950000,"[Slaughter & May|One Bunhill Row EC1Y 8YY London England|COMPANIES_HOUSE|00785646|No|No]",,26/06/2020,25/03/2021,"CallOffFromFrameworkAgreement ",,00:00
"700033295 (DInfoCom/0100)",Contract,"MINISTRY OF DEFENCE",Awarded,2020-02-14T08:47:09Z,"Provision of APC Redaction Tool","1.	The current approach to meeting legislative demands on disclosures is inefficient resulting in a need to improve processes that enable delivery of Subject Access Requests (SAR) making them compliant with mandated timelines for response. Redaction of documents in hard(paper) and electronic copy is very manpower intensive which adds significant delay to meeting the deadlines. Reducing the time to conduct redaction is viewed as the priority action that can deliver greatest improvement to the SAR process.  Failure to meet their legislative timelines could result in serious reputational damage and significant financial penalties for non-compliance with DPA18. APC Glasgow is currently failing to meet the legislative timelines and the Army and/or MOD could face Information Commission Office (ICO) penalties and special measures.",,,Scotland,"72000000 ","Nigel Rummey",nigel.rummey399@mod.gov.uk,"Army Headquarters","Monxton Road",ANDOVER,"SP11 8HJ",England,"01264 887545",,,,,06/01/2020,29/02/2020,29/11/2019,NO,,Yes,No,No,Services,27427.5,,09/12/2019,27427.5,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|Yes|No]","Katy Atkinson",06/01/2020,29/02/2020,"CallOffFromFrameworkAgreement ",
