"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"Chest Contract Ref: DN287677",Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-10-29T14:33:52Z,"ITT For The Provision Of External Audit Services","Rochdale Boroughwide Housing Limited (RBH) is seeking to appoint External Auditors for the RBH Group and we would like to invite companies to submit a proposal. The first year of the appointment will cover the 2017-18 accounts.

Please note the all documentation and communication is only available via www.the-chest.org.uk the registration process is free.",,,"North West","79210000 ","Stephen Camm",rbh.procurement@rbh.org.uk,"Sandbrook House,Sandbrook Way",,Rochdale,"OL11 1RY",England,,www.rbh.org.uk,,"www.the-chest.org.uk ","Please note that supplier must register on the chest portal to access tender documentation, this process is free.",02/10/2017,01/10/2020,11/08/2017,YES,"Chest Contract Ref: DN287677",Yes,No,No,Services,50000,75000,04/09/2017,70000,"[BDO LLP|55 BAKER STREET
LONDON
W1U 7EU
GB|COMPANIES_HOUSE|0|No|No]","Elena Tapis",02/10/2017,01/10/2020,"Open ",
DN307158,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-10-29T14:10:18Z,"For the Provision of Tax Services","Rochdale Boroughwide Housing Limited is seeking to appoint External Tax Advisors for the RBH Group.",,,"North West","79221000 ","RBH Procurement",rbh.procurement@rbh.org.uk,"Sandbrook House","Sandbrook Way",Rochdale,"OL11 1RY",England,,www.rbh.org.uk,,,"As this is restricted RFQ procedure documentation will only be accessible to suppliers selected to take part in this quotation exercise.",01/04/2018,31/03/2022,04/12/2017,YES,DN307158,Yes,No,No,Services,40000,,30/03/2018,32000,"[ERNST & YOUNG LLP|1 More London Place
LONDON
SE1 2AF
GB|COMPANIES_HOUSE|OC300001|No|No]","Penny Caselberg",01/04/2018,31/03/2022,"Other Restricted RFQ Procedure",
DN181459,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-10-29T12:18:48Z,"ITT for the Provision of an Out of Hours Call Handling Service for the RBH Repairs Service","Rochdale Boroughwide Housing (RBH) is responsible for providing an out of hours (OOH) emergency repair service to its customers, which is accessible, efficient and effective. The purpose of this tender is to engage with a provider who can manage the call handling of emergency repairs reported between the hours of 17.00 & 08.00 (Mon-Fri) & 24 hours (Sat - Sun) every week throughout the year including Bank Holidays.",,,"North West","79510000 ","Steven Hark",steven.hark@rbh.org.uk,"Sandbrook House","Sandbrook Way",Rochdale,"OL11 1RY",England,01706-274271,www.rbh.org.uk,,,"Please register your interest on the Chest portal to access the ITT document.",03/04/2017,02/04/2018,13/01/2017,YES,DN181459,Yes,No,No,Services,10000,60000,14/02/2017,38000,"[Community Gateway Association|Harbour House, 
Port Way, Preston, 
Lancashire, 
PR2 2DW|COMPANIES_HOUSE|0029838IP|No|No]",,03/04/2017,02/04/2018,"Open ",
DN471932,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2020-09-30T13:10:05Z,"ITT for the provision of lift maintenence and servicing","The Company

Rochdale Boroughwide Housing (RBH) is the United Kingdom's first tenant and employee co-owned Mutual Housing Society, with over 13,500 homes throughout the local area. In addition, RBH owns and manages 53 passenger lifts at locations throughout the borough of Rochdale. 
By working together we provide better places for our members, tenants and employees to live and work.
Drawing on the area's rich co-operative heritage, our pioneering model places members at the heart of decision-making, allowing everyone to enjoy a sense of security and belonging in places we make great together.

Location of the Contract

The servicing and repair activities shall be undertaken at various properties as set out in Appendix 5 (RBH Lift Pricing Schedule).",,,"North West","42416100 ","RBH Procurement Team",rbh.procurement@rbh.org.uk,"Sandbrook House","Sandbrook Way",ROCHDALE,"OL11 1RY",England,"01706 273726",www.rbh.org.uk,,"www.the-chest.org.uk ","Please note the tender documentation will be available from the 30th of March 2020. 

Please access the tender on the above link.

Also please note that all correspondence must be via the chest portal.",03/08/2020,02/08/2022,01/05/2020,NO,,Yes,No,No,Services,170000,,23/06/2020,171420,"[CALEDONIAN LIFT SERVICES LIMITED|Unit 1 8 Regency Way
ML1 4HR
GB|COMPANIES_HOUSE|0|Yes|No]",,03/08/2020,02/08/2022,"OpenOJEU ",,12:00
DN387828,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-10-29T12:05:25Z,"ITT For the Provision of an Out of Hours Call Handling Service for the RBH Repairs Service","Scope of Service for This Tender
Rochdale Boroughwide Housing (RBH) is responsible for providing an out of hours (OOH) emergency repair service to its customers, which is accessible, efficient and effective. The purpose of this tender is to engage with a provider who can manage the call handling of emergency repairs reported between the hours of 17.00 & 08.00 (Mon-Fri) & 24 hours (Sat - Sun) every week throughout the year including Bank Holidays.",,,"North West","79512000 ","Stephen Camm",rbh.procurement@rbh.org.uk,"Rochdale Boroughwide Housing Ltd","Sandbrook House, Sandbrook Way",ROCHDALE,"OL11 1RY",England,"01706 273726",www.rbh.org.uk,,"www.the-chest.org.uk ","Please note  that all correspondence must take place via the chest portal (www.the-chest.org.uk).

Also note that registration to this portal is free of charge and suppliers must be registered to access the tender documentation.",01/05/2019,30/04/2020,18/02/2019,YES,DN387828,Yes,No,No,Services,20000,,18/04/2019,41000,"[community Gateway association|Harbour House
Portway 
Preston
PR2 2DW|COMPANIES_HOUSE|IP29838|No|No]",,01/05/2019,30/04/2020,"OpenNonOJEU ",
DN306191,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-07-25T10:59:00Z,"For the Provision of a HR and Payroll System","First Choice Homes Oldham and Rochdale Boroughwide Housing are inviting tenders for the provision of a Hosted People and Organisational Development system that would provide:

• HR 
• Payroll & GMPF Pensions administration 
• Learning and Organisational Development",,,"North West","48450000 79631000 ","rbh procurement team",rbh.procurement@rbh.org.uk,"Sandbrook House Sandbrook Way",,Rochdale,"OL11 1RY",England,,www.rbh.org.uk,,,"Electronic Tender Submission via 'The Chest'
This ITT Documentation has been obtained via The Chest. If further information regarding the use of The Chest is required or if there are any problems using The Chest, please contact the RBH Procurement  Department by Email: rbh.procurement@rbh.org.uk   Tenderers must complete an electronic submission via The Chest. Details of how to do this will be made available to Tenderers on the portal, the address of which is www.the-chest.org.uk 
Tenderers should note that the uploading process when submitting a Tender via The Chest may take some time. Tenderers should therefore start this process in sufficient time to allow for the complete uploading of their Tender submission by the tender return time and date.",01/05/2018,30/04/2022,01/12/2017,YES,DN306191,Yes,No,No,Services,300000,,22/06/2018,380241,"[MidlandHR|Ruddington Hall, 
Ruddington, 
Nottingham, 
Nottinghamshire, 
NG11 6LL, 
United Kingdom|COMPANIES_HOUSE|1852206|No|No]",,01/07/2018,30/04/2022,"OpenOJEU ",
"2018/S 204-466890",Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-01-17T15:04:04Z,"ITT For The Provision of Grounds Maintenance Equipment (Lease)","The Neighbourhood Environment Team
In 2015 RBH decided to bring the ground maintenance service in-house from Rochdale Council. Since then RBH have been reviewing the service that we provide and how we provide it. 
RBH renamed the service to Neighbourhood Environment Team and merged the grounds maintenance service and caretaking service into one service area.  RBH currently maintain 1,000,000 m² of land and have 13,000 properties throughout the Borough of Rochdale. RBH owned land and communal areas are maintained and cleaned over a two-week rolling period.
Throughout the summer months RBH employ 53 operatives that is reduced to 45 during the winter period. As well as maintaining grassed areas and shrubs/bushes RBH are responsible for clearing all garage sites, pathways, play areas and drying areas and communal seating areas.
Having reliable gardening equipment and as little downtime as possible is crucial for RBH in keeping our promise to our tenants of a better place to live and work in Rochdale. 
Tender documents are available to download from:
www.the-chest.org.uk Project Reference Number:  DN372365",,,"North West","43325100 ","Stephen Camm",rbh.procurement@rbh.org.uk,"Sandbrook House","Sandbrook Way",ROCHDALE,"OL11 1RY",England,"01706 273726",www.rbh.org.uk,,"www.the-chest.org.uk ","To be considered, tenderers must complete and return all Sections of this ITT document.
 Tenderers must complete and return all of the required information in the tender by the tender return time and date at 12 Noon on the 26th November 2018. 
 An electronic Tender submission must be submitted via The Chest. RBH reserves the right to reject any Tender that fails to comply with the submission requirements set out in this ITT.
 Please do NOT e-mail your tender submission to RBH.
 Electronic Tender Submission via 'The Chest', the address of which is www.the-chest.org.uk 
 Tenderers should note that the uploading process when submitting a Tender via The Chest may take some time. Tenderers should therefore start this process in sufficient time to allow for the complete uploading of their Tender submission by the tender return time and date.",01/03/2019,28/02/2021,26/11/2018,YES,"2018/S 204-466890",Yes,No,No,Services,150000,,12/12/2018,0,"[Gibson Garden Machinery|GGM Regent House, Whitewalls industrial estate, Colne, Lancashire BB8 8LJ|NONE||No|No]","Andy Melville",01/03/2019,28/02/2021,"OpenOJEU ",
RBH001-DN227440-74634757,Contract,"Rochdale Boroughwide Housing",Awarded,2017-04-10T14:54:06Z,"For the Provision of the Services of an Architect to Carry Out a Masterplanning Exercise for Rochdale Town Centre","The purpose of this RFQ is to identify and engage with an appropriate Masterplanner to carry out a masterplanning and initial option appraisal exercise for Rochdale town centre flats as part of our work to improve the quality of homes and social justice agenda in central Rochdale.",,,"North West","71000000 73000000 ","Madeeha Noreen",madeeha.noreen@rbh.org.uk,"Rochdale Boroughwide Housing","Sandbrook Park, Sandbrook Way",Rochdale,"OL11 1RY",England,"+44 1706273778",http://www.rbhousing.org.uk/,,,,19/12/2016,31/03/2017,12/12/2016,NO,,Yes,No,No,Services,60000,60000,19/12/2016,60000,"[Levitt Bernstein Associate|1 Kingsland Passage, LONDON, Greater London, E8 2BB, United Kingdom|||No|No]",,04/01/2017,31/03/2017,"Open ",
"RBH Chest Project ID:DN231652",Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2019-10-29T15:20:58Z,"ITT For the provision of emergency out of hours drainage repair service","RBH aims to deliver an efficient, effective and value for money responsive repairs service that complies with all relevant legislative and regulatory requirements. The service is one of our most important functions as a landlord and we aim to deliver the service to a high standard which meets the needs of our tenants.
We provide the majority of our maintenance services in house and currently have an in house drainage team. However the in house team do not presently cover call outs between 5.00pm and 8.00am Monday to Friday, Bank Holidays and the Christmas shutdown period therefore we are looking to procure a drainage contractor to provide an out of hours service during these periods.

Access to the tender documentation will be available to download from the following site: www.the-chest.org.uk. The registration process is free. The tender will be advertised on the 9th of January 2017 at 9am and the tender document submission deadline is the 9th of February 2017 at 5pm.",,,"North West","45111214 45111220 45111240 45111250 90733500 ","Stephen Camm",RBH.procurement@rbh.org.uk,"Rochdale Boroughwide Housing","Sandbrook house Sandbrook Way",Rochdale,"OL11 1RY",England,,www.rbh.org.uk,,,,06/03/2017,05/03/2020,09/02/2017,YES,"RBH Chest Project ID:DN231652",Yes,No,No,Services,100000,150000,27/02/2017,100000,"[BUILDING HAPPY HOMES LIMITED|73 King Street
MANCHESTER
M2 4NG
GB|COMPANIES_HOUSE|08689479|No|No]","Carl McCann",06/03/2017,05/03/2020,"Open ",
DN441366,Contract,"ROCHDALE BOROUGHWIDE HOUSING LIMITED",Awarded,2020-02-13T09:48:50Z,"ITT For The Provision Of Quantity Surveyor Services","The proposed works comprise of (in part) the refurbishment of RBH housing stock approximately 12,800 homes of mixed tenure to comply with Decent Homes Standards and include replacement windows and doors, replacement kitchens and bathrooms, replacement heating and re-wiring, environmental improvement works and other major improvements. The works will comprise of individual 'mini-projects' ranging in value between £20,000 and £1,300,000 and for the purpose of the fee proposal the Consultant will provide Quantity Surveying services to all projects, including the validation of project costs for works completed by the in-house contracting team.

tender documents are available to download from 
www.the-chest.org.uk",,"OL11 1RY",,"71324000 ","Stephen Camm",rbh.procurement@rbh.org.uk,"Sandbrook House Sandbrook way",,ROCHDALE,"OL11 1RY",England,"01706 273726",www.rbh.org.uk,,"www.the-chest.org.uk ","Please note that the tender process has stated and all communication must be via www.the-chest.org.uk",03/02/2020,30/04/2021,05/12/2019,YES,DN441366,Yes,No,No,Services,150000,,10/02/2020,225000,"[POOLE DICK ASSOCIATES LIMITED|Unit C1, Waterfold Park
BURY
LANCASHIRE
BL9 7BR
GB|COMPANIES_HOUSE|01477221|No|No]","Andrew Bayley",10/02/2020,30/04/2024,"OpenOJEU ",
