"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
SOMRTD001-DN474876-38519466,Contract,"Somerset County Council",Awarded,2020-10-06T13:04:33Z,"Provision of Customer Services Level 2 Apprenticeship for SEND learners","As part of Somerset County Council's (SCC) Apprenticeship Programme, a procurement exercise is required to contract with a training provider to deliver a new training cohort for 6-15 SEND apprentices in 2020. The cohort would be studying a Level 2 Customer Service Practitioner apprenticeship.",,,"South West","80000000 ","Iain Copeland",ICopeland@somerset.gov.uk,"County Hall",,Taunton,"TA1 4DY","United Kingdom",,https://www.supplyingthesouthwest.org.uk,,,,01/09/2020,30/11/2021,25/06/2020,NO,,Yes,No,No,Services,45000,,24/08/2020,45000,"[Royal Mencap Society|123 Golden Lane, London, EC1Y 0RT|NONE||No|No]",,01/09/2020,30/11/2021,"Other ",,12:00
"WP3508 - AWARD",Contract,"Walsall Council e-Tendering",Awarded,2020-01-21T16:37:26Z,"WP3508 -Advocacy for Parents with Disabilities - AWARD","The Council wishes to commission an organisation to deliver a borough wide service that will support parents who have a learning disability, and / or a physical/sensory disability, and / or Autistic Spectrum Disorder (ASD)
      
      The service will provide support to individuals with a disability who may require advocacy or information.  The service will provide emotional and practical support aimed at those identified as short term crisis, Walsall Parents, with a disability, involved with the child protection service. 
",,"WS1 1TP","West Midlands","85000000 ","Julie (Procurement) Jones",julie.jones2@walsall.gov.uk,"Darwall Street",Walsall,"West Midlands","WS1 1TP","United Kingdom","01922 654329",https://www.walsall.gov.uk/,,,,01/04/2020,31/10/2021,11/11/2019,NO,,No,Yes,No,Services,0,,21/01/2020,0,"[Royal Mencap Society|Units 28 & 29 Centurion House, Anson Court, Stafford, United Kingdom, ST18 0GB|NONE||No|No]","Richard Ellis",01/04/2020,31/10/2021,"Open ",
NPSBARNS001-DN440144-00337540,Contract,"Barnsley Metropolitan Borough Council",Awarded,2019-10-07T09:13:40Z,"Pathways to Employment","Enabling support for people to access and retain employment.",,,"Yorkshire and the Humber","85000000 98000000 ",,Procurement@barnsley.gov.uk,"Westgate Plaza One",Westgate,Barnsley,"S70 2DR","United Kingdom",,https://www.yortender.co.uk,,,,01/04/2019,31/03/2020,28/03/2019,NO,,Yes,Yes,No,Services,55186,,29/03/2019,55186,"[Royal Mencap Society|EC1Y 0RT|NONE||No|No]",,01/04/2019,31/03/2020,"Other ",
cc2e494d-9c00-4163-92b4-305d37629a56,Contract,"Barnet and Southgate College",Awarded,2019-06-21T15:00:21Z,"CA6224 - Barnet and Southgate College - Supported Employment and Job Coaching Services","Barnet and Southgate College - Supported Employment and Job Coaching Services

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA6224.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA6224 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"N14 6BS","Any region","80570000 ","Scott Salmon",support@multiquote.com,"High Street",Southgate,London,"N14 6BS",England,"0151 482 9230",https://suppliers.multiquote.com,,,,01/09/2019,31/08/2022,01/09/2019,NO,,Yes,No,No,Works,0,,30/01/2020,340000,"[Royal Mencap Society|123 Golden Lane, , London, EC1Y 0RT|NONE||No|No]","Linsay McCulloch",01/09/2019,31/08/2022,"Open ",
WILTS001-DN377195-18943624,Contract,"Wiltshire Council",Awarded,2019-03-21T14:54:02Z,"AC0679 - Corsham Flats - New Service for LD Care and Support","Wiltshire Council is working with Residential Social Landlords and housing providers to develop a range of accommodation options for people with disabilities, who want to live in Wiltshire. The vision is that this accommodation should be in line with generic housing, the same as is designed for the population in general, with the minimum of adaptions or ""special"" features required.Each individual customer will have their needs assessed and a range of care providers will be approached to provide the care and support needed. This is completed through a tendering process and providers are awarded the contract for support based on their ability to meet the customer's outcomes which will be clearly specified in their support plan.  Customers will also have the option to receive a Direct Payment and to choose their own service provider. These services will be regularly monitored by the Specialist Commissioning team to ensure service quality",,"SN13 9LA","Any region","85000000 98000000 ","Jill Thomas",jill.thomas@wiltshire.gov.uk,"County Hall","Bythesea Road",Trowbridge,"BA14 8JN","United Kingdom","+44 1225712726",http://www.wiltshire.gov.uk/,,,,25/01/2019,24/01/2020,12/12/2018,NO,,Yes,No,No,Services,288000,288000,04/01/2019,288000,"[Royal MENCAP Society|Oak House, Epsom Square, White Horse Business Park, Trowbridge, BA14 0XG|NONE||No|No]","Chris Chalkley",25/01/2019,24/01/2020,"Restricted ",
BFDMDC001-DN348647-35496584,Contract,"Bradford Metropolitan District Council",Awarded,2018-08-07T08:30:53Z,"Provision of the Gig Buddies Services","A provider to deliver a Gig Buddies project matching people with learning disabilities and autism with a volunteer who loves the same kind of activity so they can go together.",,,"Yorkshire and the Humber","85000000 92000000 98000000 ","Leonora Heyes",leonora.heyes@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX","United Kingdom","+44 1274437088",http://www.bradford.gov.uk/bmdc,,"https://procontract.due-north.com/Advert?advertId=6cd19f05-0276-e811-80ed-005056b64545 ",,01/09/2018,31/08/2021,13/07/2018,NO,,Yes,Yes,No,Services,96000,96000,03/08/2018,96000,"[Royal Mencap Society|123 Golden Lane, London, ECIY 0RT|NONE||No|No]",,01/09/2018,31/08/2021,"Open ",
"AS11730 - ASD00165.3.C.YAEC - LOT 2 (Basingstoke)",Contract,"HAMPSHIRE COUNTY COUNCIL",Awarded,2018-05-01T15:39:51Z,"Younger Adults Extra-care - LOT 2 (Basingstoke)","The services have been procured through a mini-competition procurement exercise, the services for Lot 2 (Basingstoke) tendered as a single contract lot, the contract being a call-off contract from a framework, specifically the Hampshire Framework for Shared Living and Learning Disability Support. For Lot 2 (Basingstoke) the initial contract term will be 3 years, with scope at the Council's discretion for 2 additional extension periods each of up to 2 years. Organisations were able to bid for as many of the 4 lots that were tendered as they wished, but could only be awarded a maximum of one contract. The Basingstoke specialist housing younger adults extra care scheme will be an accommodation based supported living scheme delivering a range of social care and support activities to people with learning disabilities and physical disabilities, health conditions and high levels of physical care needs. Those living at the scheme will be younger adults, ordinarily aged 18 and over, assessed as eligible for social care under the Care Act 2014, and who have an on-going need for the minimum level of support provided at the scheme. The accommodation is being built by Hampshire County Council (The Council) and consists of 2 semi-detached bungalows each with 3 bedrooms. The scheme will support service users to manage and maintain their tenancies and to access their local community and its resources. Service users will be supported to have as much choice and control of their lives as possible, and to maximise their skills within their capabilities. The core of the service delivery will be about positive risk taking, positive behaviour support and least restrictive practice. There will also be a focus on excellent support from staff and management of the scheme. The following is the expected range of support levels that will be required depending on the specific needs of the individuals who move in to the scheme:
Day time hours: Anticipated core hours: Between 210 - 315 hours each week. Additional 1:1 hours: Up to 315 hours each week.
Night support: Waking night: Up to 2 waking night staff each night. Sleep in support: Up to 1 sleep in staff each night.",,,"South East","85000000 ","Simon Crouch",as.contracts@hants.gov.uk,"The Castle",,WINCHESTER,"SO23 8UJ",England,"01962 847191",,,,,16/04/2018,15/04/2021,11/01/2018,NO,,Yes,Yes,No,Services,4572172.5,,14/03/2018,4572172.5,"[Royal Mencap Society|123 Golden Lane
London
EC1Y 0RT
United Kingdom|COMPANIES_HOUSE|00550457|No|No]",,16/04/2018,15/04/2021,"CallOffFromFrameworkAgreement ",
RD1000657,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2018-01-11T08:48:01Z,"Contract to support access to employment for young people with special educational needs and disabilities (SEND).","On 1 September 2014, Part 3 of the Children and Families Act 2014 took effect, offering simpler, improved and more consistent help for children and young people in England with special educational needs and disabilities (SEND). 
The new system is:
•	replacing statements of SEN and learning disability assessments with Education, Health and Care (EHC) plans - setting out in one place all the support families will receive;
•	requiring councils to publish a 'local offer' showing the support available in the area to all children and young people who have disabilities or SEN;
•	requiring better co-operation between councils and health services to make sure services for children and young people with SEN and disabilities are jointly planned and commissioned;
•	giving parents and young people with EHC plans the offer of a personal budget;
•	introducing mediation for disputes; and 
•	introducing a legal right for children and young people with an EHC plan to express a preference for state academies, free schools and further education colleges.

On 26 January 2016, the Children's Minister Edward Timpson, announced a package of additional support for implementation of the SEND reforms in England during 2016-17.  This included: 
o	£35.8 million in implementation funding for local authorities in 2016 to 2017, recognising the additional duties placed on them as a result of the transition to EHC plans 
o	£27.3 million for the Family Fund Trust to support low income families with disabled children 
o	£15 million to fund the independent supporters programme, helping to support families and young people to navigate the system, and creating positive experiences for them 
o	£2.3 million for Parent Carer Forums, which bring parents together to provide invaluable support and advice for families
To complement this programme of delivery support, the Government is now seeking applications for a new contract in 2017-18 to improve access to employment for young people with special educational needs and disabilities (SEND).  
Some of the key requirements for the contract are provided at Annex A.  Further information is contained within the Invitation to Tender documentation.  To request a copy of the documentation, please e mail the contracts mailbox at: Contracts2017-18.SEND@education.gov.uk, quoting the contract title and reference number.  In the subject line of your e mail, please include the words 'Request for ITT documentation'.  

See 'Attachments' for  a word version of the advert which includes links to other documents.",,,"Any region","85300000 ","Angela Overington",Contracts2017-18.SEND@education.gov.uk,"Department for Education, 0-25 SEND Unit Level 1, Sanctuary Buildings, Great Smith Street",,London,"SW1P 3BT",England,,,"1391 Contract to support access to employment for young people with special educational needs and disabilities (SEND)..docx 1391-97 ITT Questions and Answers.docx ",,"The maximum estimated value of this contract is up to £300,000 over the 12 month period, inclusive of VAT.

Deadline for receipt of tenders (time and date): 

Three hard copies of all completed tenders must be received by Angela Overington no later than 10.00am on Monday 30 January 2017 at:

The Department for Education 
0-25 SEND Unit 
Level 1, Sanctuary Buildings 
Great Smith Street 
London SW1P 3BT

An electronic PDF version must also be submitted no later than 10.00am on 
Monday 30 January 2017 to the contracts mailbox at: 
Contracts2017-18.SEND@education.gov.uk

There may be an option to extend this contract for up to two additional years depending on the contractor's performance, the availability of funds and an ongoing need for the services provided.",01/04/2017,31/03/2018,30/01/2017,YES,"CSEC (SEND) 17-18/05",Yes,Yes,No,Services,300000,,31/03/2017,359924,"[Royal Mencap Society|123 Golden Lane
London
EC1Y 0RT|||No|No]",,01/04/2017,31/03/2018,"Open ",
ASD00165.3.C.Bordon,Contract,"HAMPSHIRE COUNTY COUNCIL",Awarded,2017-09-08T14:52:49Z,"Bordon Accommodation Based and Community Learning Disability Support Service","Bordon Accommodation Based and Community Learning Disability Support Service will deliver a range of care and support activities to people with learning disabilities, Autism Spectrum Conditions and other assessed social care needs across Hampshire. Support will be delivered in a variety of settings, including service user accommodation and community settings, to enable service users to reduce their dependency on paid support.

The contract is expected to start week commencing 2nd October 2017. The initial term will end 1st October 2020.

At the end of the initial term there will be an option, at the Council's sole discretion, to extend the contract for a further period not exceeding 2 years, with an option to extend the contract for an additional period after that not exceeding 2 years, giving a maximum contract length of 7 years in total (3+2+2).",,,"South East","85300000 ",,ed.redman@hants.gov.uk,"The Castle",,Winchester,"SO23 8UJ",England,,,,,,02/10/2017,01/10/2020,04/08/2017,NO,,Yes,No,No,Services,2788124.2,6505623.13,23/08/2017,6505623.13,"[Royal Mencap Society|123 Golden Lane,
London,
EC1Y 0RT|||No|No]",,02/10/2017,01/10/2020,"CallOffFromFrameworkAgreement ",
ROTHMBC001-DN217990-30554944,Contract,"Rotherham MBC",Awarded,2017-07-27T09:40:37Z,"16-085 Day Opportunities for Adults with Disabilities","The primary objective of the Day Opportunities Service is to support Service Users to achieve the individual outcomes identified by the process of Community Care Assessment and Support Planning and agreed with Service Users, family carers and their advocates.
The Day Opportunities Service will be accessed by adults requiring specialist support and have learning disabilities, sensory impairment, autistic spectrum disorders, multiple physical disability, complex needs (including complex behavioural issues), epilepsy, dementia and additional mental ill health (associated with any of the described categories). Individuals with acquired brain injury may where appropriate be referred to the service.
Day opportunities include a wide range of group and individual activities. They may take place in a specific building, and include support to access universal facilities. Day opportunities will usually take place away from the home environment and will promote social interaction and opportunities to be as independent as possible while people pursue their interests and take part in meaningful activities. Service Users will be supported in a number of different areas including activities to meet and make friends and use leisure and recreational facilities, education, volunteering, paid supported employment and social enterprise activity.
The Council wishes to establish a Framework Agreement to secure a range of Day Opportunities Services. Contractors commissioned to deliver against this service specification are appointed to a Framework Agreement with the Council. We expect each Contractor appointed to the Framework to demonstrate in detail how they can deliver a quality Day Opportunities Service.
The Council does not guarantee the volume or right to any business or referrals under this Framework Agreement.
The Council will 'call off' from the Framework Agreement with defined volumes of service and according to the individual Service User requirements defined in a Support Plan.The opportunity to become an approved provider under this framework agreement is open to a range of providers capable of delivering skilled support which may include personal care for adults who are aged 18 and over.
This tender is separated into 2 lots:
-
Lot 1 - Building based services
-
Lot 2 - Community based - outreach services
Tenderers are not restricted to applying for 1 Lot.
Incumbent Contractors who are successful at the point of tender award will retain their existing Service Users.
Estimated value £950,000 per annum. However this does not carry any guarantee of turnover and any estimated volumes of business are indicative and may vary upwards or downwards depending on actual future needs.
The current providers of this service consider that the European Community Acquired Rights Directive (77/187/EEC, as amended by Directive 98/50EC and consolidated in Directive 2001/23/EC)",,,"Yorkshire and the Humber","85000000 98000000 85320000 ","Lorna Byne",lorna.byne@rotherham.gov.uk,"Riverside House","Main Street",Rotherham,"S60 1AE",UK,"+44 1709334159",http://www.rotherham.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=ca0810b9-a2a6-e611-8116-000c29c9ba21 ",,01/01/2017,31/03/2020,15/12/2016,NO,,No,Yes,No,Services,950000,950000,21/02/2017,950000,"[Royal Mencap Society|123 Golden Lane, London, EC1Y 0RT|||No|No][Avalon|6 Grove Park Court, Harrogate, North Yorkshire, HG1 4DP|||No|Yes][Sense|101 Pentonville Road
London N1 9LG|||Yes|No][Autism East Midlands|Unit 31 Crags Industrial Estate, Morven Street, Creswell, Worksop. Nottinghamshire S80 4AJ|||No|No]","Ms Emily Bagnall",01/04/2017,31/03/2020,"Open ",
S67001718Q1,Contract,"South Tyneside Council",Awarded,2017-07-12T11:32:51Z,"Independent Supported Living Services for Adults Call Offs","This contract award relates to 20 individual call-offs made under the framework for the provision of independent supported living services for adults during the 3 month period 1 April 2017 - 30 June 2017",,,"North East","98000000 ","Karen Dixon",karen.dixon@southtyneside.gov.uk,"Hawthorne Building,","Viking Industrial Estate",Jarrow,"NE32 3DP",England,"07585 966533",,,,,01/04/2017,30/09/2020,31/03/2017,YES,S6700,Yes,No,No,Services,1036735,,31/03/2017,1036735,"[Royal Mencap Society|EC1Y 0RT|||No|No][Flexible Support Options LTD|NE29 7SF|||No|No][Lifeways Community Care|Suite 2R, North Sands Business Centre, Liberty Way, Sunderland, SR6 0QA|||No|No][Ashdown Care Homes Ltd|5 Ladyrigg, Darras Hall, Ponteland, Newcastle upon Tyne.NE20 9QS|||No|No]",,01/04/2017,30/09/2020,"Other ",
