"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
RM1557vii,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2018-02-19T11:43:59Z,"Stone Cloud Managed Wireless Networks - Manchester","Stone Cloud Managed Wireless Networks
Stone Infrastructure-as-a-Service for Manchester Building, comprising Cloud Access Points; Cloud Security Appliance and Cloud 24p Switch
Stone Professional Services for Manchester Building, comprising Removal of legacy WAP's and install of Access Points; Installation of new and modification of existing data outlets; Installation of Switches with Baseline configuration; Installation of Security Appliance with baseline configuration; Cabling, patch panels, access hire and out of hours labour; Patching and testing of outlets and Installation of Double Data Points where required.",,,"North West","72000000 ",,Damian.MOONEY@education.gov.uk,"53-55 Butts Road Earlsdon Park",,Coventry,"CV1 3BH",England,,,"670 Stone Cloud Managed Wireless Networks - Manchester.contract.pdf ",,,10/11/2016,09/11/2018,28/10/2016,NO,,Yes,No,No,Services,70000,,18/10/2016,70000,"[STONE COMPUTERS LIMITED|Granite One Hundred
ST18 9AA
GB|COMPANIES_HOUSE|02658501|No|No]","Martin Ruston",10/11/2016,09/11/2018,"CallOffFromFrameworkAgreement ",
RM1557vii/1,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2018-03-13T10:39:04Z,"Stone Cloud Managed Wireless Networks for multiple DfE sites","Stone Cloud Managed Wireless Networks",,,"Any region","72000000 ",,Damian.MOONEY@education.gov.uk,"Sanctuary Buildings, Great Smith Street",,London,"SW1P 3BT",England,,,"690 Stone Cloud Managed Wireless Networks Darlington.pdf 690 Stone Cloud Managed Wireless Networks Coventry.pdf 690 Stone Cloud Managed Wireless Networks Sheffield.pdf 690 Stone Cloud Managed Wireless Networks Manchester.pdf 690 Stone Cloud Managed Wireless Networks London SB.PDF 690 Stone Cloud Managed Wireless Networks London RS.PDF 690 Stone Cloud Managed Wireless Networks Call-Off.DOCX ",,,02/11/2016,09/07/2019,21/10/2016,NO,,Yes,No,No,Services,1105000,,01/11/2016,1105000,"[Stone Computers Limited|Granite One Hundred, Acton Gate, Stafford, Staffordshire, ST18 9AA|NONE||No|No]",,02/11/2016,09/07/2019,"CallOffFromFrameworkAgreement ",
CC-EL-MD-2019-001,Contract,"Chesterfield College",Awarded,2019-10-10T14:31:57Z,"Supply of Desktop Computers","Supply of Desktop Computer Equipment to Chesterfield College.

This exercise is now concluded.

The award notice is issued pursuant to a call off  exercise for the Supply of Desktop Computers (Crown Commercial Services Framework Agreement RM3733 Technology Products 2 - Lot 1 refers)",,"S41 7NG",,"30200000 ","Ericka Lyne",lynee@chesterfield.ac.uk,"Infirmary Road",,CHESTERFIELD,"S41 7NG",England,"01246 500736",procurement@chesterfield.ac.uk,,,,01/10/2019,31/07/2021,07/08/2019,NO,,No,No,No,Products,0,200000,30/09/2019,0,"[STONE COMPUTERS LIMITED|Granite One Hundred
ST18 9AA
GB|COMPANIES_HOUSE|02658501|No|No]",,01/10/2019,31/07/2021,"CallOffFromFrameworkAgreement ",
IT18027,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-03-07T13:46:21Z,"UK SBS IT18027 HPC Super Computer Server System for STFC","This requirement is for the procurement of a super server for High Performance Computing.",,,"South East","48820000 ","IT Procurement",ictprocurement@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,"01793 86 7005",,,,,06/03/2018,25/03/2018,05/03/2018,NO,,No,No,No,Products,38466,,05/03/2018,38466,"[STONE COMPUTERS LIMITED|Granite One Hundred
ST18 9AA
GB|COMPANIES_HOUSE|02658501|No|No]","Martin Ruston",06/03/2018,25/03/2018,"CallOffFromFrameworkAgreement ",
NCL001-DN251738-19098576,Contract,"Newcastle University",Awarded,2017-06-29T12:25:57Z,"(NU/1275) RFQ for Supply of Desktop Computers for the Urban Sciences Building","Newcastle University is seeking to appoint a supplier for its bulk volume Desktop Computer requirements for its new Urban Sciences Building, based on the Science Central site. Delivery is required in July 2017, when the University will take possession of the building. This is not an exclusive contract for all PC requirements, where separate procurement activities may be required. This opportunity is only being made available to Lot 1 of the existing NDNA Desktop Computing Framework. The University reserves the right to award to more than one supplier to obtain overall best value if specifications cannot be met by one supplier",,,"North East","30213000 ","Dave Anderson",dave.anderson@ncl.ac.uk,"Newcastle University","Procurement Services, Kingsgate",Newcastle,"NE1 7RU","United Kingdom","+44 1912225360",http://www.ncl.ac.uk,,,,19/05/2017,31/07/2017,07/04/2017,NO,,No,No,No,Products,400000,400000,08/05/2017,359425,"[Stone Computers Limited|Granite One Hundred, Acton Gate, Stafford, Staffordshire, ST18 9AA|||No|No]",,19/05/2017,31/07/2017,"NotApplicable ",
NES20/07,Contract,"NORTH EAST SURREY COLLEGE OF TECHNOLOGY TRUST",Awarded,2020-07-29T15:09:09Z,"Provision of various computers & laptops","Provision of various computer and laptop hardrware",,"KT17 3DS",,"80000000 ","Paul Martin",Pmartin@nescot.ac.uk,"Reigate Road",,EPSOM,KT173DS,England,02083943146,,,,,17/08/2020,31/08/2020,22/07/2020,NO,,Yes,Yes,No,Products,199025.45,,23/07/2020,199025.45,"[STONE COMPUTERS LIMITED|Granite One Hundred
ST18 9AA
GB|COMPANIES_HOUSE|02658501|No|No]","Martin Ruston",17/08/2020,31/08/2020,"CallOffFromFrameworkAgreement ",
SDDC-AB-SH-2019-047,Contract,"Chesterfield Royal Nhs Foundation Trust",Awarded,2019-06-27T10:44:13Z,"South Derbyshire District Council - Replacement End-User-Computing (Windows 10 Rollout)","South Derbyshire District Council are seeking a supplier to refresh End-User-Computing consisting of Laptops and Tablets both with the facility to be docked at a workstation or be used away from the office.
The Council will require approximately 350 devices for delivery in May 2019. The exact make up of devices is to be determined.",,,"Any region","30200000 ","Amanda Gregory",amanda.gregory4@nhs.net,"Chesterfield Road, Calow, Heath",,CHESTERFIELD,S445BL,England,"01246 513563",,,,,12/06/2019,12/06/2021,18/04/2019,NO,,Yes,No,No,Products,0,,11/06/2019,183996,"[Stone Computers Limited|Granite One Hundred
Acton Gate 
Stafford ST18 9AA|COMPANIES_HOUSE|02658501|Yes|No]",,12/06/2019,12/06/2021,"CallOffFromFrameworkAgreement ",
MT212731,Contract,"Family Fund",Awarded,2018-07-24T17:45:04Z,"Supply of Home Computing Equipment","Family Fund is seeking a provider(s) to supply home computing equipment directly to families raising disabled or seriously ill children and young people, living in the UK.",,,"Any region","30200000 30213200 72267100 72267200 30000000 ","James Wilkie",james.wilkie@familyfund.org.uk,"4 Alpha Court","Monks Cross Drive",York,"YO32 9WN",England,"+44 1904621115",www.familyfund.org.uk,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=JUL155026 ",,01/10/2018,30/09/2021,01/01/2018,NO,,Yes,No,No,Products,2100000,,24/07/2018,2100000,"[Stone Computers Limited|Granite One Hundred, Acton Gate, Stafford, , Staffordshire|NONE||No|No]","Katherine Robinson",01/10/2018,30/09/2021,"Open ",
RD1001870,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2019-02-15T16:22:06Z,"G-Cloud Lot 3 - Cloud Support","Stone Cloud Managed Networking Support",,,"Any region","48000000 72000000 ",,Pete.Dolman@education.gov.uk,"9th Floor, 53-55 Butts Road, Earlsdon Park",,Coventry,"CV1 3BH",England,,,"867 G-Cloud Lot 3 - Cloud Support.contract.docx ",,,01/11/2018,06/05/2021,19/10/2018,NO,,Yes,No,No,Services,60000,,29/10/2018,60000,"[STONE COMPUTERS LIMITED|Granite One Hundred
ST18 9AA
GB|COMPANIES_HOUSE|02658501|No|No]","Martin Ruston",01/11/2018,06/05/2021,"CallOffFromFrameworkAgreement ",
IOW001-DN421507-36000560,Contract,"Isle of Wight Council",Awarded,2019-08-20T13:02:16Z,"Mini Desktop Computers","further competition advertised through RM3733 technology products 2 lot 1 and awarded following standstill",,,"South East","30000000 ","Jason Barrett",jason.barrett@iow.gov.uk,"County Hall","High Street",Newport,"PO30 1UD",England,"+44 1983821000",http://www.iwight.com,,,,13/08/2019,13/08/2020,29/07/2019,NO,,Yes,No,No,Products,61016,61016,12/08/2019,61016.25,"[Stone Computers Limited|Granite One Hundred, Acton Gate, Stafford|NONE||No|No]","Craig Bloor",13/08/2019,13/08/2020,"Open ",
