"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP528778743,Contract,"Derby City Council",Awarded,2020-09-24T15:00:13Z,"GB-Derby: TPPL Derby City Council NEPO HGV lot 2 - 1 x 15/16t Scarab Sweeper on DAF Chassis (5399)","TPPL Derby City Council NEPO HGV lot 2 - 1 x 15/16t Scarab Sweeper on DAF Chassis (5399)",,,"East Midlands","34921100 ","Richard Kniveton",richard.kniveton@derby.gov.uk,"15 Stores Road",,Derby,"DE21 4BD",UK,01332641514,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528778743 ",,02/01/2021,02/02/2021,08/07/2020,NO,,No,No,No,Products,141205.5,,08/07/2020,141205.5,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Hayley Oliver",02/01/2021,02/02/2021,"NotSpecified ",,00:00
BIP416324188,Contract,"Durham County Council",Awarded,2019-08-07T10:34:02Z,"GB-Durham: TPPL Durham County Council NEPO HGV lot 2 - 7 x compact sweepers 2 x 16t sweepers","TPPL Durham County Council NEPO HGV lot 2 - 7 x compact sweepers 2 x 16t sweepers",,,"North East","34921100 ","Susan Kitching",susan.kitching@durham.gov.uk,"County Hall",,Durham,"DH1 5UL",UK,03000265489,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=416324188 ",,02/11/2019,02/12/2019,06/06/2019,NO,,No,No,No,Products,952475,,06/06/2019,952475,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",02/11/2019,02/12/2019,"NotSpecified ",
"IBC/0045 - AWARD",Contract,"Suffolk Sourcing",Awarded,2017-10-02T12:34:50Z,"Purchase of Road Sweepers - AWARD","The Council will be looking to place on order with one or more tenderers for the outright purchase of a Small Road Sweeper(s) (Lot 1) and a Large Road Sweeper(s) (Lot 2).
      
      This opportunity is available in the `Current Tenders` area of portal. Interested parties are invited to express their interest to gain full access to the tender documentation.
      
      The deadline date for submissions of the tender is 12 noon on 14/07/2017. Please note late returns will NOT be permitted.
      
      The deadline for clarification questions is 4pm on 04/07/2017 which must be generated via the correspondence option on the website.",,"IP1 2DE",,"34114000 34144430 ","Karen Tucciarone",karen.tucciarone@ipswich.gov.uk,"15-17 Russell Road",Ipswich,Suffolk,"IP1 2DE","United Kingdom","+44 1473433903",https://www.ipswich.gov.uk/services/procurement-and-tendering,,,,01/10/2017,28/02/2018,14/07/2017,NO,,Yes,No,No,Products,200000,,25/09/2017,0,"[Scarab Sweepers Limited|Guardian Industrial Estate, Pattenden Lane, Tonbridge, Kent, United Kingdom, TN12 9QD|||No|No][Stock Sweepers Lmited|Unit 13, Vantage Point Business Village, Mitcheldean, Gloucestershire, United Kingdom, GL17 0DD|||No|No]","Sharon Bowden",01/10/2017,28/02/2018,"Open ",
9TDH-UA5EH2-A4DJ-SWBW63,Contract,YPO,Awarded,2015-11-18T14:19:16Z,"YPO - 000652 Specialist Vehicles - Purchase","This Framework will include the supply of specialist vehicles, typically for municipal use (e.g. refuse collection, waste management, road sweepers, gully emptiers, mobile libraries, welfare vehicles, Fire and Rescue - Pumping Appliances, Aerial Appliances & Special Appliances). The framework is designed to meet the needs of all public sector bodies and emergency services requirements. This framework may be utilised by any Contracting Authority as defined in Section 2 of the Public Contracts Regulations 2015.",,"WF2 0XE","Yorkshire and the Humber","34114000 ","David Nichols",,"Unit 41 Wakefield Business Park",,Wakefield,"WF2 0XE",UK,"+44 1924834967",,,,,19/10/2015,18/10/2019,09/09/2015,NO,,Yes,Yes,No,Products,240000000,500000000,22/10/2015,500000000,"[Scarab Sweepers Limited|Pattenden Lane, Marden, TN12 9QD, Kent|||Yes|No][Johnston Sweepers Ltd|Curtis Road, RH4 1XF, Surrey|||Yes|No][C.P Davidson & Sons Ltd|Lyons Lane, PR7 3BL, Lancashire|||Yes|No][Gowrings Moblity Group Ltd|Daytona Drive, RG19 4ZD, Berkshire|||Yes|No][Econ Engineering Ltd|Boroughbridge Road, HG4 1UE, North Yorkshire|||Yes|No][North East Truck and Van Ltd|Cowpen Bewley road, Haverton Hill, TS23 4EX, Cleveland|||Yes|No][Isuzu Truck (UK) Ltd|Isuzu House, 164 Great North Road, AL9 5JN, Hertfordshire|||Yes|No][FAUN Zoeller (UK) Limited|Bryn Cefni Industrial Estate, Llangefni, LL77 7XA, Other|||Yes|No][Crossroads Truck & Bus|Pheasant Drive, Birstall, WF17 9LR, West Yorkshire|||Yes|No][Brit-Tipp Limited|Chatterton House, Bank Hall Park, Wharf Street, WA1 2DG, Cheshire|||Yes|No][TBC Limited|50 Far Circular Road, BT71 6LW, County Tyrone|||Yes|No][Dennis Eagle Ltd|Heathcote Industrial Estate, Heathcote Lane, CV346TE, Warwickshire|||Yes|No][Londonderry Garage Limited|Londonderry, DL7 9NB, North Yorkshire|||Yes|No][WH Bence Coachworks Ltd|Great Western Business Park, Yate, BS37 5NG, Gloucestershire|||Yes|No][EUROMEC CONTRACTS LIMITED|VALLEY WAY, LE16 7PS, Leicestershire|||Yes|No][Leicester Carriage Builders|Marlow Road, LE3 2BQ, Leicestershire|||Yes|No][Treka Bus Ltd|Archer Road, Armytage Road Industrial Estate, HD6 1XF, West Yorkshire|||Yes|No][Northern Commercials|London Road, Hildenborough, TN11 8NN, Kent|||Yes|No][Ford Retail Ltd T/A Trust Ford`|Wakefield Road, S71 1NF, South Yorkshire|||Yes|No][Euro Commercials (South Wales) Ltd|Ipswich Road, CF23 9AQ, South Glamorgan|||Yes|No][James A. Cuthbertson Limited|Station Road, ML12 6DQ, Lanarkshire|||Yes|No][Lynton Trailers (UK) Ltd|Unit 16 Rossington Industrial Park, Graphite Way, SK13 1QH, Derbyshire|||Yes|No][Terberg DTS (UK) Ltd|Lowfields Way, Lowfields Business Park, HX5 9DA, West Yorkshire|||Yes|No][Bunce (Ashbury) Ltd|Ashbury, SN6 8LW, Wiltshire|||Yes|No][Tennant UK|Bankside, FK2 7XE, Stirlingshire|||Yes|No][NI Trucks Ltd|3 Mallusk Road, Newtownabbey, BT36 4PP, County Antrim|||Yes|No][O&H Vehicle Conversions|Larsen Road, DN14 6XG, East Riding of Yorkshire|||Yes|No][Terberg Matec UK Ltd|Leacroft Road, Birchwood, WA3 6PJ, Cheshire|||Yes|No][stewart commercials ltd|11 springfarm industrial estate antrim, bt41 4nz, County Antrim|||Yes|No][Nilfisk-Advance Limited|18-19 Bowerbank Way, Gilwilly Industrial Estate, CA11 9BQ, Cumbria|||Yes|No][Minibus Options Limited|Bingswood Industrial Estate, Whaley Bridge, SK23 7LY, Derbyshire|||Yes|No][EvoBus(UK) Ltd|Cross Point Business Park, Ashcroft Way, CV22TU, West Midlands|||Yes|No][Torton Bodies Limited|Pilot Works, Holyhead Road, TF2 6BB, Shropshire|||Yes|No][NTM-GB Limited|NTM House, Whitehouse Road, DY10 1HT, Worcestershire|||Yes|No][Multihog UK Limited|Units 1 - 3 Darwen Access Point, off Duckworth Street, BB3 1AT, Lancashire|||Yes|No][Romaquip|Syngefield Industrial Estate, IRE001, Other|||Yes|No][Nu-Track Ltd|Steeple Industrial Estate, BT41 1AB, County Antrim|||Yes|No][Aebi Schmidt UK Ltd|Southgate Way, Orton Southgate, PE2 6GP, Cambridgeshire|||Yes|No][Geesink Norba|Llantrisant Business Park, Llantrisant, CF72 8XZ, Other|||Yes|No][Heil Farid European Company Limited|Taxi Way, Hillend Industrial Estate, KY11 9ES, Fife|||Yes|No][DAF TRUCKS LIMITED|EASTERN BYPASS, OX9 3FB, Oxfordshire|||Yes|No][General Motors UK Limited t/a Vauxhall Motors|Griffin House, UK1-101-135, Osborne Road,, LU1 3YT, Bedfordshire|||Yes|No][Rosenbauer UK plc|Unit 6&7 Brockholes Business Park, Rockmill Road, HD9 7BN, West Yorkshire|||Yes|No][Hako Machines Limited|Crick Industrial Estate, Eldon Close, NN6 7UD, Northamptonshire|||Yes|No][Whale Tankers Limited|Ravenshaw, B91 2SU, West Midlands|||Yes|No][Allan Fuller Ltd|Sedbury Works, Sedbury, NP16 7YE, Gwent|||Yes|No][Castlereagh Motors Ltd|Cedarhurst Road, off beechill Road,  Newtownbreda, BT8 7RH, County Antrim|||Yes|No][MAN Truck and Bus UK Limited|Frankland Road, Blagrove, SN5 8YU, Wiltshire|||Yes|No][Garwood Europe Limited|Garwood House, Calcott Lane, Bicton Heath, SY3 8EZ, Shropshire|||Yes|No][The Volvo Group UK Ltd.|Volvo Trucks, Wedgnock, CV34 5YA, West Midlands|||Yes|No][Pelican Engineering Co (Sales) LTD|Altofts Lane, WF10 5UB, West Yorkshire|||Yes|No][Angloco Limited|Station Road, WF175TA, West Yorkshire|||Yes|No][Mertrux Ltd|10 Chequers Road, West Meadows Ind Est, DE21 6EN, Derbyshire|||Yes|No][Mercedes-Benz UK Limited|Delaware Drive, Tongwell, MK15 8BA, Buckinghamshire|||Yes|No][Translink International Sales Ltd|The Pigpen, Mill Farm, Farlow, DY14 0LP, Worcestershire|||Yes|No][Northside Truck & Van|Legrams Lane, BD7 2HR, South Yorkshire|||Yes|No][Woodall Nicholson t/a CM Specialist Vehicle Division|Wigan Road, Westhoughton, BL5 2EE, Lancashire|||Yes|No][John Dennis Coachbuilders Ltd|25 Westfield Road, Slyfield Industrial Estate, GU1 1RR, Surrey|||Yes|No][Mercedes Benz Truck & Van (NI)|47 Mallusk Road, BT36 4PJ, County Antrim|||Yes|No][Global Recycling|Units 5 & 7, Ruston Road, NG31 9SW, Lincolnshire|||Yes|No][Emergency One (UK) Limited|Block 3A, Caponacre Industrial Estate, KA18 1SH, Ayrshire|||Yes|No][GM COACHWORK LTD|Teign Valley, Trusham, TQ13 0NX, Devon|||Yes|No][Volvo Group Uk Limited|Wedgnock Lane, CV345YA, Warwickshire|||Yes|No][Vipex Ltd|Nunn Brook Road, County Estate, NG17 2HU, Nottinghamshire|||Yes|No][Stock Sweepers Limited|Building 13, Vantage Point Business Village, GL17 0DD, Gloucestershire|||Yes|No][Mobile Installation Solutions (UK) Ltd|Centrix Business Park, Sandall Stones Road, DN3 1QR, South Yorkshire|||Yes|No][A J ENGINEERING SERVICES LTD|12 CLAYTON COURT, THE CITY WORKS, M11 2NB, Greater Manchester|||Yes|No][S. MacNeillie & Son Ltd|Stockton Close, WS2 8LD, West Midlands|||Yes|No][Iveco Ltd|Cranes Farm Road, SS143AD, Essex|||Yes|No][Enza Motors Ltd|Leacroft Road, WA3 6NN, Lancashire|||Yes|No][Pickup Systems LTD|Units 6 D,E,F Empire Business park, Enterprise Way, BB12 6LT, Lancashire|||Yes|No]",,04/11/2015,03/11/2019,"Open ",
BIP457859517,Contract,"North West Leicestershire District Council",Awarded,2019-12-17T09:31:08Z,"GB-Coalville: TPPL North West Leicestershire DC HCC lot 3 - 1 x Scarab Magnum (3701)","TPPL North West Leicestershire DC HCC lot 3 - 1 x Scarab Magnum (3701)",,,"East Midlands","34921100 ","Ian Curtis",ian.curtis@nwleicestershire.gov.uk,"Waste Services",,Coalville,"LE67 3FJ",UK,01503454629,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=457859517 ",,02/04/2020,02/05/2020,16/12/2019,NO,,No,No,No,Products,137820,,16/12/2019,137820,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",02/04/2020,02/05/2020,"NotSpecified ",
BIP527708602,Contract,"Adur District Council & Worthing Borough Council",Awarded,2020-09-21T13:50:03Z,"GB-Worthing: TPPL Adur District Council NEPO HGV lot 2 - 1 x 7.5t Sweeper (4829)","TPPL Adur District Council NEPO HGV lot 2 - 1 x 7.5t Sweeper (4829)",,,"South East","34921100 ","Raman Singla",raman.singla@adur-worthing.gov.uk,"Room 7-9","Town Hall",Worthing,"BN11 1HB",UK,01903221291,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=527708602 ",,02/09/2020,02/10/2020,18/06/2020,NO,,No,No,No,Products,116580,,18/06/2020,116580,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Hayley Oliver",02/09/2020,02/10/2020,"NotSpecified ",,00:00
BIP405455605,Contract,"Pembrokeshire County Council",Awarded,2019-08-23T14:20:03Z,"GB-Milford Haven: TPPL Pembrokeshire Council HCC Lot 3 - 2 x 4.5t compact sweepers","TPPL Pembrokeshire Council HCC Lot 3 - 2 x 4.5t compact sweepers",,,Wales,"34921100 ","Gerald Rowlands",gerald.rowlands@pembrokeshire.gov.uk,"Fleet Management","Unit 28, Thornton Industrial Estate","Milford Haven","SA73 2RR",UK,01437775440,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=405455605 ",,17/12/2019,17/01/2020,20/05/2019,NO,,No,No,No,Products,175808,,20/05/2019,175808.8,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",17/12/2019,17/01/2020,"NotSpecified ",
BIP402268911,Contract,"Doncaster Metropolitan Borough Council",Awarded,2019-06-03T14:10:07Z,"GB-Doncaster: TPPL Doncaster Metropolitan Borough Council HCC lot 4 11 x Pedestrian/Compact Sweepers Mixed","TPPL Doncaster Metropolitan Borough Council HCC lot 4 11 x Pedestrian/Compact Sweepers Mixed",,,"Yorkshire and the Humber","34921100 ","Jenny Dawson",jenny.dawson@doncaster.gov.uk,"Fleet Management","North Bridge Depot",Doncaster,"DN5 9AN",UK,01302736825,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=402268911 ",,07/10/2019,07/11/2019,26/03/2019,NO,,No,No,No,Products,728689,,26/03/2019,728689.23,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",07/10/2019,07/11/2019,"NotSpecified ",
BIP398642080,Contract,"Kirklees Metropolitan Council",Awarded,2019-05-21T08:40:21Z,"GB-Kirklees: TPPL Kirklees Council HCC Lot 4 - 2 x compact sweepers","TPPL Kirklees Council HCC Lot 4 - 2 x compact sweepers",,,"Yorkshire and the Humber","34921100 ","Darren Fletcher",darren.fletcher@kirklees.gov.uk,"Environment & Transport","Vine Street",Huddersfield,"HD1 6NT",UK,01484221000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=398642080 ",,22/04/2019,22/05/2019,07/03/2019,NO,,No,No,No,Products,137284,,07/03/2019,137284.06,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",22/04/2019,22/05/2019,"NotSpecified ",
