"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CF1V3-20160304-00001292,Contract,Merseytravel,Awarded,2016-03-10T12:06:13Z,"Provision of Cash in Transit Security Services Across the Merseytravel Estate","A suitable supplier is sought to provide Cash in Transit security services across the Merseytravel estate; Including Merseytravel Locations across Merseyside including the Beatles Story attraction, Mersey Ferries and Mersey Tunnels.

The scope of the works is to cover:

?	The collection of sealed bags from Merseytravel  Centres located in Huyton, St Helens, Bootle, Birkenhead and 2 sites in Liverpool City Centre.
 
?	The collection of  sealed bags  from 2  Beatles Story locations within Liverpool City Centre on a weekly cycle with revised high and low season arrangements being in place.

?	The collection of sealed containers from Merseytravel Head Quarters, Liverpool City Centre on a weekly cycle.

?	The collection of sealed containers from  4 Mersey Ferries locations: Pier Head, Woodside, Seacombe and the Spaceport visitor attraction Seacombe on a weekly cycle with revised high and low season arrangements being in place.

?	The collection of sealed containers and Bulk Coin for  from Mersey Tunnels Kingsway (Wallasey) and Queensway (Birkenhead) locations 6 days per week (including Bank Holidays)  Merseytravel are looking for a specialist provider to offer an effective solution for the collection of bulk coin on a daily basis for prompt payment into the relevant Bank Account.   

?	The monthly collection of Euro (notes) in a sealed container from Kingsway (Wallasey) Tunnel deposit direct to the local Liverpool City banking branch, or other suitable arrangements.

?	To remove and empty the cash vault within the self ? contained  Automatic Toilets located at St Helen?s Travel Centre  monthly and bank the revenue until January 2017.

?	To provide cash (ad hoc change orders) as and when required, the denominations and amount being notified in advance on the previous morning by the individual location on an ad hoc basis.

?	Collections are Monday to Saturday and this should also include Bank Holidays for some locations.

?	Collection times should to be varied within the given timeframes in accordance with Insurance Assessors advice.

?	Flexibility of service provision is required in terms of collection windows, frequency of collections, locations of Travel Centres,  business changes, the introduction of card payments at Mersey Tunnels, Special Events and Bank Holiday collection arrangements.

The contract will be for an initial 2 year period with the opportunity of a further 2 year extension to commence April 2016.
",,,"North West","44421790 ",tender,faye.roan@merseytravel.gov.uk,"1 Mann Island",,Liverpool,"L3 1BP",UK,"+44 1513301196",,,,"A suitable supplier is sought to provide Cash in Transit security services across the Merseytravel estate; Including Merseytravel Locations across Merseyside including the Beatles Story attraction, Mersey Ferries and Mersey Tunnels.

The scope of the works is to cover:

?	The collection of sealed bags from Merseytravel  Centres located in Huyton, St Helens, Bootle, Birkenhead and 2 sites in Liverpool City Centre.
 
?	The collection of  sealed bags  from 2  Beatles Story locations within Liverpool City Centre on a weekly cycle with revised high and low season arrangements being in place.

?	The collection of sealed containers from Merseytravel Head Quarters, Liverpool City Centre on a weekly cycle.

?	The collection of sealed containers from  4 Mersey Ferries locations: Pier Head, Woodside, Seacombe and the Spaceport visitor attraction Seacombe on a weekly cycle with revised high and low season arrangements being in place.

?	The collection of sealed containers and Bulk Coin for  from Mersey Tunnels Kingsway (Wallasey) and Queensway (Birkenhead) locations 6 days per week (including Bank Holidays)  Merseytravel are looking for a specialist provider to offer an effective solution for the collection of bulk coin on a daily basis for prompt payment into the relevant Bank Account.   

?	The monthly collection of Euro (notes) in a sealed container from Kingsway (Wallasey) Tunnel deposit direct to the local Liverpool City banking branch, or other suitable arrangements.

?	To remove and empty the cash vault within the self ? contained  Automatic Toilets located at St Helen?s Travel Centre  monthly and bank the revenue until January 2017.

?	To provide cash (ad hoc change orders) as and when required, the denominations and amount being notified in advance on the previous morning by the individual location on an ad hoc basis.

?	Collections are Monday to Saturday and this should also include Bank Holidays for some locations.

?	Collection times should to be varied within the given timeframes in accordance with Insurance Assessors advice.

?	Flexibility of service provision is required in terms of collection windows, frequency of collections, locations of Travel Centres,  business changes, the introduction of card payments at Mersey Tunnels, Special Events and Bank Holiday collection arrangements.

The contract will be for an initial 2 year period with the opportunity of a further 2 year extension to commence April 2016.

All locations are situated within the Liverpool City Region  ",01/04/2016,31/03/2018,12/01/2016,NO,,No,No,No,Services,450000,450000,22/02/2016,450000,"[Security PLus Limited|Greenfold Way , Leigh , Warrington , Lancashire, WN7 3XJ, UK|||No|No]",,01/04/2016,31/03/2018,"NotSpecified ",
"324F Lots 3 & 8",Contract,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",Awarded,2018-07-18T14:37:34Z,"Cash In Transit Service","Cash in Transit Service which covers the delivery of cash and the collection of cash and cheques to/from various sites on behalf of Tees, Esk & Wear Valleys NHS FT. This contract was Direct Awarded to Seurity Plus+ via the YPO / ESPO Framework Agreement for Cash Collection & Cash in Transit Services, reference 324F - Lots 3 & 8. Initial award period of 12 months with 3 x 12 month optional extensions.",,,"North East","79710000 ","Christine Little",christinelittle2@nhs.net,"Centre for Health","Whitehouse Business Park",Peterlee,"SR8 2RU",England,,,,,"Cash in Transit Service which covers the delivery of cash and the collection of cash and cheques to/from various sites on behalf of Tees, Esk & Wear Valleys NHS FT. This contract was Direct Awarded to Seurity Plus+ via the YPO / ESPO Framework Agreement for Cash Collection & Cash in Transit Services, reference 324F - Lots 3 & 8. Initial award period of 12 months with 3 x 12 month optional extensions.",01/08/2018,31/07/2019,02/07/2018,NO,,Yes,No,No,Services,0,10000,18/07/2018,10000,"[SECURITY PLUS LIMITED|Bellringer Road, Trentham Lakes South
STOKE-ON-TRENT
ST4 8GZ
GB|COMPANIES_HOUSE|01325489|No|No]","Rosie Taylor",01/08/2018,31/07/2019,"CallOffFromFrameworkAgreement ",
"324F - Lot 3",Contract,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",Awarded,2018-04-09T13:24:49Z,"Cash In Transit Service","Cash in Transit Service which covers the delivery of cash and the collection of cash and cheques to/from various sites on behalf of County Durham & Darlington NHS FT. This contract was Direct Awarded to Seurity Plus+ via the YPO / ESPO Framework Agreement for Cash Collection & Cash in Transit Services, reference 324F - Lot 3",,,"North East","79710000 ","Christine Little",christinelittle2@nhs.net,"Centre for Health","Whitehouse Business Park",Peterlee,"SR8 2RU",England,,,,,"Cash in Transit Service which covers the delivery of cash and the collection of cash and cheques to/from various sites on behalf of County Durham & Darlington NHS FT. This contract was Direct Awarded to Seurity Plus+ via the YPO / ESPO Framework Agreement for Cash Collection & Cash in Transit Services, reference 324F - Lot 3.",01/04/2018,31/03/2019,31/03/2018,NO,,Yes,No,No,Services,0,10000,23/03/2018,10000,"[SECURITY PLUS LIMITED|Bellringer Road, Trentham Lakes South
STOKE-ON-TRENT
ST4 8GZ
GB|COMPANIES_HOUSE|01325489|No|No]","Rosie Taylor",01/04/2018,31/03/2019,"CallOffFromFrameworkAgreement ",
"DN258846 (2)",Contract,"Newark & Sherwood District Council",Awarded,2017-12-21T14:10:12Z,"Provision of a Service to Collect, Process & Deposit Coins from Car Park Ticket Machines","Newark & Sherwood District Council has appointed a suitably qualified company to provide a secure bulk cash collection and counting service in respect of 14 car park ticket machines located across 7 car parks operated by the Council within the town of Newark, Nottinghamshire, including the onward transportation and delivery of processed cash to the Council's nominated cash receiving facility in Coventry.",,,"East Midlands","79710000 ",,alan.batty@newark-sherwooddc.gov.uk,"Newark & Sherwood District Council","Castle House, Great North Road",Newark,"NG24 1BY",England,,,,,,01/06/2017,31/05/2020,05/05/2017,NO,,Yes,No,No,Services,17316,,31/05/2017,17316,"[Security Plus + Limited|Tolerant House, Bellringer Road, 
Trentham Lakes South
Stoke-on-Trent
ST4 8GZ|COMPANIES_HOUSE|1325489|Yes|No]",,01/06/2017,31/05/2020,"OpenNonOJEU ",
PP15103,Contract,"WOLVERHAMPTON CITY COUNCIL",Awarded,2016-03-17T10:01:06Z,"Cash in Transit","Annually the cash in transit contract is responsible for over 18,000 secure collections and efficient deposits of income to the council’s bank. 

Sealed bag collections are made from 127 establishments across the city including but not restricted to; Schools, WV Active, Wolverhampton Homes, Markets, Galleries and the Civic Centre. 

The contract is sub divided into schedules for 39 and 52 week collections for establishments across the city with an additional provision for adhoc usage which is subject to fluctuation. 

The service provision required by the Council consists of: 

· Regular collection of monies from establishments across the City 

· Ad Hoc collections of monies from establishments across the City 

· Regular collections of monies from the car parks across the City Centre 

· Regular collection of monies from the pay & display machines across the City Centre 

· Cash processing of monies collected from car parks across the City Centre 

· Delivery of coinage through a bulk cash facility to establishments across the City",,,"West Midlands","66100000 ","Jessica Prince",tenders@wolverhampton.gov.uk,"Civic Centre","St. Peter's Square",Wolverhampton,"WV1 1RL",England,,,"PP15103 Cash in Transit Specification 080316.pdf PP15103 Appendix 1 CIT Address Details 190216.xlsx ","www.wolverhamptontenders.com ",,01/08/2016,31/07/2020,19/04/2016,NO,,No,No,No,Services,740000,,21/07/2016,748896.48,"[Security Plus + Limited|The Manor House
High Street
Uttoxeter
Staffordshire
ST14 7JQ|||No|No]",,01/08/2016,31/07/2020,"Open ",
DN479000,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2020-07-13T16:58:40Z,"Managed Cash Collection Service","Managed Cash Collection Service",,,"North East","66000000 98351100 ","Michelle Gray",procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",www.redcar-cleveland.gov.uk,,,,01/06/2020,31/05/2024,14/05/2020,NO,,Yes,No,No,Services,232000,,20/05/2020,232000,"[SECURITY PLUS LIMITED|Bellringer Road, Trentham Lakes South
STOKE-ON-TRENT
ST4 8GZ
GB|COMPANIES_HOUSE|01325489|No|No]","Rosie Taylor",01/06/2020,31/05/2024,"CallOffFromFrameworkAgreement ",
"19 125",Contract,"CHESHIRE EAST COUNCIL",Awarded,2020-07-07T15:49:28Z,"Cash Collection and Cash in Transit Services","Cash Collection and Cash in Transit Services,
The initial contract end date will be the 30/09/2021 with the option to extend for up to a further 2 x 12 month periods.
The values given in this notice are only estimations and are for the initial contract period expiring on the 30/09/2021 and take into account the options to extend. The Authority gives no guarantee or warranty or makes any representation as to the accuracy of any indicative volumes or as to the value of the work during the contract period.",,,"North West","66000000 ",,steve.mellor@cheshireeast.gov.uk,WESTFIELDS,,SANDBACH,CW111HZ,England,,,,,,28/05/2020,30/09/2021,31/03/2020,NO,,Yes,No,No,Services,400000,,07/04/2020,400000,"[SECURITY PLUS LIMITED|Bellringer Road, Trentham Lakes South
STOKE-ON-TRENT
ST4 8GZ
GB|COMPANIES_HOUSE|01325489|No|No]",,28/05/2020,30/09/2021,"Other Direct Award",
WARRINGTONLIVE001-DN459918-55903235,Contract,"Warrington Borough Council",Awarded,2020-03-30T15:18:55Z,"Cash Collection & Change Facilty Service","Cash collection and change facility service for various council service and council sites.",,,"North West","79710000 ","Kathy Lang",klang@warrington.gov.uk,"New Town House","Buttermarket Street",Warrington,"WA1 2NH",England,"01925 443908",http://www.warrington.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=13490a55-fa3d-ea11-80fc-005056b64545 ",,01/04/2020,31/03/2025,20/02/2020,NO,,No,No,No,Services,40000,40000,05/03/2020,40000,"[Security Plus Limited|Tolerant House
Bellringer Road
Trentham Lakes South
Staffordshire
ST4 8GZ
|NONE||No|No]",,01/04/2020,31/03/2025,"Open ",
MC19-044,Contract,"Durham University",Awarded,2019-09-26T10:01:22Z,"Cash Collection Services","Cash collection services for Durham University at all locations.",,,"North East","79710000 ","Steven Carter",procurement.office@durham.ac.uk,"South Road",,DURHAM,DH13LE,England,"0191 3344553",,,,"Agreement awarded from NEUPC Ltd framework for Cash and Valuables in Transit PFB2004 NE",01/10/2019,30/09/2023,12/08/2019,NO,,No,No,No,Services,109889.52,,26/09/2019,109889.52,"[SECURITY PLUS LIMITED|Bellringer Road, Trentham Lakes South
STOKE-ON-TRENT
ST4 8GZ
GB|COMPANIES_HOUSE|01325489|No|No]","Rosie Taylor",01/10/2019,30/09/2023,"CallOffFromFrameworkAgreement ",
DN401881,Contract,"Hartlepool Borough Council",Awarded,2019-09-18T13:17:38Z,"Cash Collection services for the Revenues Section at Hartlepool Borough Council","Cash Collection services for the Revenues Section at Hartlepool Borough Council",,,"North East","79710000 ","Roy Horseman",Roy.Horseman@hartlepool.gov.uk,"Civic Centre, Victoria Road",,HARTLEPOOL,TS248AY,England,"(01429) 523146",,,,,03/04/2019,31/03/2021,02/04/2019,NO,,Yes,No,No,Services,0,,02/04/2019,0,"[Security Plus + Limited|The Manor House, High Street, Uttoxeter, Staffordshire ST14 7JQ|COMPANIES_HOUSE|1325489|No|No]",,03/04/2019,31/03/2021,"SingleTenderActionNonOJEU ",
