"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
ncgcorporation001-DN281049-80977961,Contract,"NCG Corporation",Awarded,2017-12-19T15:46:59Z,"NCG170806MC - Provision of Study Programme 2017/18 for Young People Up to Level 2 for Rathbone Training","NCG Corporation have awarded a contract to Fir Tree Fishery CIC, Home Group, Manchester Young Lives, Mode Training Ltd, Skills4U North East Ltd and Sport Works for the provision of Study Programme 2017/18 for Young People Up to Level 2 for Rathbone Training following completion of a Mini Competition against NCG's Delivery Partner Dynamic Purchasing System.",,,"Any region","80000000 ","Hannah Delroy",Hannah.Delroy@ncgrp.co.uk,"Rye Hill House","Rye Hill Campus, Scotswood Road","Newcastle upon Tyne","NE4 7SA","United Kingdom","+44 1912004290",http://www.ncgrp.co.uk,,,,01/08/2017,31/07/2018,21/06/2017,NO,,Yes,Yes,No,Services,750000,750000,03/07/2017,750000,"[Fir Tree Fishery CIC|The Nook, Appley Bridge, Wiigan, Greater Manchester, WN6 9JB, United Kingdom|NONE||Yes|No][Home Group|2 Gosforth Park Way, Gosforth Business Park, Newcastle, Tyne and Wear, NE12 8ET, United Kingdom|NONE||No|No][Manchester Young Lives|The Addy Young Peoples Centre, Woodhouse Lane, Manchester, Greater Manchester, M22 9TF, United Kingdom|NONE||Yes|No][Mode Training Ltd|The Alima Centre, 35 Sefton Street, Liverpool, Merseyside, L8 5SL, United Kingdom|NONE||Yes|No][Skills4U North East Ltd|Old Hartford School, Scott Street,, East Hartford, Cramlington, Northumberland, NE23 3AR, United Kingdom|NONE||Yes|No][Sport Works|Suite 1243, Newcastle, Tyne and Wear, NE99 2FJ, United Kingdom|NONE||Yes|No]",,01/08/2017,31/07/2018,"Restricted ",
BFDMDC001-DN265029-75471324,Contract,"Bradford Metropolitan District Council",Awarded,2017-07-07T11:41:04Z,"Short Breaks Tier 2 Grants","The aim of this Grant is to provide a range of Targeted Services (Tier 2) Short Breaks to disabled children and young people and their families, by means of group activities in a variety of leisure and recreational settings.

To provide a wider choice of fun, safe short breaks for disabled children and young people with Tier 2 level of needs, and support them to take part in activities of their choosing.",,,"Yorkshire and the Humber","92000000 ","Julie Cookland",julie.cookland@bradford.gov.uk,"Margaret McMillan Tower","Princes Way",Bradford,"BD1 1NN","United Kingdom","+44 7582107938",http://www.bradford.gov.uk/bmdc,,,,01/09/2017,01/09/2018,23/06/2017,NO,,Yes,Yes,No,Services,60000,60000,07/07/2017,59459,"[Sport Works Yorkshire|BD7 4NQ|||Yes|No][All Saints Landmark Centre|BD5 0NG|||Yes|Yes][Sport Works Yorkshire|BD7 4NQ|||Yes|No][All Saints Landmark Centre|BD5 0NG|||Yes|Yes][Bradford City Community Foundation|BD8 7DY|||Yes|Yes][Bradford Disability Sport & Leisure|BD18 3EJ|||Yes|Yes][Mind the Gap|BD9 4SA|||Yes|No]","Mr Simon Leonard",01/09/2017,01/09/2018,"Open ",
DR168291418,Contract,"EAST RIDING OF YORKSHIRE COUNCIL",Awarded,2020-01-29T12:00:34Z,"Weekly Youth Groups and Holiday Activity Short Breaks for Children and Young People with Special Educational Needs & Disabilities aged 8-25 years","Weekly youth groups and holiday activity short breaks for children and young people with special educational needs & disabilities aged 8-25 years in a variety of locations in the East Riding of Yorkshire.",,,"Yorkshire and the Humber","85000000 ","candia pyper",candia.pyper@eastriding.gov.uk,"County Hall,East Riding Of Yorksire",,BEVERLEY,HU179BA,England,01482396195,,,,,01/04/2020,31/03/2022,27/09/2019,NO,,No,No,No,Services,632000,,17/01/2020,632000,"[SPORT WORKS (YORKSHIRE) LTD|52 Speeton Avenue
BRADFORD
West Yorkshire
BD7 4NQ
GB|COMPANIES_HOUSE|08657618|Yes|No]",,01/04/2020,31/03/2022,"OpenNonOJEU ",
ROCH001-DN376957-37006334,Contract,"Rochdale Metropolitan Borough Council",Awarded,2019-12-17T14:34:37Z,"Short Break Services for Children with Disabilities","Rochdale Borough Council would like to encourage providers to submit a bid for the Provision of a Variety of Short Break Activities and Services.  All children and young people with a disability age 4 to 18 are eligible for a short break.  We want them to have access to the same sort of play, leisure and social opportunities as their non-disabled peers, and to achieve positive outcomes.",,,"North West","98000000 ","Shirella Simms",Shirella.Simms@star-procurement.gov.uk,"Trafford Town Hall","Talbot Road",Stretford,"M32 0TH","United Kingdom","+44 1619121616",http://www.rochdale.gov.uk/,,,,01/04/2019,31/03/2023,21/12/2018,NO,,Yes,Yes,No,Services,1858830,1858830,28/03/2019,1858830,"[Sport Works (Greater Manchester) Ltd|M26 4JJ|NONE||Yes|No][Rochdale Youth Service|OL16 1XU|NONE||No|No][barnardo's|IG6 1QG|NONE||No|No]","Mrs Karen Rolling",01/04/2019,31/03/2023,"Open ",
DN307698,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2019-10-02T10:22:31Z,"Short Breaks Framework for Disabled Children and Young People","Please apply via the NEPO portal",,,"North East","85000000 98000000 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",,,"https://www.nepo.org ",,01/05/2020,30/04/2023,20/03/2020,YES,DN307698,Yes,Yes,No,Services,0,,12/03/2019,1340000,"[Sport Works|NE99 2FJ|COMPANIES_HOUSE|6901379|Yes|No][Daisy Chain Project|TS20 1PF|COMPANIES_HOUSE|4763989|Yes|Yes][Caremark (Redcar & Cleveland)|TS14 6PR|COMPANIES_HOUSE|6661720|Yes|No][Avalon|HG1 4DP|COMPANIES_HOUSE|2976727|No|No][Calvert Trust Kielder|NE48 1BS|COMPANIES_HOUSE|0511581|Yes|No][Zoe's Place Baby Hospice|TS6 9DA|NONE||Yes|No][Roseberry Care Centres|SR5 3PE|COMPANIES_HOUSE|6281674|No|No][Huntercombe House|TS20 2BL|COMPANIES_HOUSE|03538441|No|No][MAIN - Taking Support Personally|16 High Force Road, Riverside Park, Middlesbrough, Cleveland, TS2 1RH, United Kingdom|COMPANIES_HOUSE|4809912|Yes|Yes][THE JUNCTION FOUNDATION|19 Station Road
REDCAR
Cleveland
TS10 1AN
GB|COMPANIES_HOUSE|06648312|Yes|No]",,01/05/2019,30/04/2023,"OpenOJEU ",
HALT001-DN392707-80337294,Contract,"Halton Borough Council",Awarded,2019-03-22T09:25:38Z,"Funding Application for Short Breaks Grants for Disabled Children, Young People and their Families","Funding Application for Short Breaks Grants for Disabled Children, Young People and their Families.
To view the full requirement and specification, please register your interest in this opportunity by visiting www.the-chest.org.uk and searching project ID DN392707
All questions relating to this opportunity must be raised via the messaging facility within the Chest. Closing date for questions is Wednesday 27 February 2019. Closing date for submissions is Monday 4 March 2019 at 9:30am.",,,"North West","85300000 ","Joanne Hamlin",joanne.hamlin@halton.gov.uk,"Municipal Buildings",Kingsway,Widnes,"WA8 7QF",England,"+44 0",http://www2.halton.gov.uk,,,,01/04/2019,31/03/2021,04/03/2019,NO,,Yes,Yes,No,Services,0,,15/03/2019,84000,"[Sport Works (Manchester & Cheshire) Ltd|WA4 3DU|NONE||Yes|No][The Greenbank Project|L17 1AG|NONE||Yes|No][ChAPS|WA6 1BW|NONE||Yes|Yes][Everton Football Club|L4 4EL|NONE||Yes|Yes]","Mr Jon Uttley",01/04/2019,31/03/2021,"Open ",
KNOWS001-DN282994-69750055,Contract,"Knowsley Council",Awarded,2017-08-16T12:39:22Z,"Short Breaks - Swimming for Disabled Children","To provide Short Break swimming activities for children and young people who reside in Knowsley with disabilities from Reception year up to their 19th birthday in order to allow parents/carers a break from their caring responsibility. It is intended to establish a Contract for a period of one year, with the option of one additional extension period of up to twelve months, subject to satisfactory outcomes of reviews and the availability of funding.",,,"North West","85300000 ","Kelly Black",kelly.black@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514434938",http://www.knowsley.gov.uk,,,,04/09/2017,03/09/2018,04/07/2017,NO,,Yes,Yes,No,Services,55752,55752,10/08/2017,55752,"[Sport Works Merseyside Limited|L39 6SN|||Yes|No]","Mr James Crowley",04/09/2017,03/09/2018,"Other ",
DCC001-DN264087-76075911,Contract,"Durham County Council",Awarded,2017-08-14T10:17:12Z,"Provider Panel for Short Breaks to meet Assessed Needs","Durham County Council and Clinical Commissioning Groups are seeking to appoint a Panel of Providers to provide a range of short break services to meet the assessed needs of those families with SEND requiring short breaks to provide early help to prevent needs from escalating and to support those with complex needs (Age 0 to 25).  This has been split into 3 individual lots depending on the type of session/service required:-

Lot 1 - Short Breaks for Assessed Needs (Age 0 to 5) 
Lot 2 - Short Breaks for Assessed Needs (Age 6 to 13)
Lot 3 - Short Breaks for Assessed Needs (Age 14 to 25)

Providers can bid to provide services in a single Lot, or a combination of any or all of the Lots detailed above.  Please access the tender for full details of the specification and tender submission requirements.",,,"North East","80000000 85000000 ","Kay Duthie",kay.duthie@durham.gov.uk,"Corporate services","County Hall",Durham,"DH1 5UL","United Kingdom",,http://www.durham.gov.uk,,,,01/09/2017,01/09/2019,23/06/2017,NO,,Yes,Yes,No,Services,1600000,1600000,18/07/2017,1600000,"[Durham Area Disability Leisure Group|Unit 15, Vane Tempest Hall, Maynard's Row, Gilesgate, Durham, DH1 1QF|||Yes|Yes][Gateway North East (co Durham)|Gateway Rainbow Centre, Elemore Lane, Easington Lane Houghton le Spring, DH5 0QB|||Yes|Yes][Sport Works|Mill Beck, Crook, Kendal, Cumbria, LA8 8LD|||Yes|No][Sunderland Care and Support Ltd|Leechmere Centre, Carrmere Road, Sunderland, SR2 9TQ|||No|No][Integrating Children|Bullion Hall, South Approach, Chester-Le-Street, DH2 2DW|||Yes|Yes][North East Autism Society|15/16 Lumley Court 
Drum Industrial Estate
Chester le Street
Durham 
DH2 1AN|||No|Yes][The Guide Dogs for the Blind Association|Hillfields
Burghfield Common
Reading
RG7 3YG|||No|No][MAIN - Taking Support Personally|16 High Force Road
Riverside Park
Middlesbrough
TS2 1RH|||No|Yes][Durham Area Disability Leisure Group|Unit 15, Vane Tempest Hall, Maynard's Row, Gilesgate, Durham, DH1 1QF|||Yes|Yes][Gateway North East (co Durham)|Gateway Rainbow Centre, Elemore Lane, Easington Lane Houghton le Spring, DH5 0QB|||Yes|Yes][Sport Works|Mill Beck, Crook, Kendal, Cumbria, LA8 8LD|||Yes|No][Sunderland Care and Support Ltd|Leechmere Centre, Carrmere Road, Sunderland, SR2 9TQ|||No|No][Integrating Children|Bullion Hall, South Approach, Chester-Le-Street, DH2 2DW|||Yes|Yes][North East Autism Society|15/16 Lumley Court 
Drum Industrial Estate
Chester le Street
Durham 
DH2 1AN|||No|Yes][The Guide Dogs for the Blind Association|Hillfields
Burghfield Common
Reading
RG7 3YG|||No|No][MAIN - Taking Support Personally|16 High Force Road
Riverside Park
Middlesbrough
TS2 1RH|||No|Yes][Real Life Options|David Wandless House 
A1 Business Park
Knottingley Road
Knottingley 
West Yorkshire 
WF11 0BU|||No|No][Reach Out Care Support Services Ltd|Hope House 
Burnhope
Newton Aycliffe
Co Durham 
DL5 7ER|||Yes|No][Barnardo's|Tanners Lane
Barkingside
Ilford
Essex
IG6 1QG|||No|No][Rainbow Trust Chilren's Charity|6 Cleeve Court, Cleeve Road
Leatherhead,
Surrey KT22 7UD|||No|No][Daybreak Centres Ltd|Network House, Acomb, Northumberland   NE46 4SA|||Yes|Yes][Ethicare(Durham)Ltd.|Durham City Gymnastics Club. Front Street, Sherburn. DH6 1QY|||Yes|No][Essential care and support Ltd|Office seven, Novus business centre, Spectrum seven, Seaham, Durham, SR7 7TT|||Yes|No]",,01/09/2017,01/09/2019,"Open ",
"NCCT41120 - AWARD",Contract,"Norfolk County Council",Awarded,2016-12-21T16:39:53Z,"Short Breaks for Children with Disabilities. - AWARD","Norfolk County Council has established a framework of providers of short breaks for children with disabilities. Short Breaks allow a child to spend time apart from their parent/carer, take part in activities they like, form and develop friendships and become more confident and independent. Short Breaks allow the child's family to have a break from the demands of caring, to relax and recharge their batteries, to spend time with each other and their other children and to reduce family stress.
      There is no guarantee of business under this framework.  As a guide, the Council's potential spend is up to £1.7 million per annum. However this does not represent a commitment to purchase the value stated, either as a minimum or a maximum, under the framework. Orders placed under the framework will be awarded on an individual basis.",,"NR1 2DH","East of England","85000000 85311300 85312120 ","Andrew Fish",andrew.fish@norfolk.gov.uk,"Martineau Lane",Norwich,Norfolk,"NR1 2DH","United Kingdom",01603223299,www.norfolk.gov.uk,,,,01/04/2017,31/03/2021,05/12/2016,NO,,Yes,No,No,Services,0,,02/01/2017,0,"[About With Friends|Unit 22d, Holt Road, Cromer, Norfolk, United Kingdom, NR27 9JW|||No|No][Break Charity|Davison House, 1 Montague Road, Sheringham, Norfolk, United Kingdom, NR26 8WB|||No|No][Carers Trust Cambridgeshire|4 Meadow Park, Meadow Lane, St Ives, Cambridgeshire, United Kingdom, PE27 4LG|||No|No][Churchill Park School|Winston Churchill Drive, King's Lynn, Norfolk, United Kingdom, PE30 4RP|||No|No][Leading Lives|12 Great Whip Street, Ipswich, Suffolk, United Kingdom, IP2 8EZ|||No|No][Mid Suffolk HOPS|Settles House, Stoke Road, Thorndon EYE, Suffolk, United Kingdom, IP23 7JG|||No|No][Musical Keys|Martineau Memorial Hall, 21 Colegate, Norwich, Norfolk, United Kingdom, NR3 1BN|||No|No][Norfolk & Norwich Scope Association|33 Woodcock Road, Norwich, Norfolk, United Kingdom, NR3 3TT|||No|No][Norfolk Community Health and Care NHS Trust|Woodlands House, Bowthorpe Road, Norwich, Norfolk, United Kingdom, NR2 3TU|||No|No][Norwich City Community Sports Foundation|NCFC, Carrow Rd, Norwich, Norfolk, United Kingdom, NR1 1JE|||No|No][Sheringham Woodfields School|Holt Road, Sheringham, Norfolk, United Kingdom, NR26 8ND|||No|No][Shine (East Norfolk)|The Alpha Centre ,  Alpha Road, Great Yarmouth , Norfolk, United Kingdom, NR31 0LG|||No|No][Sport Works Ltd (East Anglia)|44B High Street, Chippenham, United Kingdom, CB7 5PR|||No|No][Supersports kidz club|8 Wordsworth road, Norwich, United Kingdom, Nr5 8ln|||No|No][The Benjamin Foundation|23-27 St Andrews St, Norwich, Norfolk, United Kingdom, NR24TP|||No|No][The Hamlet Centre Trust|221 St Leonards Road, norwich, Norwich, United Kingdom, NR1 4JN|||No|No][The Norfolk Deaf Children's Society|15 The Park, East Harling, Norwich, Norfolk, United Kingdom, NR16 2LY|||No|No][Volunteering Matters|18-24 Lower Clapton Rd, 18-24, London, London, United Kingdom, E5 0PD|||No|No]","Steve Smith",01/04/2017,31/03/2021,"Open ",
SHEFCC001-DN467248-05151342,Contract,"Sheffield City Council",Awarded,2020-06-05T12:19:40Z,"Lead Keyworker Project - Opportunity Sheffield Framework Further Competition","Lead Keyworker Project - Opportunity Sheffield\r
Supporting the widest client base get into work\r
The project is part funded by the European Social Fund",,,England,"80400000 ",,commercialservices@sheffield.gov.uk,"Level 8","East Wing, Moorfoot",Sheffield,"S1 4PL",England,"+44 1142057397",https://www.sheffield.gov.uk/,,,,01/06/2020,30/11/2021,28/04/2020,NO,,Yes,Yes,No,Services,747509,747509,22/05/2020,747509,"[NUCA trading as Zest|S6 3NA|NONE||Yes|Yes][Big Ambitions CIC|DN5 0JR|NONE||Yes|Yes][Reach South Sheffield|S14 1FX|NONE||Yes|Yes][SOAR Community|S5 9NU|NONE||Yes|Yes][Darnall Forum trading as D F Enterprise|S9 4QD|NONE||Yes|Yes][Manor & Castle Development Trust Ltd|S2 5HR|NONE||Yes|No][AALFY Ltd|S1 4PD|NONE||Yes|No][Sport Works Yorkshire|BD7 4NQ|NONE||Yes|No][WorkPays|DE1 1SU|NONE||Yes|No][Yes2Ventures Ltd|S3 8BT|NONE||Yes|No]","Mr Matt Dean",01/06/2020,30/11/2021,"Other ",
