"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"22 licenses for Thomson Reuters Eikon",Contract,"THE FINANCIAL CONDUCT AUTHORITY",Awarded,2019-04-11T09:36:26Z,"22 licenses for Thomson Reuters Eikon","22 licenses for Thomson Reuters Eikon - Q1 2019.",,,London,"66000000 ",,FCAProcurement@fca.org.uk,"12 Endeavour Square",,LONDON,E201JN,England,,,,,,01/01/2019,31/03/2019,31/12/2018,NO,,No,No,No,Services,0,100000,31/12/2018,66959,"[THOMSON REUTERS (PROFESSIONAL) UK LIMITED|Five Canada Square, Canary Wharf, London, United Kingdom, E14 5AQ|NONE||No|No]",,01/01/2019,31/03/2019,"SingleTenderActionNonOJEU ",
LS259975,Contract,"SHEFFIELD HALLAM UNIVERSITY",Awarded,2018-10-05T11:39:59Z,"Thomson Reuters prof. open order 2018-19 (2)","E-books subscriptions, on-line resources, publishing services",,,"Yorkshire and the Humber","79970000 ",,startegicprocurement@shu.ac.uk,"City Campus, Howard Street",,SHEFFIELD,S11WB,England,"01142253576 ext 3576",,,,,29/08/2018,29/08/2019,21/08/2018,NO,,No,No,No,NotSpecified,40000,,28/08/2018,36000,"[THOMSON REUTERS|PO BOX 1000
ANDOVER|NONE||No|No]",,29/08/2018,29/08/2019,"CallOffFromFrameworkAgreement ",
LS259973,Contract,"SHEFFIELD HALLAM UNIVERSITY",Awarded,2018-10-05T11:19:31Z,"Thomson Reuters prof. open order 2018-19","E-books subscriptions, on-line resources, publishing services",,,"Yorkshire and the Humber","79970000 ",,startegicprocurement@shu.ac.uk,"City Campus, Howard Street",,SHEFFIELD,S11WB,England,"01142253576 ext 3576",,,,,29/08/2018,29/08/2019,21/08/2018,NO,,No,No,No,NotSpecified,36000,,28/08/2018,36000,"[THOMSON REUTERS|PO BOX 1000
ANDOVER|NONE||No|No]",,29/08/2018,29/08/2019,"Other Quotation",
DW1,Contract,"South Ribble Borough Council",Awarded,2018-12-13T12:02:26Z,"On Line Legal Materials - Thomson Reuters","This is a contract award for on line legal database/services.",,,"North West","48000000 ","David Whelan",dwhelan@southribble.gov.uk,"Civic Centre",,LEYLAND,PR251DH,England,"01772 625247",,,,,01/01/2019,31/12/2021,28/11/2018,NO,,No,No,No,Products,39368,,28/11/2018,39368,"[THOMSON REUTERS (PROFESSIONAL) UK LIMITED|Canary Wharf
LONDON
E14 5AQ
GB|COMPANIES_HOUSE|01679046|No|No]","Joanne Fowler",01/01/2019,31/12/2021,"SingleTenderActionNonOJEU ",
CCSO18A72,Contract,"Crown Commercial Service",Awarded,2018-07-11T13:43:46Z,"Provision of Thomson Reuters EIKON Licences","Renewal of Thomson Reuters EIKON licences for Crown Commercial Service (CCS).",,,"Any region","48000000 72200000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,,,"Framework Award Letter v2.2 - CCSO18A72 - REDACTED.pdf Contract Order Form CCSO18A72 REDACTED.pdf Annex A - Call-Off Schedule 5 - REDACTED.pdf ",,,01/06/2018,30/09/2019,11/04/2018,NO,,Yes,No,No,Products,35588,35588,25/05/2018,35588.16,"[SPECIALIST COMPUTER CENTRES PLC|.|NONE||No|No]",.,01/06/2018,30/09/2019,"Other CCS Framework Competition",
CCSO16A52,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2016-12-02T11:41:12Z,"Provision of Thomson Reuters EIKON","This notice is for transparency purposes only. A contract has been awarded.",,,"Any region","72200000 ","Crown Commercial Service",technology.operations@crowncommercial.gov.uk,"9th Floor, The Capital","Old Hall Street,",Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Call Off contract.pdf Framework Award Letter v2.1.pdf ",,,17/10/2016,16/03/2018,22/09/2016,NO,,No,No,No,Products,0,,07/10/2016,32779.17,"[Bytes Software Services LTD|.|||No|No]",,17/10/2016,16/03/2018,"Restricted ",
MRTN001-DN491434-79531888,Contract,"London Borough of Merton",Awarded,2020-08-14T11:43:24Z,"Legal Knowledge Tools","Thomson Reuters - Practical Law Public Sector",,,London,"79111000 ","Paul Phelan",paul.phelan@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX","United Kingdom",02082744901,http://www.merton.gov.uk/,,,,01/10/2020,30/09/2021,31/07/2020,NO,,Yes,No,No,Services,34000,34000,01/08/2020,34000,"[Thomson Reuters|n/a|NONE||No|No]",n/a,01/10/2020,30/09/2021,"DirectAward ",,23:59
248063,Contract,"University Of The West Of England",Awarded,2017-11-28T15:47:28Z,"Electronic Databases","Thomson Reuters 2017/18 call-off order for the supply of electronic databases",,"BS16 1QY",,"48610000 ",,purchasing@uwe.ac.uk,"UWE Bristol, Frenchay Campus","Coldharbour Lane",Bristol,"BS16 1QY",England,,,,,,11/08/2017,31/07/2018,10/08/2017,NO,,No,No,No,Products,55200,,10/08/2017,55200,"[THOMSON REUTERS (PROFESSIONAL) UK LIMITED|160 Blackfriars Road
LONDON
SE1 8EZ
GB|COMPANIES_HOUSE|01679046|No|No]","Joanne Fowler",11/08/2017,31/07/2018,"CallOffFromFrameworkAgreement ",
"EHRC 2021-17",Contract,"EQUALITY AND HUMAN RIGHTS COMMISSION",Awarded,2020-11-04T17:28:48Z,"EHRC 2021-17 Online Legal Information Services","The Commission's Library function supports the legal and corporate law functions providing up-to-date legal knowledge, intelligence and alerting services.

Our current Business Plan places enforcement and litigation at the center of our work. Access to high quality, accurate, topical online legal information services including case law, commentary, legislation and legal know how via Westlaw UK and Practical Law, both provided by Thomson Reuters is an essential part of the toolbox required to deliver high quality legal services as a modern, independent regulator.",,,"England,Scotland,Wales","22100000 22200000 48000000 ",,procurementhelpdesk@equalityhumanrights.com,"Arndale House,","Arndale Centre",MANCHESTER,"M4 3AQ",England,,,,,,01/10/2020,30/09/2023,09/09/2020,NO,,Yes,No,No,Services,21935.7,65807.1,30/09/2020,65807.1,"[THOMSON REUTERS (PROFESSIONAL) UK LIMITED|Canary Wharf
LONDON
E14 5AQ
GB|COMPANIES_HOUSE|01679046|No|No]","Simon Tariq",01/10/2020,30/09/2023,"SingleTenderActionNonOJEU ",,13:00
283009,Contract,"University Of The West Of England",Awarded,2020-10-20T15:32:40Z,"Call-off order for the supply of electronic resources","Call-off order for the supply of electronic resources from Thomson Reuters",,"BS16 1QY",,"22000000 ",,purchasing@uwe.ac.uk,"Coldharbour Lane",,BRISTOL,BS161QY,England,,,,,,17/09/2020,18/09/2020,16/09/2020,NO,,No,No,No,Products,65000,,16/09/2020,65000,"[THOMSON REUTERS (SUMMIT 2) UK LTD|18 Great Queen Street
WC2B 5DG
GB|NONE_OTHER||Yes|No]",,17/09/2020,18/09/2020,"Other SS",,23:59
