"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LEEDSCITY001-DN413890-97172615,Contract,"Leeds City Council",Awarded,2019-06-26T15:18:55Z,"ITS201595 Tunstall PNC7 Maintenance","Contract awarded to Tunstall Healthcare (UK) Ltd for the provision of support and maintenance.",,,"Yorkshire and the Humber","48000000 72000000 50300000 ","Katie Cunningham",Katie.Cunningham@leeds.gov.uk,81,"Clarence Road",Leeds,"LS10 1LZ",England,"+44 113 3783264",http://www.leeds.gov.uk,,,,01/06/2019,31/07/2020,31/03/2019,NO,,Yes,No,No,Services,21702,21702,31/05/2019,21702.07,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, North Yorkshire, DN14 0HR, United Kingdom|NONE||No|No]","Dave Wood",01/06/2019,31/05/2020,"DirectAward ",
LGSS001-DN506036-68612719,Contract,"Milton Keynes Council",Awarded,2020-10-21T15:13:17Z,"Milton Keynes Council - PNC Maintenance -  Social alarm and telecare services","PNC Maitenance Contract - Direct call off under NHC Supply Agreement for Supply of Products and Services under the Technology Enabled Care Services Framework Lot 3.4",,,England,"79711000 ",,contracts@milton-keynes.gov.uk,"Civic Offices, 1 Saxon Gate East",,"Milton Keynes","MK9 3EJ",England,,,,,,01/04/2020,31/03/2022,31/03/2020,NO,,Yes,Yes,No,Services,47226,,31/03/2020,47226,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, Yorkshire, DN14 0HR|NONE||No|No]",,01/04/2020,31/03/2022,"DirectAward ",,00:00
LGSS001-DN501461-33200964,Contract,"Milton Keynes Council",Awarded,2020-09-28T15:28:49Z,"Milton Keynes - Maintenance of social alarm and telecare services","Maintenance of social alarm and telecare services - direct call off under  Northern Housing Consortium SUPPLY AGREEMENT FOR SUPPLY OF PRODUCTS AND SERVICES UNDER THE TECHNOLOGY ENABLED CARE SERVICES FRAMEWORK LOT 2",,,England,"85000000 ",,contracts@milton-keynes.gov.uk,"Civic Offices, 1 Saxon Gate East",,"Milton Keynes","MK9 3EJ",England,,,,,,01/09/2020,31/08/2021,03/08/2020,NO,,Yes,No,No,Services,33550.13,33550.13,17/08/2020,33550.13,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, Yorkshire,
DN14 0HR|NONE||No|No]",,01/09/2020,31/08/2021,"DirectAward ",,23:59
NOTTSCC001-DN349418-51229731,Contract,"Nottinghamshire County Council",Awarded,2018-11-09T13:16:52Z,"Lot 2 - Telecare and Telehealth Managed Services","This invitation to tender has been issued by Nottinghamshire County Council as a further competition under Lot 2 of the ESPO framework 203_15 Telecare & Telehealth Products and Services. The tender exercise is limited to those framework suppliers that have indicated in their scope of service that they are able to provide the products and services required in this specific instance. The Adult Social Care & Health department requires an assistive technology service for vulnerable adults with assessed long term social care needs, and adults where it has been assessed that there is a significant risk that long term social care services will be required within the next 12 months if assistive technology (AT) is not provided.",,,"East Midlands","85000000 51300000 64200000 32500000 33195000 48814000 79711000 85323000 ","Amanda Oakley",amanda.oakley@nottscc.gov.uk,"County Hall","West Bridgford",Nottingham,"NG2 7QP",England,"+44 1159773203",http://www.nottinghamshire.gov.uk,,,,01/09/2018,31/08/2020,20/08/2018,NO,,Yes,Yes,No,Services,900000,900000,30/08/2018,90000,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, North Yorkshire. DN14 0HR|NONE||No|No]",,01/10/2018,30/09/2019,"Restricted ",
NKESTDC001-DN339735-22404860,Contract,"North Kesteven District Council",Awarded,2018-05-10T10:26:32Z,"Service, Maintenance & Repair of Telecare Equipment","Service, maintenance and repair of telecare equipment within district sheltered housing accommodation.",,,"East Midlands","50000000 50333000 50334400 ","Anita Evans",Anita_Evans@n-kesteven.gov.uk,"District Council Offices","Kesteven Street",Sleaford,"NG34 7EF",England,"+44 1529308199",https://www.n-kesteven.gov.uk/,,,"
Contract has been let for an initial 24 month period with 2 x 12 month extensions available, bringing the maximum contract length to 48 months.
This was a further competition under the Northern Housing Consortium Framework for Technology Enabled Care Solutions.",01/04/2018,31/03/2022,05/10/2017,NO,,No,No,No,Services,75237,75237,31/03/2018,75237,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, Yorkshire, DN14 0HR|NONE||No|No]",,01/04/2018,31/03/2022,"Other ",
BIP279901892,Contract,"Thurrock Council",Awarded,2017-09-22T12:00:15Z,"GB-Thurrock: Telecare Call Monitoring System Upgrade","Delivery of a telecare call monitoring system together with all associated hardware required in delivering the service.",,,"East of England","85323000 85000000 33195200 79711000 48100000 ","Procurement Services",procurement@thurrock.gov.uk,"Procurement Services, Civic Offices","New Road",Thurrock,"RM17 6SL",UK,+441375652207,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=279901892 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.
        
        PLEASE NOTE THIS CONTRACT IS NOW AWARDED.",16/09/2017,15/09/2021,15/09/2017,NO,,No,Yes,No,Services,108732,,15/09/2017,108732,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge
        Whitely Bridge
        Yorkshire
        DN14 0HR|||No|No]","H. Strobridge",16/09/2017,15/09/2021,"Open ",
LLOO6,Contract,"CHARNWOOD BOROUGH COUNCIL",Awarded,2017-01-11T11:16:37Z,"Purchase of PNC 7 for Lifeline service","Charnwood Borough Council is seeking to purchase an upgrade to its current PNC equipment. The PNC equipment is used to answer alarm calls from equipment installed in CBC's sheltered housing stock and Lifeline equipment installed in owner occupiers' homes. The current PNC5 equipment was purchased in 2007. The lifetime contract value is £106,974.00 which includes the initial upgraded equipment cost and annual maintenance cost for years 2 -5.",,,"East Midlands","79711000 ","Sally Ramalho",sally.ramalho@charnwood.gov.uk,"Charnwood Borough Council","Southfield Road","Loughborough, Leicestershire","LE11 2TN",England,,,,,,13/01/2017,13/01/2022,10/01/2017,NO,,Yes,Yes,No,Services,106974,106974,11/01/2017,106974,"[Tunstall Healthcare Uk ltd|Whitley lodge,
Whitley bridge
Yorkshire
DN14 0HR|||No|No]",,13/01/2017,13/01/2022,"Other ",
CWC/DE2016-2019,Contract,"Railway Housing Association & Benefit Fund",Awarded,2016-10-12T14:40:06Z,"Central Warden Call & Door Enty Maintenance Contract","Maintenance and repair of central warden call and door entry systems",,,"North East,Yorkshire and the Humber,East of England","50712000 ","Shaun Brennan",sbrennan@railwayha.co.uk,"Railway Housing Association, Bank Top House, Garbutt Sq, Neasham Rd",,Darlington,"DL1 4DR",England,,,,,,01/11/2016,31/10/2019,12/09/2016,NO,,No,Yes,No,Services,28799.71,,03/10/2016,28799.71,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, Yorkshire. DN14 0HR|||No|No]",,01/11/2016,31/10/2019,"Other ",
4707/T/PM,Contract,"Derbyshire Community Health Services",Awarded,2015-09-11T14:08:00Z,"Provision of Telecare and Teleheath Products and Services for patients with a diagnosis of Heart Failure","Provision to monitor patients across Derbyshire with a diagnosis of Heart Failure. This is part of an integrated response by DCHS to the increasing number of individuals with chronic diseases and the need to identify innovative and effective ways to meet their clinical needs. This service will be seen as an enabler to the overall aim of introducing strategies to promote self-care and self-management and to support primary care and community teams to effectively monitor patients at risk of exacerbations and hospital admission. It will also support the provision of high quality clinical care and accurate reporting within the Heart Failure Team. 
Mini competition conducted under ESPO / Pro5 Framework Agreement 201 for Telecare and Telehealth Managed Services
for 12 months with option to extend 2 x 12 months if funding permits",,,"East Midlands","85323000 ","Paul Munday",paulmunday@nhs.net,"Walton Hospital, Procurement Dept","Whitecotes Lane",Chesterfield,"S40 3HW",England,,,,,,10/08/2015,09/08/2016,24/04/2015,NO,,Yes,No,No,Services,123000,,10/07/2015,123000,"[TUNSTALL HEALTHCARE (UK) LTD|WHITLEY LODGE, WHITLEY BRIDGE, DONCASTER,DN14 0HR, United Kingdom|||No|No]",,10/08/2015,09/08/2016,"NotApplicable ",
CCD0199,Contract,"Stevenage Borough Council",Awarded,2015-06-19T13:57:11Z,"Warden Call System Maintenance Contract","Stevenage Borough Council has awarded a contract: To provide a maintenance service for Warden Call Systems in 3 of SBC’s sheltered housing schemes for a year.",,,"East of England","50330000 ","Karen Long",karen.long@stevenage.gov.uk,"Daneshill House",Danestrete,Stevenage,"SG1 1HN",England,,,,,,01/04/2015,31/03/2016,29/03/2015,NO,,Yes,No,No,NotApplicable,11217.58,,01/04/2015,11217.58,"[Tunstall Healthcare (UK) Ltd|Whitley Lodge, Whitley Bridge, Yorkshire, DN14 0HR|||No|No]",,01/04/2015,31/03/2016,"NotApplicable ",
