"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN352565-32762574,Contract,"Bristol City Council",Awarded,2018-07-09T16:53:21Z,"Vodafone Secure Device Management VSDM (Airwatch)","Vodafone Secure Device Management VSDM (Airwatch)",,,"South West","32250000 ","Ian Gale",ian.gale@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,01/02/2018,31/01/2019,17/01/2018,NO,,Yes,Yes,No,Services,20000,20000,24/01/2018,20000,"[Vodafone Ltd|RG14 2FN|NONE||No|No][VODAFONE LTD|RG14 2FN|NONE||No|No]","Mr Stephen Dilaudo",01/02/2018,31/01/2019,"Open ",
"(NRTS2) Third Party Telecoms  (Service Category 7 (SC7)) - Vodafone (1)",Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-04-10T15:08:25Z,"National Roads Telecommunications Service (NRTS2) Third Party Telecoms  (Service Category 7 (SC7)) - Vodafone (1)","NRTS2 Third Party Telecoms",,,"Any region","72000000 ",,transparencysgrm@highwaysengland.co.uk,"The Cube",,Birmingham,"B1 1RN",England,,,,,,16/03/2018,16/03/2025,15/03/2018,NO,,No,No,No,Services,210687,210687,15/03/2018,210687,"[Vodafone Ltd|Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN|NONE||No|No]",,16/03/2018,16/03/2025,"SingleTenderActionNonOJEU ",
C4A48236342,Contract,NPOCC,Awarded,2020-03-17T08:56:45Z,"NPOCC  - Police Secure Network provision","NPOCC  PSN services 
       Please respond by email on Gouzel.iliassova@met.pnn.police.uk 
       Government Organisation that work in highly secure environment. 
",,,"Any region","32412110 32423000 32425000 32427000 ","Gouzel Iliassova",gouzel.iliassova@met.pnn.police.uk,"10 Victoria Street",,London,SW1H0NN,England,02032763777,,,"https://www.competefor.com/business/viewOpportunityDetailsSupplier.html?id=48236346 ",,17/03/2020,31/03/2021,12/03/2020,NO,,No,No,No,Services,16000,25000,13/03/2020,16899,"[Vodafone Ltd|3 The Maltings
        Burton on Trent
        DE141SF|NONE||No|No][Vodafone Central Unified Communications Group|3 The Maltings, Wetmore Road
        Burton on Trent 
        DE141SF|NONE||No|No][Webtechy Ltd|15 Gladeside, Bar Hill
        Cambridge
        CB238DY|NONE||No|No][NSL TELECOMS LTD|48 Camp Road
        Farnborough
        GU146EP|NONE||No|No][FTI Communication Systems Ltd|The Technocentre
        Coventry
        CV12TT|NONE||No|No][DataSafe Services Limited|United House North Road
        London
        N79DP|NONE||No|No][BT IT Services Limited|Spires House 5700 John Smith Drive
        Oxford
        OX42RW|NONE||No|No][Cable-Talk Communications Ltd.|Suite 1.3 Morwick Hall, Mortec Office Park, York Road
        Leeds
        LS154TA|NONE||No|No][Advanced Digital Dynamics Ltd|Unit H5, Fifth Avenue
        Harrogate
        HG28QT|NONE||No|No]","Roland Peacock",17/03/2020,31/03/2021,"CallOffFromFrameworkAgreement ",
BRISTOLCC001-DN352560-18104216,Contract,"Bristol City Council",Awarded,2018-07-09T16:43:40Z,"Mobile & Airtime Services","Mobile & Airtime Services (within the PSN Framework)",,,"South West","32250000 ","Ian Gale",ian.gale@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,01/02/2018,31/01/2019,17/01/2018,NO,,Yes,Yes,No,Services,85000,85000,24/01/2018,85000,"[Vodafone Ltd|RG14 2FN|NONE||No|No][VODAFONE LTD|RG14 2FN|NONE||No|No]","Mr Stephen Dilaudo",01/02/2018,31/01/2019,"Open ",
tender_245326/886460,Contract,"Public Health England",Awarded,2020-09-10T12:33:43Z,"PHE - ICT - DoH SC 119 NPFS (vodafone) telephony services for NHS England Call Centres","Extension to PHE&apos;s existing contract for the supply of services for call centres",,,"Any region","51340000 79512000 ",,tenders@phe.gov.uk,"61, Colindale Avenue",,London,"NW9 5EQ",England,,https://www.gov.uk/government/organisations/public-health-england,,,,27/02/2020,28/02/2021,19/02/2020,NO,,No,No,No,Services,2500000,,17/02/2020,2500000,"[Vodafone Ltd|Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN|COMPANIES_HOUSE|02227940|No|No]",,27/02/2020,28/02/2021,"CallOffFromFrameworkAgreement ",,12:00
RM3838,Contract,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",Awarded,2020-06-04T14:23:11Z,"Cisco UC Phone 7821","Tees Esk & Wear Valleys NHS Foundation Trust have a requirement for the provision of a one off purchase of Cisco UC Phone 7821. Direct Award to supplier Vodafone by utilising the Crown Commercial Services framework RM3838 Network Services 2 - Local Connectivity Services Lot 2.",,,"North East","32500000 ","Kelly Henderson",kellyhenderson1@nhs.net,"Hollyhurst Road",,DARLINGTON,DL36HX,England,,,,,"Direct Award to supplier Vodafone by utilising the Crown Commercial Services framework RM3838 Network Services 2 - Local Connectivity Services Lot 2.",23/03/2020,22/03/2021,20/03/2020,NO,,Yes,No,No,Products,315000,,20/03/2020,315000,"[Vodafone Ltd NHS Team|Vodafone House
Newbury
Berkshire
RG14 2FN|NONE_OTHER||Yes|No]",,23/03/2020,22/03/2021,"CallOffFromFrameworkAgreement ",
EP025,Contract,"VELOCITY 400 LIMITED",Awarded,2017-02-02T16:06:49Z,"Trinity Laban Supply of Mobile Phones","Trinity Laban Conservatoire of Music & Dance purchased mobile phone bundles . 

This purchase is being awarded under the Crown Commercial Service Network Services Framework Agreement Lot 6 (RM1045).

This notice is being placed by Velocity 400 Ltd t/s Ensemble Purchasing on behalf of Trinity Laban Conservatoire of Music & Dance.",,,London,"32250000 ",,k.humphries@ensemblepurchasing.ac.uk,"LUPC - Shropshire House","179 Tottenham Court Road",London,"W1T 7NZ",England,,,,,,09/01/2017,08/01/2019,21/10/2016,NO,,No,No,No,Products,22272,,22/11/2016,22272,"[Vodafone Ltd|Vodafone House
The Connection
Newbury
Berkshire
RG14 2FN|||No|No]",,09/01/2017,08/01/2019,"Other ",
"XLY120/025/20 RM3808 - 2",Contract,"FCO SERVICES",Awarded,2020-10-05T14:27:38Z,"Provision of Network Services","Call off from OGD Framework Ref: XLY120/025/20",,"mk19 7bh",,"32400000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"MILTON KEYNES",MK197BH,England,,,,,,12/08/2020,16/08/2022,11/08/2020,NO,,No,No,No,Services,256741.6,,11/08/2020,256741.6,"[VODAFONE LTD|RG14 2FN|NONE_OTHER||No|No]",,12/08/2020,16/08/2022,"CallOffFromFrameworkAgreement ",,00:00
f10f4c4a-526d-47f2-96db-0272a492a1ba,Contract,"Bradford District Care Trust HQ",Awarded,2020-09-22T16:31:42Z,"CA7432 - Provision of Mobile Phone, Voice, Text and Data Telephony Services","Bradford District Care Foundation Trust requires the provision of mobile telephony voice and data services along with the supply of mobile phone handsets and associated accessories.\
\
To access this competition: \
\
Registered:\
Login to https://suppliers.multiquote.com and view the opportunity CA7432.\
\
Not registered:\
Visit https://suppliers.multiquote.com then register and quote CA7432 as the reason for registration. \
\
 Any queries please contact MultiQuote on 0151 482 9230.",,"BD18 3LD","Any region","64212000 ","Alexander Ludlam",support@multiquote.com,"New Mill","Victoria Road",Shipley,"BD18 3LD",England,"0151 482 9230",https://suppliers.multiquote.com,,,,02/11/2020,01/11/2022,22/07/2020,NO,,Yes,No,No,Works,0,0,22/09/2020,562068,"[Vodafone Ltd|Vodafone House, The Connection, Newbury, RG14 2FN|NONE||No|No]","Nicola Penrice",02/11/2020,01/11/2022,"Open ",,12:00
CF-0113100D58000000L5A4EAK1,Contract,"Home Office",Awarded,2020-06-26T09:41:43Z,"Mobile Network Services","SIMS for mobiles, and related services.",,"RG14 2FN","Any region","32250000 ","Roger Maxwell",roger.maxwell@homeoffice.gov.uk,"2 Marsham Street",,London,"SW1P 4DF",GB,,,,,"The two year extension option defined on the original order form has been exercised.
",15/12/2016,14/12/2021,01/01/2016,NO,,No,No,No,NotApplicable,3500000,4000000,30/09/2019,8042654,"[VODAFONE LTD|Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN|NONE||No|No]",,15/12/2016,14/12/2021,"CallOffFromFrameworkAgreement ",
