"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
PS/17/65,Contract,"D V L A",Awarded,2017-06-05T15:31:09Z,"AIS WEB OPS-Valtech","The primary purpose of the Cloud Infrastructure Service (CIS) team, is to provide a specialized capability and support function to enable the DVLA to digitize business functions in line with the GDS Digital First Strategy.",,"SA6 7JL",,"72000000 ",,jeremy.bunce@dvla.gsi.gov.uk,"DVLA Longview Road",Morriston,Swansea,"SA6 7JL",Wales,,,,,,01/04/2017,30/09/2017,30/03/2017,NO,,Yes,No,No,Services,213000,213000,31/03/2017,213000,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|||No|No]",,01/04/2017,30/09/2017,"DirectAward ",
CCIS17B54,Contract,"Crown Commercial Service",Awarded,2018-08-16T19:15:22Z,"CO - Application Support services contract extension","This contract has already been awarded and is published for transparency purposes.
The Cabinet Office supports the Prime Minister and ensures the effective running of government. It is also the corporate headquarters for government, in partnership with HM Treasury, and takes the lead in certain critical policy areas.
FSET ATS - 6 months Live Support contract - Sept 17 to Feb 18.
The contract is a call-off from the CCS G-Cloud 9 framework ref RM1557ix.",,,"Any region","72000000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,,,,01/09/2017,28/02/2018,31/08/2017,NO,,Yes,No,No,Services,400000,,25/08/2017,400000,"[Valtech Ltd|120 Aldersgate Street EC1A 4JQ London England|NONE||Yes|No]",,01/09/2017,28/02/2018,"CallOffFromFrameworkAgreement ",
ecm_3098,Contract,"Department for Work and Pensions",Awarded,2018-02-12T17:18:25Z,"Data Insight Platform","Supply of data analystics for UCDS (This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts).",,"LS2 7UA","Any region","72316000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,20/01/2016,19/01/2018,20/12/2015,NO,,No,No,No,Services,2320100,,20/01/2016,2320100,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|NONE||No|No]",,20/01/2016,19/01/2018,"CallOffFromFrameworkAgreement ",
ecm_3056,Contract,"Department for Work and Pensions",Awarded,2018-02-12T17:18:24Z,"ESF User researcher","User researcher for ESF/DCLG Project (This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts).",,"LS2 7UA","Any region","72150000 ",,CROSSCUTTING.TECHNOLOGYP-I@DWP.GSI.GOV.UK,"Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,,,,24/03/2016,23/04/2018,04/03/2016,NO,,No,No,No,Services,82499,,20/03/2016,82499,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|NONE||No|No]",,24/03/2016,23/04/2018,"CallOffFromFrameworkAgreement ",
16_03_06,Contract,"Nhs Business Services Authority",Awarded,2016-07-21T16:04:28Z,"NHS Pensions Digitisation","Provision of services to deliver the Alpha and Beta phases of the NHS Pensions Digitisation programme.",,,"North West","72000000 ","Hassan Kajee",hassan.kajee@nhs.net,"Stella House, Goldcrest Way","Newburn Riverside","Newcastle upon Tyne","NE15 8NY",England,,,,"https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/89 ",,25/07/2016,24/07/2018,14/06/2016,NO,,No,No,No,Services,264300,,04/07/2016,264300,"[Valtech Ltd|3rd Floor
120 Aldersgate Street
London EC1A 4JQ|||No|No]",,25/07/2016,24/07/2018,"Other ",
"Rapid Digital Resource Deployment Service",Contract,"DEPARTMENT FOR WORK AND PENSIONS",Awarded,2016-01-26T14:49:30Z,ItT_20313_02,"The Authority is looking to procure suppliers to provide individuals and teams to support to deliver our Digital Transformation agenda. The Authority is delivering a portfolio of Digital Services across lines of business. Nine digital roles are being procurred. The requirement is to deliver urgent resources rapidly i.e, within 5 days of receipt of requirement",,,"Any region","72000000 ","Michelle Collins",michelle.collins2@dwp.gsi.gov.uk,"DWP, Quarry House, Quarry Hill",,Leeds,"LS2 7UA",England,,,"Rapid Digital Resource Deployment Service ItT v10.docx Valtech Bid.pdf ",,,03/08/2016,02/08/2017,16/07/2015,NO,,Yes,Yes,No,Services,2818762,,02/08/2015,2818762,"[Valtech Ltd|120 Aldersgate Street, London EC1A 4JQ|||No|No]",,03/08/2015,02/08/2017,"NotSpecified ",
PS/14/98,Contract,"DRIVER & VEHICLE LICENSING AGENCY",Awarded,2015-11-09T09:51:28Z,"VM & PR Live Support","3rd Party support of DVLA's Vehicles Management and Personalised Registration.",,"SA6 7JL",Wales,"72000000 ",,samantha.hemsley@dvla.gsi.gov.uk,"DVLA Longview Road",,Swansea,"SA6 7JL",Wales,,,,,,21/04/2015,20/04/2016,10/04/2015,NO,,Yes,No,No,Services,32500,622728,25/03/2015,32500,"[Valtech Ltd|Valtech Ltd
3rd Floor
120 Aldersgate St
London
EC1A 4JQ|||No|No]",,21/04/2015,20/04/2016,"Open ",
DS02-013,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-08-21T08:05:53Z,"CSR Fast Track & Early Talent Online","PLEASE NOTE - THIS IS FOR TRANSPARENCY PURPOSES ONLY, ONLY CAPABLE SUPPLIERS UNDER THE DIGITAL SERVICES FRAMEWORK WILL BE INVITED TO BID.",,,London,"72000000 ","Digital Services Managed Service Team",ict_services@crowncommercial.gov.uk,"Rosebery Court, Central Avenue, St Andrews Business Park",,Norwich,"NR7 0HS",England,"0845 410 2222",https://www.gov.uk/government/organisations/crown-commercial-service,"DS02-013 CUSTOMER REQUIREMENTS.v2.docx DS02-013 APPENDIX A AWARD QUESTIONNAIRE Final.docx DS02-013 APPENDIX B PRICING MATRIX.xlsx DS02-013 Call-Off Contract Valtech (Fully Signed & Redacted).pdf ",,,14/09/2015,14/09/2017,22/08/2015,NO,,Yes,No,No,NotApplicable,0,,04/09/2015,0,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|||No|No]",,14/09/2015,14/09/2017,"NotApplicable ",
HSCIC-015-0005,Contract,"HEALTH AND SOCIAL CARE INFORMATION CENTRE",Awarded,2015-06-03T14:39:40Z,"Information Seeking Discovery","Information Seeking Discovery",,,"Yorkshire and the Humber,London","72000000 ",,procmail@hscic.gov.uk,"1 Trevelyan Square","Boar Lane",Leeds,"LS1 6AE",England,,,,,,01/01/2015,31/03/2015,11/12/2014,NO,,Yes,No,No,Services,38000,,09/02/2015,38000,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|||No|No]",,01/01/2015,31/03/2015,"NotApplicable ",
HSCIC-05-0004,Contract,"HEALTH AND SOCIAL CARE INFORMATION CENTRE",Awarded,2015-06-03T12:49:21Z,"Ruby Development","Ruby Development Project",,,"Yorkshire and the Humber","72000000 ",,procmail@hscic.gov.uk,"1 Trevelyan Square","Boar Lane",Leeds,"LS1 6AE",England,,,,,,09/02/2015,26/03/2015,16/01/2015,NO,,Yes,No,No,Services,23800,,26/01/2015,23800,"[Valtech Ltd|120 Aldersgate Street
London
EC1A 4JQ|||No|No]",,09/02/2015,31/03/2015," ",
