"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LANC001-DN312849-58489728,Contract,"Lancaster City Council",Awarded,2018-02-19T11:06:24Z,"Lancaster Local Plan Transport Assessment","Lancaster Local Plan Transport Assessment",,,"North West","73220000 ","Henry Cumbers",hcumbers@lancaster.gov.uk,"Town Hall","Dalton Square",Lancaster,"LA1 1PJ","United Kingdom","+44 1524582000",http://www.lancaster.gov.uk/,,,,20/02/2018,06/07/2018,24/01/2018,NO,,Yes,No,No,Services,80000,90000,19/02/2018,90000,"[WYG Environment Planning Transport Ltd|Quay West at MediaCityUK, Trafford Wharf Road, Trafford Park, Manchester.  M17 1HH|NONE||No|No]",,20/02/2018,06/07/2018,"Open ",
BFDMDC001-DN326060-42125286,Contract,"Bradford Metropolitan District Council",Awarded,2018-05-02T16:32:07Z,"Improvement to the Bradford to Shipley Corridor","The Council is seeking to appoint an experienced transport modelling consultancy to work with the project team and support:
•	Development of a cordon transport model for the Bradford to Shipley Corridor Improvement Project based on the SATURN modelling platform.
•	Coordinate data collection exercise in relation to the cordon transport model development using Bradford's existing (dates) SATURN strategic Transport Model
•	Amend the existing strategic Saturn model to test WY+TF proposals for Bradford to Shipley Corridor Improvement Project including providing support and input to Outline Business Case preparation (in particular the strategic , economic and commercial cases).  Economic appraisal may require the use of appropriate modelling software such as COBA, TUBA and QUADRO.
•	Provide recommendations to the Project team including interventions that better meet the objectives within the projects scope and constraints
•	To provide all the necessary modelling work and outputs required in accordance with WebTAG and WYCA'S Transport Business Case requirements
•	To liaise with the project team",,,"Yorkshire and the Humber","71311200 ","Alan Parsons",alan.parsons@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"+44 1274436690",http://www.bradford.gov.uk/bmdc,,,,17/04/2018,30/04/2019,16/04/2018,NO,,Yes,No,No,Services,40000,40000,23/04/2018,40000,"[WYG Environment Planning Transport Ltd|Leeds, LS26 2UJ|NONE||No|No]",,24/04/2018,28/06/2019,"Restricted ",
BUCKSH001-DN264709-53809063,Contract,"Buckinghamshire County Council",Awarded,2017-05-16T15:43:58Z,"Amersham School - Transport Assessment","Transport Assessment",,,"South East","45000000 ","Clark Lester",clester@buckscc.gov.uk,"1) NCO","Walton Street",Aylesbury,"HP20 1YQ","United Kingdom","+44 1296387141",http://www.buckscc.gov.uk,,,,05/06/2017,14/07/2017,15/05/2017,NO,,Yes,No,No,Services,5770,5770,16/05/2017,5770,"[WYG Environement Planning Transport Ltd|Hawkridge House, Chelston Business Park, Wellington, Somerset, TA21 8YA|||Yes|No]",,05/06/2017,14/07/2017,"Restricted ",
TRAF001-DN174908-61555560,Contract,"Trafford Council",Awarded,2018-06-04T14:46:23Z,"Altrincham Feasibility and Master Planning Study","Commission a feasibility and master-planning work to identify how the Altrincham site could be redeveloped for the delivery of residential uses with a decked car park on the existing surface level car park site as part of a single scheme.",,,"North West","73000000 79900000 ","Michael Crook",michael.crook@star-procurement.gov.uk,"Trafford Town Hall","2nd Floor Ext",Manachester,"M32 0TH",England,"+44 7773578366",http://www.trafford.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=15acfaf0-f453-e611-8114-000c29c9ba21 ",,22/08/2016,10/10/2016,21/08/2016,NO,,No,No,No,Services,15000,15000,22/08/2016,12904,"[WYG Environment Planning Transport Ltd|Quay West at MediaCityUK
Trafford Wharf Road
Trafford Park
Manchester
M17 1HH|NONE||Yes|No]","Andrew Bradshaw",01/09/2016,02/12/2016,"Open ",
RDC1,Contract,"Rother District Council",Awarded,2015-10-28T12:35:40Z,"Street Monitoring Surveys","Provide NI195 survey planning, inspections and reports.",,,"South East","90611000 ",,procurement@rother.gov.uk,"Rother District Council","Town Hall",Bexhill-On-Sea,"TN39 3JX",England,,,,,,01/08/2015,01/08/2016,03/07/2015,NO,,Yes,Yes,No,Services,49898,,24/08/2015,49898,"[WYG Environment Planning Transport Ltd|100 Saint John Street
London
EC1M 4EH|||No|No]",,01/08/2015,31/07/2016,"Other ",
"RDC - 007694 - AWARD",Contract,"SE Shared Services",Awarded,2016-08-17T15:41:45Z,"ESPH SB Street Cleanliness Surveys (ESPH141) - AWARD","**This project has now been awarded**

The Rother District Council – Joint Waste Partnership (JWP) are seeking Contractors to provide a Street Cleansing Monitoring Service.  The Joint Waste Partnership comprises the Waste Collection Authorities of Eastbourne Borough Council, Hastings Borough Council, Rother District Council and Wealden District Council as well as the Disposal Authority East Sussex County Council.

During 2011 and 2012 JWP procured a contract for the provision of waste collection and street cleansing services.  The contract was awarded to Kier Environmental Services Ltd who now collects refuse and recycling from all domestic households as well as being responsible for street and beach cleansing across the JWP area.

The National Indicator (NI) 195 methodology was used as a way for local authorities to measure the local environmental quality of their streets in a structured way.  It also provided local authorities with important performance management information which allowed them to drive up service delivery by focusing resources on poorly performing areas of their service.  It is for these reasons the joint waste and recycling street and beach cleansing contract adopted the NI 195 survey methodology as a way of measuring contractor performance.

The objective of the work is to provide JWP with an accurate, independent view of the standards of street cleansing by adopting NI 195 survey in each of the four partner council areas.  It is anticipated that the successful contractor would be required to start surveying in August 2016.

Please see the full tender for more information.

Deadline for receipt of clarifications: 17.06.2016

Deadline for receipt of tenders: 01.07.2016",,"TN39 3JX","South East","79311000 79311200 79311100 90500000 79311300 90700000 90000000 ","Cathy Nelson (WDC)",cathy.nelson@wealden.gov.uk,"London Road","Bexhill on Sea","East Sussex","TN39 3JX","United Kingdom","01323 443347 ",www.rother.gov.uk,,,,01/08/2016,31/07/2019,01/07/2016,NO,,Yes,Yes,No,Services,0,150000,25/07/2016,149688,"[WYG Environment Planning Transport Ltd|Arndale Court, Otley Road, Headingley, Leeds, West Yorkshire, United Kingdom, LS6 2UJ|||No|No]",,01/08/2016,31/07/2019,"Open ",
ENQ476,Contract,"Derby City Council",Awarded,2019-03-13T12:05:57Z,"ENQ476 - A52 LingSig and VISSIM review (Traffic Modelling)","Contract for Consultancy Services for A52 LingSig and VISSIM review (Traffic Modelling).
Call off from ESPO framework 664-17",,,"East Midlands","71311200 ",,procurement@derby.gov.uk,"Corporation Street",,Derby,DE12FS,England,"01332 640768",,,,,15/10/2018,14/04/2019,14/10/2018,NO,,No,No,No,Services,50000,,14/10/2018,50000,"[WYG Environment Planning Transport Ltd|Geneva Building Lake View Drive, Nottingham NG15 0ED|NONE||No|No]",,15/10/2018,14/04/2019,"CallOffFromFrameworkAgreement ",
CCD00436,Contract,"STEVENAGE BOROUGH COUNCIL",Awarded,2018-03-15T14:11:21Z,"Bus Station Redevelopment","AWARDED - This contract covers the design up to RIBA stage 3 of  bus station relocation and design, with the intention of successful bidder to remain in a design monitoring role for RIBA stage 3-7 (Construction).",,,"East of England","71311200 ","Corporate Procurement",procurement@stevenage.gov.uk,Danestrete,,STEVENAGE,SG11HN,England,01438242242,,,,,26/02/2018,31/01/2020,31/01/2018,NO,,No,No,No,Services,248340.62,,16/02/2018,248340.62,"[WYG Environment Planning Transport Ltd|Executive Park, Avalon Way, Anstey, Leicester, LE7 7GR|COMPANIES_HOUSE|3050297|No|No]",,26/02/2018,31/01/2020,"CallOffFromFrameworkAgreement ",
"RDC - 011691 - AWARD",Contract,"SE Shared Services",Awarded,2017-04-06T15:21:17Z,"ESPH AB East Sussex Joint Waste Delivery Options (ESPH165) - AWARD","Delivery options for the East Sussex Joint Waste Partnership - AWARDED",,"TN39 3JX","South East","90713000 ","Stephen Bottomley (WDC)",stephen.bottomley@wealden.gov.uk,"London Road","Bexhill on Sea","East Sussex","TN39 3JX","United Kingdom","01323 443354",www.rother.gov.uk,,,,07/12/2016,07/01/2017,02/12/2016,NO,,Yes,Yes,No,Services,0,12500,07/12/2016,12563.75,"[WYG Environment Planning Transport Ltd|Arndale Court, Otley Road, Headingley, Leeds, West Yorkshire, United Kingdom, LS6 2UJ|||No|No]","Julia Free",07/12/2016,07/01/2017,"Other ",
IOW001-DN127511-83538357,Contract,"Isle of Wight Council",Awarded,2017-03-16T10:01:19Z,"Mini Competition for Junction Improvement Design Works: Isle of Wight Highway through HCA Multi Disciplinary Panel","Junction Improvement Design Works - Isle of Wight Highway",,,"South West","71311210 ","Lucy Chandler",lucy.chandler@iow.gov.uk,"County Hall","High Street",Newport,"PO30 1UD","United Kingdom","+44 1983821000",http://www.iwight.com,,,,01/11/2016,01/03/2018,02/06/2016,NO,,Yes,No,No,Services,242733,,27/09/2016,242733,"[WYG Environment Planning Transport Ltd|The Pavilion, Botleigh Grange Office Campus, Hedge End, Southampton, SO30 2AF|||No|No]",,11/11/2016,01/03/2018,"Restricted ",
