"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
d0b15db1-edeb-41ff-bbad-829dc84e3d4c,Contract,"Crescent Purchasing Consortium (CPC)",Awarded,2018-04-16T15:02:31Z,"CA4435 - Legal Services Framework","The Contracting Authority wishes to establish a Framework Agreement for the provision of Legal Services. It is being established to meet the needs of Crescent Purchasing Consortium Members, http://www.thecpc.ac.uk/members and is also open for use by all contracting authorities across the public sector throughout the UK (and any future successors to these organisations). These include (but not limited to) central government departments and agencies, Non Departmental Public Bodies, NHS bodies, Local Authorities, Police Authorities, Emergency Services, Educational Establishments, Hospices, Registered Charities, National Parks and Registered Social Landlords. The Framework is being let across thirteen regional Lots and one National One-Stop-Shop lot. Full details of the classification of end user establishments and geographical areas is available at http://www.npg-ltd.com/tenders/. There will be a maximum of six suppliers awarded a place on each of the fourteen Lots.

Includes Lots: 
Lot 10: Wales
Lot 13: Channel Islands
Lot 11: West Midlands
Lot 1: East Anglia
Lot 8: South East England
Lot 5: North East England
Lot 4: Northern Ireland
Lot 2: East Midlands
Lot 9: South West England
Lot 6: North West England
Lot 7: Scotland
Lot 12: Yorkshire
Lot 14: National One-Stop-Shop
Lot 3: London

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA4435.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA4435 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"M6 6AP","Any region","79100000 ","Gary Sadler",support@multiquote.com,"Technology House","Lissadel Street",Salford,"M6 6AP",England,"0151 482 9230",https://suppliers.multiquote.com,,,,13/04/2018,31/03/2021,05/01/2018,NO,,Yes,No,No,Works,46000000,46000000,16/04/2018,800000,"[Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Michelmores LLP|Woodwater House, Pynes Hill, Exeter, EX2 5WR|NONE||No|No][Capsticks Solicitors LLP|1 , St George's Road, London, SW19 4DR|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Forbes Solicitors|Rutherford House, Wellington Street (St Johns), Blackburn, BB1 8DD|NONE||No|No][ROLLITS LLP|CITADEL HOUSE, 58 HIGH STREET, HULL, HU1 1QE|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Invicta Law Ltd|Priory Gate, 29 Union Street, Maidstone, ME141PT|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Arthur Cox|Victoria House, Gloucester Street, Belfast, BT1 4LS|NONE||No|No][Cleaver Fulton Rankin|50 Bedford Street, , Belfast, BT2 7FW|NONE||No|No][Carson McDowell LLP|Murray House, Murray Street, Belfast, BT16DN|NONE||No|No][King & Gowdy Solicitors|298 Upper Newtownards Road, , Belfast, BT4 3EJ|NONE||No|No][A&L Goodbody|42-46 Fountain Street, , Belfast, BT15EF|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Burnetts|6 Victoria Place, , Carlisle, CA1 1ES|NONE||No|No][Watson Burton (Newcastle)|1 St James' Gate, , Newcastle upon Tyne, NE99 1YQ|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Burnetts|6 Victoria Place, , Carlisle, CA1 1ES|NONE||No|No][Watson Burton (Newcastle)|1 St James' Gate, , Newcastle upon Tyne, NE99 1YQ|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Invicta Law Ltd|Priory Gate, 29 Union Street, Maidstone, ME141PT|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Michelmores LLP|Woodwater House, Pynes Hill, Exeter, EX2 5WR|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Capital Law Limited|Capital Building, Tyndall Street, Cardiff, CF10 4AZ|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Browne Jacobson LLP|Mowbray House, Castle Meadow Road, Nottingham, NG2 1BJ|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][ROLLITS LLP|CITADEL HOUSE, 58 HIGH STREET, HULL, HU1 1QE|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Sharpe Pritchard & Co|Elm Yard, 13-16 Elm Street, London, WC1X 0BJ|NONE||No|No][Watson Burton (Newcastle)|1 St James' Gate, , Newcastle upon Tyne, NE99 1YQ|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Blake Morgan LLP|Harbour Court , Compass Road, Portsmouth , PO6 4ST|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No][Michelmores LLP|Woodwater House, Pynes Hill, Exeter, EX2 5WR|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Shoosmiths LLP|Witan Gate House, 500-600 Witan Gate West, Milton Keynes, MK9 1SH|NONE||No|No][Ashfords LLP|Ashford House, Grenadier Road, Exeter, EX1 3LH|NONE||No|No][Eversheds LLP|One Wood Street, , London, EC2V 7WS|NONE||No|No][Capsticks Solicitors LLP|1 , St George's Road, London, SW19 4DR|NONE||No|No][Weightmans LLP|100 Old Hall Street, , Liverpool, L3 9QJ|NONE||No|No]","Peter McPartland",13/04/2018,31/03/2021,"Open ",
SUN001-DN333012-40747859,Contract,"Sunderland City Council",Awarded,2018-06-28T08:28:40Z,"Claims Handling Legal Services","Claims Handling Legal Services",,,"North East","79100000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7DN","United Kingdom","+44 1915611772",http://www.sunderland.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=xxxxxxxxxxx ",,12/10/2018,24/06/2022,17/05/2018,NO,,Yes,No,No,Services,190000,190000,26/06/2018,190000,"[Weightmans LLP|L3 9QJ|NONE||No|No][Forbes Solicitors|BB1 8DD|NONE||No|No][Kennedys Law LLP|EC3M 5AD|NONE||No|Yes]","Mr Peter McPartland",27/06/2018,26/06/2022,"Open ",
PLYM001-DN481437-18927435,Contract,"Plymouth City Council",Awarded,2020-06-09T15:08:13Z,"Provision of legal services","Provisional of legal services in respect of Public liability claims",,,England,"66519310 ","Sarah Stevens",sarah.stevens@plymouth.gov.uk,"Ballard House","West Hoe Road",Plymouth,"PL1 3BJ",England,"+44 1752398477",http://www.plymouth.gov.uk/,,,,05/05/2020,31/03/2021,28/04/2020,NO,,No,No,No,Services,30000,30000,04/05/2020,30000,"[Weightmans LLP|L3 9QJ|NONE||No|No]","03450 739 900",05/05/2020,31/03/2021,"Other ",
LEEDSCITY001-DN453856-98796735,Contract,"Leeds City Council",Awarded,2019-12-17T10:17:39Z,"Lot 7 - Major or Complex Procurements","Procurement and Commercial Services legal support call off from WYLAW framework",,,"Yorkshire and the Humber","79000000 ","Neil Barrett",neil.barrett@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL","United Kingdom",,http://www.leeds.gov.uk,,,,01/01/2020,31/12/2020,12/12/2019,NO,,No,No,No,Services,25000,25000,13/12/2019,25000,"[Weightmans LLP|100 Old Hall Street, Liverpool, Merseyside, L3 9QJ|NONE||No|No]",,01/01/2020,31/12/2020,"DirectAward ",
18/VCO/20,Contract,"Solent University",Awarded,2019-05-14T08:54:40Z,"Provision of Legal Services","This contract has been awarded and this notice is for transparency purposes only.  Contract for the provision of legal services following a further competition via the LUPC Legal Services (National) Framework Agreement - Lot 7 One Stop Shop.  

Initial contract period is 24 months with option to extend for a further 2 x 12 month periods.  

It is anticipated that spend for this contract will be IRO £400,000 to £600,00 over the lifetime of the contract allowing for extension options being taken up.",,,"South East","79100000 ","Inez Scudder",inez.scudder@solent.ac.uk,"East Park Terrace",,SOUTHAMPTON,SO140YN,England,"023 8201 3604",,,,,01/04/2019,31/03/2023,31/07/2018,NO,,Yes,No,No,Services,0,,26/03/2019,0,"[Weightmans LLP|No 1 Spinningfields
Hardman Square
Manchester
M3 3EB|COMPANIES_HOUSE|OC326117|No|No]",,01/04/2019,31/03/2023,"CallOffFromFrameworkAgreement ",
LEEDSCITY001-DN402884-94121516,Contract,"Leeds City Council",Awarded,2019-04-08T08:34:43Z,"Legal Advice","Provision of general contract and commercial and procurement work and advice on an ad-hoc basis.",,,"Yorkshire and the Humber","79100000 ","John Wilkinson",john.wilkinson@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"0113 37 85938",http://www.leeds.gov.uk,,,,01/04/2019,31/08/2019,30/03/2019,NO,,No,No,No,Services,11000,11000,31/03/2019,11000,"[Weightmans LLP|L3 9QJ|NONE||No|No]","Miss Tina Price",01/04/2019,31/08/2019,"DirectAward ",
LEEDSCITY001-DN389196-72409832,Contract,"Leeds City Council",Awarded,2019-01-24T14:41:47Z,"Legal Advice","Provision of general contract and commercial and procurement work and advice on an ad-hoc basis.",,,"Yorkshire and the Humber","79100000 ","John Wilkinson",John.Wilkinson@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"13 37 85938",http://www.leeds.gov.uk,,,,22/01/2019,31/03/2019,20/01/2019,NO,,No,No,No,Services,11000,11000,21/01/2019,11000,"[Weightmans LLP|L3 9QJ|NONE||No|No]","Miss Tina Price",22/01/2019,31/03/2019,"DirectAward ",
16656584,Contract,"CHESHIRE EAST COUNCIL",Awarded,2018-12-18T14:25:36Z,"CPO Legal Services for A500 Dualling Scheme","Advising on CPO and associated side roads order required to deliver dualling scheme for A500 in Crewe.",,,"North West","79100000 ","Nia Wolley",nia.wolley@cheshireeast.gov.uk,WESTFIELDS,,SANDBACH,CW111HZ,England,"01270 685841 ext 85841",,,,,03/09/2018,03/09/2021,17/08/2018,NO,,Yes,No,No,Services,40595,,22/08/2018,40595,"[Weightmans Llp|Riverbridge House
DA2 6SL
GB|NONE||No|No]",,03/09/2018,03/09/2021,"CallOffFromFrameworkAgreement ",
"HDC 250 Section 106 advice",Contract,"Harborough District Council",Awarded,2018-11-28T11:50:36Z,"HDC 250 Section 106 advice","Legal advice re Section 106 planning",,,"East Midlands","79100000 ",,commissioning@harborough.gov.uk,"The Symington Building",,"Market Harborough","LE16 7AG",England,,,,,,11/07/2018,10/07/2020,04/06/2018,NO,,Yes,No,No,Services,40000,,10/07/2018,40000,"[Weightmans LLP|Westgate Point, Leeds

LS1 2AX|COMPANIES_HOUSE|OC326117|No|No]",,11/07/2018,10/07/2020,"CompetitiveQuotationNonOJEU ",
"18-016 S/FIN - AWARD",Contract,"University of Cumbria",Awarded,2018-07-09T12:52:20Z,"Provision of Legal Services (Mini Comp - Legal Services Framework Agreement - Ref: PFB5041 LU) - AWARD","The University wish to appoint a supplier of Legal Services using Lot 7 (one stop shop) of the Legal Services Framework Ref PFB5041 LU. Details of the services required will be outlined in the Specification and Commercial Requirements section of this document.",,"CA1 2HH","North West","79100000 ","Brett Dixon",brett.dixon@cumbria.ac.uk,Carlisle,Carlisle,Cumbria,"CA1 2HH","United Kingdom","01228 616265",,,,,01/08/2018,31/07/2021,01/06/2018,NO,,No,No,No,Services,0,,09/07/2018,0,"[Weightmans LLP|100 Old Hall Street, Liverpool, United Kingdom, L3 9QJ|NONE||No|No]","Elliot Robinson",01/08/2018,31/07/2021,"Restricted ",
