"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"Project: prj__7239 - For the supply and delivery of 25 Complete Portable Wireless CCTV units/2",Contract,"London Borough Of Hillingdon",Awarded,2017-03-28T07:49:00Z,"Supply and delivery of 25 Complete Portable Wireless CCTV units","RE-ADVERTISEMENT
The Council of London Borough of Hillingdon wishes to purchase 25 x wireless portable CCTV units as a flexible alternative to installing fixed CCTV cameras and poles. 

The cameras should be suitable to collect evidence to support the police and/or local authority enforcement in response to resident concerns about crime and anti-social behaviour including fly-tipping in the area. . 

The equipment must be of a suitable build quality that allows for deployment flexibly for up to 12 weeks at a time. 

The cameras should be suitable for temporary fixture to existing street light columns and be able to be connected to existing power supply within the column.

The cameras should have 30 day recording capability within the unit, and the capability for images to be viewed and downloaded remotely on a standard computer (the ""viewing platform"") using the software supplied by the supplier, using wireless transmission. The range would be within the London Borough of Hillingdon. 

****The full tender opportunity is advertised on www.capitalesourcing.com.****",,,London,"35121000 ","Allison Mayo",amayo2@hillingon.gov.uk,"Civic Centre, High Street",,Uxbridge,"UB8 1UW",England,01895556354,,,,,01/11/2016,31/10/2019,14/10/2016,YES,"Project: prj__7239 - For the supply and delivery of 25 Complete Portable Wireless CCTV units",No,No,No,Products,100000,,01/12/2016,105000,"[Wireless CCTV Ltd|Charles Babbage House
Kingways Business Park
Rochdale 
Lancashire
OL16 4NW|||No|No]",,12/12/2016,11/12/2019,"Open ",
KNOWS001-DN442015-13408057,Contract,"Knowsley Council",Awarded,2020-01-13T14:52:56Z,"Supply and Installation of Re-deployable and Wireless CCTV","Supply and Installation of Re-deployable and Wireless CCTV",,,"North West","32231000 ","Faye Williamson",faye.williamson@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,"+44 1514434246",http://www.knowsley.gov.uk,,,,16/12/2019,28/02/2020,29/10/2019,NO,,No,No,No,Works,79999,79999,07/11/2019,79999,"[Wireless CCTV Ltd|OL16 4NW|NONE||Yes|No]","MR Daniel Stokes",16/12/2019,28/02/2020,"Open ",
tender_129398/699117,Contract,"London Borough of Hillingdon",Awarded,2018-08-24T15:51:20Z,"For the supply and delivery of 25 Complete Portable Wireless CCTV units","Contract Award Notice for the supply and delivery of 25 complete portable wireless CCTV units.",,"UB8 1UW","Any region","32235000 ",,amayo2@hillingdon.gov.uk,"High Street, Civic Centre",,Uxbridge,"UB8 1UW",England,,,,,,12/12/2016,11/12/2019,07/10/2016,NO,,No,No,No,Products,105000,,01/12/2016,105000,"[Wireless CCTV Ltd|Charles Babbage House, Kingway Business Park, Rochdale Lancashire OL16 4NW|NONE||No|No]",,12/12/2016,11/12/2019,"OpenNonOJEU ",
tender_150017/621668,Contract,"London Borough of Hillingdon",Awarded,2017-09-21T10:20:22Z,"Supply & delivery of 25 Mobile CCTV Cameras","The London Borough of Hillingdon wishes to purchase 25 x wireless portable CCTV units as a flexible alternative to installing fixed CCTG cameras and poles. The cameras should be suitable to collect evidence to support the police and / or local authority enforcement in response to resident concerns about crime and anti-social behaviour including fly- tipping in the area. The equipment must be of a suitable build quality that allows for deployment flexibly for up to 12 weeks at a time. The cameras should be suitable for temporary fixture to 6m street light columns and be able to be connected to existing power supply within the column. The cameras should have 30 day recording capability within the unit and the capability for images to be viewed and downloaded remotely on a standard computer ( the 'viewing platform') using the software supplier by the supplier, using wireless transmission, The range would be within the London Borough of Hillngdon.",,"UB8 1UW","Any region","32234000 ",,amayo2@hillingdon.gov.uk,"Civic Centre, High Street",,Uxbridge,"UB8 1UW",England,,,,,,18/09/2017,17/09/2020,04/08/2017,YES,tender_150017/600158,Yes,No,No,Products,105000,,07/09/2017,105000,"[Wireless CCTV Ltd|Charles Babbage House, Kingsway Business Park, Rochdale, Lancashire OL16 4NW|||No|No]","Ross Johnstone",18/09/2017,17/09/2020,"Open ",
1025846a,Contract,"Sunderland City Council",Awarded,2019-03-13T10:12:26Z,"4G High Definition CCTv Cameras and Airtime","Provision of re deployable 4G High Definition CCTv cameras and airtime.",,,"North East","32234000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Burdon Road",,Sunderland,SR27DN,England,"0191 5611772",,,,,26/02/2019,25/02/2020,25/02/2019,NO,,No,No,No,Services,36850,36850,25/02/2019,36850,"[Wireless CCTV Ltd|Charles Babbage Avenue, Kingsway Business Park, Rochdale, OL16 4NW|NONE||No|No]",,26/02/2019,25/02/2020,"Other Direct Award",
1025846,Contract,"Sunderland City Council",Awarded,2018-02-23T15:40:32Z,"4G HD CCTv Cameras and Airtime","4G CCTv Cameras and Airtime",,,"North East","35121000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Burdon Road",,Sunderland,SR27DN,England,"0191 5611772",,,,,21/02/2018,31/01/2019,20/02/2018,NO,,No,No,No,Services,55040,,20/02/2018,55040,"[Wireless CCTV Ltd|Charles Babbage Avenue, Kingsway Business Park, Rochdale, OL16 4NW|NONE||No|No]",,21/02/2018,31/01/2019,"Other Direct Award",
"COV - 8611 - AWARD",Contract,"Coventry - Solihull - Warwickshire",Awarded,2020-02-25T10:38:11Z,"COV -  Supply of  surveillance cameras - AWARD","Coventry City Council's Environmental Services are seeking to procure a contract to purchase surveillance cameras for 'policing' fly tipping in some City of Coventry streets. The intention is to run a pilot in six streets within the City which forms the contracts initial requirement. Each of the streets will require 2 cameras so a total of 12 in all. The cameras will require a software solution to be supplied that allows Environmental Services to download data from the cameras (the cameras would need to be capable of storing 30 days of data, which is overwritten by new data on a 30-day cycle) and remotely rotate the cameras to focus on different parts of the street as necessary. Please see the Invitation To Tender (ITT) document for further information on the required specification of the cameras and software. 
      
      The awarded contract will remain open for  the supply of the ongoing software and any further call off of the surveillance cameras during the term of the agreement.",,"CV1 2GN","West Midlands","32234000 ","Michael Duffy",michael.duffy@coventry.gov.uk,Coventry,Coventry,Coventry,"CV1 2GN","United Kingdom","024 7697 1414",,,,,02/03/2020,01/03/2024,21/01/2020,NO,,Yes,No,No,Products,0,240000,25/02/2020,0,"[Wireless CCTV Ltd|Charles Babbage House,, Kingsway Business Park, Rochdale, Greater Manchester, United Kingdom, OL16 4NW|NONE||No|No]","Ross Johnstone",02/03/2020,01/03/2024,"Open ",
CN1002008,Contract,"EMSCU Nottinghamshire Police",Awarded,2019-03-04T14:12:38Z,"Body Worn Video Devices, DEAMS (Digital Evidence and Asset Management Software) and Ancillary Products, Services and Solutions - Lot. 3 Integrated BWV Devices and DEAMS Solution","EMSCU has undertaken a compliant EU tender exercise under the Restricted Procedure of the Public Contract Regulations (2015) to establish a national DPS Framework agreement for Body Worn Video Devices, DEAMS (Digital Evidence and Asset Management Software) and Ancillary Products, Services and Solutions for a period of 4 years +1 +1 from the 14.1.2019.
The contractors are providing a service through which other contracting bodies can access data which is specified within the specification, this is an indication of the broad specification for services that OCB's may require over the lifetime of the Contract. The Provision of Body Worn Video Devices, DEAMS (Digital Evidence and Asset Management Software) and ancillary products, services and solutions is an indicative outline of our requirements and not exhaustive of the provision of data and capability required.",,,"Any region","32000000 ","Elly Grayston",elly.grayston@emscu.pnn.police.uk,"Nottinghamshire Police Headquarters",,Nottingham,NG58PP,England,07595011965,,,,,29/01/2019,28/01/2026,16/12/2018,NO,,Yes,No,No,Products,18000000,,28/01/2019,1,"[Audax Global Solutions Ltd|Unit 16, Mary Seacole Road
The Millfields
Plymouth
Devon 
PL1 3JY|NONE||No|No][Axon Public Safety UK Limited|2c Riley Close
Daventry
Northamptonshire
NN11 8QT|NONE||No|No][David Horn Communications Ltd|22 Ringwood Road
Luton
Beds
LU2 7BG|NONE||No|No][Edesix Ltd|16 Forth Street
Edinburgh
EH1 3LH|NONE||No|No][Motorola Solutions UK Limited|Nova South
160 Victoria Street
London
SW1E 5LB|NONE||No|No][Pinnacle Response Ltd|13 Harbour Court
Heron Road, Belfast
BT3 9HB|NONE||No|No][Reveal Media Ltd|300 Pavilion Drive
Northampton
NN4 7YE|NONE||No|No][RSG Engineering Ltd (WatchGuard Video)|19 Hollies Business Park
Cannock 
Staffordshire
WS11 1DB|NONE||No|No][Wireless CCTV Ltd|Charles Babbage House
Kingsway Business Park
Rochdale
OL16 4NW|NONE||No|No]",,29/01/2019,28/01/2026,"RestrictedOJEU ",
CN1002006,Contract,"EMSCU Nottinghamshire Police",Awarded,2019-03-04T13:56:46Z,"Body Worn Video Devices, DEAMS (Digital Evidence and Asset Management Softare) and Ancillary Products Services and Solutions - Lot 1 Body Worn Video Devices","EMSCU  undertook a compliant EU tender exercise under the Restricted Procedure of the Public Contract Regulations (2015) to establish a national DPS Framework agreement for Body Worn Video devices, DEAMS (Digital Evidence and Asset Management Software) and ancillary products, services and solutions for a period of 4 years +1 +1 from the 14.1.2019.
The contractors are providing a service through which other contracting bodies can access data which is specified within the specification, this is an indication of the broad specification for services that OCB's may require over the lifetime of the Contract. The provision of Body Worn Video devices, DEAMS (Digital Evidence and Asset Management Software) and ancillary products, services and solutions is an indicative outline of our requirements and not exhaustive of the provision and capability required.",,,"Any region","32000000 ","Elly Grayston",elly.grayston@emscu.pnn.police.uk,"Nottinghamshire Police Headquarters",,Nottingham,NG58PP,England,07595011965,,,,,29/03/2019,28/01/2026,16/12/2018,NO,,Yes,No,No,Products,45000000,,28/01/2019,1,"[Audax Global Solutions Ltd|Unit 16, Mary Seacole Road
The Millfields
Plymouth
Devon 
PL1 3JY|NONE||No|No][Axon Public Safety UK Limited|2c Riley Close
Daventry
Northamptonshire
NN11 8QT|NONE||No|No][Edesix Ltd|16 Forth Street
Edinburgh
EH1 3LH|NONE||No|No][Joel Technologies|42 Queens Road
Coventry 
CV1 3DX|NONE||No|No][Motorola Solutions UK Limited|Nova South
160 Victoria Street
London
SW1E 5LB|NONE||No|No][Pinnacle Response Ltd|13 Harbour Court
Heron Road, Belfast
BT3 9HB|NONE||No|No][Radiocoms Systems Limited|Units 2&3 Chase Centre
8 Chase Road
London
NW10 6QD|NONE||No|No][Reveal Media Ltd|300 Pavilion Drive
Northampton
NN4 7YE|NONE||No|No][RSG Engineering Ltd (WatchGuard Video)|19 Hollies Business Park
Cannock 
Staffordshire
WS11 1DB|NONE||No|No][Wireless CCTV Ltd|Charles Babbage House
Kingsway Business Park
Rochdale
OL16 4NW|NONE||No|No][David Horn Communications Ltd|22 Ringwood Road
Luton
Beds
LU2 7BG|NONE||Yes|No]",,29/03/2019,28/01/2026,"RestrictedOJEU ",
CN1002007,Contract,"EMSCU Nottinghamshire Police",Awarded,2019-03-04T13:55:05Z,"Body Worn Video Devices, DEAMS (Digital Evidence and Asset Management Software) and Ancillary Products, Services and Solutions - Lot. 2 Digital Evidence and Asset Management Software Solution","EMSCU has undertaken a compliant EU tender exercise under the Restricted Procedure of the Public Contract Regulations (2015) to establish a national DPS Framework Agreement for body worn video devices, DEAMS (Digital Evidence and Asset Management Software) and ancillary products, services and solutions for a period of 4 years +1 +1 from the 14.1.2019.
The contractors are providing a service through which other contracting bodies can access data which is specified within the specification, this is an indication of the broad specification for services that OCB's may require over the lifetime of the Contract. The provision of body worn video devices, DEAMS (Digital Evidence and Asset Management Software) and ancillary products, services and solutions is an indicative outline of our requirements and not exhaustive of the provision of data and capability required.",,,"Any region","32000000 ","Elly Grayston",elly.grayston@emscu.pnn.police.uk,"Nottinghamshire Police Headquarters",,Nottingham,NG58PP,England,07595011965,,,,,29/01/2019,28/01/2026,16/12/2018,NO,,Yes,No,No,Products,27000000,,28/01/2019,0,"[Aetopia Limited|1 Lanyon Quay
BELFAST
BT1 3LG|NONE||Yes|No][Axon Public Safety UK Limited|2c Riley Close
Daventry
Northamptonshire
NN11 8QT|NONE||No|No][David Horn Communications Ltd|22 Ringwood Road
Luton
Beds
LU2 7BG|NONE||No|No][Edesix Ltd|16 Forth Street
Edinburgh
EH1 3LH|NONE||No|No][Hitachi Vantara Limited|Sefton Park
Bells Hill
Slough
Buckinghamshire
SL2 4HD|NONE||No|No][Medialogix Ltd|Forward House
17 High Street
Henley in Arden
Warwickshire
B95 5AA|NONE||No|No][Motorola Solutions UK Limited|Nova South
160 Victoria Street
London
SW1E 5LB|NONE||No|No][NICE Systems UK Limited|Tollbar House
Tollbar Way
Hedge End
Southampton
SO30 2ZP|NONE||No|No][Reveal Media Ltd|300 Pavilion Drive
Northampton
NN4 7YE|NONE||No|No][Wireless CCTV Ltd|Charles Babbage House
Kingsway Business Park
Rochdale
OL16 4NW|NONE||No|No]",,29/01/2019,28/01/2026,"RestrictedOJEU ",
