"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DAR001-DN487319-43279597,Contract,"Darlington Borough Council",Awarded,2020-07-14T14:20:58Z,"PB2020-00097- Day Placement","PB2020-00097- Provision of a day placement for a young person.",,,England,"80000000 ","Bronwyn Lilley",bronwyn.lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT",England,"01325 405498",http://www.darlington.gov.uk,,,,22/06/2020,31/07/2022,20/06/2020,NO,,Yes,No,No,Services,207063,207063,21/06/2020,207063,"[Witherslack Group|LA6 2PR|NONE||Yes|No]","Mrs Sarah Williamson",22/06/2020,31/07/2022,"DirectAward ",
DAR001-DN434996-54023168,Contract,"Darlington Borough Council",Awarded,2019-09-11T10:03:04Z,"P2019/2059/CS Day Placement","P2019/2059/CS Day Placement",,,"North East","85000000 ","Claire Weatherburn",claire.weatherburn@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT",England,"+44 1325405497",http://www.darlington.gov.uk,,,,01/09/2019,01/07/2022,01/08/2019,NO,,Yes,No,No,Works,216558,216558,02/08/2019,216558,"[Witherslack Group|LA6 2PR|NONE||No|No]","Mrs Sarah Williamson",01/09/2019,01/07/2022,"DirectAward ",
DAR001-DN433576-89609901,Contract,"Darlington Borough Council",Awarded,2019-09-04T12:15:58Z,"P2019/2017/PE - Day Placement","P2019/2017/PE - Day Placement",,,"North East","80000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/05/2019,19/07/2022,29/04/2019,NO,,Yes,No,No,Services,219100,219100,30/04/2019,219100,"[Witherslack Group|Kingfisher House, St John's Rd, Meadowfield, Durham DH7 8TZ|NONE||Yes|No]","Ms Fabia Cipolat",01/05/2019,19/07/2022,"DirectAward ",
DAR001-DN430520-41051822,Contract,"Darlington Borough Council",Awarded,2019-08-19T16:54:55Z,"P2019/1977/CS Education","P2019/1977/CS Education",,,"North East","80000000 ","Tom Hammond",tom.hammond@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT",England,"+44 1325405489",http://www.darlington.gov.uk,,,,07/01/2019,06/07/2023,01/01/2019,NO,,Yes,No,No,Works,274992,274992,02/01/2019,274992,"[Witherslack Group|LA6 2PR|NONE||No|No]","Mrs Fabia Cipolat",07/01/2019,06/07/2023,"DirectAward ",
DAR001-DN423977-97623941,Contract,"Darlington Borough Council",Awarded,2019-07-19T13:17:59Z,"P2019/1950/CS - Day Placement","P2019/1950/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,29/04/2019,31/07/2023,27/04/2019,NO,,Yes,No,No,Services,284843,284843,28/04/2019,284843,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",29/04/2019,31/07/2023,"DirectAward ",
DAR001-DN423037-64163858,Contract,"Darlington Borough Council",Awarded,2019-07-16T12:37:20Z,"P2019/1970/CS - Day Placement","P2019/1970/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/09/2017,01/07/2019,30/08/2017,NO,,Yes,No,No,Services,119244,119244,31/08/2017,119244,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",01/09/2017,01/07/2019,"DirectAward ",
DAR001-DN423019-84204809,Contract,"Darlington Borough Council",Awarded,2019-07-16T12:14:37Z,"P2019/1971/CS - Day Placement","P2019/1971/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/06/2017,01/07/2021,30/05/2017,NO,,Yes,No,No,Services,196422,196422,31/05/2017,196422,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",01/06/2017,01/07/2021,"DirectAward ",
DAR001-DN422983-47620244,Contract,"Darlington Borough Council",Awarded,2019-07-16T12:01:20Z,"P2019/1972/CS - Day Placement","P2019/1972/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/06/2019,01/07/2021,30/05/2019,NO,,Yes,No,No,Services,196422,196422,31/05/2019,196422,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",01/06/2019,01/07/2021,"DirectAward ",
DAR001-DN422970-60640129,Contract,"Darlington Borough Council",Awarded,2019-07-16T11:24:36Z,"P2019/1973/CS - Day Placement","P2019/1973/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/09/2017,01/07/2019,30/08/2017,NO,,Yes,No,No,Services,130948,130948,31/08/2017,130948,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",01/09/2017,01/07/2019,"DirectAward ",
DAR001-DN422955-23074607,Contract,"Darlington Borough Council",Awarded,2019-07-16T11:08:45Z,"P2019/1974/CS - Day Placement","P2019/1974/CS - Day Placement",,,"North East","85000000 ","Bronwyn Lilley",Bronwyn.Lilley@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/09/2017,01/07/2021,30/08/2017,NO,,Yes,No,No,Services,261896,261896,31/08/2017,261896,"[Witherslack Group|Lupton Tower, Lupton LA6 2PR|NONE||Yes|No]","Ms Fabia Cipolat",01/09/2017,01/07/2021,"DirectAward ",
