"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
ITP1142,Contract,"Valuation Office Agency",Awarded,2019-05-03T15:32:03Z,"Service & Maintenance Provision for Xerox and Lexmark Printers","Please note that this contract has already been awarded and that this contract is being published for transparency purposes only. 

Service & Maintenance Provision for Xerox and Lexmark Printers

Call Off from Crown Commercial Services 

RM3781 - Multifunctional Devices & Services, Managed Print Services and Print  Audit Services, Lot 2

This contract is for the provision of the Service & Maintenance Provision for Xerox and Lexmark Printers",,,"Any region","50000000 ",,itprocurement@voa.gsi.gov.uk,"Valuation Office Agency","Contract & Commercial Team, Redgrave Court, Merton Road","Bootle, Liverpool","L20 7HS",England,,,,,,01/06/2019,31/05/2020,29/03/2019,NO,,No,No,No,Services,91138.67,,29/03/2019,91138.67,"[Xerox (UK) Ltd|Riverview, Oxford Road, Uxbridge, Middlesex, UB8 1HS|COMPANIES_HOUSE|330754|No|No]",,01/06/2019,31/05/2020,"CallOffFromFrameworkAgreement ",
BIP274272685,Contract,"Poole Hospital NHS Foundation Trust",Awarded,2017-08-20T14:27:06Z,"Fully Managed Print Services","Fully managed print services including print room, consumable and support.",,,"South West","30232100 ","Paul Roberts",paul.roberts@poole.nhs.uk,"Longfleet Road",null,Poole,"BH15 2JB",UK,+441202442787,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=274272685 ",,01/07/2016,30/06/2021,28/01/2015,NO,,Yes,No,No,Services,1161225,,28/01/2015,1161225,"[Xerox (UK) Ltd|Bridge House
        Oxford Road
        Uxbridge
        UB8 1HS|||No|No][Xerox (UK) Ltd.|Bridge House
        Oxford Road
        Uxbridge
        UB8 1HS|||No|No]",,01/07/2016,30/06/2021,"Other ",
HACK001-DN459550-93156999,Contract,"London Borough of Hackney",Awarded,2020-01-23T09:37:29Z,"Xerox Multi Functional Devices Contract - 4 month extension","The continued provision of multi-functional printing devices covering all on-demand printing for the Council.",,,London,"30120000 ","LBH eProcurement Team",eprocurement@hackney.gov.uk,"Hackney Service Centre","1 Hillman Street",Hackney,"E8 1DY",England,"+44 2083563000",http://www.hackney.gov.uk,,,,01/01/2020,30/04/2020,27/12/2019,NO,,No,No,No,Services,68000,68000,31/12/2019,68000,"[Xerox UK Ltd|P. O BOX 4017
WORTHING
WEST SUSSEX
BN13 1WG|NONE||No|No]",,01/01/2020,30/04/2020,"Other ",
"SCC 233 - AWARD",Contract,"Sandwell Metropolitan Borough Council",Awarded,2018-03-07T08:21:37Z,"Tender for the Provision of Printing and Related Services - AWARD","Tender for the Provision of Printing and Related Services
      
      Sandwell Metropolitan Borough Council (the Council) is undertaking this procurement exercise to establish a provider to deliver printing and related services.  The procurement process is a competitive procedure with negotiation. This procurement process has been selected because the contract cannot be awarded without prior negotiation because of specific circumstances relating to the nature of the contract.  In order to assist the process the Council will set out its current position and its key requirements and outcomes, and its aspirations for the new contract in sufficient detail to enable potential providers to identify the nature and scope of the procurement and decide whether to request to participate in the process. 
      
      The current contract expires on 31st March 2018.  It is anticipated that the new contract will be for a five (5) year period from 1st January 2018 to 31st December 2023 with the option to extend for up to a further two (2) years between 1st January 2024 and 31st December 2026. 
      
      The Council is seeking to negotiate a reasonable break clause within the duration of the contract. However, the Council would like to leave this open to negotiation so that Tenderers can put forward proposals as part of the negotiations.
        
      The Council will be using the In-tend e-Tendering System for this Procurement exercise, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.
      
      From here you will be able to register your company, express an interest in the opportunity, and gain immediate access to the ITT and other related documents.
      
      In Order To View the On-Line Questionnaire and Submit a Tender, you will be required to` Opt-In`.   
      
      Please be mindful that if you are cut and pasting your question responses onto the On-Line Questionnaire that you do so from a notepad document, this is due to the fact that some special characters are not accepted within the On-Line Questionnaire. 
      
      For a Step by Step user guide to the Sandwell MBC In-tend Supplier Portal please click on the `Guidance for Suppliers` section of the website. All procurement responses must be carried out via the Sandwell MBC In-tend Supplier Portal.  
      
      If you require further assistance in respect of the system please contact the In-tend support team on 0844 272 8810.
      
      Closing date: Thursday 17 August 2017 at 15:00hrs",,"B69 3DB","West Midlands","79800000 ","Carole Le Roux",carole_leroux@sandwell.gov.uk,"Freeth Street",Oldbury,"West Midlands","B69 3DB","United Kingdom","0121 569 3628",,,,,01/01/2018,31/12/2023,17/08/2017,NO,,No,No,No,Services,0,,20/10/2017,0,"[Xerox (UK) Ltd|Bridgehouse, Oxford Road, Uxbridge, Middlesex, United Kingdom, UB81HS|NONE||No|No]","John Oster",01/01/2018,31/12/2023,"Open ",
CF-0095900D58000000L5A4EAK1,Contract,"Home Office",Awarded,2020-01-18T13:56:19Z,"Home Office Managed Print Service","Delays in contract delivery. The contract value is based on a ""pay per click"" value.",,"SW1P 4DF","Any region","79810000 ","Christopher Wynne",christopher.wynne@homeoffice.gov.uk,"2 Marsham St, Westminster",,London,"SW1P 4DF",GB,,,,,,17/08/2015,16/08/2020,17/08/2015,NO,,No,No,No,NotApplicable,8500000,8500000,17/08/2015,8500000,"[Xerox UK Ltd|Waterside, Oxford Road, Uxbridge, Middlesex, England, UB8 1HS|NONE||No|No]",,17/08/2015,16/08/2020,"CallOffFromFrameworkAgreement ",
ITPD0025,Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-12-03T12:44:41Z,"Highways England Managed Print Service","Highways England Events App",,,"Any region","48824000 ",,transparencysgrm@highwaysengland.co.uk,"Highways England","The Cube",Birmingham,"B1 1RN",England,,,"redacted SIgned Highways England Call-Off-Order-Form-and-Call-Off-terms  V0.13 - Signed on behalf of Xerox_Redacted.pdf ",,,01/05/2020,30/04/2025,27/09/2019,NO,,No,No,No,Services,2000000,2000000,27/09/2019,2000000,"[Xerox UK Ltd|Bridge House, Oxford Road 
Uxbridge 
UB8 1HS|NONE||No|No]",,01/05/2020,30/04/2025,"CallOffFromFrameworkAgreement ",
CF-0043300D58000000L5A4EAK1,Contract,"Home Office",Awarded,2019-03-19T15:03:56Z,"HMPO Multi Functional Devices",Photocopiers,,"SW1P 4DF","Any region","72000000 ","Simon Moulton",simon.moulton@hmpo.gsi.gov.uk,"2 Marsham St, Westminster",,London,"SW1P 4DF",GB,,,,"https://atamis-8888.cloudforce.com/sfc/p/58000000L5A4/a/4I000001HwUb/D54CMIsXElWa0hLb0bEkhBPSHC1YPXdNIqXM53sgPrg ",,16/10/2016,25/10/2020,16/10/2016,NO,,No,No,No,Services,120000,120000,16/10/2016,120000,"[Xerox UK Ltd|Waterside, Oxford Road, Uxbridge, Middlesex, England, UB8 1HS|NONE||No|No]",,16/10/2016,25/10/2020,"CallOffFromFrameworkAgreement ",
BIP68960653,Contract,"Ministry of Defence, C&C, Naval Authority Group",Awarded,2018-12-13T13:53:14Z,"To provide a 3 year lease with 2 one year options on  colour digital print facilities","To provide a 3 year lease with 2 one year options on  colour digital print facilities",,,"South East","79811000 ",,lee.culshaw100@mod.gov.uk,"Jago Road","HM Naval Base",Portsmouth,"PO1 3LU",UK,+442392727472,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Portsmouth: Digital printing services.'.",01/12/2018,30/11/2021,28/11/2018,NO,,Yes,No,No,Products,111499,,28/11/2018,111499,"[Xerox (UK) Ltd|Waterside
        Oxford Road
        Uxbridge
        UB8 1HS|NONE||No|No]",,01/12/2018,30/11/2021,"Restricted ",
"RM3781 MFD's",Contract,"Lancashire Fire & Rescue Service",Awarded,2018-11-14T12:24:59Z,"Multifunctional Devices","Award of Framework Agreement",,,"North West","30121100 ","Angela Hague",angelahague@lancsfirerescue.org.uk,"Garstang Road",,PRESTON,PR23LH,England,"01772 866915 ext 6915",,,,,01/01/2019,31/12/2023,02/05/2018,NO,,No,No,No,Products,0,,13/09/2018,410000,"[Xerox (UK) Ltd|Waterside
Oxford Rd
Uxbridge
Middlesex
England
UB8 1HS|NONE||No|No]",,01/01/2019,31/12/2023,"CallOffFromFrameworkAgreement ",
BIP326337547,Contract,"DVLA Commercial Directorate",Awarded,2018-06-14T07:09:15Z,"Provision of Multifunctional Devices","Provision of a range of multi functional devices, which are reliable and of good quality whilst delivering the anticipated volume of copies and adhering to basic principles of sustainability.",,,Wales,"30121100 ","Sian Reeves",sian.reeves@dvla.gsi.gov.uk,"C1 West","Longview Road",Swansea,"SA6 7JL",UK,+441792788049,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=326337547 ",,01/04/2018,31/12/2018,31/03/2018,NO,,No,No,No,Services,100000,,31/03/2018,100000,"[Xerox (UK) Ltd|Waterside
        Oxford Road
        Uxbridge
        UB8 1HS|NONE||No|No]",,01/04/2018,31/12/2018,"Other ",
