"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CD1240-1 - AWARD",Contract,"Suffolk Sourcing",Awarded,2017-11-20T12:42:16Z,"Provision of Independent Mobility Assessments Re-issue - AWARD","Suffolk County Council are currently out to tender for the provision of Independent Mobility Assessments.
      
      This opportunity is available in the `Current Tenders` area of portal. Interested parties are invited to express their interest to gain full access to the tender documentation.
      
      The deadline date for submissions of the tender is Monday 23rd October 2017 at 12 noon. Please note late returns will NOT be permitted
      
      The deadline for clarification questions is Wednesday 4th October 2017 at 5pm which must be generated via the correspondence option on the website.",,"IP1 2BX",,"85000000 ","Sarah Skilton",sarah.skilton@suffolk.gov.uk,"Russell Road",Ipswich,Suffolk,"IP1 2BX","United Kingdom","+44 1473260675",https://www.suffolk.gov.uk/business-jobs-and-careers/tenders-and-supplying-us/,,,,12/02/2018,11/02/2021,23/10/2017,NO,,Yes,Yes,No,Services,0,115000,14/11/2017,0,"[Access Independent Ltd|17G Sturton Street, Cambridge, Cambridgeshire, United Kingdom, CB1 2SN|||No|No]","Stephen Naylor",12/02/2018,11/02/2021,"Open ",
A77J-532AEK-A77J-AJAT84,Contract,"Redcar & Cleveland Borough Council",Awarded,2016-02-18T10:42:48Z,"Occupational  Therapy Waiting List Management Service","Redcar and Cleveland Borough Council is seeking quotations for the provision of an Occupational Therapy Waiting List Management Service to clear a backlog of occupational therapy assessments currently on Redcar & Cleveland Borough Council's waiting list, from initial triage to closure. The contract is scheduled to commence on 1 May 2016 and is expected to span a period of six months ending 31 October 2016. (If applicable: the contract will be subject to the option of a 2 month extension.",,"TS14 7FD","North East","85000000 ","Jayne Kempen",jayne.kempen@redcar-cleveland.gov.uk,"Belmont House","Rectory Lane",Guisborough,"TS14 7FD",UK,"01642 771249",,,,"Instructions to Suppliers: All documentation for this opportunity is available from the NEPO website; 
www.nepoportal.org.  Once expressions of interest have been received you will 
have immediate access to documentation via ""my opportunities"" quotation 
submissions must be received before 12:00:00 Noon on Monday, 14 March  2016. Information about delivery location: All documentation for this opportunity is available from the NEPO website; 
www.nepoportal.org. ",01/05/2016,31/10/2016,14/03/2016,NO,,No,Yes,No,Services,0,,19/05/2016,55532,"[access independent|63 rock road, cb1 7ug, Cambridgeshire|||No|No][access independent|63 rock road, cb1 7ug, Cambridgeshire|||No|No]",,01/06/2016,31/10/2016,"Open ",
007055,Contract,"Newcastle City Council",Awarded,2020-04-29T13:07:49Z,"Independent Assessments for Blue Badge Applications","Newcastle City Council and North Tyneside Council require a service contract for independent assessors for the application of disabled blue badges.   The contract is for 2 years with one option to extend for 12 months.",,,"North East","85100000 ","Janine Lancaster",janine.lancaster@newcastle.gov.uk,"Civic Centre",,"NEWCASTLE UPON TYNE",NE18QH,England,,,,"www.nepo.org ",,01/04/2020,31/03/2022,25/02/2020,YES,007055,Yes,No,No,Services,0,,19/03/2020,90000,"[ACCESS INDEPENDENT LTD|Unit 17G Sturton Street
CAMBRIDGE
CAMBRIDGESHIRE
CB1 2SN
GB|COMPANIES_HOUSE|04664905|No|No]","delia naylor",01/04/2020,31/03/2022,"OpenNonOJEU ",
"CBC-1071-T-CE - AWARD",Contract,"Central Bedfordshire Council",Awarded,2019-11-29T15:44:00Z,"CBC-1071-T-CE Independent Mobility Assessments for Blue Badges                                       - AWARD","The Council is inviting tenders for the conduct of Independent Mobility Assessments (IMA's) to determine applicants' eligibility for the Blue Badge concessionary parking scheme. The aim of the service is to determine entitlement to Blue Badges.  The Service Provider will provide IMA's and make recommendations for eligibility against the statutory criteria and any local interpretations.
      
      Help and Support - The Council will provide as much support and information as it can in order to help guide you through the Tender process.  Questions asked together with the Council's response will be made available to all tenderers to ensure a fair and consistent approach to all. 
      
      If there is anything you are not sure of or need clarification on, please contact us using the Correspondence facility on the In-tend portal. Last date for receiving questions on the In-Tend system: 1st November 2019
      
      Return of Tender - Completed Tenders and attachments should be submitted electronically, by the due date via our ""In-tend"" electronic tendering system. Tenders must be uploaded via the ""My Return"" section of the system. Tenders submitted through the correspondence facility will not be considered. Your Tender must be submitted via the In-Tend system by no later than 12:00 noon on 8th November 2019. Tenders received after that time will be excluded.",,"SG17 5TQ","Any region","73110000 ","ADMINISTRATOR ADMINISTRATOR",procurement@centralbedfordshire.gov.uk,"Priory House",Chicksands,Bedfordshire,"SG17 5TQ","United Kingdom",03003008000,,,,,01/01/2020,30/12/2022,08/11/2019,NO,,No,No,No,Services,0,,27/11/2019,68400,"[access independent|63 rock road, cambridge, United Kingdom, cb1 7ug|NONE||No|No]","delia  naylor",01/01/2020,30/12/2022,"Open ",
BIP231591351,Contract,"Procurement Lincolnshire",Awarded,2016-12-14T10:45:07Z,"GB-Lincoln: Blue Badge Independent Mobility Assessment","Contract for the provision of independent mobility assessments for applicants applying for Blue Badges where their eligibility cannot be evidenced either by meeting the automatic eligibility criteria or through a desk based assessment.",,,"East Midlands","98000000 ","Lauren Grosvenor",lauren.grosvenor@lincolnshire.gov.uk,"c/o Lincolnshire County Council",Newland,Lincoln,"LN1 1BA",UK,01522553649,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=231591351 ",,01/12/2016,30/11/2021,16/11/2016,NO,,No,No,No,Services,56700,,16/11/2016,56700,"[Access Independent Limited|Unit 17G Sturton Street
        Cambridge
        CB1 2SN|||No|No]","Stephen Naylor",01/12/2016,30/11/2021,"NotSpecified ",
LINCOLN001-DN433247-45784411,Contract,"Lincolnshire County Council",Awarded,2019-10-28T15:18:40Z,"Adult Frailty and Long Term Conditions Assessments and Reviews","The provider will undertake independent moving and handling reviews of current Adult Care Occupational Therapy Customers' needs. This will ensure that individuals remain safe and that they receive the appropriate level of service to best meet needs. Where required, the provider will also carry out re-assessments and support planning (moving and handling plan) according to service user need.                                                                                                                                                                                                          There are a maximum of 400 clients to be reviewed within the timeframe of this contract which will expire on 31st March 2020.  All activity must be completed by 31st March 2020.",,,"East Midlands","85000000 ","Mark Fowell",mark.fowell@lincolnshire.gov.uk,"Orchard House","Orchard Street",Lincoln,"LN1 1BA","United Kingdom","+44 1522554044",https://www.lincolnshire.gov.uk,,,,28/10/2019,31/03/2020,29/09/2019,NO,,Yes,Yes,No,Services,100000,100000,15/10/2019,107000,"[Access Independent Limited|17G Sturton Street, Cambridge, CB1 2SN|NONE||No|No]",,29/10/2019,31/03/2020,"Open ",
HEREFCC-DN127998-21345136,Contract,"Herefordshire Council",Awarded,2016-08-03T13:18:15Z,"Occupational Health assessment support for Blue Badge and Concessionary Travel Services","Currently the Herefordshire Council has 8994 Blue Badges on issue within the County and receives on average 3500 applications per annum.  The Council also has 1753 Disabled Concessionary travel passes on issue within the County and issues on average 25 passes each month.

To support the delivery of the Blue Badge Parking Scheme and the Concessionary Travel Bus Pass scheme, the council seeks support from organisations that are able to provide an independent mobility assessment service, adhering to various professional standards.",,,"West Midlands","85100000 85320000 ",,procurement@herefordshire.gov.uk,"Council Offices","Plough Lane",Hereford,"HR4 0LE",UK,,https://www.herefordshire.gov.uk,,"https://procontract.due-north.com/Advert?advertId=8b5d6ddf-bf16-e611-8112-000c29c9ba21 ",,01/07/2016,01/07/2019,27/05/2016,NO,,Yes,No,No,Services,75000,,03/08/2016,75000,"[Access Independent Limited|Unit 17 G, Sturton Street, Cambridge, CB1 2SM|||Yes|No]",,01/09/2016,31/08/2019,"Open ",
LGSS001-DN443090-75484975,Contract,LGSS,Awarded,2020-01-02T00:00:00Z,"CCC Blue Badge Assessments","Blue Badge assessments for Cambridgeshire County Council All information is available on the LGSS e-tendering portal ProContract - https://www.lgssprocurementportal.co.uk/
",,,"South East","79900000 ","Corporate Procurement Team",contracts@Milton-keynes.gov.uk,"Shire Hall","Castle Hill",Cambridge,CB30AP,"United Kingdom",,https://www.lgss.co.uk/about/,,,,09/12/2019,31/03/2022,11/11/2019,NO,,Yes,Yes,No,Services,0,,02/12/2019,75000,"[Access Independant|17G The Courtyard, Sturton Street, Cambridge, Cambridgeshire, CB1 7UG, United Kingdom|NONE||No|No]",,01/01/2020,31/03/2022,"Open ",
ENFLD001-DN416114-19939539,Contract,"London Borough of Enfield",Awarded,2019-11-08T13:42:00Z,"Mobility Assessments Provider for Concessionary Travel","The London Borough of Enfield appointed provider for mobility assessments (paper/clinical) for Concessionary travel",,,London,"98000000 ","Sally Sanders",sally.sanders@enfield.gov.uk,"Civic Centre","Silver Street",Enfield,"EN1 3XA","United Kingdom",,http://www.enfield.gov.uk/,,,,01/08/2019,31/01/2021,14/07/2019,NO,,Yes,No,No,Services,50000,50000,31/07/2019,50000,"[Access Independent|CB1 7UG|NONE||Yes|No]","Mr Thomas Cove",01/08/2019,31/01/2021,"Restricted ",
"Provision of Occupational Therapy Assessment Service",Contract,"Haringey Council - Traffic Management",Awarded,2018-12-20T11:20:15Z,"Provision of Occupational Therapy Assessment  Service","The Provision of a framework agreement for Occupational Therapy Service providers (OT Service) to undertake the assessment of residents in their home environment and establish current and future needs for equipment and adaptations.",,,London,"85000000 ",,Bobbi.Virgo@haringey.gov.uk,"225 High Road","Wood Green",LONDON,"N22 8HQ",England,,,,,,02/01/2019,30/06/2020,26/10/2018,NO,,Yes,Yes,No,Services,130000,,18/12/2018,130000,"[ACCESS INDEPENDENT LTD|Unit 17G Sturton Street
CAMBRIDGE
CAMBRIDGESHIRE
CB1 2SN
GB|COMPANIES_HOUSE|04664905|Yes|No][Inclusion.Me Ltd|Thatcher House
12 Mount Ephraim
Tunbridge Wells
Kent
TN4 8AS|COMPANIES_HOUSE|06988896|Yes|No]","delia naylor",02/01/2019,30/06/2020,"CompetitiveQuotationNonOJEU ",
