"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"NE RTMC",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2015-12-29T10:06:53Z,"Regional Technology Maintenance Contract (RTMC) North East","Traffic Technology Maintenance",,,"North East","50230000 ",,TransparencySGRM@highwaysengland.co.uk,"Highways England","Lateral 8 City Walk",Leeds,"LS11 9AT",England,,,"AMEY (2) (2).doc ",,,17/12/2015,17/12/2020,22/08/2014,NO,,No,No,No,NotSpecified,6796315,,17/12/2015,6796315,"[Amey OW Ltd (was Amey LG Ltd (was Amey Infrastructure Services)|The Sherard Building, Edmund Halley Road 
Oxford 
OX4 4DQ|||No|No]",,17/12/2015,17/12/2020,"Restricted ",
"CDF PC10005",Contract,"HIGHWAYS ENGLAND CO LTD",Awarded,2015-08-05T15:19:05Z,"Lot 1 SMP Design M1 J13 - 16","Lot 1 SMP Design M1 J13-16",,,"South East,South West","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"Amey_Arup_Award_Letter (2).docx ",,,07/07/2015,30/07/2019,30/06/2015,NO,,No,No,No,Services,19382058.73,,07/07/2015,19382058.73,"[Amey OW Ltd / Ove Arup & Partners Ltd JV|The Sherard Building, 
Edmund Halley Road 
Oxford 
OX4 4DQ|||No|No]",,07/07/2015,30/07/2019,"Restricted ",
"CDF PC10004",Contract,"HIGHWAYS ENGLAND CO LTD",Awarded,2015-08-05T15:11:21Z,"Lot 1 SMP Design M1 J24-25","Lot 1 SMP Design M1 J24-25",,,"West Midlands,South West","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"Amey_Arup_Award_Letter (2).docx ",,,07/07/2015,31/08/2017,30/06/2015,NO,,No,No,No,Services,6337931.17,,07/07/2015,6337931.17,"[Amey OW Ltd / Ove Arup & Partners Ltd JV|The Sherard Building, 
Edmund Halley Road 
Oxford 
OX4 4DQ|||No|No]",,07/07/2015,31/08/2017,"Restricted ",
"CDF PC10005",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2015-09-16T15:20:43Z,"Smart Motorways Programme - Package 2 - M1 J13 - 16","Smart Motorways Programme - Package 2 - M1 J13 - 16",,,"East Midlands","71500000 ",,TransparencySGRM@highwaysengland.co.uk,"Highways England","Lateral 8 City Walk",Leeds,"LS11 9AT",England,,,,,,07/07/2015,30/07/2019,24/04/2015,NO,,No,No,No,Services,19382058.73,,24/04/2015,19382058.73,"[Amey OW Ltd / Ove Arup & Partners Ltd JV|The Sherard Building
Edmund Halley Road 
Oxford 
OX4 4DQ|||No|No]",,07/07/2015,30/07/2019,"Restricted ",
BFDMDC001-DN450554-87129764,Contract,"Bradford Metropolitan District Council",Awarded,2020-07-29T00:00:00Z,"Smart Street Lighting","The Smart Street Lighting project is an invest to save strategy for the Bradford District and will involve the replacement of old street lighting luminaires with LED units and replace life expired columns.  Please note that the maintenance and repair of existing assets as well as responsibility for converting heritage/specialist lighting to LED will continue to be delivered by the in house operational teams.  For full details of the Councils requirements please see the documents on the Councils e tendering website YORtender (www.yortender.co.uk) under reference DN450554",,,"Yorkshire and the Humber","34928510 34928500 50232100 ","Alan Parsons",alan.parsons@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"+44 1274436690",http://www.bradford.gov.uk/bmdc,,,,06/04/2020,31/12/2023,09/03/2020,NO,,Yes,No,No,Works,35000000,35000000,07/04/2020,35000000,"[Amey OW Ltd|London, EC1 1AB|NONE||No|No]",,01/09/2020,31/03/2024,"Open ",
LPOOL001-DN275932-37358877,Contract,"Liverpool City Council",Awarded,2018-05-30T09:33:23Z,"Controlled Parking Zones Review","Liverpool City Council (LCC) is planning to undertake a comprehensive review of the existing controlled parking zones in the city centre. In broad terms, the review will encompass:

•	Review of the boundaries of the existing CPZs, including their sub-zones.
•	Investigation and recommendations on whether to extend the existing CPZs into new controlled parking zones to the north, south and east of the existing CPZs to meet current and future demands.
•	Review of the operational times of the existing CPZs.
•	Review and recommend any changes to the charging tariffs for paid for parking, both for on-street and off-street provisions including between zones and sub-zones.
•	Review of existing permit arrangements for residents and businesses. This review will not include provision for charging for residents and visitor permits, which are currently free of charge.
•	Maximising on-street parking provision, and therefore revenue, to meet the increasing parking demand for visitors, businesses and also commuters where appropriate. It is not proposed to introduce significant areas of residents parking areas but where this may be necessary then any new schemes will need to comply with Liverpool's Residents Parking Policy.
This has been awarded following a further competition under Lot 11 of the Merseytravel Multi-Party Consultancy Framework.",,,"North West","71311210 ","Roger Ruffles",Roger.Ruffles@liverpool.gov.uk,"4th Floor, Cunard Building",,Liverpool,"L3 1DS",England,"+44 1512330592",http://www.liverpool.gov.uk,,,,30/05/2018,30/06/2019,29/05/2018,NO,,Yes,Yes,No,Services,130000,,30/05/2018,128139.9,"[Amey OW Ltd|Sherard Building, Oxford, OX4 4DQ|NONE||No|No]",,15/06/2018,30/06/2019,"Other ",
LPOOL001-DN327750-31568456,Contract,"Liverpool City Council",Awarded,2018-05-09T09:09:13Z,"Design and Options Appraisal Services","Awarded through the ESPO Framework 2664_18, this is a contract for the provision of Design Services and Options Appraisal Services related to Highways. The contract is in place for one year; any extension will only be possible subject to further authorisation by Liverpool City Council and would in any event be limited to one year.",,,"North West","71311210 ","Roger Ruffles",Roger.Ruffles@liverpool.gov.uk,"4th Floor, Cunard Building",,Liverpool,"L3 1DS",England,"+44 1512330592",http://www.liverpool.gov.uk,,,,18/05/2018,17/05/2019,08/05/2018,NO,,Yes,Yes,No,Services,0,,09/05/2018,374000,"[Amey OW Ltd|The Sherard Building, Edmund Halley Road, Oxford, Oxfordshire, OX4 4DQ|NONE||No|No]","Steven McKinney",18/05/2018,17/05/2019,"Other ",
LPOOL001-DN316406-40968385,Contract,"Liverpool City Council",Awarded,2018-05-02T09:45:49Z,"Provision of Design Checking Services - S278, S38 and TROs","Provision of design checking services relating to S38 and S278 Notices",,,"North West","71631480 ","Roger Ruffles",Roger.Ruffles@liverpool.gov.uk,"4th Floor, Cunard Building",,Liverpool,"L3 1DS",England,"+44 1512330592",http://www.liverpool.gov.uk,,,,17/04/2018,16/04/2019,28/02/2018,NO,,Yes,No,No,Services,450000,450000,16/03/2018,450000,"[Amey OW Ltd|The Sherard Building, Edmund Halley Road, Oxford, Oxfordshire, OX4 4DQ|NONE||No|No]",,17/04/2018,16/04/2019,"Other ",
"CDF PC1 0038.1.1",Contract,"Highways Agency",Awarded,2017-04-13T15:29:51Z,"AS14 Schemes PCF Stage 2 - A47 North Tuddenham to Easton","CDF PC1 0038.1.1.",,,"Any region","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,21/12/2016,14/09/2017,20/12/2016,NO,,No,No,No,Services,300000,,20/12/2016,300000,"[Amey OW Ltd|The Sherard Building, Edmund Halley Oxford 
OX4 4DQ|||No|No]",,21/12/2016,14/09/2017,"NotSpecified ",
"CDF PC1 0038.2.1",Contract,"Highways Agency",Awarded,2017-04-13T15:26:29Z,"AS14 Schemes PCF Stage 2 - A47 North Tuddenham to Easton","AS14 Schemes PCF Stage 2 - A47 North Tuddenham to Easton.",,,"Any region","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,21/12/2016,14/09/2017,20/12/2016,NO,,No,No,No,Services,300000,,20/12/2016,300000,"[Amey OW Ltd|The Sherard Building, Edmund Halley Oxford 
OX4 4DQ|||No|No]",,21/12/2016,14/09/2017,"NotSpecified ",
