"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HEE001-DN435957-46380241,Contract,"Health Education England",Awarded,2019-12-02T13:29:58Z,"NETS Behavioural Insights","HEE wish to use insights from psychology, cognitive science and social science to discover how humans make choices and to inform future communication and engagement plans and target in particular the behaviour of non-clinical learners.
        The provider will:
(i)	Draw on insights from the behavioural sciences and define target behaviours that need to be promoted.
(ii)	Draw insights as to potential barriers to these behaviours being exhibited.
(iii)	Make recommendations to improve the uptake of NETS, drawing on the above.",,,"Any region","73000000 79000000 ","Leila Hodson",leila.hodson@hee.nhs.uk,"1st Floor, Blenheim House","Duncombe Street",Leeds,"LS1 4PL","United Kingdom",,https://hee.nhs.uk/,,,,14/10/2019,31/03/2020,25/09/2019,NO,,Yes,Yes,No,Services,50000,,10/10/2019,48000,"[Behavioural Insights Ltd|sw1H 9NP|NONE||Yes|No]",,14/10/2019,31/03/2020,"Open ",
MRTN001-DN461856-41057063,Contract,"London Borough of Merton",Awarded,2020-04-08T14:31:39Z,"Air Quality Behavioural Insights","This notice is for the awarded contract for Specialist consultancy services to design, implement and evaluate behavioural insights trial aiming to reduce driver idling around schools.  
This is being supported by a grant from the Local Government Association (LGA) Behavioural Insights Programme, which aims to develop an evidence base of insights to share across local government nationally. 

There are a number of Council initiatives that are tackling the challenge of poor air quality and this project will look to align with these. These include the London anti-idling campaign, Healthy Streets and PHE Superzones, of which Merton is a pilot site. 
",,,London,"71620000 73210000 ",,commercial.services@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX",England,,http://www.merton.gov.uk/,,,,31/03/2020,30/03/2021,20/02/2020,NO,,Yes,No,No,Services,40000,,28/02/2020,39475,"[Behavioural Insights Ltd|sw1H 9NP|NONE||Yes|No]",,31/03/2020,30/03/2021,"Other ",
WIGN001-DN392975-20477034,Contract,"Wigan Council",Awarded,2019-04-11T15:05:09Z,"Behavioural Insights Project","Wigan Council invites tenders for consultancy services to deliver a behavioural insights project that will focus on reducing the number of tenants in rent arrears. This should complement the holistic approach to collections that the team is currently seeking to employ, which enables residents to pay what they need to and instil a payment culture. We are seeking a supplier that researches and develops innovative approaches / interventions to encourage rent payments; puts into practice the proposals (as agreed in partnership with Wigan Council) and conducts a robust randomised control trial to evaluate the impact of the interventions. The commission will consist of an initial scoping phase which is to be completed by 30th April 2019. The scoping document to be produced at Phase 1 will include the trial design, timescales and the statistical power analysis (for the sample size). Following completion of Phase 1 by the appointed supplier, the scoping document will be sent to the IDEA by 30th April 2019. Wigan Council will then await agreement from the IDEA as to whether phase 2 of the grant funded work can proceed. It is anticipated that the overall duration of the project (Phase 1 and, subject to agreement, Phase 2) will be delivered within 12 months from the date of the award of the contract for Phase 1, and by 30th June 2020. This procurement is being carried out under the Crown Commercial Services (CCS) 'Behavioural Insights' Framework Agreement, RM6004.",,,"North West","73210000 79410000 ","Rachel Robinson",R.Robinson@wigan.gov.uk,"Town Hall","Library Street",Wigan,"WN1 1YN",England,"+44 1942487370",http://www.wigan.gov.uk/,,,,28/03/2019,31/03/2020,08/03/2019,NO,,Yes,No,No,Services,50000,50000,20/03/2019,49988,"[Behavioural Insights Ltd|4 Matthew Parker Street, Westminster, London, SW1H 9NP|NONE||Yes|No]","Ms. Felicity Algate",28/03/2019,31/03/2020,"Other ",
CPD/004/120/137,Contract,"MINISTRY OF HOUSING, COMMUNITIES & LOCAL GOVERNMENT",Awarded,2020-05-22T17:50:35Z,"CPD/004/120/137; MHCLG - Oxford-Cambridge Arc environmental behaviour study - Contract","This contract has already been awarded and is published for transparency purposes. 
MHCLG is responsible for Government policy relating to housing, planning, and building, local growth, local government, integration and community cohesion. 
Contract to conduct a research review and apply it to the context of the Oxford-Cambridge Arc in order to help the OxCam Unit consider at an early stage in policy development how to learn from behavioural insights interventions and ultimately, incentivise positive behavioural change that results in reduced greenhouse gas emissions in the Arc. 
This contract is a call-off from the CCS - RM6004 Behavioural Insights framework.",,,England,"73110000 ","Rob Hardman",robert.hardman@communities.gov.uk,"2 Marsham Street",,London,"SW1P 4DF",England,,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,"CPD-004-120-137; Letter of appointment - CF v1.0.pdf ",,,17/02/2020,31/08/2020,31/01/2020,NO,,Yes,Yes,No,Services,73770,,13/02/2020,73770,"[BEHAVIOURAL INSIGHTS LTD|4 Matthew Parker Street
LONDON
SW1H 9NP
GB|COMPANIES_HOUSE|08567792|Yes|No]",,17/02/2020,31/08/2020,"CallOffFromFrameworkAgreement ",
"UK SBS CR18145 Business Basics Messaging Trials Insight Partner",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-01-11T11:45:19Z,"UK SBS CR18145 Business Basics Messaging Trials Insight Partner","BEIS had a requirement for work to identify which methods and messengers of communications are most effective at encouraging SMEs to adopt productivity enhancing basic technology and management practices through collaborating with partners.
The objectives of this work are to test:

• A variety of behaviourally informed messages/interventions
• Mode of communication with SMEs (e.g. letters vs emails)
• The impact of the Messenger - Government departments, local public sector (e.g. Growth Hubs, LEPs), Business Organisations
• Optimal timings for sending messages - end of the financial year, around key sectoral news
• Establishing whether it is possible to target less productive firms and what is most effective at targeting less productive firms
• Whether the recipient of the message affects the response and whether different recipients respond differently to different messages
• Support of wider objectives

This requirement was advertised on the CCS RM6004 Behavioural Insights Framework",,,London,"73000000 ","UK SBS",Research@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,01793867000,,,,,17/12/2018,04/12/2019,17/10/2018,NO,,Yes,No,No,Services,199889.5,,12/11/2018,199889.5,"[BEHAVIOURAL INSIGHTS LTD|4 Matthew Parker Street
LONDON
SW1H 9NP
GB|COMPANIES_HOUSE|08567792|No|No]","Michael Fernandez",17/12/2018,04/12/2019,"CallOffFromFrameworkAgreement ",
CCZZ20A20.,Contract,"HM Treasury : HM Treasury",Awarded,2020-05-28T09:23:37Z,"Behavioural Insights Procurement","HMT had a requirement for Behavioural Insights Research",,,"United Kingdom,Isle of Man,Channel Islands","73200000 ","Crown Commercial Service on behalf of HM Treasury : HM Treasury",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"Open Market Award Letter v1.0 210520 Redacted.pdf ",,,16/03/2020,31/07/2020,15/03/2020,NO,,Yes,No,No,Services,122000,122000,15/03/2020,122000,"[Behavioural Insights Ltd|London England|NONE_OTHER||Yes|No]",,16/03/2020,31/07/2020,"SingleTenderActionNonOJEU ",
tender_197010/849196,Contract,"Ministry of Justice.",Awarded,2020-04-07T14:01:26Z,"Behavioural Insights- randomised controlled trials for Design 102","This competition for a defined term agreement is being run through the CCS RM6004 Behavioural Insights agreement. Design102, part of the Ministry of Justice, would like to commission a programme of randomised controlled trials (RCTs) conducted in an online environment to test upcoming communications campaigns for specific target audiences. Design102, part of the Ministry of Justice, would like to commission a programme of randomised controlled trials (RCTs) conducted in an online environment to test upcoming communications campaigns for specific target audiences.",,"SW1H 9AJ",London,"79315000 ",,MoJProcurementProfessionalServices@justice.gov.uk,"Ministry of Justice, Professional Services Category Team, CCMD, 1st Floor, 5 Wellington Place,",,Leeds,"LS1 4AP",England,,,"con_16328 - Terms and Conditions RM6004 - REDACTED_1.pdf CON_16~1.PDF ",,,11/02/2019,03/07/2022,21/01/2019,NO,,Yes,No,No,Services,155100,,09/03/2020,155100,"[Behavioural Insights Ltd|2nd Floor 4 Matthew Parker Street London SW1H 9NP|COMPANIES_HOUSE|08567792|No|No]",,11/02/2019,03/07/2022,"CallOffFromFrameworkAgreement ",
"CON 1030",Contract,OFSTED,Awarded,2020-03-24T11:58:17Z,"Behavioural Insight Advisory Services","Please note that this contract has already been awarded and that this contract is being published for transparency purposes only. 

Single tender action agreed under Ofsted Terms and Conditions. 

This Contract is for the provision of Behavioural Insight Advisory Services. 
",,,"Any region","73000000 ",,info-contracts@ofsted.gov.uk,"6th Floor, Picadilly Gate","Store Street",MANCHESTER,M12WD,England,,,,,,09/03/2020,08/06/2020,20/02/2020,NO,,No,No,No,Services,20000,,24/02/2020,20000,"[BEHAVIOURAL INSIGHTS LTD|4 Matthew Parker Street
LONDON
SW1H 9NP
GB|COMPANIES_HOUSE|08567792|No|No]",,09/03/2020,08/06/2020,"SingleTenderActionNonOJEU ",
DN402617,Contract,"DEPARTMENT FOR INTERNATIONAL TRADE",Awarded,2019-11-05T09:22:30Z,"Developing a Behavioural Insights Programme for DIT","Developing a Behavioural Insights Research Programme for DIT",,,"Any region","73110000 ","Helena Tyler",helena.tyler@trade.gov.uk,"Windsor House, 50 Victoria Street",,LONDON,"SW1H 0TL",England,,,,,,01/01/2018,31/12/2019,03/12/2017,NO,,Yes,No,No,Services,108147,,21/12/2017,108147,"[BEHAVIOURAL INSIGHTS LTD|4 Matthew Parker Street
LONDON
SW1H 9NP
GB|COMPANIES_HOUSE|08567792|No|No]",,01/01/2018,31/12/2019,"CallOffFromFrameworkAgreement ",
CCCO18A37.,Contract,"Cabinet Office : Cabinet Office",Awarded,2019-02-14T11:31:29Z,"Behavioural Insights Consultancy & Research Services","A single call-off contract request for a sole supplier to provide Behavioural Insights Consultancy & Research Services.",,,"Any region","79340000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCCO18A37 Letter of Appointment v1.0 REDACTED.pdf ",,,09/01/2019,08/01/2022,27/11/2018,NO,,Yes,No,No,Services,3000000,4000000,21/12/2018,3000000,"[Behavioural Insights Ltd|1 Plough Place EC4A 1DE London England|NONE||Yes|No]",,09/01/2019,08/01/2022,"CallOffFromFrameworkAgreement ",
