"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"UKSBS DDaT19165",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-11-22T11:31:37Z,"UKSBS DDaT19165 - Bottomline PT-X BACS Payments","This award is for the purchase of a three year subscription service to the Bottomline PT-X BACS cloud based payments platform.

A single tender action was undertaken for this process. The award will be to Bottomline Technologies Ltd.",,"SN2 1FF",,"48000000 72268000 79211110 79631000 ","Liam Tucker",ddatprocurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,"SN2 1FF",England,,,,,,18/09/2019,17/09/2022,17/09/2019,NO,,Yes,No,No,Products,70578,,17/09/2019,70578,"[BOTTOMLINE TECHNOLOGIES LIMITED|115 CHATHAM STREET
RG1 7JX
GB|COMPANIES_HOUSE|08098450|Yes|No]",,18/09/2019,17/09/2022,"SingleTenderActionNonOJEU ",
TIS0350,Contract,"The Insolvency Service",Awarded,2020-09-16T18:05:59Z,"Bottomline PTX","Bottomline PTX - Upgrade from C-Series",,"B4 6FD",,"72000000 ","Frank Joseph",frank.joseph@insolvency.gov.uk,"3rd Floor, Companies House,","Crown Way, Maindy",Cardiff,"CF14 3ZA",Wales,03003046575,,"Bottomline PTX Contract (2020) Final signed INSS REDACTED.docx ",,,04/02/2020,03/02/2022,03/02/2020,NO,,No,No,No,Services,46032,,04/02/2020,46032,"[BOTTOMLINE TECHNOLOGIES LIMITED|1600 Arlington Business Park,Theale
READING
Berkshire
RG7 4SA
GB|COMPANIES_HOUSE|08098450|No|No]","James Wilson",04/02/2020,03/02/2022,"CallOffFromFrameworkAgreement ",,12:00
tender_103428/804131,Contract,"Ministry of Justice.",Awarded,2019-10-08T14:12:36Z,"renewal of bottomline formscape licence subscriptions and maintenance","renewal of bottomline formscape licence subscriptions and maintenance",,,London,"48000000 ",,hitesh.patel1@justice.gov.uk,london,,london,"E14 4PU",England,,,,,,12/03/2019,11/03/2020,12/03/2019,NO,,No,No,No,Services,4200009,,12/03/2019,420000,"[Bottomline Technologies|Bottomline Technologies|NONE||No|No]",,12/03/2019,11/03/2020,"SingleTenderActionNonOJEU ",
tender_98831/559519,Contract,"Ministry of Justice.",Awarded,2017-01-11T12:24:46Z,"renewal of Bottomline licence subscriptions and maintenance for MOJ","renewal of Bottomline licence subscriptions and maintenance for MOJ",,,"Any region","72268000 ",,HITESH.PATEL1@JUSTICE.GSI.GOV.UK,LONDON,,LONDON,"SW1H 9AJ",England,,,,,,13/03/2015,11/03/2018,12/03/2015,NO,,Yes,No,No,Services,990000,,12/03/2015,990000,"[Bottomline technologies|Bottomline technologies|||No|No]",,13/03/2015,11/03/2018,"NotApplicable ",
tender_219344/829480,Contract,"Public Health England",Awarded,2020-01-17T12:58:02Z,"PHE - ICT - Electronic funds transfer service (gCloud)","Provision of subscription to the Bottomline Electronic funds transfer service for use with Oracle for 

-	Bacs Payments
-	Direct Debits
-	Bank Account Validation and Verification
-	Cheques
-	Security Pack
-	International Payments
-	Refunds and One Off Payments
-	Print & Post
-	International Payments",,,"Any region","66115000 ",,contracts@phe.gov.uk,"61, Colindale Avenue",,London,"NW9 5EQ",England,,,,,,30/10/2019,29/10/2021,30/10/2019,NO,,Yes,Yes,No,Services,31448,,30/10/2019,31488,"[Bottomline Technologies Ltd|1600 Arlington Business Park, Theale, Reading, Berkshire, England, RG7 4SA|COMPANIES_HOUSE|08098450|No|No]",,30/10/2019,29/10/2021,"CallOffFromFrameworkAgreement ",
"OHG - 1206",Contract,"ONE HOUSING GROUP LIMITED",Awarded,2020-10-08T14:22:21Z,"Online solution for payments and direct debits","To provide Saas solution for online payments and direct debits",,,"London,South East","72100000 72200000 72400000 ","Jacob Coward",jcoward@onehousing.co.uk,"Atelier House, 64 Pratt Street, Camden Town, London",,LONDON,"NW1 0DL",England,,,,,,27/02/2020,26/02/2021,10/02/2020,NO,,No,No,No,Services,29984,,23/02/2020,29984,"[Bottomline Technologies Limited|1600 Arlington Business Park, Theale, Reading, Berkshire, England, RG7 4SA|COMPANIES_HOUSE|08098450|No|No]",,27/02/2020,26/02/2021,"SingleTenderActionNonOJEU ",,17:00
"CON 0975",Contract,OFSTED,Awarded,2020-03-18T16:06:22Z,"BACS Payment Software","Please note that this contract has already been awarded and that this contract is being published for transparency purposes only.  

Call Off from Crown Commercial Services G-Cloud 11 Framework Agreement RM1557.11.

This contract is for the provision of BACS Payment Software to enable Ofsted to make payments to suppliers, payroll, etc. 
",,,"Any region","48000000 ","Ofsted - Commercial Team",info-contracts@ofsted.gov.uk,"Ofsted, Piccadilly Gate","Store Street",MANCHESTER,"M1 2WD",England,,,,,,01/02/2020,31/01/2022,13/12/2019,NO,,No,No,No,NotApplicable,36720,,16/12/2019,36720,"[BOTTOMLINE TECHNOLOGIES LIMITED|115 CHATHAM STREET
RG1 7JX
GB|COMPANIES_HOUSE|08098450|No|No]",,01/02/2020,31/01/2022,"CallOffFromFrameworkAgreement ",
BIP468738059,Contract,"Braintree District Council",Awarded,2020-01-30T14:50:06Z,"GB-Braintree: BACS Software","The Council is seeking quotations for the supply of a BACS Approved Software Service (""the Service"") which continues to allow it to act as a direct submitter for making BACS payments and collection of Direct Debits covering a number of functions.",,,"East of England","48442000 ",Procurement,procurement@braintree.gov.uk,"Causeway House","Bocking End",Braintree,"CM7 9HB",UK,01376552525,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=468738059 ","The contract is paid in installments of £17,000 per annum",01/01/2020,01/01/2022,17/12/2019,NO,,No,No,No,Services,51000,,17/12/2019,51000,"[Bottomline Technologies|1600 Arlington Business Park
        Theale
        Reading
        RG7 4SA|NONE||No|No]",Bottomline,01/01/2020,01/01/2022,"NotSpecified ",
"UID 6426",Contract,"STAR Procurement",Awarded,2020-01-22T15:56:04Z,"Council C-Series Upgrade","Additional network storage to facilitate integration of CCG systems and data.",,,"North West","72222300 ","Natalie McCarthy",natalie.mccarthy@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,01619121616,,,,,27/03/2019,26/03/2022,01/03/2019,NO,,Yes,No,No,Services,37944.63,,26/03/2019,37944.63,"[BOTTOMLINE TECHNOLOGIES LIMITED|115 CHATHAM STREET
RG1 7JX
GB|COMPANIES_HOUSE|08098450|No|No]",,27/03/2019,26/03/2022,"CompetitiveQuotationNonOJEU ",
2019-SLC-232,Contract,"STUDENT LOANS COMPANY LIMITED",Awarded,2020-01-14T10:01:48Z,"Electronic Payment Gateway","SLC direct award of EPG service to ensure continuity of a business critical system.",,,Scotland,"48217000 ","susan butcher",susan_butcher@slc.co.uk,"Memphis Building","Lingfield Point",Darlington,"DL1 1RW",England,"01412433482 ext 33482",,,,,11/12/2019,10/12/2022,06/12/2019,NO,,No,No,No,Services,166455,,10/12/2019,166455,"[BOTTOMLINE TECHNOLOGIES LIMITED|115 CHATHAM STREET
RG1 7JX
GB|COMPANIES_HOUSE|08098450|No|No]",,11/12/2019,10/12/2022,"SingleTenderActionNonOJEU ",
