"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CEC0002 - AWARD",Contract,"Cirrus Purchasing",Awarded,2020-04-17T14:36:04Z,"Cheshire East Borough Council - Procurement of Fund Management Services_ - AWARD","As part of a package of programmes to stimulate and drive growth, the LEP in conjunction with Cheshire East Borough Council as the accountable body, has secured £20m of European Regional Development Funds (ERDF) to establish an investment fund called the Cheshire and Warrington Development Fund (CWDF).
      
      The proposed CWDF will be complementary to the Evergreen 1 fund established in 2011 and the Greater Manchester Evergreen 2 fund. The Evergreen 1(EG1) fund was very successful. Cheshire and Warrington received £37m (some of this is still in final assessment) from the fund which is now fully committed.
      
      The tender process was for the procurement of fund management services to deliver the CWDF. As part of the contract, the successful service provider will be required to deliver the following services:
      
      - Manage and market the fund and the entire investment cycle
      - Launch the fund
      - Market the fund
      - Manage all enquires
      - Generate applications to the fund
      - Secure a minimum of £20m of match funding which can be at a fund or investee level
      - Identify, monitor and report co-investment in accordance with Article 1 of the Commission Implementing Regulation (821/2014).
      - Work with other funds, funders, and investees, most notably Evergreen 1 to assess the benefit of adding this funding to wider funding packages for projects
      - Assess and develop the applications
      - Invest the funds
      - Carry out financial and commercial due diligence
      - Ensure all investments made are state aid compliant
      - Issue heads of terms
      - Make investment recommendations to the CWDF board
      - Issue contracts for investments
      - Monitor the investments and ensure repayments are made on time, and if not work with the applicant to take remedial action
      - Ensure outputs are achieved and recorded in compliance with ERDF guidelines.
      
      CBRE Indirect Investment Services Ltd were the successful service provider awarded the contract.",,"CW7 1AH","North West","66171000 ","Mike Munro",mmunro@cirruspurchasing.co.uk,"Wyvern House","The Drumber",Winsford,"CW7 1AH","United Kingdom",07572108320,,,,,09/04/2020,08/04/2030,05/11/2019,NO,,Yes,No,No,Services,600000,1000000,24/01/2020,320000,"[cbre limited|henrietta house, United Kingdom, w1G 0NB|NONE||No|No]","William Church",09/04/2020,08/04/2030,"Open ",
LEEDSCITY001-DN503444-88871400,Contract,"Leeds City Council",Awarded,2020-10-14T10:00:20Z,"Property Consultancy Advice","Property Consultancy Advice",,,"United Kingdom","70332200 ","Paul Doherty",paul.1.doherty@leeds.gov.uk,"St George House","2nd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,"+44 1133785904",http://www.leeds.gov.uk,,,,07/10/2020,07/11/2020,30/09/2020,NO,,No,No,No,Services,20000,20000,06/10/2020,20000,"[CBRE Limited|Toronto Square, Leeds LS1 2HJ|NONE||No|No]",,07/10/2020,07/11/2020,"NotSpecified ",,23:59
LGSS001-DN434764-29264773,Contract,"Milton Keynes Council",Awarded,2020-01-30T11:53:31Z,"Milton Keynes Council - Agency and Development Advice for a Residential Development Opportunity in Milton Keynes","Milton Keynes Council (MKC) are the freehold land owner of Tickford Fields Farm (TFF), a c. 45 ha development site in Newport Pagnell, Milton Keynes. The site is allocated in the Newport Pagnell Neighbourhood Plan for residential development and a planning application is expected to be submitted imminently by MKC, for c. 930 dwellings along with associated uses, including a local centre, Primary School and potentially a combined sport, community and well-being centre.).
In anticipation of the delivery phase which will follow planning approval MKC conducted further competition under the Crown Commercial Services RM3816 Estates Professional Services Framework Lot 1: National to appoint a property Consultant/Agent, to advise the Council on and affect the delivery of this site.",,,"South East","70320000 ",,contracts@milton-keynes.gov.uk,"Civic Offices, 1 Saxon Gate East",,"Milton Keynes","MK9 3EJ","United Kingdom",,,,,,03/02/2020,03/02/2021,01/11/2019,NO,,Yes,Yes,No,Services,0,,23/01/2020,0,"[CBRE Limited|55 Temple Row, Birmingham, West Midlands, B2 5LS|NONE||No|No]",,03/02/2020,03/02/2021,"Other ",
tender_196353/766359,Contract,capitalEsourcing,Awarded,2019-05-24T10:51:22Z,"Awarded Contract: UK Property Management Services for the RBKC Pension Fund","The RBKC pension fund (""the pension fund"") has a warded a contract to increase its allocation of UK property investments from the current level of around 5% to around 20%, through a bespoke segregated property portfolio. The service provided will help the pension fund build and maintain a direct property portfolio and provide ongoing management services for the portfolio, including to:

-	Advising on property acquisitions and disposals
-	Executing acquisitions and disposals, including contract negotiations and executions
-	Managing interaction with tenants and property management, including rent roll
-	Advising the Investment Committee on strategy; and
-	Considering and implementing structures to hold assets",,"W8 7NX",London,"70300000 ","The Royal Borough of Kensington and Chelsea",m.hopson@westminster.gov.uk,"Kensington Town Hall, Hornton Street",,London,"W8 7NX",England,,www.rbkc.gov.uk,,"www.capitalesourcing.com ","
This procurement was executed through the Council's electronic procurement portal, capitalEsourcing.",13/05/2019,12/05/2034,25/02/2019,YES,tender_196353/734374,Yes,No,No,Services,3323920,17100000,25/04/2019,6160000,"[CBRE Limited|St Martin's Court, 10 Paternoster Row, London EC4M 7HP|COMPANIES_HOUSE|3536032|No|No]",,13/05/2019,12/05/2034,"OpenOJEU ",
N/A,Contract,"BLACKPOOL BOROUGH COUNCIL",Awarded,2019-04-26T08:55:09Z,"Consultancy Advice for Hounds Hill Phase 2 Development & Future High Street Fund Bid","ongoing general investment development and project consultancy advice",,,"North West","73220000 ","Trevor Rayner",trevor.rayner@blackpool.gov.uk,"Corporation Street",,BLACKPOOL,FY11NA,England,"01253 478531",,,,,01/02/2019,31/03/2020,25/01/2019,NO,,No,No,No,Services,180000,180000,31/01/2019,180000,"[CBRE Limited|St Martins Court
10 Paternoster Row
London
EC4M 7HP|COMPANIES_HOUSE|03536032|No|No]",,01/02/2019,31/03/2020,"SingleTenderActionNonOJEU ",
RM3816,Contract,"BLACKPOOL BOROUGH COUNCIL",Awarded,2019-04-26T08:43:20Z,"Hounds Hill Shopping Centre Options & Strategy Report","consultancy support to deliver option appraisal report and valuation of shopping centre",,,"North West","73220000 ","Sarah Gordon",sarah.gordon@blackpool.gov.uk,"Corporation Street",,BLACKPOOL,FY11NA,England,"01253 478373",,,,,11/12/2018,31/03/2019,03/12/2018,NO,,No,No,No,Services,50000,,10/12/2018,50000,"[CBRE Limited|National Capital markets
One St Peters Square
10th Floor
Manchester
M2 3DE|COMPANIES_HOUSE|03536032|No|No]",,11/12/2018,31/03/2019,"CallOffFromFrameworkAgreement ",
tender_154376/696197,Contract,"City of London Corporation",Awarded,2018-08-15T10:51:19Z,"New Bond Street - Investment advice","Contract awarded under most economically advantageous tender",,,"Any region","70130000 ","Georgia Lawrence",Georgia.lawrence@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,"0207 332 3060",,,,,29/09/2017,30/06/2019,22/09/2017,NO,,No,No,No,Services,95000,,29/09/2017,95000,"[CBRE Limited|Henrietta House, Henrietta Place, London, Greater London, W1G 0NB, UNITED KINGDOM|NONE||No|No]","Luke Holland",29/09/2017,30/06/2019,"Other tender",
BIP518838387,Contract,"Hyde Housing Association",Awarded,2020-08-24T08:00:13Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=518838387 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",,00:00
BIP515573139,Contract,"Hyde Housing Association",Awarded,2020-08-14T08:30:11Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=515573139 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",,00:00
BIP496045867,Contract,"Hyde Housing Association",Awarded,2020-06-04T12:40:27Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=496045867 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",
